Raman Shift,Intensity
93.93005,420.3299
94.41217,412.7877
94.89429,402.8993
95.3764,392.0598
95.85852,381.0765
96.34064,370.7094
96.82275,361.6843
97.30487,353.1859
97.78699,343.0096
98.2691,331.725
98.75122,319.013
99.23334,304.3652
99.71545,287.6617
100.1976,269.8498
100.6797,250.9062
101.1618,232.1349
101.6439,215.8337
102.126,202.8174
102.6081,192.2234
103.0903,182.5042
103.5724,173.2083
104.0545,165.4472
104.5366,159.4736
105.0187,154.9711
105.5008,151.3471
105.983,148.1831
106.4651,145.444
106.9472,143.409
107.4293,142.0101
107.9114,141.3299
108.3935,141.5982
108.8757,142.7288
109.3578,144.3882
109.8399,146.1745
110.322,148.0708
110.8041,150.1653
111.2862,152.6461
111.7684,155.1926
112.2505,157.5207
112.7326,159.5492
113.2147,161.3839
113.6968,163.2534
114.1789,165.2938
114.6611,167.1094
115.1432,168.4685
115.6253,169.5405
116.1074,170.6076
116.5895,171.6317
117.0716,172.9336
117.5538,175.11
118.0359,178.4802
118.518,182.1091
119.0001,185.1944
119.4822,187.7033
119.9643,190.5425
120.4465,194.2722
120.9286,198.5891
121.4107,203.2397
121.8928,208.1687
122.3749,213.3749
122.857,218.8762
123.3392,224.5841
123.8213,230.7939
124.3034,237.3011
124.7855,244.2836
125.2676,252.0767
125.7497,260.8511
126.2319,270.6118
126.714,281.1107
127.1961,292.138
127.6782,304.2842
128.1603,318.1975
128.6424,333.4991
129.1246,349.3003
129.6067,365.0633
130.0888,381.0544
130.5709,395.024
131.053,409.6837
131.5351,420.9937
132.0173,426.9672
132.4994,427.264
132.9815,422.3253
133.4636,412.3424
133.9457,396.0758
134.4278,377.2354
134.91,354.2133
135.3921,329.3164
135.8742,304.7611
136.3563,280.8616
136.8384,258.5418
137.3205,239.6905
137.8027,224.0399
138.2848,210.0277
138.7669,197.084
139.249,185.2255
139.7311,174.5075
140.2132,164.9292
140.6954,156.7349
141.1775,149.9872
141.6596,144.7203
142.1417,140.4718
142.6238,137.0009
143.1059,134.3667
143.5881,132.0303
144.0702,129.9089
144.5523,128.0089
145.0344,126.459
145.5165,125.3142
145.9986,124.2882
146.4807,122.8707
146.9629,120.9548
147.445,118.7726
147.9271,116.1108
148.4092,113.3426
148.8913,110.8246
149.3734,108.7182
149.8556,106.9697
150.3377,105.3713
150.8198,103.8113
151.3019,102.5419
151.784,101.6017
152.2661,100.9678
152.7483,100.6303
153.2304,100.5962
153.7125,100.847
154.1946,101.1269
154.6767,101.4061
155.1588,101.7339
155.641,102.0735
156.1231,102.459
156.6052,103.0189
157.0873,103.8917
157.5694,105.061
158.0515,106.0996
158.5337,106.7261
159.0158,107.4122
159.4979,108.6363
159.98,110.4438
160.4621,112.2597
160.9442,113.5359
161.4264,114.4372
161.9085,115.4178
162.3906,116.359
162.8727,117.4986
163.3548,119.378
163.8369,122.3165
164.3191,125.29
164.8012,127.5962
165.2833,129.4074
165.7654,131.0147
166.2475,132.5162
166.7296,133.9215
167.2118,135.3373
167.6939,136.7027
168.176,138.1493
168.6581,139.6017
169.1402,141.14
169.6223,142.9956
170.1045,145.5125
170.5866,148.795
171.0687,151.5504
171.5508,153.6811
172.0329,155.3257
172.515,156.603
172.9972,157.4512
173.4793,157.6723
173.9614,156.9976
174.4435,155.2032
174.9256,153.2221
175.4077,150.8407
175.8899,148.4605
176.372,146.3161
176.8541,144.4312
177.3362,142.6794
177.8183,140.8906
178.3004,138.8777
178.7826,137.3105
179.2647,136.2902
179.7468,135.6128
180.2289,134.9756
180.711,134.3249
181.1931,134.0682
181.6752,134.9747
182.1574,137.5258
182.6395,139.8236
183.1216,141.2398
183.6037,142.4289
184.0858,144.3171
184.5679,147.2545
185.0501,150.6592
185.5322,153.5859
186.0143,156.008
186.4964,158.4502
186.9785,161.5388
187.4606,164.7944
187.9428,167.0945
188.4249,168.1977
188.907,167.9971
189.3891,166.3663
189.8712,163.2612
190.3533,159.834
190.8355,156.6854
191.3176,153.7919
191.7997,151.0659
192.2818,148.3391
192.7639,145.9182
193.246,143.9267
193.7282,142.3669
194.2103,141.3839
194.6924,141.2587
195.1745,142.0732
195.6566,142.9413
196.1387,143.4655
196.6209,144.1561
197.103,145.2778
197.5851,146.8867
198.0672,148.922
198.5493,151.4226
199.0314,154.6032
199.5136,157.5576
199.9957,160.1455
200.4778,162.5335
200.9599,164.8125
201.442,167.0101
201.9241,169.0865
202.4063,171.0077
202.8884,172.8454
203.3705,174.3616
203.8526,175.3988
204.3347,176.27
204.8168,177.1517
205.299,178.1121
205.7811,179.202
206.2632,180.555
206.7453,182.8337
207.2274,184.3616
207.7095,184.4837
208.1917,184.2358
208.6738,184.4906
209.1559,185.5565
209.638,187.2798
210.1201,189.3848
210.6022,192.3608
211.0844,194.9985
211.5665,196.9603
212.0486,198.6579
212.5307,200.5001
213.0128,202.6286
213.4949,205.0431
213.9771,207.7871
214.4592,210.7506
214.9413,214.1775
