Raman Shift,Intensity
209.0,3.83
210.0,8.728
211.0,8.355
212.0,8.378
213.0,7.379
214.0,5.869
215.0,5.436
216.0,7.679
217.0,10.071
218.0,10.748
219.0,11.288
220.0,11.925
221.0,12.652
222.0,13.904
223.0,18.162
224.0,22.48
225.0,28.446
226.0,34.969
227.0,42.506
228.0,51.681
229.0,60.982
230.0,75.729
231.0,90.504
232.0,105.851
233.0,121.522
234.0,135.47
235.0,144.866
236.0,154.364
237.0,155.445
238.0,155.669
239.0,152.684
240.0,146.987
241.0,142.337
242.0,142.558
243.0,142.779
244.0,154.014
245.0,167.783
246.0,189.005
247.0,219.298
248.0,251.257
249.0,299.955
250.0,348.548
251.0,403.956
252.0,462.016
253.0,514.252
254.0,556.621
255.0,598.397
256.0,595.791
257.0,593.176
258.0,563.496
259.0,519.681
260.0,472.644
261.0,418.172
262.0,363.692
263.0,320.869
264.0,279.602
265.0,248.556
266.0,223.57
267.0,200.994
268.0,189.324
269.0,177.653
270.0,177.764
271.0,179.288
272.0,188.689
273.0,204.695
274.0,221.037
275.0,238.756
276.0,256.476
277.0,251.401
278.0,242.272
279.0,219.174
280.0,182.329
281.0,146.227
282.0,114.047
283.0,81.868
284.0,60.48
285.0,41.526
286.0,26.819
287.0,16.824
288.0,7.575
289.0,3.138
290.0,1.298
291.0,3.361
292.0,4.041
293.0,3.003
294.0,0.626
295.0,2.019
296.0,5.927
297.0,8.505
298.0,11.146
299.0,13.882
300.0,16.428
301.0,18.742
302.0,20.761
303.0,20.505
304.0,20.247
305.0,19.319
306.0,18.206
307.0,16.706
308.0,14.735
309.0,13.55
310.0,17.233
311.0,20.848
312.0,23.782
313.0,26.54
314.0,27.254
315.0,25.642
316.0,23.515
317.0,18.097
318.0,12.696
319.0,7.309
320.0,1.934
321.0,1.955
322.0,4.299
323.0,6.205
324.0,5.954
325.0,5.698
326.0,2.52
327.0,1.192
328.0,6.726
329.0,13.9
330.0,21.614
331.0,31.388
332.0,41.165
333.0,49.798
334.0,58.29
335.0,65.061
336.0,70.542
337.0,75.137
338.0,77.167
339.0,79.199
340.0,81.234
341.0,83.271
342.0,86.398
343.0,90.169
344.0,96.274
345.0,107.409
346.0,118.623
347.0,141.015
348.0,163.408
349.0,193.968
350.0,228.081
351.0,261.862
352.0,295.124
353.0,326.396
354.0,335.389
355.0,344.383
356.0,328.804
357.0,306.13
358.0,277.718
359.0,242.864
360.0,209.031
361.0,180.257
362.0,151.482
363.0,129.076
364.0,107.665
365.0,90.663
366.0,77.068
367.0,64.966
368.0,57.022
369.0,49.078
370.0,42.388
371.0,35.743
372.0,28.802
373.0,21.708
374.0,15.258
375.0,9.902
376.0,4.546
377.0,0.812
378.0,6.171
379.0,9.488
380.0,12.238
381.0,14.349
382.0,15.797
383.0,16.471
384.0,13.999
385.0,11.531
386.0,7.083
387.0,2.436
388.0,3.294
389.0,9.693
390.0,17.251
391.0,27.158
392.0,37.182
393.0,49.716
394.0,62.25
395.0,74.127
396.0,85.794
397.0,96.017
398.0,104.606
399.0,111.042
400.0,108.562
401.0,106.091
402.0,94.527
403.0,82.072
404.0,68.503
405.0,54.276
406.0,40.814
407.0,28.783
408.0,17.118
409.0,10.35
410.0,3.585
411.0,0.646
412.0,1.286
413.0,0.723
414.0,2.181
415.0,6.147
416.0,13.453
417.0,20.761
418.0,34.454
419.0,48.368
420.0,68.099
421.0,90.397
422.0,118.48
423.0,154.453
424.0,192.59
425.0,242.689
426.0,292.793
427.0,339.022
428.0,384.748
429.0,411.561
430.0,426.557
431.0,430.197
432.0,412.883
433.0,394.364
434.0,362.695
435.0,331.23
436.0,305.912
437.0,281.95
438.0,265.113
439.0,253.964
440.0,248.408
441.0,256.279
442.0,264.768
443.0,290.784
444.0,316.801
445.0,361.69
446.0,412.091
447.0,469.806
448.0,534.383
449.0,598.289
450.0,660.266
451.0,722.212
452.0,768.274
453.0,814.338
454.0,833.524
455.0,843.655
456.0,831.206
457.0,795.628
458.0,753.513
459.0,690.807
460.0,628.103
461.0,568.453
462.0,508.835
463.0,460.714
464.0,416.635
465.0,380.411
466.0,352.329
467.0,327.597
468.0,313.295
469.0,298.996
470.0,294.019
471.0,289.073
472.0,285.798
473.0,283.078
474.0,280.133
475.0,276.969
476.0,273.335
477.0,268.388
478.0,263.492
479.0,260.776
480.0,258.062
481.0,258.142
482.0,259.003
483.0,259.381
484.0,259.351
485.0,257.685
486.0,252.269
487.0,246.34
488.0,236.06
489.0,225.64
490.0,212.143
491.0,197.997
492.0,182.155
493.0,165.213
494.0,150.018
495.0,137.678
496.0,125.864
497.0,116.001
498.0,106.139
499.0,98.687
500.0,91.511
501.0,87.331
502.0,84.642
503.0,83.333
504.0,83.788
505.0,84.911
506.0,88.513
507.0,92.118
508.0,97.057
509.0,102.018
510.0,107.666
511.0,113.531
512.0,120.605
513.0,128.729
514.0,136.857
515.0,144.989
516.0,153.125
517.0,161.269
518.0,169.415
519.0,174.425
520.0,178.872
521.0,178.668
522.0,176.01
523.0,172.771
524.0,168.768
525.0,165.774
526.0,166.41
527.0,167.131
528.0,173.768
529.0,180.471
530.0,181.569
531.0,181.151
532.0,172.011
