Raman Shift,Intensity
29.099,1153.0
30.504,1117.0
31.909,1106.0
33.313,1034.0
34.717,1068.0
36.121,1048.0
37.525,1030.0
38.929,1015.0
40.332,991.0
41.735,968.0
43.138,952.0
44.541,938.0
45.943,936.0
47.345,927.0
48.747,908.0
50.149,881.0
51.551,867.0
52.952,824.0
54.353,801.0
55.754,791.0
57.155,798.0
58.555,776.0
59.955,786.0
61.355,765.0
62.755,740.0
64.154,749.0
65.553,740.0
66.952,699.0
68.351,720.0
69.75,717.0
71.148,711.0
72.546,700.0
73.944,695.0
75.342,679.0
76.739,678.0
78.136,686.0
79.533,697.0
80.93,668.0
82.327,684.0
83.723,690.0
85.119,667.0
86.515,663.0
87.91,651.0
89.306,661.0
90.701,698.0
92.096,665.0
93.49,682.0
94.885,655.0
96.279,665.0
97.673,654.0
99.067,631.0
100.461,639.0
101.854,642.0
103.247,617.0
104.64,618.0
106.032,599.0
107.425,599.0
108.817,576.0
110.209,576.0
111.601,576.0
112.992,580.0
114.384,585.0
115.775,565.0
117.166,567.0
118.556,532.0
119.947,557.0
121.337,543.0
122.727,548.0
124.116,560.0
125.506,519.0
126.895,539.0
128.284,526.0
129.673,543.0
131.062,526.0
132.45,516.0
133.838,519.0
135.226,513.0
136.614,515.0
138.001,499.0
139.388,508.0
140.775,498.0
142.162,488.0
143.549,499.0
144.935,495.0
146.321,490.0
147.707,519.0
149.093,552.0
150.478,658.0
151.863,891.0
153.248,1179.0
154.633,1084.0
156.018,800.0
157.402,621.0
158.786,535.0
160.17,501.0
161.554,476.0
162.937,476.0
164.32,466.0
165.703,449.0
167.086,450.0
168.469,436.0
169.851,458.0
171.233,442.0
172.615,435.0
173.996,436.0
175.378,437.0
176.759,444.0
178.14,431.0
179.521,440.0
180.901,420.0
182.281,434.0
183.662,428.0
185.041,417.0
186.421,439.0
187.8,420.0
189.18,423.0
190.558,430.0
191.937,443.0
193.316,429.0
194.694,435.0
196.072,444.0
197.45,431.0
198.827,427.0
200.205,425.0
201.582,441.0
202.959,420.0
204.336,429.0
205.712,438.0
207.088,419.0
208.465,422.0
209.84,420.0
211.216,431.0
212.591,427.0
213.967,435.0
215.341,423.0
216.716,414.0
218.091,443.0
219.465,441.0
220.839,454.0
222.213,461.0
223.586,462.0
224.96,493.0
226.333,478.0
227.706,534.0
229.079,576.0
230.451,666.0
231.823,829.0
233.195,1179.0
234.567,1800.0
235.939,3086.0
237.31,5425.0
238.682,6742.0
240.052,5902.0
241.423,3533.0
242.794,2114.0
244.164,1383.0
245.534,979.0
246.904,781.0
248.274,647.0
249.643,629.0
251.012,570.0
252.381,558.0
253.75,565.0
255.118,547.0
256.487,590.0
257.855,612.0
259.223,717.0
260.59,902.0
261.958,1382.0
263.325,2295.0
264.692,4421.0
266.059,7484.0
267.425,7314.0
268.791,4546.0
270.158,2483.0
271.523,1519.0
272.889,1131.0
274.255,910.0
275.62,866.0
276.985,902.0
278.35,1136.0
279.714,1528.0
281.078,2350.0
282.443,3964.0
283.806,5700.0
285.17,6698.0
286.534,5175.0
287.897,3299.0
289.26,2114.0
290.623,1386.0
291.985,1024.0
293.348,802.0
294.71,679.0
296.072,617.0
297.433,572.0
298.795,530.0
300.156,495.0
301.517,500.0
302.878,476.0
304.239,446.0
305.599,449.0
306.959,446.0
308.319,435.0
309.679,432.0
311.038,424.0
312.398,425.0
313.757,437.0
315.116,417.0
316.474,424.0
317.833,433.0
319.191,410.0
320.549,415.0
321.907,407.0
323.264,422.0
324.622,420.0
325.979,422.0
327.336,466.0
328.692,495.0
330.049,588.0
331.405,642.0
332.761,598.0
334.117,525.0
335.473,477.0
336.828,448.0
338.183,417.0
339.538,414.0
340.893,395.0
342.247,384.0
343.602,386.0
344.956,392.0
346.31,382.0
347.663,373.0
349.017,363.0
350.37,372.0
351.723,375.0
353.076,369.0
354.428,367.0
355.78,370.0
357.133,366.0
358.484,352.0
359.836,370.0
361.188,384.0
362.539,361.0
363.89,372.0
365.241,363.0
366.591,372.0
367.942,367.0
369.292,366.0
370.642,367.0
371.992,359.0
373.341,366.0
374.691,356.0
376.04,362.0
377.388,361.0
378.737,352.0
380.086,368.0
381.434,355.0
382.782,348.0
384.13,363.0
385.477,356.0
386.825,345.0
388.172,371.0
389.519,368.0
390.865,369.0
392.212,386.0
393.558,395.0
394.904,430.0
396.25,466.0
397.596,550.0
398.941,681.0
400.286,832.0
401.631,1035.0
402.976,1071.0
404.321,874.0
405.665,751.0
407.009,586.0
408.353,504.0
409.697,451.0
411.04,430.0
412.384,412.0
413.727,391.0
415.07,387.0
416.412,374.0
417.755,378.0
419.097,376.0
420.439,368.0
421.781,377.0
423.122,358.0
424.464,352.0
425.805,348.0
427.146,362.0
428.486,342.0
429.827,340.0
431.167,335.0
432.507,348.0
433.847,342.0
435.187,348.0
436.526,335.0
437.865,347.0
439.204,346.0
440.543,335.0
441.882,336.0
443.22,345.0
444.558,339.0
445.896,343.0
447.234,353.0
448.572,353.0
449.909,374.0
451.246,410.0
452.583,473.0
453.919,551.0
455.256,614.0
456.592,613.0
457.928,575.0
459.264,510.0
460.6,457.0
461.935,421.0
463.27,396.0
464.605,383.0
465.94,353.0
467.274,350.0
468.609,359.0
469.943,343.0
471.277,350.0
472.61,346.0
473.944,352.0
475.277,348.0
476.61,351.0
477.943,361.0
479.275,353.0
480.608,364.0
481.94,367.0
483.272,389.0
484.604,400.0
485.935,438.0
487.267,519.0
488.598,574.0
489.929,598.0
491.26,532.0
492.59,450.0
493.92,434.0
495.25,390.0
496.58,374.0
497.91,359.0
499.239,362.0
500.569,348.0
501.898,353.0
503.226,353.0
504.555,344.0
505.883,351.0
507.212,365.0
508.54,351.0
509.867,353.0
511.195,348.0
512.522,358.0
513.849,367.0
515.176,404.0
516.503,419.0
517.829,440.0
519.156,470.0
520.482,471.0
521.808,439.0
523.133,417.0
524.459,384.0
525.784,382.0
527.109,363.0
528.434,368.0
529.758,368.0
531.083,375.0
532.407,367.0
533.731,380.0
535.055,360.0
536.378,378.0
537.701,366.0
539.025,375.0
540.348,375.0
541.67,379.0
542.993,389.0
544.315,391.0
545.637,409.0
546.959,422.0
548.281,432.0
549.602,472.0
550.923,502.0
552.244,560.0
553.565,620.0
554.886,764.0
556.206,891.0
557.526,1057.0
558.846,1225.0
560.166,1170.0
561.486,1106.0
562.805,951.0
564.124,798.0
565.443,671.0
566.762,562.0
568.08,527.0
569.399,473.0
570.717,434.0
572.035,423.0
573.352,415.0
574.67,409.0
575.987,390.0
577.304,379.0
578.621,379.0
579.938,364.0
581.254,357.0
582.57,351.0
583.886,362.0
585.202,356.0
586.518,352.0
587.833,358.0
589.148,350.0
590.463,343.0
591.778,346.0
593.093,332.0
594.407,348.0
595.721,344.0
597.035,358.0
598.349,348.0
599.662,344.0
600.976,355.0
602.289,343.0
603.602,345.0
604.914,352.0
606.227,358.0
607.539,351.0
608.851,343.0
610.163,384.0
611.475,368.0
612.786,375.0
614.097,370.0
615.408,340.0
616.719,359.0
618.03,352.0
619.34,343.0
620.651,343.0
621.961,332.0
623.27,341.0
624.58,340.0
625.889,330.0
627.199,349.0
628.507,345.0
629.816,350.0
631.125,335.0
632.433,364.0
633.741,359.0
635.049,358.0
636.357,394.0
637.664,384.0
638.972,436.0
640.279,483.0
641.586,514.0
642.893,533.0
644.199,513.0
645.505,507.0
646.811,470.0
648.117,435.0
649.423,421.0
650.728,386.0
652.034,377.0
653.339,382.0
654.644,361.0
655.948,361.0
657.253,362.0
658.557,351.0
659.861,348.0
661.165,354.0
662.468,346.0
663.772,353.0
665.075,338.0
666.378,341.0
667.681,340.0
668.983,343.0
670.286,345.0
671.588,344.0
672.89,339.0
674.192,346.0
675.493,343.0
676.795,341.0
678.096,335.0
679.397,352.0
680.697,342.0
681.998,348.0
683.298,343.0
684.598,332.0
685.898,340.0
687.198,336.0
688.498,348.0
689.797,347.0
691.096,340.0
692.395,334.0
693.694,354.0
694.992,336.0
696.29,332.0
697.589,344.0
698.886,339.0
700.184,329.0
701.482,335.0
702.779,329.0
704.076,332.0
705.373,346.0
706.669,343.0
707.966,336.0
709.262,335.0
710.558,340.0
711.854,332.0
713.15,334.0
714.445,330.0
715.74,334.0
717.035,332.0
718.33,332.0
719.625,339.0
720.919,333.0
722.214,340.0
723.508,330.0
724.801,331.0
726.095,329.0
727.388,337.0
728.682,344.0
729.975,343.0
731.267,340.0
732.56,334.0
733.852,343.0
735.145,342.0
736.437,331.0
737.728,339.0
739.02,340.0
740.311,342.0
741.603,338.0
742.894,347.0
744.184,341.0
745.475,338.0
746.765,343.0
748.055,344.0
749.345,334.0
750.635,340.0
751.925,337.0
753.214,338.0
754.503,340.0
755.792,332.0
757.081,342.0
758.37,328.0
759.658,334.0
760.946,337.0
762.234,339.0
763.522,330.0
764.809,350.0
766.097,345.0
767.384,342.0
768.671,347.0
769.958,343.0
771.244,353.0
772.53,348.0
773.817,343.0
775.102,346.0
776.388,342.0
777.674,340.0
778.959,337.0
780.244,354.0
781.529,342.0
782.814,340.0
784.098,339.0
785.383,349.0
786.667,340.0
787.951,342.0
789.235,339.0
790.518,346.0
791.801,348.0
793.084,337.0
794.367,330.0
795.65,341.0
796.933,351.0
798.215,343.0
799.497,349.0
800.779,341.0
802.061,347.0
803.342,349.0
804.624,348.0
805.905,349.0
807.186,340.0
808.466,348.0
809.747,346.0
811.027,340.0
812.307,353.0
813.587,343.0
814.867,335.0
816.146,345.0
817.426,348.0
818.705,342.0
819.984,345.0
821.263,350.0
822.541,346.0
823.819,340.0
825.098,354.0
826.375,361.0
827.653,351.0
828.931,356.0
830.208,358.0
831.485,356.0
832.762,352.0
834.039,358.0
835.315,363.0
836.592,369.0
837.868,372.0
