Raman Shift,Intensity
209.0,8.178
210.0,4.151
211.0,3.246
212.0,3.378
213.0,3.04
214.0,2.624
215.0,2.111
216.0,0.901
217.0,0.281
218.0,0.329
219.0,0.208
220.0,0.115
221.0,0.642
222.0,1.106
223.0,0.476
224.0,0.158
225.0,0.177
226.0,0.842
227.0,1.22
228.0,1.072
229.0,0.982
230.0,4.643
231.0,8.304
232.0,15.233
233.0,23.724
234.0,38.035
235.0,67.751
236.0,97.604
237.0,190.423
238.0,289.617
239.0,398.946
240.0,517.383
241.0,601.862
242.0,527.216
243.0,452.234
244.0,333.544
245.0,204.64
246.0,114.854
247.0,72.691
248.0,33.486
249.0,24.335
250.0,15.18
251.0,10.039
252.0,6.374
253.0,3.33
254.0,1.344
255.0,0.634
256.0,1.406
257.0,2.245
258.0,1.772
259.0,0.629
260.0,2.55
261.0,10.488
262.0,18.442
263.0,50.192
264.0,83.27
265.0,177.352
266.0,312.971
267.0,451.859
268.0,600.857
269.0,749.897
270.0,653.041
271.0,526.141
272.0,383.47
273.0,227.539
274.0,94.72
275.0,55.727
276.0,17.108
277.0,8.233
278.0,4.726
279.0,7.979
280.0,17.878
281.0,32.271
282.0,70.084
283.0,107.977
284.0,186.726
285.0,274.746
286.0,339.592
287.0,378.801
288.0,402.706
289.0,326.349
290.0,249.983
291.0,178.852
292.0,109.139
293.0,60.95
294.0,38.329
295.0,17.471
296.0,11.553
297.0,5.625
298.0,3.059
299.0,1.407
300.0,0.301
301.0,0.111
302.0,0.519
303.0,0.935
304.0,1.396
305.0,0.918
306.0,0.215
307.0,0.062
308.0,0.174
309.0,0.324
310.0,0.575
311.0,1.415
312.0,1.866
313.0,2.18
314.0,2.645
315.0,3.292
316.0,3.833
317.0,3.947
318.0,3.938
319.0,4.06
320.0,3.926
321.0,3.639
322.0,3.307
323.0,3.037
324.0,2.864
325.0,2.485
326.0,3.113
327.0,4.01
328.0,5.824
329.0,8.439
330.0,12.133
331.0,19.966
332.0,27.796
333.0,30.234
334.0,31.986
335.0,29.551
336.0,23.993
337.0,18.444
338.0,12.896
339.0,7.343
340.0,5.062
341.0,3.006
342.0,1.785
343.0,1.065
344.0,0.469
345.0,0.17
346.0,0.077
347.0,0.255
348.0,0.404
349.0,0.545
350.0,0.69
351.0,0.669
352.0,0.386
353.0,0.14
354.0,0.293
355.0,0.452
356.0,0.278
357.0,0.011
358.0,0.052
359.0,0.114
360.0,0.205
361.0,0.067
362.0,0.359
363.0,0.097
364.0,0.669
365.0,0.992
366.0,1.124
367.0,1.366
368.0,1.925
369.0,2.477
370.0,4.803
371.0,7.2
372.0,9.568
373.0,11.902
374.0,13.711
375.0,14.664
376.0,15.348
377.0,12.762
378.0,10.022
379.0,7.462
380.0,4.908
381.0,3.205
382.0,2.387
383.0,1.566
384.0,0.74
385.0,0.09
386.0,0.137
387.0,0.114
388.0,0.099
389.0,0.091
390.0,0.057
391.0,0.497
392.0,0.917
393.0,0.92
394.0,0.93
395.0,1.935
396.0,3.259
397.0,4.998
398.0,7.2
399.0,9.988
400.0,15.262
401.0,20.448
402.0,27.222
403.0,34.187
404.0,37.88
405.0,39.634
406.0,38.539
407.0,32.013
408.0,25.522
409.0,19.439
410.0,13.36
411.0,10.067
