Raman Shift,Intensity
246.025,7404.0
247.394,7338.0
248.763,7262.0
250.132,7274.0
251.501,7130.0
252.869,7233.0
254.237,7216.0
255.605,7093.0
256.973,7203.0
258.34,7053.0
259.708,7095.0
261.075,7075.0
262.442,7046.0
263.808,7034.0
265.175,7019.494
266.541,7003.0
267.907,6993.0
269.273,6993.0
270.639,6964.0
272.004,6947.0
273.369,6921.0
274.734,6941.0
276.099,6956.0
277.463,6945.0
278.828,6917.0
280.192,6855.0
281.556,6842.0
282.919,6850.0
284.283,6869.0
285.646,6775.0
287.009,6784.0
288.372,6683.0
289.734,6704.0
291.097,6677.0
292.459,6578.0
293.821,6616.0
295.183,6564.0
296.544,6492.0
297.905,6528.0
299.266,6382.0
300.627,6425.0
301.988,6413.0
303.348,6354.0
304.709,6277.0
306.069,6305.0
307.428,6340.0
308.788,6330.0
310.147,6260.0
311.507,6336.0
312.865,6259.0
314.224,6258.464
315.583,6171.0
316.941,6223.0
318.299,6191.0
319.657,6174.0
321.015,6111.0
322.372,6209.0
323.729,6218.0
325.086,6198.0
326.443,6215.0
327.8,6148.0
329.156,6131.0
330.512,6105.0
331.868,6150.0
333.224,6131.0
334.579,6139.0
335.935,6164.0
337.29,6115.0
338.645,6125.0
339.999,6138.0
341.354,6103.0
342.708,6111.0
344.062,6112.0
345.416,6154.0
346.769,6147.0
348.123,6181.0
349.476,6115.0
350.829,6134.0
352.182,6151.0
353.534,6159.0
354.887,6162.0
356.239,6114.0
357.591,6123.0
358.942,6034.0
360.294,6062.0
361.645,6078.0
362.996,6100.0
364.347,6013.0
365.698,6044.0
367.048,6024.0
368.398,6034.0
369.748,6045.0
371.098,6051.0
372.448,6010.0
373.797,5993.0
375.146,5982.0
376.495,5908.0
377.844,5962.0
379.192,5975.0
380.54,5921.0
381.889,5961.0
383.236,5928.0
384.584,5914.0
385.932,5934.0
387.279,5884.0
388.626,5895.0
389.973,5885.176
391.319,5932.0
392.666,5888.0
394.012,5906.0
395.358,5939.0
396.704,5878.0
398.049,5895.0
399.394,6018.0
400.74,5958.901
402.084,6022.0
403.429,5955.0
404.774,5943.0
406.118,5947.0
407.462,5944.0
408.806,6014.0
410.15,5894.0
411.493,5914.0
412.836,5974.0
414.179,5859.0
415.522,5833.0
416.865,5917.0
418.207,5831.0
419.549,5894.0
420.891,5852.0
422.233,5845.0
423.575,5735.0
424.916,5813.0
426.257,5696.0
427.598,5726.0
428.939,5699.0
430.279,5662.0
431.619,5657.0
432.959,5643.0
434.299,5558.0
435.639,5616.0
436.978,5523.0
438.318,5535.0
439.657,5515.0
440.996,5512.0
442.334,5475.0
443.673,5451.0
445.011,5444.0
446.349,5452.0
447.687,5417.0
449.024,5436.0
450.361,5447.0
451.699,5424.148
453.036,5464.0
454.372,5423.0
455.709,5290.0
457.045,5333.0
458.381,5327.0
459.717,5435.0
461.053,5289.0
462.388,5413.0
463.724,5428.0
465.059,5393.0
466.394,5436.0
467.728,5417.0
469.063,5422.0
470.397,5490.0
471.731,5445.0
473.065,5452.0
474.398,5519.0
475.732,5541.0
477.065,5580.0
478.398,5491.0
479.731,5529.0
481.063,5574.0
482.396,5675.0
483.728,5673.0
485.06,5630.0
486.391,5649.0
487.723,5678.0
489.054,5728.0
490.385,5804.0
491.716,5715.0
493.047,5765.0
494.377,5685.0
495.708,5769.0
497.038,5771.0
498.368,5717.0
499.697,5813.0
501.027,5798.0
502.356,5725.0
503.685,5836.0
505.014,5800.0
506.342,5874.0
507.671,5798.0
508.999,5814.0
510.327,5839.0
511.655,5807.0
512.982,5808.0
514.31,5790.0
515.637,5786.083
516.964,5777.949
518.291,5783.0
519.617,5767.0
520.944,5760.0
522.27,5765.467
523.596,5787.0
524.921,5793.0
526.247,5799.595
527.572,5841.0
528.897,5807.0
530.222,5810.0
531.547,5811.0
532.871,5904.0
534.196,5817.0
535.52,5896.0
536.844,5860.0
538.167,5995.0
539.491,5916.0
540.814,5926.0
542.137,5851.0
543.46,5865.0
544.783,5921.0
546.105,5893.0
547.427,5862.0
548.749,5864.0
550.071,5828.0
551.393,5815.0
552.714,5826.0
554.035,5756.0
555.356,5793.0
556.677,5714.0
557.998,5708.0
559.318,5673.0
560.638,5553.0
561.958,5572.0
563.278,5548.0
564.597,5551.0
565.917,5488.0
567.236,5450.0
568.555,5460.0
569.874,5392.0
571.192,5413.0
572.511,5362.0
573.829,5359.0
575.147,5320.4
576.464,5317.914
577.782,5279.936
579.099,5319.0
580.416,5223.0
581.733,5216.0
583.05,5224.0
584.366,5174.0
585.683,5152.0
586.999,5196.0
588.315,5103.0
589.63,5149.0
590.946,5141.0
592.261,5094.0
593.576,5056.0
594.891,5106.0
596.206,5104.0
597.52,5094.0
598.834,5057.0
600.148,5132.0
601.462,5148.0
602.776,5084.0
604.089,5178.0
605.402,5141.0
606.715,5146.0
608.028,5133.0
609.341,5137.0
610.653,5129.0
611.965,5146.0
613.277,5163.337
614.589,5193.0
615.901,5221.0
617.212,5225.0
618.523,5265.0
619.834,5161.0
621.145,5149.0
622.456,5146.922
623.766,5199.0
625.076,5170.0
626.386,5186.0
627.696,5262.0
629.006,5314.0
630.315,5315.507
631.624,5316.0
632.933,5340.0
634.242,5344.403
635.551,5317.0
636.859,5349.0
638.167,5346.0
639.475,5300.0
640.783,5394.0
642.09,5463.0
643.398,5404.0
644.705,5480.0
646.012,5543.0
647.318,5524.0
648.625,5566.0
649.931,5596.854
651.237,5599.0
652.543,5656.0
653.849,5683.0
655.155,5700.0
656.46,5727.0
657.765,5776.0
659.07,5920.0
660.375,5986.0
661.679,6078.0
662.984,6150.0
664.288,6156.0
665.592,6362.0
666.895,6419.0
668.199,6607.0
669.502,6690.061
670.805,6711.0
672.108,6828.0
673.411,6906.0
674.713,6905.0
676.016,6975.0
677.318,6893.0
678.62,6897.0
679.921,6769.0
681.223,6829.0
682.524,6644.0
683.825,6596.0
685.126,6516.0
686.427,6532.0
687.727,6443.0
689.028,6550.0
690.328,6444.0
691.628,6567.0
692.927,6475.0
694.227,6532.0
695.526,6564.0
696.825,6607.0
698.124,6754.0
699.423,6759.0
700.721,6838.0
702.02,7112.0
703.318,7037.0
704.616,7219.0
705.913,7292.0
707.211,7452.0
708.508,7521.0
709.805,7616.0
711.102,7866.0
712.399,7831.0
713.695,7983.0
714.992,8016.0
716.288,8034.0
717.584,7997.0
718.879,8037.0
720.175,8146.0
721.47,7972.0
722.765,7931.0
724.06,7998.0
725.355,7803.0
726.649,7787.0
727.944,7497.0
729.238,7618.0
730.532,7350.0
731.825,7369.0
733.119,7155.0
734.412,6986.0
735.705,7014.0
736.998,6934.0
738.291,6742.0
739.584,6661.0
740.876,6579.0
