Raman Shift,Intensity
90.74744,104.5305
91.22955,104.1623
91.71167,104.413
92.19379,107.1686
92.6759,112.0416
93.15802,116.006
93.64014,116.4738
94.12225,114.2758
94.60437,111.4776
95.08649,108.0525
95.5686,104.6456
96.05072,103.268
96.53284,104.1804
97.01495,105.234
97.49707,103.9484
97.97919,100.4002
98.4613,97.23733
98.94342,95.11584
99.42554,93.98308
99.90765,93.80639
100.3898,94.80923
100.8719,96.24026
101.354,97.07011
101.8361,97.27909
102.3182,97.09732
102.8004,96.46855
103.2825,95.15524
103.7646,94.47506
104.2467,94.60583
104.7288,95.25567
105.2109,95.68482
105.6931,95.45692
106.1752,95.63389
106.6573,96.65615
107.1394,98.45817
107.6215,101.1479
108.1036,105.6709
108.5858,111.4238
109.0679,115.0225
109.55,115.5737
110.0321,114.7674
110.5142,113.5142
110.9963,110.8115
111.4785,108.7967
111.9606,107.7489
112.4427,107.6385
112.9248,108.0276
113.4069,109.1132
113.889,110.5237
114.3712,111.9754
114.8533,113.3899
115.3354,114.8445
115.8175,116.5391
116.2996,118.565
116.7817,120.0555
117.2639,120.7576
117.746,120.7701
118.2281,120.2145
118.7102,119.1101
119.1923,117.4779
119.6744,115.2177
120.1566,112.2079
120.6387,109.0707
121.1208,105.9963
121.6029,103.0758
122.085,100.5312
122.5671,98.12576
123.0493,96.29539
123.5314,95.63456
124.0135,96.51747
124.4956,97.8755
124.9777,99.34472
125.4598,100.6495
125.942,100.7032
126.4241,97.80368
126.9062,93.2794
127.3883,89.56621
127.8704,87.27764
128.3525,85.8708
128.8347,84.50558
129.3168,83.20174
129.7989,82.38628
130.281,82.81536
130.7631,84.14401
131.2452,84.94665
131.7274,84.71094
132.2095,83.79119
132.6916,83.21369
133.1737,83.04099
133.6558,82.74145
134.1379,81.56704
134.6201,79.53605
135.1022,77.82108
135.5843,76.85867
136.0664,76.54766
136.5485,76.15325
137.0306,75.62736
137.5128,75.12887
137.9949,74.82134
138.477,74.70689
138.9591,74.76456
139.4412,74.89817
139.9233,75.06475
140.4055,76.0491
140.8876,78.40744
141.3697,81.01203
141.8518,81.9384
142.3339,80.68491
142.816,78.88212
143.2982,76.97901
143.7803,74.81266
144.2624,73.13155
144.7445,72.0375
145.2266,71.4024
145.7087,70.99486
146.1909,70.96296
146.673,70.96205
147.1551,70.83279
147.6372,70.2998
148.1193,70.12033
148.6014,70.5994
149.0836,71.47519
149.5657,71.84933
150.0478,71.27611
150.5299,70.55416
151.012,70.02546
151.4941,69.73087
151.9763,69.58343
152.4584,69.6883
152.9405,69.98042
153.4226,70.13482
153.9047,70.01688
154.3868,69.8259
154.869,69.6703
155.3511,69.23168
155.8332,69.18029
156.3153,70.05131
156.7974,71.66055
157.2795,72.52171
157.7617,71.78243
158.2438,70.46312
158.7259,69.30089
159.208,68.51712
159.6901,67.8602
160.1722,67.19038
160.6544,66.52174
161.1365,66.142
161.6186,66.44337
162.1007,66.96028
162.5828,67.26976
163.0649,66.80724
163.5471,66.46092
164.0292,66.83031
164.5113,67.93487
164.9934,68.79386
165.4755,68.79057
165.9576,68.2929
166.4398,67.75896
166.9219,67.19836
167.404,66.76939
167.8861,66.65707
168.3682,66.88612
168.8503,67.09653
169.3325,67.00562
169.8146,66.74887
170.2967,66.54697
170.7788,66.37167
171.2609,66.36288
171.743,66.78026
172.2252,67.69939
172.7073,68.5132
173.1894,68.70884
173.6715,68.43056
174.1536,68.0046
174.6357,67.32791
175.1179,66.69321
175.6,66.55342
176.0821,67.02273
176.5642,67.55827
177.0463,67.58829
177.5284,67.2375
178.0106,66.88971
178.4927,66.61073
178.9748,66.49754
179.4569,66.81743
179.939,67.69357
180.4211,68.6376
180.9033,68.95561
181.3854,68.7834
181.8675,68.75424
182.3496,69.43018
182.8317,70.50694
183.3138,71.24585
183.796,71.49076
184.2781,71.58992
184.7602,72.06201
185.2423,72.87109
185.7244,73.67855
186.2065,74.25639
186.6887,74.66236
187.1708,75.15624
187.6529,75.81164
188.135,76.46374
188.6171,76.71657
189.0992,76.58475
189.5814,76.54204
190.0635,76.98811
190.5456,77.8475
191.0277,78.50951
191.5098,78.8184
191.9919,79.04276
192.4741,79.76855
192.9562,81.0088
193.4383,82.38017
193.9204,83.5435
194.4025,84.52619
194.8846,85.79782
195.3668,87.40902
195.8489,89.34234
196.331,91.57748
196.8131,94.12284
197.2952,96.89177
197.7773,99.99976
198.2595,103.4498
198.7416,106.6736
199.2237,109.6974
199.7058,112.3458
200.1879,114.2035
200.67,115.357
201.1522,115.4023
201.6343,113.8982
202.1164,110.7418
202.5985,107.0034
203.0806,102.6589
203.5627,97.93076
204.0449,93.50194
204.527,89.31449
205.0091,85.61488
205.4912,82.66964
205.9733,80.58561
206.4554,78.60217
206.9376,76.58244
207.4197,74.62242
207.9018,73.02686
208.3839,71.83955
208.866,70.90311
209.3481,70.14338
209.8303,69.57398
210.3124,69.10649
210.7945,68.74485
211.2766,68.4786
211.7587,68.25386
212.2408,68.07599
212.723,67.92866
213.2051,67.82285
213.6872,67.80184
214.1693,67.66221
214.6514,67.35175
215.1335,66.90387
215.6157,66.45505
216.0978,65.90841
216.5799,65.52898
217.062,65.54924
217.5441,66.16692
218.0262,66.60214
218.5084,66.74285
218.9905,66.643
219.4726,66.57938
219.9547,66.59782
220.4368,66.57487
220.9189,66.40059
221.4011,65.95608
221.8832,65.68169
222.3653,65.66434
222.8474,65.84583
223.3295,65.96656
223.8116,66.01624
224.2938,66.01916
224.7759,65.97497
225.258,65.8365
225.7401,65.76729
226.2222,65.79542
226.7043,65.90036
227.1865,66.01305
227.6686,66.1796
228.1507,66.28107
228.6328,66.22731
229.1149,65.91766
229.597,65.68935
230.0792,65.57255
230.5613,65.55247
231.0434,65.59083
231.5255,65.75713
232.0076,65.88183
232.4897,65.85332
232.9719,65.55791
233.454,65.36803
233.9361,65.30608
234.4182,65.3595
234.9003,65.50335
235.3824,65.84692
235.8646,66.12466
236.3467,66.18242
236.8288,65.87045
237.3109,65.66589
237.793,65.57804
238.2751,65.6039
238.7573,65.77324
239.2394,66.27995
239.7215,66.64683
240.2036,66.60905
240.6857,65.84882
241.1678,65.4167
241.65,65.46363
242.1321,65.79697
242.6142,65.90569
243.0963,65.59518
243.5784,65.34737
244.0605,65.41492
244.5427,66.04755
245.0248,66.33933
245.5069,66.14375
245.989,65.66615
246.4711,65.37016
246.9532,65.37177
247.4354,65.35942
247.9175,65.18128
248.3996,64.71461
248.8817,64.4907
249.3638,64.59927
249.8459,64.90092
250.3281,65.1577
250.8102,65.41759
251.2923,65.54847
251.7744,65.45962
252.2565,65.05666
252.7386,64.84615
253.2208,64.89562
253.7029,65.08813
254.185,65.24467
254.6671,65.34833
255.1492,65.44962
255.6313,65.58246
256.1135,65.76854
256.5956,65.8176
257.0777,65.66045
257.5598,65.43007
258.0419,65.30743
258.524,65.32942
259.0062,65.3765
259.4883,65.42359
259.9704,65.47069
260.4525,65.4942
260.9346,65.46749
261.4167,65.45013
261.8989,65.53187
262.381,65.77544
262.8631,65.94442
263.3452,65.93662
263.8273,65.75515
264.3094,65.76404
264.7916,65.99437
265.2737,66.36605
265.7558,66.82744
266.2379,67.40671
266.72,67.98274
267.2021,68.56792
267.6843,69.14466
268.1664,69.54294
268.6485,69.7025
269.1306,69.80637
269.6127,69.9764
270.0948,70.19001
270.577,70.58165
271.0591,71.25083
271.5412,72.10484
272.0233,72.64982
272.5054,72.74018
272.9875,72.89213
273.4697,73.56833
273.9518,74.89039
274.4339,75.94788
274.916,76.54932
275.3981,76.86549
275.8802,77.44841
276.3624,78.34412
276.8445,79.29548
277.3266,80.09834
277.8087,80.73122
278.2908,81.56199
278.7729,82.66206
279.2551,83.92699
279.7372,85.07706
280.2193,86.09321
280.7014,87.14974
281.1835,88.41121
281.6656,89.87247
282.1478,91.1614
282.6299,92.24793
283.112,93.18849
283.5941,94.0922
284.0762,94.96704
284.5583,95.70061
285.0405,96.26602
285.5226,96.6596
286.0047,96.84962
286.4868,96.8363
286.9689,96.61683
287.451,96.16446
287.9332,95.48291
288.4153,94.64473
288.8974,93.61609
289.3795,92.45749
289.8616,91.40737
290.3438,90.46154
290.8259,89.65266
291.308,89.07951
291.7901,88.7094
292.2722,88.30592
292.7543,87.73991
293.2365,87.11947
293.7186,86.72171
294.2007,86.55235
294.6828,86.46638
295.1649,86.31433
295.647,86.13817
296.1292,86.07665
296.6113,86.19167
297.0934,86.41182
297.5755,86.74262
298.0576,87.15552
298.5397,87.33962
299.0219,86.78239
299.504,85.85082
299.9861,85.43344
300.4682,85.92221
300.9503,86.52483
301.4324,86.11528
301.9146,84.91835
302.3967,83.85791
302.8788,83.65039
303.3609,83.89592
303.843,84.0499
304.3251,84.04404
304.8073,83.92088
305.2894,83.68251
305.7715,83.3535
306.2536,82.9874
306.7357,82.54967
307.2178,82.12106
307.7,81.80432
308.1821,81.61476
308.6642,81.45012
309.1463,81.21615
309.6284,80.96036
310.1105,80.75428
310.5927,80.63515
311.0748,80.57406
311.5569,80.5583
312.039,80.58753
312.5211,80.6422
313.0032,80.66434
313.4854,80.72483
313.9675,80.89905
314.4496,81.3298
314.9317,81.77452
315.4138,82.1119
315.8959,82.35805
316.3781,82.61869
316.8602,82.97618
317.3423,83.34322
317.8244,83.64351
318.3065,83.73106
318.7886,83.93485
319.2708,84.40823
319.7529,85.08556
320.235,85.78526
320.7171,86.5076
321.1992,87.18925
321.6813,87.79771
322.1635,88.32384
322.6456,88.78443
323.1277,89.14159
323.6098,89.43985
324.0919,89.75565
324.574,90.18301
325.0562,90.54922
325.5383,90.78127
326.0204,90.83695
326.5025,90.91968
326.9846,91.12492
327.4667,91.33073
327.9489,91.40971
328.431,91.25468
328.9131,91.0944
329.3952,90.9425
329.8773,90.79808
330.3594,90.73235
330.8416,90.76497
331.3237,90.86069
331.8058,90.99421
332.2879,91.15553
332.77,91.36803
333.2521,91.60123
333.7343,91.88235
334.2164,92.3592
334.6985,93.09374
335.1806,93.91622
335.6627,94.70786
336.1448,95.3578
336.627,96.29903
337.1091,97.56799
337.5912,99.10194
338.0733,100.852
338.5554,102.8796
339.0375,104.8663
339.5197,106.606
340.0018,108.0512
340.4839,109.912
340.966,112.2359
341.4481,114.7948
341.9302,117.227
342.4124,119.5359
342.8945,121.9424
343.3766,124.5331
343.8587,127.2769
344.3408,130.1064
344.8229,132.9823
345.3051,136.1237
345.7872,139.7957
346.2693,143.9281
346.7514,148.1697
347.2335,152.3193
347.7156,156.6534
348.1978,161.6073
348.6799,167.17
349.162,173.1945
349.6441,179.8019
350.1262,186.7881
350.6083,193.6497
351.0905,200.3864
351.5726,207.0319
352.0547,213.8282
352.5368,220.6277
353.0189,226.9813
353.501,233.3487
353.9832,238.8228
354.4653,242.4179
354.9474,244.1261
355.4295,243.855
355.9116,241.1051
356.3937,236.4063
356.8759,230.6141
357.358,223.9108
357.8401,216.2809
358.3222,207.2834
358.8043,197.0749
359.2864,187.0815
359.7686,177.8594
360.2507,169.2279
360.7328,161.1298
361.2149,153.4361
361.697,146.337
362.1791,139.9841
362.6613,134.2829
363.1434,129.0169
363.6255,123.9816
364.1076,119.4739
364.5897,115.7068
365.0718,112.9866
365.554,110.2863
366.0361,107.2533
366.5182,104.2093
367.0003,101.5404
367.4824,99.49112
367.9645,97.61575
368.4467,95.80898
368.9288,94.09584
369.4109,92.55566
369.893,91.22258
370.3751,90.03871
370.8572,88.97701
371.3394,88.18875
371.8215,87.27926
372.3036,86.12004
372.7857,84.82191
373.2678,83.77204
373.7499,83.02762
374.2321,82.41138
374.7142,81.88872
375.1963,81.51641
375.6784,80.9459
376.1605,80.08443
376.6426,79.14509
377.1248,78.4987
377.6069,78.17457
378.089,77.91722
378.5711,77.64523
379.0532,77.36813
379.5353,77.19315
380.0175,77.1366
380.4996,77.09341
380.9817,76.94151
381.4638,76.69845
381.9459,76.50713
382.428,76.4097
382.9102,76.36361
383.3923,76.33853
383.8744,76.32189
384.3565,76.19201
384.8386,75.75578
385.3207,75.16829
385.8029,74.78616
386.285,74.66739
386.7671,74.60951
387.2492,74.42345
387.7313,74.13824
388.2134,73.82292
388.6956,73.52544
389.1777,73.20698
389.6598,72.82251
390.1419,72.3759
390.624,71.90995
391.1061,71.44824
391.5883,70.97858
392.0704,70.47984
392.5525,69.88225
393.0346,69.34608
393.5167,69.0483
393.9988,68.87708
394.481,68.51504
394.9631,67.63243
395.4452,66.70199
395.9273,65.95419
396.4094,65.44014
396.8915,65.02921
397.3737,64.74386
397.8558,64.53275
398.3379,64.33269
398.82,64.05199
399.3021,63.8717
399.7842,63.83897
400.2664,63.95262
400.7485,64.11503
401.2306,64.40138
401.7127,64.65963
402.1948,64.76647
402.6769,64.55605
403.1591,64.55933
403.6412,64.85741
404.1233,65.36256
404.6054,65.89633
405.0875,66.49325
405.5696,67.00043
406.0518,67.31165
406.5339,67.41869
407.016,67.66225
407.4981,68.06883
407.9802,68.53336
408.4623,68.89462
408.9445,69.15971
409.4266,69.5663
409.9087,70.2001
410.3908,70.99421
410.8729,71.80195
411.355,72.62759
411.8372,73.46536
412.3193,74.32866
412.8014,75.20812
413.2835,76.07565
413.7656,76.92117
414.2477,77.8028
414.7299,78.8018
415.212,79.88381
415.6941,80.93886
416.1762,81.86707
416.6583,82.7882
417.1404,83.84323
417.6226,85.03493
418.1047,86.1737
418.5868,86.99972
419.0689,87.79733
419.551,88.86761
420.0331,90.5054
420.5153,92.12701
420.9974,93.4612
421.4795,94.60018
421.9616,95.72205
422.4437,96.76414
422.9258,97.90898
423.408,99.3129
423.8901,101.1648
424.3722,102.6753
424.8543,103.5919
425.3364,104.2353
425.8185,104.9164
426.3007,105.8009
426.7828,106.4903
427.2649,106.8693
427.747,106.9862
428.2291,107.1979
428.7112,107.6413
429.1934,107.9348
429.6755,107.8227
430.1576,107.2097
430.6397,106.663
431.1218,106.1983
431.6039,105.8027
432.0861,105.4331
432.5682,105.0844
433.0503,104.8539
433.5324,104.7576
434.0145,104.8066
434.4966,105.0382
434.9788,105.4533
435.4609,106.0458
