Raman Shift,Intensity
107.3,14353.0
108.691,14366.0
110.082,14616.0
111.473,14692.0
112.864,14809.0
114.254,15084.0
115.644,15356.0
117.034,15539.0
118.424,15237.0
119.813,14766.0
121.203,14894.0
122.592,14796.0
123.981,14906.0
125.369,14990.0
126.758,14845.0
128.146,14954.0
129.534,14828.0
130.922,15116.0
132.309,14942.0
133.696,15061.0
135.083,15005.0
136.47,15305.0
137.857,15183.0
139.243,15334.0
140.63,15148.0
142.016,15273.0
143.401,15233.0
144.787,15277.0
146.172,15396.0
147.557,15473.0
148.942,15364.0
150.327,15412.0
151.711,15484.0
153.096,15522.0
154.48,15728.0
155.863,15590.0
157.247,15592.0
158.63,15804.0
160.013,15621.0
161.396,15976.0
162.779,15904.0
164.161,16000.0
165.544,15917.0
166.926,16185.0
168.308,16136.0
169.689,16342.0
171.07,16264.0
172.452,16686.0
173.833,16723.0
175.213,16776.0
176.594,16918.0
177.974,16935.777
179.354,16964.0
180.734,17043.0
182.114,16937.0
183.493,16986.0
184.872,17149.0
186.251,16985.0
187.63,17155.0
189.008,16931.0
190.387,17106.0
191.765,17311.0
193.143,17451.0
194.52,17877.0
195.898,17844.0
197.275,18040.0
198.652,18012.0
200.029,18176.0
201.405,17920.0
202.782,17750.0
204.158,17736.0
205.534,17874.0
206.909,18041.0
208.285,17827.0
209.66,17928.0
211.035,18368.0
212.41,18248.0
213.784,18554.0
215.159,18454.0
216.533,18329.0
217.907,18245.0
219.281,17907.0
220.654,17779.0
222.027,17525.0
223.4,17731.0
224.773,17613.0
226.146,17452.0
227.518,17354.0
228.891,17408.0
230.263,17358.0
231.634,17377.0
233.006,17408.0
234.377,17457.0
235.748,17582.0
237.119,17543.0
238.49,17473.0
239.86,17822.0
241.231,17678.0
242.601,17854.0
243.97,17984.0
245.34,18223.0
246.709,18408.0
248.079,18482.0
249.448,18778.0
250.816,18996.0
252.185,19462.0
253.553,20030.0
254.921,20948.0
256.289,21907.0
257.657,22921.0
259.024,24203.0
260.391,25262.0
261.758,26350.0
263.125,26516.0
264.492,26334.0
265.858,25441.0
267.224,24362.0
268.59,23637.0
269.956,22730.83
271.321,21753.0
272.687,21236.0
274.052,20547.0
275.416,20101.0
276.781,20112.0
278.146,19717.0
279.51,19392.0
280.874,19554.0
282.237,19356.0
283.601,19377.0
284.964,19178.0
286.327,19108.0
287.69,19133.91
289.053,19136.0
290.416,19145.0
291.778,19339.0
293.14,19259.0
294.502,19420.0
295.863,19174.0
297.225,19257.0
298.586,19198.0
299.947,19240.0
301.308,19434.0
302.668,19212.0
304.029,19152.0
305.389,19496.0
306.749,19404.0
308.108,19478.0
309.468,19665.0
310.827,19439.0
312.186,19510.0
313.545,19393.0
314.903,19536.0
316.262,19587.0
317.62,19509.0
318.978,19638.0
320.336,19670.0
321.693,19758.0
323.051,19674.0
324.408,19946.0
325.765,19582.0
327.121,20056.0
328.478,19891.0
329.834,19801.0
331.19,19900.0
332.546,20065.0
333.902,19827.0
335.257,20127.0
336.612,19983.0
337.967,20056.0
339.322,20087.0
340.677,20203.0
342.031,20201.0
343.385,20165.0
344.739,20353.0
346.093,20222.0
347.446,20162.0
348.799,20358.0
350.153,20552.0
351.505,20536.0
352.858,20632.0
354.21,20537.0
355.563,20646.0
356.915,20594.0
358.267,20900.0
359.618,20946.0
360.969,20814.0
362.321,21129.0
363.672,20993.0
365.022,21222.0
366.373,21317.0
367.723,21371.0
369.073,21472.0
370.423,21516.0
371.773,21771.0
373.122,21666.0
374.471,21985.0
375.821,22263.0
377.169,22060.0
378.518,22528.0
379.866,22241.0
381.215,22298.0
382.563,22592.0
383.91,22501.0
385.258,22440.0
386.605,22771.0
387.952,22939.0
389.299,22681.0
390.646,22908.0
391.992,22968.0
393.339,23076.0
394.685,23210.0
396.031,23251.0
397.376,23765.0
398.722,23629.0
400.067,24156.0
401.412,23876.0
402.757,23936.0
404.101,24156.0
405.446,24057.0
406.79,23832.0
408.134,23967.0
409.478,23736.0
410.821,24013.0
412.165,23705.0
413.508,23382.0
414.851,23705.0
416.193,23436.0
417.536,23147.0
418.878,23172.0
420.22,23224.0
421.562,22936.0
422.904,22716.0
424.245,22917.0
425.586,23002.0
426.927,22846.0
428.268,23112.0
429.609,22828.0
430.949,22504.0
432.289,22773.0
433.629,23025.0
434.969,22864.0
436.309,22814.0
437.648,22755.0
438.987,22912.0
440.326,22882.0
441.665,22701.0
443.003,22595.0
444.342,22971.0
445.68,22608.0
447.018,22984.0
448.355,22918.0
449.693,22758.0
451.03,22859.0
452.367,22812.0
453.704,22948.0
455.041,22810.0
456.377,22921.0
457.713,22744.0
459.049,23018.0
460.385,22916.0
461.721,23008.0
463.056,23188.0
464.391,23014.0
465.726,23044.0
467.061,23384.0
468.395,23243.0
469.73,22954.0
471.064,23395.0
472.398,23089.0
473.731,23571.0
475.065,23116.0
476.398,23424.0
477.731,23259.0
