Raman Shift,Intensity
209.0,7.435
210.0,14.9
211.0,19.055
212.0,23.219
213.0,23.777
214.0,22.231
215.0,21.57
216.0,23.917
217.0,26.46
218.0,25.063
219.0,23.476
220.0,21.639
221.0,18.868
222.0,16.342
223.0,16.33
224.0,15.854
225.0,13.252
226.0,9.749
227.0,7.014
228.0,5.705
229.0,4.267
230.0,3.102
231.0,1.799
232.0,0.898
233.0,0.145
234.0,0.535
235.0,0.779
236.0,1.202
237.0,1.017
238.0,0.89
239.0,0.861
240.0,0.906
241.0,0.722
242.0,0.711
243.0,2.006
244.0,3.559
245.0,5.069
246.0,8.182
247.0,13.197
248.0,18.233
249.0,24.696
250.0,31.05
251.0,41.56
252.0,53.639
253.0,68.649
254.0,88.295
255.0,108.262
256.0,133.846
257.0,159.619
258.0,183.112
259.0,205.443
260.0,222.922
261.0,228.997
262.0,235.232
263.0,223.504
264.0,210.944
265.0,192.728
266.0,170.723
267.0,149.093
268.0,128.263
269.0,107.587
270.0,89.761
271.0,72.611
272.0,58.588
273.0,47.275
274.0,36.774
275.0,29.689
276.0,22.63
277.0,17.073
278.0,11.71
279.0,7.281
280.0,3.869
281.0,1.117
282.0,1.355
283.0,1.571
284.0,0.7
285.0,0.441
286.0,1.217
287.0,1.604
288.0,1.951
289.0,1.307
290.0,0.763
291.0,0.311
292.0,0.054
293.0,0.72
294.0,1.765
295.0,2.633
296.0,2.674
297.0,2.634
298.0,3.175
299.0,3.814
300.0,4.367
301.0,4.78
302.0,4.98
303.0,5.628
304.0,5.931
305.0,5.95
306.0,5.905
307.0,5.854
308.0,5.757
309.0,5.732
310.0,5.85
311.0,6.006
312.0,5.693
313.0,5.157
314.0,4.83
315.0,4.767
316.0,4.579
317.0,3.646
318.0,2.722
319.0,3.264
320.0,4.173
321.0,4.271
322.0,3.511
323.0,2.827
324.0,2.506
325.0,2.175
326.0,2.192
327.0,2.286
328.0,1.984
329.0,1.343
330.0,0.761
331.0,0.824
332.0,0.929
333.0,1.278
334.0,1.511
335.0,1.347
336.0,0.954
337.0,0.66
338.0,0.669
339.0,0.62
340.0,0.942
341.0,1.273
342.0,0.827
343.0,0.068
344.0,0.316
345.0,0.84
346.0,1.846
347.0,0.677
348.0,0.519
349.0,0.244
