Raman Shift,Intensity
92.56775,20980.36
93.04987,21651.56
93.53198,22458.09
94.0141,22961.98
94.49622,23180.34
94.97833,23242.66
95.46045,23253.83
95.94257,23213.96
96.42468,23134.96
96.9068,23021.5
97.38892,22903.96
97.87103,22791.85
98.35315,22659.87
98.83527,22493.7
99.31738,22341.49
99.7995,22209.59
100.2816,22101.45
100.7637,22014.22
101.2458,21940.03
101.728,21870.18
102.2101,21799.81
102.6922,21738.86
103.1743,21709.03
103.6564,21708.82
104.1385,21704.77
104.6207,21680.27
105.1028,21640.24
105.5849,21601.81
106.067,21564.76
106.5491,21528.19
107.0313,21491.69
107.5134,21454.29
107.9955,21417.17
108.4776,21381.02
108.9597,21344.8
109.4418,21310.56
109.924,21278.4
110.4061,21247.66
110.8882,21216.62
111.3703,21184.06
111.8524,21153.81
112.3345,21137.16
112.8167,21146.99
113.2988,21154.5
113.7809,21154.26
114.263,21149.32
114.7451,21144.48
115.2272,21143.12
115.7094,21144.56
116.1915,21136.99
116.6736,21116.69
117.1557,21092.28
117.6378,21061.07
118.1199,21026.28
118.6021,20997.61
119.0842,20984.03
119.5663,20987.1
120.0484,20988.98
120.5305,20988.48
121.0126,20987.17
121.4948,20986.5
121.9769,20986.61
122.459,20986.46
122.9411,20985.59
123.4232,20983.82
123.9053,20979.38
124.3875,20969.71
124.8696,20956.73
125.3517,20945.43
125.8338,20935.24
126.3159,20929.0
126.798,20928.89
127.2802,20934.11
127.7623,20940.72
128.2444,20945.89
128.7265,20949.51
129.2086,20952.86
129.6907,20956.92
130.1729,20960.11
130.655,20964.12
131.1371,20968.03
131.6192,20967.11
132.1013,20952.74
132.5834,20911.35
133.0656,20883.6
133.5477,20875.26
134.0298,20875.18
134.5119,20875.79
134.994,20874.36
135.4761,20872.18
135.9583,20872.11
136.4404,20875.06
136.9225,20879.45
137.4046,20886.86
137.8867,20895.42
138.3688,20902.89
138.851,20908.65
139.3331,20911.85
139.8152,20909.26
140.2973,20896.03
140.7794,20885.04
141.2615,20883.24
141.7437,20888.89
142.2258,20894.13
142.7079,20894.24
143.19,20891.49
143.6721,20890.88
144.1542,20892.92
144.6364,20896.72
145.1185,20903.16
145.6006,20913.28
146.0827,20919.43
146.5648,20911.64
147.0469,20899.63
147.5291,20894.08
148.0112,20900.94
148.4933,20914.21
148.9754,20919.58
149.4575,20911.42
149.9396,20905.04
150.4218,20907.25
150.9039,20913.6
151.386,20917.8
151.8681,20915.56
