Raman Shift,Intensity
231.0,2.531
232.0,4.734
233.0,7.368
234.0,10.693
235.0,15.617
236.0,20.572
237.0,24.796
238.0,29.066
239.0,32.894
240.0,36.332
241.0,38.87
242.0,37.23
243.0,35.589
244.0,33.105
245.0,30.555
246.0,27.614
247.0,24.117
248.0,20.307
249.0,16.536
250.0,12.772
251.0,9.631
252.0,6.722
253.0,4.288
254.0,2.652
255.0,1.048
256.0,1.955
257.0,2.861
258.0,2.373
259.0,1.157
260.0,0.075
261.0,0.71
262.0,1.518
263.0,0.759
264.0,0.067
265.0,0.392
266.0,0.378
267.0,0.889
268.0,3.017
269.0,5.155
270.0,6.541
271.0,7.847
272.0,8.701
273.0,9.178
274.0,9.585
275.0,9.661
276.0,9.701
277.0,9.432
278.0,8.831
279.0,8.849
280.0,9.472
281.0,10.674
282.0,14.773
283.0,18.894
284.0,20.252
285.0,21.003
286.0,21.98
287.0,23.203
288.0,23.99
289.0,21.838
290.0,19.706
291.0,17.594
292.0,15.504
293.0,13.068
294.0,10.689
295.0,8.552
296.0,8.284
297.0,7.688
298.0,7.02
299.0,6.36
300.0,5.514
301.0,4.438
302.0,3.415
303.0,2.775
304.0,2.139
305.0,1.838
306.0,1.631
307.0,1.036
308.0,0.032
309.0,0.941
310.0,0.758
311.0,0.613
312.0,0.175
313.0,1.124
314.0,1.863
315.0,2.361
316.0,2.787
317.0,2.83
318.0,2.861
319.0,2.892
320.0,2.916
321.0,3.546
322.0,4.818
323.0,5.75
324.0,5.128
325.0,3.745
326.0,3.443
327.0,3.354
328.0,3.37
329.0,3.256
330.0,3.033
331.0,2.452
332.0,1.867
333.0,1.28
334.0,0.671
335.0,0.542
336.0,0.772
337.0,0.773
338.0,0.153
339.0,0.51
340.0,0.02
341.0,0.632
342.0,0.709
343.0,0.472
344.0,0.369
345.0,0.554
346.0,0.738
347.0,0.492
348.0,0.245
349.0,0.597
350.0,1.19
351.0,1.267
352.0,0.557
353.0,0.014
354.0,0.967
355.0,1.677
356.0,2.312
357.0,2.887
358.0,3.462
359.0,4.027
360.0,4.587
361.0,5.356
362.0,6.087
363.0,6.016
364.0,5.69
365.0,5.125
366.0,4.37
367.0,3.726
368.0,3.396
369.0,3.032
370.0,3.118
371.0,3.226
372.0,2.75
373.0,1.982
374.0,1.211
375.0,0.436
376.0,0.274
377.0,0.197
378.0,0.123
379.0,0.281
380.0,0.778
381.0,1.06
382.0,1.117
383.0,1.173
384.0,1.228
385.0,1.283
386.0,0.941
387.0,0.559
388.0,0.716
389.0,1.208
390.0,1.844
391.0,2.774
392.0,3.422
393.0,2.75
394.0,1.81
395.0,1.662
396.0,1.73
397.0,1.802
398.0,1.879
399.0,1.794
400.0,1.004
401.0,0.221
402.0,0.239
403.0,0.345
404.0,0.733
405.0,1.293
406.0,1.249
407.0,0.07
408.0,0.942
409.0,0.083
410.0,1.122
411.0,1.474
412.0,1.654
413.0,2.297
414.0,3.375
415.0,4.252
416.0,4.48
417.0,4.726
418.0,4.982
419.0,5.249
420.0,5.221
421.0,5.07
422.0,5.302
423.0,6.053
424.0,6.302
425.0,5.75
426.0,5.208
427.0,5.455
428.0,5.814
429.0,5.911
430.0,5.848
431.0,6.013
432.0,6.191
433.0,6.001
434.0,4.199
435.0,2.403
436.0,2.125
437.0,2.102
438.0,1.837
439.0,1.379
440.0,1.063
441.0,1.067
442.0,1.078
443.0,1.091
444.0,1.11
445.0,0.455
446.0,0.421
447.0,0.399
448.0,0.462
449.0,0.977
450.0,0.502
451.0,0.032
452.0,1.327
453.0,2.607
454.0,2.223
455.0,1.284
456.0,0.952
457.0,1.034
458.0,1.003
459.0,0.924
460.0,0.826
461.0,1.598
462.0,2.151
463.0,1.705
464.0,1.127
465.0,0.76
466.0,0.611
467.0,0.495
468.0,0.775
469.0,1.048
470.0,0.426
471.0,0.206
472.0,0.097
473.0,0.125
474.0,0.337
475.0,0.536
476.0,0.6
477.0,0.348
478.0,0.119
479.0,0.765
480.0,1.408
481.0,1.348
482.0,1.086
483.0,1.062
484.0,1.25
485.0,1.163
486.0,0.445
487.0,0.361
488.0,0.11
489.0,0.687
490.0,1.306
491.0,1.936
492.0,2.304
493.0,2.493
494.0,2.521
495.0,2.27
496.0,2.025
497.0,1.786
498.0,1.552
499.0,1.323
500.0,1.099
501.0,1.18
502.0,1.415
503.0,1.768
504.0,2.476
505.0,2.908
506.0,2.285
507.0,1.669
508.0,1.945
509.0,2.244
510.0,2.565
511.0,2.913
512.0,3.291
513.0,3.615
514.0,3.382
515.0,1.918
516.0,0.58
517.0,0.477
518.0,0.381
519.0,0.696
520.0,1.075
521.0,0.873
522.0,0.359
523.0,0.044
524.0,0.012
525.0,0.066
526.0,0.119
527.0,0.173
528.0,0.222
529.0,0.618
530.0,0.663
531.0,0.61
532.0,1.075
533.0,1.989
534.0,2.657
535.0,2.203
536.0,1.761
537.0,1.702
538.0,1.64
539.0,1.997
540.0,2.378
541.0,2.081
542.0,1.511
543.0,1.148
544.0,1.061
545.0,0.978
546.0,0.899
547.0,0.784
548.0,0.245
549.0,0.317
550.0,0.317
551.0,1.075
552.0,1.192
553.0,1.029
554.0,1.086
555.0,1.365
556.0,1.503
557.0,1.315
558.0,1.123
559.0,0.932
560.0,0.856
561.0,0.667
562.0,0.451
563.0,0.544
564.0,0.705
565.0,0.622
566.0,0.784
567.0,0.852
568.0,0.6
569.0,0.398
570.0,0.596
571.0,0.79
572.0,0.562
573.0,0.295
574.0,0.026
575.0,0.246
576.0,0.04
577.0,0.575
578.0,1.01
579.0,1.16
580.0,1.326
581.0,1.507
582.0,1.694
583.0,1.431
584.0,1.159
585.0,1.249
586.0,1.436
587.0,1.643
588.0,1.834
589.0,1.639
590.0,0.912
591.0,0.285
592.0,0.465
593.0,0.698
594.0,1.371
595.0,2.049
596.0,1.117
597.0,0.035
598.0,0.423
599.0,1.573
600.0,1.524
601.0,0.383
602.0,0.12
603.0,0.581
604.0,1.284
605.0,1.991
606.0,2.704
607.0,2.048
608.0,1.472
609.0,1.694
610.0,1.966
611.0,1.632
612.0,0.979
613.0,0.988
614.0,1.719
615.0,2.305
616.0,2.575
617.0,2.713
618.0,2.043
619.0,1.389
620.0,1.198
621.0,1.107
622.0,0.539
623.0,0.117
624.0,0.184
625.0,0.067
626.0,0.539
627.0,1.249
628.0,1.663
629.0,1.446
630.0,1.226
