Raman Shift,Intensity
104.516,11002.0
105.908,10981.0
107.3,10982.0
108.691,10985.0
110.082,11080.769
111.473,11239.0
112.864,11362.0
114.254,11623.0
115.644,11882.0
117.034,12060.0
118.424,12086.0
119.813,11877.0
121.203,12161.0
122.592,11937.0
123.981,12065.0
125.369,12036.0
126.758,12058.0
128.146,12103.0
129.534,12170.0
130.922,12376.0
132.309,12277.0
133.696,12448.0
135.083,12348.0
136.47,12498.0
137.857,12561.0
139.243,12657.0
140.63,12599.0
142.016,12632.0
143.401,12694.0
144.787,12789.0
146.172,12785.0
147.557,12903.0
148.942,12905.0
150.327,12907.0
151.711,13004.0
153.096,13022.0
154.48,13173.0
155.863,13114.0
157.247,13287.0
158.63,13254.0
160.013,13314.0
161.396,13331.0
162.779,13359.0
164.161,13419.0
165.544,13449.141
166.926,13549.0
168.308,13552.0
169.689,13640.0
171.07,13718.592
172.452,13708.0
173.833,13799.0
175.213,13911.0
176.594,13906.0
177.974,13890.0
179.354,13928.0
180.734,14123.0
182.114,14064.0
183.493,14180.0
184.872,14310.0
186.251,14327.0
187.63,14438.0
189.008,14486.0
190.387,14743.0
191.765,14895.0
193.143,14964.0
194.52,15250.0
195.898,15274.0
197.275,15454.0
198.652,15661.0
200.029,15766.0
201.405,15824.0
202.782,15625.0
204.158,15523.0
205.534,15532.0
206.909,15509.0
208.285,15261.0
209.66,15398.0
211.035,15421.0
212.41,15318.0
213.784,15565.0
215.159,15524.0
216.533,15694.0
217.907,15766.0
219.281,15708.0
220.654,15632.0
222.027,15588.0
223.4,15680.0
224.773,15656.0
226.146,15674.0
227.518,15664.0
228.891,15753.0
230.263,15770.0
231.634,15938.0
233.006,15873.0
234.377,15970.0
235.748,15967.0
237.119,15922.0
238.49,15928.0
239.86,16206.0
241.231,16041.0
242.601,16334.0
243.97,16225.0
245.34,16359.0
246.709,16345.0
248.079,16418.0
249.448,16636.0
250.816,16600.0
252.185,16832.0
253.553,17051.0
254.921,17158.0
256.289,17467.0
257.657,17799.0
259.024,18299.0
260.391,18614.0
261.758,19075.0
263.125,19264.0
264.492,19712.0
265.858,19946.0
267.224,20102.0
268.59,20370.0
269.956,20284.289
271.321,20046.0
272.687,19983.0
274.052,19584.0
275.416,19195.0
276.781,19116.0
278.146,18642.0
279.51,18407.0
280.874,18327.0
282.237,18057.0
283.601,18114.0
284.964,17805.0
286.327,17685.0
287.69,17797.0
289.053,17562.0
290.416,17457.0
291.778,17713.0
293.14,17400.0
294.502,17642.0
295.863,17268.0
297.225,17526.0
298.586,17482.0
299.947,17485.0
301.308,17656.0
302.668,17488.0
304.029,17389.0
305.389,17645.0
306.749,17754.0
308.108,17587.0
309.468,17756.0
310.827,17654.0
312.186,17617.0
313.545,17536.0
314.903,17700.0
316.262,17757.0
317.62,17665.0
318.978,17828.0
320.336,17878.0
321.693,17889.0
323.051,17971.0
324.408,17961.0
325.765,17881.0
327.121,18064.0
328.478,17934.0
329.834,18032.0
331.19,18102.0
332.546,18188.0
333.902,18177.771
335.257,18213.904
336.612,18134.0
337.967,18225.0
339.322,18221.0
340.677,18252.0
342.031,18487.0
343.385,18396.0
344.739,18542.0
346.093,18463.0
347.446,18316.0
348.799,18457.0
350.153,18643.0
351.505,18624.0
352.858,18630.0
354.21,18635.0
355.563,18749.0
356.915,18633.0
358.267,18769.0
359.618,18847.0
360.969,18779.0
362.321,18936.0
363.672,18958.0
365.022,19013.414
366.373,19211.0
367.723,19164.0
369.073,19264.0
370.423,19375.0
371.773,19428.0
373.122,19364.0
374.471,19611.0
375.821,19800.0
377.169,19666.0
378.518,20013.0
379.866,19826.0
381.215,20011.0
382.563,20267.0
383.91,20216.0
385.258,20110.0
386.605,20288.0
387.952,20544.0
389.299,20352.0
390.646,20518.0
391.992,20409.0
393.339,20556.0
394.685,20688.0
396.031,20734.0
397.376,20973.0
398.722,20738.0
400.067,21016.0
401.412,21109.0
402.757,21027.0
404.101,21382.0
405.446,21308.0
406.79,21284.0
408.134,21324.0
409.478,21352.0
410.821,21418.0
412.165,21411.0
413.508,21170.0
414.851,21449.0
416.193,21264.0
417.536,20948.0
418.878,21041.0
420.22,21170.0
421.562,21077.0
422.904,20810.0
424.245,20983.0
425.586,21068.0
426.927,21062.0
428.268,21299.0
429.609,21165.0
430.949,20912.0
432.289,21086.0
433.629,21372.0
434.969,21060.0
436.309,21124.0
437.648,21032.0
438.987,21365.0
440.326,21158.0
441.665,21106.0
443.003,21071.0
444.342,21408.0
445.68,21276.0
447.018,21280.0
448.355,21328.0
449.693,21238.0
451.03,21346.0
452.367,21231.0
453.704,21469.0
455.041,21084.0
456.377,21361.0
457.713,21279.0
459.049,21362.0
460.385,21325.0
461.721,21457.0
463.056,21752.0
464.391,21536.0
465.726,21448.0
467.061,21857.0
468.395,21638.0
469.73,21612.0
471.064,21938.0
472.398,21641.0
473.731,22060.0
475.065,21760.0
476.398,21859.0
477.731,21960.0
479.064,22184.0
480.397,21937.0
481.729,22176.0
483.062,22179.0
484.394,22139.0
485.725,22306.0
487.057,22192.0
488.389,22430.0
489.72,22441.0
