Raman Shift,Intensity
140.63,8235.28
142.016,8101.718
143.401,8160.304
144.787,8141.887
146.172,8120.31
147.557,8205.94
148.942,8094.021
150.327,8177.95
151.711,8183.699
153.096,8225.23
154.48,8189.28
155.863,8177.259
157.247,8242.745
158.63,8265.314
160.013,8220.443
161.396,8183.0
162.779,8230.0
164.161,8354.0
165.544,8274.0
166.926,8310.0
168.308,8334.0
169.689,8419.0
171.07,8504.0
172.452,8735.0
173.833,8756.0
175.213,8809.0
176.594,9112.0
177.974,9243.0
179.354,9794.0
180.734,10152.0
182.114,10665.0
183.493,11444.0
184.872,12444.0
186.251,13552.0
187.63,14931.0
189.008,16496.0
190.387,20546.0
191.765,20699.0
193.143,21080.0
194.52,19422.0
195.898,18199.0
197.275,16967.0
198.652,15338.0
200.029,14096.0
201.405,12880.0
202.782,11936.0
204.158,11201.0
205.534,10819.0
206.909,10257.79
208.285,10034.0
209.66,9562.0
211.035,9061.0
212.41,8661.0
213.784,8618.0
215.159,8445.0
216.533,8320.0
217.907,8250.0
219.281,8155.0
220.654,8118.0
222.027,8054.259
223.4,7999.659
224.773,7960.0
226.146,7927.0
227.518,7879.0
228.891,7890.0
230.263,7830.77
231.634,7828.0
233.006,7752.0
234.377,7772.0
235.748,7757.0
237.119,7723.0
238.49,7642.0
239.86,7692.0
241.231,7627.0
242.601,7603.0
243.97,7692.0
245.34,7741.0
246.709,7737.043
248.079,7797.0
249.448,7771.0
250.816,7682.0
252.185,7733.0
253.553,7772.0
254.921,7847.0
256.289,7972.0
257.657,8077.0
259.024,8293.0
260.391,8348.0
261.758,8517.0
263.125,8633.0
264.492,8972.0
265.858,9216.0
267.224,9546.0
268.59,9996.0
269.956,11215.0
271.321,11286.0
272.687,11854.0
274.052,12737.0
275.416,13028.0
276.781,13118.0
278.146,13044.0
279.51,12378.0
280.874,11881.0
282.237,11093.0
283.601,10621.0
284.964,10073.0
286.327,9532.0
287.69,9291.0
289.053,8998.0
290.416,8804.0
291.778,8686.0
293.14,8545.0
294.502,8504.0
295.863,8447.39
297.225,8429.833
298.586,8449.0
299.947,8476.0
301.308,8555.0
302.668,8627.0
304.029,8763.0
305.389,8978.0
306.749,9209.0
308.108,9397.0
309.468,9578.0
310.827,9838.0
312.186,10050.0
313.545,10257.0
314.903,10624.0
316.262,10904.0
317.62,11125.0
318.978,11320.0
320.336,11568.0
321.693,11707.0
323.051,11691.0
324.408,11566.0
325.765,11250.0
327.121,11182.0
328.478,10837.0
329.834,10553.0
331.19,10346.0
332.546,10102.0
333.902,9862.771
335.257,9632.0
336.612,9414.0
337.967,9261.0
339.322,9073.0
340.677,8964.0
342.031,8825.0
343.385,8785.0
344.739,8699.156
346.093,8674.57
347.446,8618.0
348.799,8691.0
350.153,8712.0
351.505,8786.0
352.858,8707.0
354.21,8783.0
355.563,8794.0
356.915,8769.0
358.267,8797.0
359.618,8876.0
360.969,8914.851
362.321,8959.325
363.672,8995.0
365.022,9013.0
366.373,8978.153
367.723,8939.475
369.073,8874.0
370.423,8774.0
371.773,8723.0
373.122,8593.0
374.471,8570.0
375.821,8549.0
377.169,8445.0
378.518,8457.0
379.866,8340.0
381.215,8263.0
382.563,8304.0
