Raman Shift,Intensity
136.057,160.0
136.898,290.0
137.739,260.0
138.58,270.0
139.421,330.0
140.261,380.0
141.102,380.0
141.943,470.0
142.783,610.0
143.623,600.0
144.464,650.0
145.304,720.0
146.144,690.0
146.984,800.0
147.824,760.0
148.663,960.0
149.503,1010.0
150.342,830.0
151.182,990.0
152.021,1010.0
152.86,1170.0
153.699,1260.0
154.538,1200.0
155.377,1170.0
156.216,1340.0
157.055,1430.0
157.893,1280.0
158.732,1450.0
159.57,1520.0
160.408,1390.0
161.246,1650.0
162.084,1590.0
162.922,1470.0
163.76,1690.0
164.598,1780.0
165.435,1710.0
166.273,1940.0
167.11,1860.0
167.948,1960.0
168.785,2130.0
169.622,2290.0
170.459,2110.0
171.296,2260.0
172.133,2270.0
172.969,2320.0
173.806,2380.0
174.642,2290.0
175.479,2430.0
176.315,2290.0
177.151,2270.0
177.987,2370.0
178.823,2440.0
179.659,2230.0
180.495,2350.0
181.33,2520.0
182.166,2350.0
183.001,2500.0
183.836,2710.0
184.672,2650.0
185.507,2670.0
186.342,2770.0
187.177,2740.0
188.011,2920.0
188.846,3010.0
189.681,3180.0
190.515,3200.0
191.35,3400.0
192.184,3950.0
193.018,4150.0
193.852,4770.0
194.686,4830.0
195.52,4630.0
196.354,4430.0
197.187,4000.0
198.021,3650.0
198.854,3580.0
199.688,3570.0
200.521,3370.0
201.354,3460.0
202.187,3380.0
203.02,3490.0
203.853,3510.0
204.685,3530.0
205.518,3760.0
206.351,3540.0
207.183,3700.0
208.015,3590.0
208.847,3750.0
209.68,3780.0
210.512,3960.0
211.343,4150.0
212.175,4190.0
213.007,4350.0
213.838,4600.0
214.67,4670.0
215.501,4800.0
216.333,4610.0
217.164,4540.0
217.995,4430.0
218.826,4150.0
219.657,4160.0
220.487,4270.0
221.318,4080.0
222.148,4020.0
222.979,4210.0
223.809,3960.0
224.639,4080.0
225.47,4020.0
226.3,4240.0
227.129,4060.0
227.959,4220.0
228.789,4130.0
229.619,4220.0
230.448,4320.0
231.278,4180.0
232.107,4220.0
232.936,4470.0
233.765,4230.0
234.594,4420.0
235.423,4390.0
236.252,4330.0
237.08,4550.0
237.909,4670.0
238.737,4450.0
239.566,4690.0
240.394,4390.0
241.222,4730.0
242.05,4610.0
242.878,4640.0
243.706,4620.0
244.534,4450.0
245.361,4810.0
246.189,4700.0
247.016,4760.0
247.844,4960.0
248.671,4890.0
249.498,4810.0
250.325,5000.0
251.152,4950.0
251.979,5110.0
252.806,5220.0
253.632,5180.0
254.459,5150.0
255.285,5320.0
256.112,5540.0
256.938,5740.0
257.764,6010.0
258.59,6720.0
259.416,7630.0
260.242,9450.0
261.067,10770.0
261.893,10700.0
262.718,9730.0
263.544,8240.0
264.369,7290.0
265.194,6550.0
266.019,5950.0
266.844,5810.0
267.669,5780.0
268.494,5710.0
269.318,5670.0
270.143,5560.0
270.967,5710.0
271.792,5440.0
272.616,5500.0
273.44,5790.0
274.264,5640.0
275.088,5650.0
275.912,5770.0
276.736,5920.0
277.559,5710.0
278.383,5930.0
279.206,5720.0
280.03,5770.0
280.853,5980.0
281.676,5740.0
282.499,5910.0
283.322,6090.0
284.145,6230.0
284.968,5950.0
285.79,5890.0
286.613,6030.0
287.435,6150.0
288.257,6110.0
289.08,6140.0
289.902,6270.0
290.724,6240.0
291.546,6340.0
292.368,6460.0
293.189,6330.0
294.011,6380.0
294.832,6230.0
295.654,6240.0
296.475,6520.0
297.296,6460.0
298.117,6450.0
298.938,6220.0
299.759,6510.0
300.58,6420.0
301.401,6560.0
302.221,6580.0
303.042,6540.0
