Raman Shift,Intensity
209.0,97.893
210.0,133.693
211.0,161.163
212.0,189.843
213.0,226.934
214.0,267.345
215.0,294.413
216.0,286.143
217.0,279.713
218.0,238.917
219.0,194.189
220.0,150.22
221.0,106.291
222.0,66.27
223.0,51.604
224.0,36.682
225.0,22.939
226.0,9.196
227.0,0.354
228.0,0.348
229.0,1.648
230.0,2.703
231.0,4.389
232.0,3.846
233.0,2.486
234.0,1.177
235.0,1.724
236.0,3.945
237.0,8.719
238.0,13.3
239.0,17.137
240.0,20.274
241.0,23.083
242.0,26.996
243.0,29.85
244.0,28.124
245.0,24.288
246.0,21.105
247.0,18.712
248.0,16.514
249.0,18.112
250.0,20.102
251.0,20.245
252.0,19.424
253.0,21.91
254.0,29.744
255.0,37.854
256.0,67.32
257.0,96.795
258.0,190.801
259.0,318.541
260.0,493.234
261.0,776.646
262.0,1060.501
263.0,1048.705
264.0,1020.905
265.0,845.261
266.0,568.873
267.0,330.927
268.0,213.141
269.0,95.216
270.0,61.992
271.0,38.926
272.0,25.14
273.0,19.119
274.0,12.904
275.0,6.3
276.0,0.307
277.0,1.51
278.0,1.793
279.0,1.714
280.0,1.297
281.0,0.907
282.0,0.225
283.0,0.35
284.0,1.195
285.0,2.053
286.0,2.441
287.0,2.334
288.0,2.651
289.0,6.228
290.0,9.74
291.0,15.658
292.0,22.074
293.0,23.034
294.0,17.7
295.0,12.255
296.0,8.655
297.0,5.071
298.0,5.675
299.0,7.492
300.0,7.871
301.0,6.338
302.0,5.099
303.0,6.448
304.0,7.748
305.0,5.747
306.0,2.793
307.0,0.941
308.0,0.442
309.0,0.233
310.0,2.567
311.0,5.231
312.0,7.62
313.0,9.241
314.0,9.446
315.0,8.694
316.0,8.386
317.0,10.994
318.0,13.531
319.0,13.945
320.0,13.835
321.0,12.41
322.0,9.527
323.0,6.543
324.0,3.797
325.0,0.975
326.0,0.223
327.0,1.173
328.0,0.165
329.0,2.605
330.0,4.886
331.0,4.99
332.0,4.643
333.0,5.034
334.0,5.497
335.0,7.171
336.0,9.75
337.0,11.313
338.0,9.977
339.0,8.638
340.0,8.087
341.0,7.268
342.0,5.282
343.0,2.389
344.0,0.316
345.0,0.543
346.0,1.361
347.0,1.687
348.0,4.77
349.0,7.889
350.0,11.045
351.0,13.906
352.0,16.281
353.0,18.815
354.0,22.592
355.0,26.419
356.0,31.652
357.0,37.34
358.0,41.067
359.0,42.598
360.0,43.848
361.0,43.187
362.0,42.343
363.0,43.621
364.0,45.148
365.0,43.0
366.0,38.081
367.0,33.956
368.0,31.911
369.0,29.818
370.0,23.591
371.0,17.282
372.0,13.077
373.0,9.95
374.0,7.223
375.0,5.115
376.0,3.083
377.0,1.142
378.0,0.685
379.0,0.4
380.0,0.51
381.0,0.614
382.0,0.133
383.0,0.501
384.0,0.551
385.0,1.631
386.0,5.51
387.0,9.69
388.0,12.026
389.0,13.408
390.0,15.325
391.0,18.305
392.0,21.424
393.0,18.663
394.0,15.22
395.0,12.725
396.0,10.432
397.0,7.752
398.0,4.76
399.0,2.638
400.0,4.85
401.0,7.016
402.0,4.755
403.0,2.0
404.0,0.838
405.0,0.586
406.0,0.104
407.0,0.754
408.0,1.581
409.0,0.512
410.0,0.452
411.0,2.032
412.0,3.733
413.0,5.382
414.0,6.981
415.0,8.22
416.0,8.411
417.0,8.559
418.0,9.938
419.0,11.292
420.0,10.882
421.0,9.676
422.0,9.567
423.0,10.785
424.0,11.658
425.0,13.442
426.0,15.627
427.0,15.73
428.0,15.669
429.0,17.793
430.0,21.274
431.0,26.459
432.0,34.815
433.0,42.998
434.0,49.178
435.0,55.5
436.0,56.545
437.0,56.371
438.0,49.541
439.0,37.64
440.0,28.011
441.0,22.536
442.0,17.232
443.0,15.807
444.0,14.408
445.0,9.947
446.0,4.612
447.0,1.592
448.0,0.744
449.0,0.043
450.0,0.303
451.0,0.624
452.0,0.491
453.0,0.338
454.0,0.829
455.0,1.529
456.0,0.612
457.0,5.704
458.0,9.546
459.0,9.376
460.0,9.242
461.0,10.9
462.0,12.613
463.0,15.031
464.0,17.745
465.0,20.71
466.0,23.819
467.0,27.167
468.0,31.619
469.0,36.169
470.0,37.921
471.0,39.449
472.0,42.266
473.0,45.353
474.0,45.32
475.0,42.255
476.0,39.116
477.0,35.696
478.0,32.616
479.0,30.085
480.0,26.813
481.0,23.223
482.0,19.568
483.0,16.185
484.0,13.032
485.0,10.041
486.0,7.386
487.0,4.943
488.0,4.301
489.0,3.594
490.0,4.365
491.0,5.504
492.0,3.275
493.0,1.108
494.0,1.946
495.0,2.365
496.0,5.784
497.0,4.83
498.0,3.855
499.0,3.656
500.0,3.522
501.0,2.458
502.0,0.917
503.0,0.32
504.0,0.932
505.0,1.31
506.0,0.936
507.0,0.515
508.0,0.031
509.0,0.813
510.0,0.194
511.0,1.798
512.0,4.229
513.0,7.042
514.0,9.26
515.0,10.208
516.0,11.039
517.0,11.012
518.0,10.901
519.0,12.212
520.0,13.796
521.0,14.48
522.0,14.595
523.0,13.41
524.0,10.458
525.0,8.142
526.0,9.89
527.0,11.85
528.0,9.354
529.0,6.872
530.0,5.179
531.0,3.523
532.0,5.443
533.0,10.173
534.0,12.906
535.0,11.144
536.0,9.422
537.0,8.074
538.0,6.718
539.0,4.086
540.0,1.371
541.0,0.635
542.0,0.638
543.0,0.392
544.0,0.087
545.0,0.301
546.0,0.082
547.0,0.354
548.0,0.199
549.0,0.773
550.0,1.07
551.0,3.17
552.0,4.007
553.0,4.288
554.0,5.012
555.0,6.185
556.0,7.463
557.0,9.031
558.0,10.373
559.0,9.644
560.0,8.867
561.0,8.797
562.0,8.956
563.0,7.845
564.0,6.077
565.0,4.719
566.0,4.449
567.0,5.051
568.0,6.158
569.0,7.16
570.0,7.354
571.0,7.547
572.0,6.906
573.0,6.195
574.0,3.819
575.0,0.832
576.0,0.314
577.0,1.905
578.0,2.696
579.0,2.01
580.0,1.257
581.0,0.137
582.0,0.978
583.0,1.449
584.0,3.969
585.0,4.683
586.0,4.92
587.0,6.782
588.0,9.314
589.0,8.755
590.0,3.959
591.0,0.595
592.0,1.761
593.0,2.858
594.0,2.671
595.0,2.486
596.0,2.703
597.0,2.976
598.0,3.454
599.0,4.643
600.0,3.671
601.0,0.728
602.0,0.467
603.0,1.625
604.0,3.247
605.0,2.578
606.0,1.909
607.0,2.177
608.0,2.752
609.0,4.395
610.0,6.038
611.0,6.764
612.0,7.0
613.0,5.89
614.0,3.354
615.0,1.819
616.0,2.499
617.0,3.132
618.0,3.125
619.0,3.344
620.0,2.191
621.0,0.996
622.0,0.168
623.0,0.579
624.0,0.461
625.0,0.125
626.0,0.494
627.0,0.615
628.0,1.165
629.0,2.656
630.0,3.633
631.0,1.874
632.0,0.148
633.0,0.23
634.0,0.322
635.0,0.794
636.0,1.336
637.0,2.185
638.0,3.158
639.0,2.613
640.0,1.03
641.0,0.199
642.0,0.271
643.0,0.667
644.0,2.166
645.0,3.461
646.0,1.707
647.0,0.017
648.0,1.242
649.0,2.743
650.0,5.208
651.0,8.0
652.0,9.092
653.0,9.182
654.0,8.191
655.0,5.591
656.0,3.991
657.0,4.914
658.0,5.982
659.0,5.623
660.0,4.975
661.0,3.368
662.0,1.717
663.0,1.611
664.0,1.726
665.0,3.156
666.0,5.046
667.0,4.41
668.0,2.457
669.0,1.752
670.0,2.058
671.0,1.833
672.0,0.573
673.0,0.289
674.0,1.071
675.0,2.403
676.0,4.598
677.0,6.738
678.0,5.407
679.0,3.652
680.0,2.239
681.0,0.988
682.0,0.568
683.0,2.335
684.0,2.168
685.0,0.128
686.0,1.305
687.0,1.543
688.0,1.367
689.0,0.521
690.0,0.469
691.0,1.944
692.0,3.458
693.0,7.31
694.0,11.266
695.0,17.276
696.0,23.698
697.0,32.564
698.0,42.133
699.0,56.779
700.0,75.466
701.0,99.025
702.0,127.177
703.0,159.776
704.0,200.409
705.0,237.444
706.0,262.283
707.0,283.615
708.0,276.544
709.0,269.558
710.0,237.321
711.0,204.994
712.0,170.679
713.0,136.219
714.0,109.54
715.0,85.601
716.0,66.117
717.0,49.086
718.0,36.015
719.0,26.457
720.0,17.865
721.0,11.243
722.0,6.381
723.0,5.499
724.0,4.456
725.0,2.809
726.0,1.314
727.0,0.488
728.0,0.347
729.0,0.731
730.0,1.133
731.0,1.138
732.0,0.977
733.0,0.583
734.0,0.186
735.0,1.717
736.0,4.413
737.0,5.211
738.0,4.456
739.0,3.416
740.0,2.045
741.0,1.92
742.0,4.202
743.0,5.954
744.0,6.151
745.0,5.834
746.0,3.583
747.0,1.296
748.0,1.183
749.0,1.105
750.0,0.616
751.0,0.506
752.0,0.778
753.0,1.1
754.0,1.742
755.0,2.453
756.0,2.972
757.0,3.383
758.0,4.004
759.0,4.687
760.0,5.089
761.0,5.184
762.0,5.547
763.0,6.265
764.0,6.443
765.0,5.325
766.0,4.439
767.0,4.986
768.0,5.674
769.0,5.583
770.0,5.349
771.0,5.5
772.0,5.614
773.0,3.421
774.0,1.09
775.0,1.238
776.0,1.751
777.0,2.921
778.0,4.253
779.0,4.191
780.0,3.537
781.0,1.637
782.0,1.017
783.0,1.379
784.0,0.115
785.0,1.563
786.0,2.977
787.0,4.174
788.0,5.074
789.0,4.797
790.0,2.104
791.0,0.459
792.0,2.101
793.0,3.681
794.0,4.892
795.0,5.992
796.0,6.189
797.0,6.304
798.0,5.217
799.0,3.969
800.0,2.549
801.0,1.24
802.0,0.43
803.0,0.293
804.0,1.772
805.0,4.453
806.0,6.765
807.0,8.926
808.0,15.832
809.0,24.857
810.0,36.319
811.0,49.253
812.0,62.476
813.0,76.23
814.0,82.704
815.0,82.176
816.0,76.792
817.0,65.59
818.0,53.865
819.0,41.354
820.0,29.993
821.0,21.263
822.0,14.313
823.0,12.395
824.0,10.294
825.0,7.433
826.0,4.573
827.0,1.713
828.0,0.689
829.0,1.287
830.0,3.101
831.0,1.217
832.0,0.695
833.0,0.282
834.0,0.119
835.0,1.883
836.0,3.737
837.0,5.158
838.0,6.546
839.0,7.88
840.0,9.104
841.0,7.597
842.0,5.424
843.0,5.039
844.0,4.926
845.0,4.033
846.0,2.672
847.0,3.196
848.0,4.265
849.0,4.261
850.0,3.622
851.0,3.06
852.0,2.485
853.0,1.355
854.0,0.273
855.0,0.269
856.0,1.414
857.0,2.429
858.0,2.658
859.0,3.331
860.0,4.53
861.0,4.842
862.0,3.836
863.0,3.156
864.0,3.148
865.0,3.446
866.0,4.408
867.0,4.908
868.0,4.29
869.0,3.829
870.0,3.708
871.0,3.152
872.0,1.436
873.0,0.006
874.0,0.238
875.0,0.192
876.0,1.503
877.0,2.922
878.0,2.609
879.0,2.229
880.0,1.487
881.0,0.757
882.0,0.915
883.0,1.085
884.0,1.708
885.0,2.259
886.0,1.379
887.0,0.513
888.0,0.579
889.0,0.583
890.0,1.003
891.0,1.443
892.0,1.495
893.0,1.546
894.0,0.645
895.0,0.276
896.0,0.599
897.0,1.137
898.0,1.147
899.0,1.115
900.0,2.439
901.0,3.897
902.0,3.572
903.0,3.0
904.0,4.169
905.0,5.576
906.0,4.411
907.0,2.856
908.0,2.146
909.0,1.57
910.0,0.548
911.0,0.653
912.0,0.271
913.0,1.606
914.0,4.175
915.0,6.993
916.0,6.118
917.0,4.448
918.0,5.44
919.0,6.753
920.0,7.654
921.0,8.46
922.0,8.082
923.0,7.474
924.0,8.385
925.0,9.669
926.0,7.265
927.0,3.573
928.0,2.713
929.0,2.489
930.0,1.856
931.0,1.128
932.0,0.399
933.0,0.329
934.0,1.395
935.0,3.679
936.0,2.269
937.0,0.026
938.0,0.134
939.0,0.126
940.0,0.811
941.0,1.581
942.0,1.081
943.0,0.372
944.0,0.961
945.0,1.774
946.0,1.722
947.0,1.548
948.0,0.941
949.0,0.069
950.0,0.132
951.0,0.268
952.0,2.339
953.0,5.204
954.0,6.637
955.0,8.057
956.0,9.02
957.0,9.964
958.0,9.478
959.0,8.936
960.0,9.389
961.0,9.883
962.0,10.01
963.0,10.058
964.0,10.619
965.0,11.08
966.0,8.118
967.0,5.227
968.0,3.824
969.0,2.599
970.0,3.252
971.0,3.652
972.0,1.798
973.0,0.422
974.0,2.139
975.0,3.223
976.0,0.907
977.0,0.44
978.0,1.228
979.0,2.482
980.0,3.743
981.0,4.132
982.0,1.851
983.0,0.855
984.0,3.162
985.0,4.209
986.0,2.46
987.0,1.416
988.0,1.71
989.0,2.2
990.0,3.01
991.0,2.338
992.0,0.412
993.0,0.751
994.0,2.059
995.0,2.873
996.0,1.627
997.0,2.013
998.0,3.836
999.0,4.496
1000.0,4.28
1001.0,4.065
1002.0,3.85
1003.0,2.631
1004.0,0.882
1005.0,1.276
1006.0,2.593
1007.0,2.386
1008.0,1.365
1009.0,1.853
1010.0,3.319
1011.0,4.213
1012.0,4.641
1013.0,3.155
1014.0,1.417
1015.0,2.072
1016.0,2.89
1017.0,2.693
1018.0,2.458
1019.0,1.723
1020.0,1.073
1021.0,1.354
1022.0,1.558
1023.0,1.551
1024.0,1.476
1025.0,0.412
1026.0,0.333
1027.0,0.412
1028.0,0.983
1029.0,1.19
1030.0,1.391
1031.0,1.586
1032.0,1.775
1033.0,1.958
1034.0,2.138
1035.0,2.314
1036.0,1.637
1037.0,0.26
1038.0,0.487
1039.0,0.85
1040.0,0.54
1041.0,0.026
1042.0,0.206
1043.0,0.741
1044.0,5.545
1045.0,11.379
1046.0,16.324
1047.0,21.149
1048.0,23.556
1049.0,25.772
1050.0,22.356
1051.0,18.754
1052.0,12.782
1053.0,7.685
1054.0,7.22
1055.0,6.321
1056.0,4.411
1057.0,3.024
1058.0,2.418
1059.0,1.844
1060.0,1.298
1061.0,2.868
1062.0,7.059
1063.0,11.01
1064.0,14.754
1065.0,20.102
1066.0,26.52
1067.0,30.848
1068.0,34.201
1069.0,34.812
1070.0,35.147
1071.0,34.184
1072.0,32.971
1073.0,29.853
1074.0,26.579
1075.0,21.247
1076.0,16.07
1077.0,12.331
1078.0,9.446
1079.0,10.193
1080.0,10.378
1081.0,8.327
1082.0,5.829
1083.0,2.654
1084.0,0.165
1085.0,1.442
