Raman Shift,Intensity
55.666,670.0
57.065,673.0
58.464,709.0
59.863,695.0
61.262,704.0
62.661,752.0
64.059,785.0
65.458,797.0
66.856,875.0
68.253,961.0
69.651,1052.0
71.048,1162.0
72.445,1268.0
73.842,1393.583
75.239,1566.0
76.635,1678.0
78.031,1832.0
79.427,2018.0
80.823,2443.0
82.218,2937.0
83.614,3207.0
85.009,3798.0
86.404,4492.0
87.798,5268.0
89.193,5979.0
90.587,6646.0
91.981,6419.0
93.375,6171.0
94.768,5441.0
96.161,4824.0
97.554,4584.0
98.947,4134.0
100.34,3872.0
101.732,3729.0
103.124,3692.0
104.516,3804.0
105.908,3900.0
107.3,3790.0
108.691,3842.0
110.082,3903.75
111.473,3888.0
112.864,4091.0
114.254,4256.0
115.644,4438.0
117.034,4448.0
118.424,4460.761
119.813,4174.0
121.203,4257.0
122.592,4022.0
123.981,3755.0
125.369,3593.0
126.758,3404.0
128.146,3325.0
129.534,3248.0
130.922,3189.0
132.309,3182.0
133.696,3193.0
135.083,3204.0
136.47,3367.0
137.857,3552.0
139.243,3590.0
140.63,3624.0
142.016,3659.0
143.401,3658.0
144.787,3698.0
146.172,3588.0
147.557,3492.0
148.942,3314.0
150.327,3134.0
151.711,2968.0
153.096,2856.106
154.48,2757.934
155.863,2704.0
157.247,2674.0
158.63,2701.0
160.013,2765.0
161.396,2807.0
162.779,2863.0
164.161,3017.0
165.544,3134.0
166.926,3330.0
168.308,3513.0
169.689,3765.0
171.07,3968.0
172.452,4375.0
173.833,4663.0
175.213,5171.0
176.594,5534.0
177.974,5967.0
179.354,6543.0
180.734,7082.0
182.114,7645.0
183.493,8143.0
184.872,8704.0
186.251,9291.0
187.63,9760.0
189.008,10192.0
190.387,10572.0
191.765,10836.0
193.143,10858.0
194.52,10673.0
195.898,10256.0
197.275,9970.0
198.652,9566.0
200.029,9285.0
201.405,8983.0
202.782,8661.0
204.158,8421.0
205.534,8195.0
206.909,7944.0
208.285,7356.0
209.66,6906.0
211.035,6361.0
212.41,5885.0
213.784,5460.0
215.159,5040.0
216.533,4773.0
217.907,4490.0
219.281,4240.0
220.654,4041.0
222.027,3814.0
223.4,3684.0
224.773,3596.0
226.146,3414.0
227.518,3253.0
228.891,3139.0
230.263,3013.0
231.634,2948.0
233.006,2777.0
234.377,2678.0
235.748,2597.0
237.119,2568.0
238.49,2477.0
239.86,2458.0
241.231,2410.0
242.601,2387.0
243.97,2334.0
245.34,2318.0
246.709,2322.0
248.079,2292.0
249.448,2305.0
250.816,2255.0
252.185,2290.0
253.553,2247.0
254.921,2249.0
256.289,2297.0
257.657,2223.0
259.024,2174.0
260.391,2194.0
261.758,2217.0
263.125,2214.0
264.492,2214.0
265.858,2217.0
267.224,2178.0
268.59,2188.0
269.956,2186.0
271.321,2193.0
272.687,2103.0
274.052,2139.0
275.416,2097.0
276.781,2167.0
278.146,2170.0
279.51,2154.0
280.874,2207.0
282.237,2220.0
283.601,2258.0
284.964,2241.0
286.327,2291.0
287.69,2360.0
289.053,2444.0
290.416,2487.0
291.778,2585.0
293.14,2700.0
294.502,2816.0
295.863,2943.0
297.225,3109.0
298.586,3210.0
299.947,3358.0
301.308,3569.0
302.668,3631.0
304.029,3637.0
305.389,3725.0
306.749,3690.0
308.108,3648.0
309.468,3633.0
310.827,3666.0
312.186,3635.0
313.545,3698.0
314.903,3858.0
316.262,3977.0
317.62,4301.0
318.978,4645.0
320.336,5057.0
321.693,5572.0
323.051,5999.0
324.408,6243.0
325.765,6194.0
327.121,6051.0
328.478,5453.0
329.834,4848.0
331.19,4350.0
332.546,3969.0
333.902,3639.0
335.257,3441.0
336.612,3270.0
337.967,3132.0
339.322,2947.0
340.677,2920.0
342.031,2799.0
343.385,2690.0
344.739,2614.0
346.093,2567.0
347.446,2508.0
348.799,2503.0
350.153,2527.0
351.505,2605.0
352.858,2696.0
354.21,2770.0
355.563,2892.0
356.915,3054.0
358.267,3226.0
359.618,3431.0
360.969,3531.0
362.321,3655.0
363.672,3667.0
365.022,3661.0
366.373,3566.0
367.723,3471.0
369.073,3383.0
370.423,3320.0
