Raman Shift,Intensity
91.45642,59.18366
91.93854,59.63585
92.42065,60.27084
92.90277,61.0492
93.38489,61.88973
93.867,62.60211
94.34912,63.17469
94.83124,63.55639
95.31335,63.63187
95.79547,63.39552
96.27759,62.88214
96.7597,61.91504
97.24182,60.54689
97.72394,59.44358
98.20605,59.02672
98.68817,59.22984
99.17029,59.22599
99.6524,58.95543
100.1345,58.55599
100.6166,58.36615
101.0988,58.47191
101.5809,58.40145
102.063,57.80561
102.5451,56.52623
103.0272,55.48662
103.5093,54.76157
103.9915,54.31463
104.4736,53.99894
104.9557,53.92629
105.4378,53.82616
105.9199,53.46376
106.402,52.49854
106.8842,51.90991
107.3663,51.98009
107.8484,52.72147
108.3305,53.09515
108.8126,52.87908
109.2947,52.41732
109.7769,52.02388
110.259,51.66733
110.7411,51.41181
111.2232,51.4259
111.7053,51.91439
112.1874,51.77927
112.6696,50.21157
113.1517,48.1637
113.6338,46.8698
114.1159,47.23564
114.598,47.79377
115.0801,48.02702
115.5623,47.77122
116.0444,47.43297
116.5265,47.03302
117.0086,46.62015
117.4907,46.31091
117.9728,46.34639
118.455,46.37225
118.9371,46.14132
119.4192,45.44047
119.9013,44.72597
120.3834,44.23285
120.8655,43.92663
121.3477,43.6713
121.8298,43.39595
122.3119,43.13365
122.794,42.91841
123.2761,42.73519
123.7582,42.6256
124.2404,42.78892
124.7225,43.18438
125.2046,43.30803
125.6867,42.55738
126.1688,41.27571
126.6509,40.08954
127.1331,39.25431
127.6152,38.65026
128.0973,38.06324
128.5794,37.47973
129.0615,37.07742
129.5436,37.15172
130.0258,37.61346
130.5079,38.06666
130.99,38.39675
131.4721,38.58483
131.9542,38.58427
132.4363,38.39324
132.9185,38.01406
133.4006,37.16703
133.8827,35.85176
134.3648,35.07787
134.8469,35.85011
135.329,38.00786
135.8112,39.13657
136.2933,38.86962
136.7754,37.71346
137.2575,36.66817
137.7396,35.67962
138.2217,35.03356
138.7039,35.14888
139.186,36.23079
139.6681,36.50879
140.1502,35.41644
140.6323,33.43551
141.1144,32.78673
141.5966,34.01069
142.0787,35.53745
142.5608,36.17134
143.0429,35.67707
143.525,34.92404
144.0071,33.8388
144.4893,32.46674
144.9714,31.80472
145.4535,32.22696
145.9356,33.00241
146.4177,33.42951
146.8998,33.25678
147.382,33.15169
147.8641,33.35728
148.3462,33.99493
148.8283,34.04958
149.3104,32.83335
149.7925,31.35668
150.2747,30.79699
150.7568,32.487
151.2389,33.73168
151.721,33.73869
152.2031,31.88633
152.6852,30.77805
