Raman Shift,Intensity
125.369,20112.0
126.758,20073.0
128.146,20258.0
129.534,20206.0
130.922,20531.0
132.309,20503.0
133.696,20632.0
135.083,20564.0
136.47,20881.0
137.857,20674.0
139.243,21093.0
140.63,21016.0
142.016,21120.0
143.401,21044.0
144.787,21178.0
146.172,21198.0
147.557,21437.0
148.942,21261.0
150.327,21440.0
151.711,21768.0
153.096,21418.0
154.48,21504.0
155.863,21474.0
157.247,21615.0
158.63,21632.705
160.013,21748.0
161.396,21766.0
162.779,21897.0
164.161,21947.895
165.544,21817.0
166.926,22067.0
168.308,22112.0
169.689,22149.0
171.07,22002.0
172.452,22320.0
173.833,22240.0
175.213,22326.0
176.594,22482.0
177.974,22332.0
179.354,22630.0
180.734,22694.0
182.114,22712.0
183.493,22902.0
184.872,23489.0
186.251,24004.0
187.63,25551.0
189.008,26658.0
190.387,28422.0
191.765,31256.0
193.143,33130.0
194.52,31146.0
195.898,27018.0
197.275,25278.0
198.652,24296.0
200.029,24069.0
201.405,23720.0
202.782,23402.0
204.158,23261.0
205.534,23223.348
206.909,23616.0
208.285,23422.0
209.66,23457.0
211.035,23663.0
212.41,23543.0
213.784,23462.0
215.159,23547.0
216.533,23474.0
217.907,23530.639
219.281,23667.0
220.654,23675.0
222.027,23801.0
223.4,23975.0
224.773,24014.0
226.146,24012.0
227.518,24011.0
228.891,24081.0
230.263,24046.0
231.634,23866.0
233.006,24182.0
234.377,24090.0
235.748,24241.0
237.119,24052.0
238.49,24124.0
239.86,24256.0
241.231,24276.0
242.601,24460.0
243.97,24265.0
245.34,24393.0
246.709,24366.0
248.079,24213.0
249.448,24650.0
250.816,24410.0
252.185,24501.0
253.553,24595.0
254.921,24395.0
256.289,24693.0
257.657,24637.0
259.024,24708.0
260.391,24797.0
261.758,24769.0
263.125,24684.0
264.492,24853.0
265.858,24931.0
267.224,24996.0
268.59,25129.0
269.956,24883.0
271.321,25212.0
272.687,25306.0
274.052,25093.0
275.416,24946.0
276.781,25500.0
278.146,25256.0
279.51,25328.0
280.874,25722.0
282.237,25498.0
283.601,25808.0
284.964,25713.0
286.327,25981.0
287.69,26407.0
289.053,26349.0
290.416,26113.0
291.778,26432.0
293.14,26005.0
294.502,26137.0
295.863,25854.0
297.225,25978.0
298.586,26057.0
299.947,25914.0
301.308,26195.0
302.668,25881.0
304.029,25912.0
305.389,26213.0
306.749,26261.0
308.108,26318.736
309.468,26475.0
310.827,26372.0
312.186,26267.0
313.545,26297.0
314.903,26315.0
316.262,26389.0
317.62,26412.0
318.978,26492.0
320.336,26317.0
321.693,26536.0
323.051,26585.0
324.408,26628.0
325.765,26432.0
327.121,26915.0
328.478,26648.0
329.834,26874.0
331.19,27043.0
332.546,27062.0
333.902,27149.129
335.257,27165.957
336.612,27136.0
337.967,27142.0
339.322,27098.0
340.677,27067.0
342.031,27372.0
343.385,27228.0
344.739,27409.0
346.093,27353.0
347.446,27284.0
348.799,27392.0
350.153,27635.0
351.505,27812.0
352.858,28161.0
354.21,28299.0
355.563,29022.0
356.915,29544.0
358.267,30358.0
359.618,31145.0
360.969,31590.0
362.321,31463.0
363.672,30428.0
365.022,29736.0
366.373,29068.0
367.723,28400.0
369.073,28620.0
370.423,28290.0
371.773,28361.0
373.122,27989.0
374.471,28186.0
375.821,28672.0
377.169,28230.0
378.518,28823.0
379.866,28412.0
381.215,28480.0
382.563,28700.0
383.91,28445.0
385.258,28361.0
386.605,28464.0
387.952,28692.0
389.299,28284.0
390.646,28492.0
391.992,28582.0
393.339,28490.0
394.685,28541.0
396.031,28572.0
397.376,28620.854
398.722,28582.0
400.067,28822.0
401.412,28664.0
402.757,28794.0
404.101,29078.0
405.446,28948.0
406.79,28822.0
408.134,29056.0
409.478,29056.0
410.821,29376.0
412.165,29209.0
413.508,28972.0
414.851,29461.0
416.193,29384.0
417.536,29213.0
418.878,29248.0
420.22,29432.0
421.562,29457.0
422.904,29209.0
424.245,29546.0
425.586,29994.0
426.927,29928.0
428.268,30336.0
429.609,30400.0
430.949,30147.0
432.289,30634.0
433.629,30704.0
434.969,30245.0
436.309,30083.0
437.648,29885.0
438.987,29733.678
440.326,30042.0
441.665,29713.0
443.003,29924.0
444.342,30168.0
445.68,30018.0
447.018,30164.0
448.355,30478.0
449.693,30201.0
451.03,30506.0
452.367,30321.0
453.704,30645.0
455.041,30102.0
456.377,30290.0
457.713,30376.0
459.049,30334.0
460.385,30554.0
461.721,30576.0
463.056,30977.0
464.391,30961.0
465.726,31024.0
467.061,31567.0
468.395,31301.0
469.73,31049.0
471.064,31238.0
472.398,31238.0
473.731,31586.0
475.065,30678.0
476.398,30881.0
477.731,30867.0
479.064,31164.0
480.397,31042.0
481.729,30970.0
483.062,31146.0
484.394,30881.0
485.725,31162.0
487.057,31096.0
488.389,31304.0
489.72,31288.0
491.051,31046.0
492.382,31488.0
493.712,31228.0
495.043,31565.0
496.373,31452.0
497.703,31428.0
499.032,31462.0
500.362,31770.0
501.691,31549.0
503.02,31896.0
504.349,31660.0
505.678,31880.0
507.007,31942.0
508.335,31710.0
509.663,31925.0
510.991,32083.0
512.319,31993.0
513.646,32074.0
514.973,32368.0
516.3,32160.0
517.627,32403.0
518.954,32245.0
520.28,32026.0
521.607,32288.0
522.933,32282.0
524.259,32337.0
525.584,32360.0
526.91,32286.0
528.235,32640.0
529.56,32654.0
530.885,32610.0
