Raman Shift,Intensity
217.0,0.028
218.0,0.206
219.0,0.559
220.0,1.136
221.0,1.932
222.0,2.576
223.0,2.124
224.0,1.676
225.0,1.553
226.0,1.537
227.0,1.851
228.0,2.688
229.0,3.554
230.0,3.96
231.0,4.372
232.0,4.245
233.0,3.816
234.0,3.282
235.0,2.446
236.0,1.614
237.0,1.168
238.0,0.765
239.0,0.822
240.0,1.27
241.0,1.495
242.0,0.679
243.0,0.135
244.0,0.495
245.0,1.497
246.0,1.806
247.0,1.42
248.0,1.039
249.0,0.673
250.0,0.298
251.0,0.233
252.0,0.284
253.0,0.335
254.0,0.387
255.0,0.44
256.0,0.494
257.0,0.547
258.0,0.323
259.0,0.075
260.0,0.193
261.0,0.275
262.0,0.743
263.0,0.511
264.0,0.206
265.0,0.33
266.0,0.798
267.0,1.059
268.0,0.676
269.0,0.293
270.0,0.291
271.0,0.335
272.0,0.38
273.0,0.425
274.0,0.471
275.0,0.452
276.0,0.381
277.0,0.071
278.0,0.301
279.0,0.248
280.0,0.216
281.0,0.626
282.0,0.681
283.0,0.739
284.0,1.497
285.0,2.417
286.0,4.151
287.0,6.789
288.0,9.719
289.0,14.505
290.0,19.295
291.0,20.698
292.0,21.232
293.0,19.439
294.0,14.755
295.0,10.307
296.0,7.457
297.0,4.602
298.0,3.09
299.0,1.954
300.0,1.397
301.0,1.552
302.0,1.773
303.0,2.426
304.0,3.031
305.0,2.618
306.0,1.926
307.0,1.495
308.0,1.56
309.0,1.339
310.0,0.661
311.0,0.031
312.0,0.636
313.0,1.656
314.0,1.874
315.0,1.171
316.0,0.525
317.0,0.248
318.0,0.031
319.0,0.379
320.0,0.94
321.0,0.861
322.0,0.115
323.0,0.428
324.0,0.074
325.0,0.568
326.0,1.421
327.0,2.33
328.0,3.479
329.0,4.844
330.0,6.043
331.0,6.571
332.0,7.111
333.0,6.884
334.0,6.357
335.0,5.625
336.0,4.711
337.0,3.678
338.0,2.249
339.0,0.552
340.0,0.304
341.0,0.207
342.0,0.119
343.0,0.028
344.0,0.067
345.0,0.167
346.0,0.272
