Raman Shift,Intensity
213.4319,0.351746
213.914,0.553009
214.3962,1.804169
214.8783,1.924683
215.3604,1.330841
215.8425,0.272858
216.3246,0.216675
216.8067,0.001892
217.2889,0.500214
217.771,1.050415
218.2531,1.683228
218.7352,2.268463
219.2173,2.81192
219.6994,3.29834
220.1816,3.654755
220.6637,3.903656
221.1458,3.98175
221.6279,3.790222
222.11,3.139465
222.5921,2.712219
223.0743,2.591736
223.5564,2.737091
224.0385,3.014709
224.5206,3.601624
225.0027,4.045044
225.4848,3.985687
225.967,3.063049
226.4491,2.55719
226.9312,2.753815
227.4133,3.464569
227.8954,3.759888
228.3775,3.448029
228.8597,2.996552
229.3418,2.648438
229.8239,2.321472
230.306,2.298492
230.7881,2.735138
231.2702,3.502411
231.7524,3.957306
232.2345,3.869476
232.7166,3.76712
233.1987,4.004608
233.6808,4.892426
234.1629,5.396362
234.6451,5.325714
235.1272,4.808319
235.6093,4.435181
236.0914,4.354706
236.5735,4.216034
237.0556,3.784485
237.5378,2.807098
238.0199,2.108948
238.502,1.81076
238.9841,1.83374
239.4662,1.84201
239.9483,1.750977
240.4305,1.783234
240.9126,2.1427
241.3947,3.261749
241.8768,3.738251
242.3589,3.199707
242.841,2.000458
243.3232,1.439178
243.8053,1.974487
244.2874,2.518097
244.7695,2.429474
245.2516,1.132141
245.7337,0.484589
246.2159,0.701355
246.698,1.574249
247.1801,2.533508
247.6622,3.98291
248.1443,4.912567
248.6264,4.668243
249.1086,2.449738
249.5907,1.198517
250.0728,1.080414
250.5549,1.803131
251.037,2.317841
251.5191,2.617035
252.0013,2.733978
252.4834,2.654663
252.9655,2.264832
253.4476,1.981537
253.9297,1.752014
254.4118,1.658356
254.894,1.932739
255.3761,2.808807
255.8582,3.642426
256.3403,4.224121
256.8224,4.649567
257.3046,4.393341
257.7867,3.00589
258.2688,1.212311
258.7509,0.538788
259.233,1.52063
259.7151,2.523224
260.1973,2.888763
260.6794,2.431763
261.1615,2.127655
261.6436,2.017181
262.1257,2.029877
262.6078,2.104614
263.09,2.373505
263.5721,2.3974
264.0542,1.886261
264.5363,0.67276
265.0184,0.111389
265.5005,0.362579
265.9827,1.076965
266.4648,1.840179
266.9469,2.75174
267.429,3.407745
267.9111,3.63504
268.3932,3.400513
268.8754,3.197113
269.3575,3.035065
269.8396,2.874023
270.3217,2.602783
270.8038,2.126465
271.2859,1.87558
271.7681,2.00592
272.2502,2.496796
272.7323,3.036346
273.2144,3.676422
273.6965,4.228302
274.1786,4.405304
274.6608,4.190369
275.1429,4.135803
275.625,4.445587
276.1071,5.015686
276.5892,5.130035
277.0714,4.698456
277.5535,4.158356
278.0356,3.935211
278.5177,4.059998
278.9998,4.16687
279.4819,4.194061
279.9641,4.141663
280.4462,3.974823
280.9283,3.660248
281.4104,3.365112
281.8925,3.205536
