Raman shift,Intensity
752.29475,532.23575
753.91051,532.23575
755.52627,532.23575
757.14202,532.23575
758.75778,532.23575
760.37353,531.57793
761.98929,532.23575
763.60504,531.57793
765.2208,531.57793
766.83656,531.57793
768.45231,531.57793
770.06807,531.57793
771.68382,532.23575
773.29958,532.89358
774.91533,532.89358
776.53109,532.89358
778.14685,532.89358
779.7626,532.89358
781.37836,532.23575
782.99411,531.57793
784.60987,530.9201
786.22563,530.9201
787.84138,530.9201
789.45714,530.9201
791.07289,530.9201
792.68865,530.9201
794.3044,530.9201
795.92016,530.9201
797.53592,530.9201
799.15167,530.9201
800.76743,530.9201
802.38318,530.9201
803.99894,530.9201
805.61469,530.9201
807.23045,530.9201
808.84621,530.9201
810.46196,530.9201
812.07772,530.9201
813.69347,530.9201
815.30923,530.9201
816.92498,530.9201
818.54074,530.9201
820.1565,530.9201
821.77225,530.9201
823.38801,530.9201
825.00376,530.9201
826.61952,530.9201
828.23528,530.9201
829.85103,530.9201
831.46679,530.9201
833.08254,530.9201
834.6983,530.9201
836.31405,530.9201
837.92981,530.9201
839.54557,530.9201
841.16132,530.9201
842.77708,530.9201
844.39283,530.9201
846.00859,530.9201
847.62434,530.9201
849.2401,530.9201
850.85586,530.9201
852.47161,530.9201
854.08737,530.9201
855.70312,530.9201
857.31888,530.9201
858.93464,530.9201
860.55039,530.9201
862.16615,530.9201
863.7819,530.9201
865.39766,530.9201
867.01341,530.9201
868.62917,530.9201
870.24493,530.9201
871.86068,530.9201
873.47644,530.9201
875.09219,530.9201
876.70795,530.9201
878.3237,530.9201
879.93946,530.9201
881.55522,530.9201
883.17097,530.9201
884.78673,530.9201
886.40248,530.9201
888.01824,530.9201
889.63399,530.9201
891.24975,530.9201
892.86551,530.9201
894.48126,530.9201
896.09702,530.9201
897.71277,530.9201
899.32853,530.9201
900.94429,530.9201
902.56004,530.9201
904.1758,530.9201
905.79155,530.9201
907.40731,530.9201
909.02306,530.9201
910.63882,530.9201
912.25458,530.9201
913.87033,530.9201
915.48609,530.9201
917.10184,530.9201
918.7176,530.9201
920.33335,530.9201
921.94911,530.9201
923.56487,530.9201
925.18062,530.9201
926.79638,530.9201
928.41213,530.9201
930.02789,530.9201
931.64365,530.9201
933.2594,530.9201
934.87516,530.9201
936.49091,530.9201
938.10667,530.9201
939.72242,530.9201
941.33818,530.9201
942.95394,530.9201
944.56969,530.9201
946.18545,530.9201
947.8012,530.9201
949.41696,530.9201
951.03271,531.57793
952.64847,532.23575
954.26423,532.89358
955.87998,532.89358
957.49574,532.89358
959.11149,532.89358
960.72725,532.89358
962.343,532.89358
963.95876,532.89358
965.57452,532.89358
967.19027,532.89358
968.80603,532.89358
970.42178,533.5514
972.03754,533.5514
973.6533,533.5514
975.26905,533.5514
976.88481,533.5514
978.50056,533.5514
980.11632,533.5514
981.73207,533.5514
983.34783,533.5514
984.96359,533.5514
986.57934,533.5514
988.1951,533.5514
989.81085,533.5514
991.42661,533.5514
993.04236,533.5514
994.65812,533.5514
996.27388,533.5514
997.88963,533.5514
999.50539,533.5514
1001.12114,533.5514
1002.7369,533.5514
1004.35266,533.5514
1005.96841,533.5514
1007.58417,533.5514
1009.19992,533.5514
