Raman shift,Intensity
415.55379,205.42314
417.76603,205.42314
419.97826,206.20406
422.1905,206.20406
424.40273,206.20406
426.61497,206.20406
428.8272,206.20406
431.03944,205.42314
433.25168,205.42314
435.46391,205.42314
437.67615,205.42314
439.88838,205.42314
442.10062,204.64223
444.31285,204.64223
446.52509,204.64223
448.73732,204.64223
450.94956,204.64223
453.1618,204.64223
455.37403,203.86132
457.58627,203.86132
459.7985,203.86132
462.01074,203.86132
464.22297,204.64223
466.43521,204.64223
468.64745,204.64223
470.85968,205.42314
473.07192,205.42314
475.28415,206.20406
477.49639,206.20406
479.70862,206.20406
481.92086,206.98497
484.1331,206.98497
486.34533,207.76588
488.55757,208.5468
490.7698,208.5468
492.98204,209.32771
495.19427,209.32771
497.40651,209.32771
499.61874,210.10862
501.83098,210.10862
504.04322,210.10862
506.25545,210.10862
508.46769,210.10862
510.67992,210.10862
512.89216,209.32771
515.10439,209.32771
517.31663,208.5468
519.52887,208.5468
521.7411,207.76588
523.95334,207.76588
526.16557,206.98497
528.37781,206.20406
530.59004,206.20406
532.80228,206.20406
535.01451,205.42314
537.22675,205.42314
539.43899,204.64223
541.65122,204.64223
543.86346,204.64223
546.07569,203.86132
548.28793,203.86132
550.50016,203.86132
552.7124,203.86132
554.92464,203.86132
557.13687,203.86132
559.34911,203.86132
561.56134,203.86132
563.77358,203.86132
565.98581,203.86132
568.19805,203.86132
570.41029,203.86132
572.62252,203.86132
574.83476,203.86132
577.04699,203.86132
579.25923,204.64223
581.47146,204.64223
583.6837,205.42314
585.89593,205.42314
588.10817,205.42314
590.32041,206.20406
592.53264,206.20406
594.74488,206.98497
596.95711,206.98497
599.16935,207.76588
601.38158,208.5468
603.59382,208.5468
605.80606,209.32771
608.01829,209.32771
610.23053,210.10862
612.44276,210.88953
614.655,210.88953
616.86723,210.88953
619.07947,210.88953
621.2917,210.88953
632.30943,205.91361
661.90385,198.19316
697.93185,200.91803
697.93185,200.91803
740.39341,200.91803
762.87479,203.08041
765.08702,203.08041
767.29926,203.08041
769.51149,203.08041
771.72373,203.08041
773.93596,203.08041
776.1482,203.08041
778.36044,203.08041
780.57267,203.86132
782.78491,204.64223
784.99714,204.64223
787.20938,204.64223
789.42161,204.64223
791.63385,204.64223
793.84609,204.64223
796.05832,204.64223
798.27056,204.64223
800.48279,204.64223
802.69503,204.64223
804.90726,204.64223
807.1195,204.64223
809.33173,204.64223
811.54397,204.64223
813.75621,204.64223
815.96844,204.64223
818.18068,204.64223
820.39291,204.64223
822.60515,204.64223
824.81738,204.64223
827.02962,204.64223
829.24186,204.64223
831.45409,204.64223
833.66633,204.64223
835.87856,204.64223
838.0908,204.64223
840.30303,204.64223
842.51527,204.64223
844.72751,204.64223
846.93974,204.64223
849.15198,204.64223
851.36421,204.64223
853.57645,204.64223
855.78868,204.64223
858.00092,204.64223
860.21315,204.64223
862.42539,204.64223
864.63763,204.64223
866.84986,204.64223
869.0621,203.86132
871.27433,203.08041
873.48657,202.29949
875.6988,202.29949
877.91104,203.08041
880.12328,203.86132
882.33551,203.86132
884.54775,203.86132
886.75998,203.86132
888.97222,203.86132
891.18445,203.86132
893.39669,203.86132
895.60892,203.08041
897.82116,202.29949
900.0334,201.51858
902.24563,201.51858
904.45787,201.51858
906.6701,201.51858
