Raman shift,Intensity
753.60413,70.86594
755.67159,70.86594
757.73905,70.86594
759.80651,70.86594
761.87398,70.86594
763.94144,70.86594
766.0089,70.86594
768.07636,70.86594
770.14383,71.57401
772.21129,72.28208
774.27875,72.28208
776.34621,72.28208
778.41368,72.28208
780.48114,72.28208
782.5486,72.28208
784.61606,72.28208
786.68353,72.28208
788.75099,72.28208
790.81845,72.28208
792.88591,72.28208
794.95338,72.28208
797.02084,72.28208
799.0883,72.28208
801.15576,72.28208
803.22323,72.28208
805.29069,72.28208
807.35815,72.28208
809.42561,72.28208
811.49308,72.28208
813.56054,72.28208
815.628,72.28208
817.69546,71.57401
819.76293,70.86594
821.83039,70.15786
823.89785,70.15786
825.96531,70.15786
828.03278,70.15786
830.10024,70.15786
832.1677,70.15786
834.23516,70.15786
836.30262,70.15786
838.37009,70.15786
840.43755,70.86594
842.50501,71.57401
844.57247,71.57401
846.63994,71.57401
848.7074,71.57401
850.77486,71.57401
852.84232,71.57401
854.90979,71.57401
856.97725,71.57401
859.04471,71.57401
861.11217,71.57401
863.17964,71.57401
865.2471,71.57401
867.31456,71.57401
869.38202,71.57401
871.44949,71.57401
873.51695,71.57401
875.58441,71.57401
877.65187,71.57401
879.71934,71.57401
881.7868,71.57401
883.85426,71.57401
885.92172,71.57401
887.98919,71.57401
890.05665,71.57401
892.12411,71.57401
894.19157,71.57401
896.25904,71.57401
898.3265,71.57401
900.39396,71.57401
902.46142,71.57401
904.52889,71.57401
906.59635,71.57401
908.66381,71.57401
910.73127,71.57401
912.79874,71.57401
914.8662,71.57401
916.93366,71.57401
919.00112,71.57401
921.06859,71.57401
923.13605,71.57401
925.20351,71.57401
927.27097,70.86594
929.33844,70.15786
931.4059,69.44979
933.47336,69.44979
935.54082,70.15786
937.60829,70.86594
939.67575,71.57401
941.74321,72.28208
943.81067,72.28208
945.87814,72.28208
947.9456,72.28208
950.01306,72.28208
952.08052,72.99016
954.14799,72.99016
956.21545,72.99016
958.28291,72.99016
960.35037,72.99016
962.41784,72.99016
964.4853,72.99016
966.55276,72.99016
968.62022,72.99016
970.68769,72.99016
972.75515,72.99016
974.82261,72.99016
976.89007,72.99016
978.95754,72.99016
981.025,72.99016
983.09246,72.99016
985.15992,72.99016
987.22739,72.99016
989.29485,72.99016
991.36231,72.99016
993.42977,72.99016
995.49724,72.99016
997.5647,72.99016
999.63216,72.99016
1001.69962,72.99016
1003.76709,72.99016
1005.83455,72.99016
1007.90201,72.99016
1009.96947,72.99016
1012.03694,72.99016
1014.1044,72.99016
1016.17186,72.99016
1018.23932,72.99016
1020.30679,72.99016
1022.37425,72.28208
1024.44171,72.28208
1026.50917,72.99016
