Raman shift,Intensity
792.93036,2863.02978
822.82859,2872.81019
822.82859,2875.52289
822.82859,2874.16654
824.38293,2868.74115
824.38293,2871.45385
824.38293,2863.31576
824.38293,2870.0975
824.38293,2867.3848
825.93727,2844.32689
825.93727,2866.02845
825.93727,2864.67211
825.93727,2861.95941
825.93727,2848.39593
825.93727,2847.03959
825.93727,2845.68324
827.49161,2842.97054
827.49161,2857.89037
827.49161,2859.24672
827.49161,2860.60306
827.49161,2849.75228
829.04594,2851.10863
829.04594,2842.97054
829.04594,2853.82132
829.04594,2855.17767
829.04594,2856.53402
830.60028,2852.46498
830.60028,2842.97054
832.15462,2842.97054
833.70896,2841.6142
833.70896,2842.97054
833.70896,2840.25785
833.70896,2838.9015
835.2633,2838.9015
836.81764,2838.9015
838.37198,2838.9015
839.92632,2838.9015
841.48066,2832.11976
841.48066,2837.54515
841.48066,2836.1888
841.48066,2834.83246
841.48066,2833.47611
843.03499,2830.76341
843.03499,2832.11976
844.58933,2832.11976
846.14367,2830.76341
847.69801,2829.40707
849.25235,2833.47611
849.25235,2829.40707
849.25235,2830.76341
849.25235,2832.11976
850.80669,2834.83246
852.36103,2836.1888
853.91537,2836.1888
853.91537,2837.54515
855.4697,2837.54515
857.02404,2838.9015
857.02404,2837.54515
858.57838,2838.9015
860.13272,2840.25785
860.13272,2838.9015
861.68706,2841.6142
861.68706,2840.25785
863.2414,2841.6142
864.79574,2841.6142
866.35008,2841.6142
867.90441,2841.6142
869.45875,2864.67211
869.45875,2841.6142
869.45875,2860.60306
869.45875,2861.95941
871.01309,2845.68324
871.01309,2870.0975
871.01309,2848.39593
871.01309,2844.32689
871.01309,2842.97054
871.01309,2859.24672
871.01309,2853.82132
871.01309,2868.74115
871.01309,2847.03959
871.01309,2866.02845
871.01309,2867.3848
871.01309,2863.31576
872.56743,2856.53402
872.56743,2857.89037
872.56743,2849.75228
872.56743,2851.10863
872.56743,2852.46498
872.56743,2855.17767
872.56743,2871.45385
874.12177,2874.16654
874.12177,2871.45385
874.12177,2872.81019
875.67611,2874.16654
877.23045,2875.52289
877.23045,2874.16654
878.78479,2876.87924
878.78479,2875.52289
880.33912,2878.23558
881.89346,2878.23558
883.4478,2878.23558
885.00214,2878.23558
886.55648,2876.87924
888.11082,2878.23558
889.66516,2876.87924
891.2195,2875.52289
892.77384,2876.87924
894.32817,2876.87924
895.88251,2878.23558
897.43685,2879.59193
898.99119,2879.59193
900.54553,2878.23558
902.09987,2879.59193
903.65421,2879.59193
905.20855,2879.59193
906.76288,2870.0975
906.76288,2878.23558
906.76288,2876.87924
906.76288,2875.52289
906.76288,2874.16654
906.76288,2872.81019
906.76288,2871.45385
908.31722,2870.0975
909.87156,2870.0975
911.4259,2868.74115
912.98024,2867.3848
914.53458,2866.02845
916.08892,2866.02845
917.64326,2867.3848
919.19759,2868.74115
919.19759,2871.45385
919.19759,2870.0975
920.75193,2878.23558
920.75193,2871.45385
920.75193,2872.81019
920.75193,2874.16654
920.75193,2875.52289
920.75193,2876.87924
922.30627,2879.59193
923.86061,2879.59193
925.41495,2883.66098
925.41495,2879.59193
925.41495,2880.94828
925.41495,2882.30463
926.96929,2883.66098
928.52363,2883.66098
930.07797,2887.73002
930.07797,2885.01732
930.07797,2886.37367
931.6323,2889.08637
931.6323,2887.73002
933.18664,2890.44271
933.18664,2889.08637
933.18664,2891.79906
934.74098,2883.66098
934.74098,2891.79906
934.74098,2895.86811
934.74098,2882.30463
936.29532,2880.94828
936.29532,2894.51176
936.29532,2891.79906
936.29532,2897.22445
936.29532,2885.01732
937.84966,2899.93715
937.84966,2904.00619
937.84966,2891.79906
937.84966,2893.15541
937.84966,2898.5808
937.84966,2886.37367
937.84966,2879.59193
937.84966,2901.2935
937.84966,2902.64984
939.404,2878.23558
939.404,2908.07523
939.404,2904.00619
939.404,2902.64984
939.404,2890.44271
939.404,2891.79906
939.404,2887.73002
939.404,2889.08637
939.404,2906.71889
939.404,2905.36254
939.404,2901.2935
939.404,2899.93715
940.95834,2909.43158
940.95834,2908.07523
940.95834,2898.5808
940.95834,2879.59193
940.95834,2905.36254
940.95834,2894.51176
940.95834,2893.15541
940.95834,2910.78793
940.95834,2906.71889
942.51268,2897.22445
942.51268,2880.94828
942.51268,2912.14428
942.51268,2895.86811
944.06701,2913.50063
944.06701,2879.59193
945.62135,2916.21332
