Raman shift,Intensity
763.76372,3856.16231
765.31805,3854.80597
766.87239,3854.80597
768.42673,3853.44962
769.98107,3853.44962
771.53541,3852.09327
773.08975,3852.09327
774.64409,3853.44962
776.19843,3854.80597
777.75277,3856.16231
779.3071,3857.51866
780.86144,3858.87501
782.41578,3861.5877
783.97012,3862.94405
785.52446,3864.3004
787.0788,3865.65675
788.63314,3867.01309
790.18748,3867.01309
791.74181,3868.36944
793.29615,3869.72579
794.85049,3869.72579
796.40483,3868.36944
797.95917,3867.01309
799.51351,3867.01309
801.06785,3865.65675
802.62219,3861.5877
804.17652,3857.51866
805.73086,3852.09327
807.2852,3848.02423
808.83954,3843.95518
810.39388,3838.52979
811.94822,3833.1044
813.50256,3827.67901
815.0569,3823.60997
816.61123,3818.18458
818.16557,3814.11553
819.71991,3808.69014
821.27425,3805.97745
822.82859,3804.6211
824.38293,3801.9084
825.93727,3800.55206
827.49161,3801.9084
829.04594,3803.26475
830.60028,3804.6211
832.15462,3807.33379
833.70896,3808.69014
835.2633,3808.69014
836.81764,3811.40284
838.37198,3811.40284
839.92632,3812.75918
841.48066,3812.75918
843.03499,3812.75918
844.58933,3812.75918
846.14367,3814.11553
847.69801,3815.47188
849.25235,3816.82823
850.80669,3818.18458
852.36103,3819.54092
853.91537,3822.25362
855.4697,3823.60997
857.02404,3824.96631
858.57838,3826.32266
860.13272,3827.67901
861.68706,3829.03536
863.2414,3830.39171
864.79574,3831.74805
866.35008,3833.1044
867.90441,3831.74805
869.45875,3830.39171
871.01309,3829.03536
872.56743,3826.32266
874.12177,3822.25362
875.67611,3815.47188
877.23045,3810.04649
878.78479,3804.6211
880.33912,3797.83936
881.89346,3789.70127
883.4478,3784.27588
885.00214,3777.49414
886.55648,3769.35606
888.11082,3763.93067
889.66516,3758.50527
891.2195,3753.07988
892.77384,3750.36719
894.32817,3749.01084
895.88251,3747.65449
897.43685,3749.01084
898.99119,3751.72354
900.54553,3754.43623
902.09987,3758.50527
903.65421,3761.21797
905.20855,3765.28701
906.76288,3766.64336
908.31722,3767.99971
909.87156,3769.35606
911.4259,3769.35606
912.98024,3767.99971
914.53458,3765.28701
916.08892,3763.93067
917.64326,3762.57432
919.19759,3761.21797
920.75193,3759.86162
922.30627,3758.50527
923.86061,3755.79258
925.41495,3754.43623
926.96929,3753.07988
928.52363,3751.72354
930.07797,3751.72354
931.6323,3751.72354
933.18664,3750.36719
934.74098,3751.72354
936.29532,3754.43623
937.84966,3755.79258
939.404,3759.86162
940.95834,3762.57432
942.51268,3766.64336
944.06701,3770.7124
945.62135,3774.78145
947.17569,3777.49414
948.73003,3780.20684
950.28437,3781.56319
951.83871,3781.56319
953.39305,3780.20684
954.94739,3778.85049
956.50173,3778.85049
958.05606,3778.85049
959.6104,3778.85049
961.16474,3780.20684
962.71908,3781.56319
964.27342,3782.91953
965.82776,3784.27588
967.3821,3784.27588
968.93644,3782.91953
970.49077,3781.56319
972.04511,3778.85049
973.59945,3776.1378
975.15379,3774.78145
976.70813,3772.06875
978.26247,3770.7124
979.81681,3770.7124
981.37115,3770.7124
982.92548,3772.06875
984.47982,3772.06875
986.03416,3773.4251
987.5885,3772.06875
989.14284,3770.7124
990.69718,3769.35606
992.25152,3767.99971
993.80586,3765.28701
995.36019,3763.93067
996.91453,3763.93067
998.46887,3767.99971
1000.02321,3770.7124
1001.57755,3774.78145
1003.13189,3778.85049
1004.68623,3785.63223
1006.24057,3789.70127
1007.79491,3795.12666
1009.34924,3800.55206
1010.90358,3804.6211
1012.45792,3808.69014
1014.01226,3812.75918
1015.5666,3815.47188
1017.12094,3816.82823
1018.67528,3819.54092
1020.22962,3820.89727
1021.78395,3822.25362
1023.33829,3822.25362
1024.89263,3822.25362
1026.44697,3818.18458
1028.00131,3812.75918
1029.55565,3808.69014
1031.10999,3804.6211
1032.66433,3799.19571
1034.21866,3791.05762
1035.773,3785.63223
1037.32734,3781.56319
1038.88168,3766.64336
1038.88168,3765.28701
1038.88168,3777.49414
1038.88168,3767.99971
1040.43602,3769.35606
1040.43602,3776.1378
1041.99036,3776.1378
1041.99036,3777.49414
1041.99036,3778.85049
1041.99036,3780.20684
1041.99036,3770.7124
1041.99036,3772.06875
1041.99036,3773.4251
1041.99036,3774.78145
1041.99036,3776.1378
1043.5447,3778.85049
1043.5447,3780.20684
1045.09904,3781.56319
1045.09904,3782.91953
1046.65337,3786.98858
1046.65337,3782.91953
1046.65337,3796.48301
1046.65337,3795.12666
1046.65337,3793.77032
1046.65337,3792.41397
1046.65337,3791.05762
1046.65337,3789.70127
1046.65337,3788.34493
1046.65337,3786.98858
1046.65337,3785.63223
