Raman shift,Intensity
808.83954,2326.20205
808.83954,2331.62744
808.83954,2330.27109
808.83954,2327.5584
808.83954,2328.91475
810.39388,2330.27109
810.39388,2323.48935
810.39388,2322.13301
810.39388,2320.77666
810.39388,2319.42031
810.39388,2324.8457
811.94822,2318.06396
811.94822,2315.35127
811.94822,2313.99492
811.94822,2309.92588
811.94822,2316.70762
811.94822,2301.78779
813.50256,2303.14414
813.50256,2295.00605
813.50256,2296.3624
813.50256,2300.43144
813.50256,2308.56953
813.50256,2299.07509
813.50256,2311.28222
813.50256,2312.63857
813.50256,2297.71875
815.0569,2305.85683
815.0569,2304.50049
815.0569,2293.6497
815.0569,2307.21318
816.61123,2292.29336
816.61123,2289.58066
816.61123,2288.22431
816.61123,2290.93701
818.16557,2281.44257
818.16557,2286.86796
818.16557,2285.51162
818.16557,2284.15527
818.16557,2282.79892
819.71991,2284.15527
839.29551,2296.66161
864.79574,2297.71875
866.35008,2301.78779
866.35008,2297.71875
866.35008,2299.07509
867.90441,2305.85683
867.90441,2300.43144
867.90441,2308.56953
867.90441,2303.14414
867.90441,2304.50049
869.45875,2307.21318
869.45875,2315.35127
869.45875,2309.92588
869.45875,2311.28222
871.01309,2318.06396
871.01309,2313.99492
871.01309,2312.63857
871.01309,2316.70762
872.56743,2320.77666
872.56743,2319.42031
872.56743,2323.48935
872.56743,2324.8457
872.56743,2322.13301
874.12177,2326.20205
875.67611,2327.5584
877.23045,2328.91475
878.78479,2330.27109
880.33912,2331.62744
880.33912,2334.34014
880.33912,2332.98379
881.89346,2337.05283
881.89346,2335.69648
883.4478,2338.40918
885.00214,2342.47822
885.00214,2341.12187
885.00214,2339.76553
886.55648,2343.83457
888.11082,2345.19092
888.11082,2347.90361
888.11082,2346.54727
889.66516,2347.90361
891.2195,2349.25996
892.77384,2349.25996
892.77384,2350.61631
894.32817,2350.61631
895.88251,2351.97266
897.43685,2351.97266
898.99119,2351.97266
900.54553,2351.97266
902.09987,2351.97266
902.09987,2350.61631
903.65421,2350.61631
905.20855,2349.25996
906.76288,2349.25996
908.31722,2350.61631
909.87156,2350.61631
909.87156,2351.97266
911.4259,2351.97266
912.98024,2353.329
914.53458,2354.68535
916.08892,2356.0417
916.08892,2357.39805
917.64326,2357.39805
931.6323,2381.81231
933.18664,2381.81231
934.74098,2381.81231
936.29532,2381.81231
937.84966,2383.16866
939.404,2385.88135
939.404,2384.525
940.95834,2387.2377
942.51268,2388.59405
944.06701,2389.95039
944.06701,2392.66309
944.06701,2391.30674
945.62135,2394.01944
945.62135,2396.73213
945.62135,2395.37578
945.62135,2392.66309
947.17569,2398.08848
947.17569,2407.58291
947.17569,2403.51387
947.17569,2404.87022
947.17569,2406.22657
947.17569,2410.29561
948.73003,2400.80118
948.73003,2408.93926
948.73003,2411.65196
948.73003,2402.15752
948.73003,2399.44483
950.28437,2414.36465
950.28437,2417.07735
950.28437,2413.00831
950.28437,2415.721
951.83871,2419.79004
951.83871,2421.14639
951.83871,2418.4337
958.05606,2436.06622
958.05606,2434.70987
959.6104,2437.42257
961.16474,2438.77891
962.71908,2444.2043
962.71908,2438.77891
964.27342,2440.13526
964.27342,2441.49161
964.27342,2445.56065
965.82776,2441.49161
965.82776,2448.27335
965.82776,2444.2043
967.3821,2444.2043
967.3821,2442.84796
967.3821,2445.56065
967.3821,2455.05509
967.3821,2449.6297
967.3821,2445.56065
968.93644,2455.05509
968.93644,2448.27335
968.93644,2448.27335
968.93644,2446.917
970.49077,2457.76778
970.49077,2459.12413
970.49077,2459.12413
970.49077,2460.48048
970.49077,2448.27335
970.49077,2449.6297
970.49077,2450.98604
970.49077,2452.34239
970.49077,2461.83682
970.49077,2449.6297
972.04511,2456.41143
972.04511,2455.05509
972.04511,2465.90587
972.04511,2460.48048
972.04511,2453.69874
972.04511,2463.19317
972.04511,2453.69874
973.59945,2465.90587
973.59945,2467.26222
973.59945,2468.61856
973.59945,2465.90587
973.59945,2464.54952
973.59945,2459.12413
975.15379,2471.33126
975.15379,2469.97491
975.15379,2471.33126
975.15379,2461.83682
976.70813,2472.68761
976.70813,2471.33126
976.70813,2465.90587
978.26247,2475.4003
978.26247,2469.97491
978.26247,2471.33126
979.81681,2471.33126
979.81681,2476.75665
979.81681,2472.68761
981.37115,2472.68761
981.37115,2474.04395
981.37115,2474.04395
981.37115,2478.113
982.92548,2475.4003
982.92548,2478.113
982.92548,2475.4003
984.47982,2476.75665
