Raman shift,Intensity
752.29475,68.46953
753.91051,67.8117
753.91051,68.46953
755.52627,68.46953
755.52627,67.8117
757.14202,67.8117
757.14202,68.46953
758.75778,67.8117
758.75778,68.46953
760.37353,67.8117
760.37353,68.46953
761.98929,68.46953
761.98929,67.8117
763.60504,67.8117
763.60504,68.46953
765.2208,68.46953
765.2208,67.8117
766.83656,67.8117
766.83656,67.15388
768.45231,67.15388
768.45231,67.8117
770.06807,67.15388
770.06807,67.8117
771.68382,67.8117
771.68382,67.15388
773.29958,67.15388
773.29958,67.8117
774.91533,67.8117
774.91533,67.15388
776.53109,67.15388
776.53109,67.8117
778.14685,67.15388
778.14685,68.46953
779.7626,67.15388
779.7626,69.12735
781.37836,66.49605
781.37836,69.12735
782.99411,69.12735
782.99411,66.49605
784.60987,69.12735
784.60987,66.49605
786.22563,66.49605
786.22563,69.12735
787.84138,69.12735
787.84138,66.49605
789.45714,66.49605
789.45714,69.12735
791.07289,66.49605
791.07289,69.12735
792.68865,66.49605
792.68865,69.12735
794.3044,66.49605
794.3044,69.12735
795.92016,68.46953
795.92016,66.49605
797.53592,66.49605
797.53592,68.46953
799.15167,68.46953
799.15167,66.49605
800.76743,68.46953
800.76743,66.49605
802.38318,68.46953
802.38318,66.49605
803.99894,68.46953
803.99894,66.49605
805.61469,66.49605
805.61469,68.46953
807.23045,68.46953
807.23045,66.49605
808.84621,68.46953
808.84621,66.49605
810.46196,66.49605
810.46196,68.46953
812.07772,68.46953
812.07772,66.49605
813.69347,68.46953
813.69347,66.49605
815.30923,66.49605
815.30923,68.46953
816.92498,68.46953
816.92498,66.49605
818.54074,68.46953
818.54074,66.49605
820.1565,66.49605
820.1565,68.46953
821.77225,66.49605
821.77225,68.46953
823.38801,68.46953
823.38801,66.49605
825.00376,66.49605
825.00376,68.46953
826.61952,66.49605
826.61952,68.46953
828.23528,66.49605
828.23528,68.46953
829.85103,66.49605
829.85103,68.46953
831.46679,68.46953
831.46679,66.49605
833.08254,66.49605
833.08254,68.46953
834.6983,66.49605
834.6983,68.46953
836.31405,68.46953
836.31405,66.49605
837.92981,66.49605
837.92981,68.46953
839.54557,68.46953
839.54557,66.49605
841.16132,68.46953
841.16132,66.49605
842.77708,66.49605
842.77708,68.46953
844.39283,66.49605
844.39283,68.46953
846.00859,66.49605
846.00859,68.46953
847.62434,66.49605
847.62434,68.46953
849.2401,66.49605
849.2401,68.46953
850.85586,68.46953
850.85586,66.49605
852.47161,66.49605
852.47161,68.46953
854.08737,68.46953
854.08737,66.49605
855.70312,68.46953
855.70312,66.49605
857.31888,66.49605
857.31888,68.46953
858.93464,68.46953
858.93464,66.49605
860.55039,66.49605
860.55039,68.46953
862.16615,67.8117
862.16615,66.49605
863.7819,66.49605
863.7819,67.15388
865.39766,67.15388
865.39766,66.49605
867.01341,66.49605
867.01341,67.15388
868.62917,67.15388
868.62917,66.49605
870.24493,66.49605
870.24493,67.15388
871.86068,66.49605
871.86068,67.15388
873.47644,67.15388
873.47644,66.49605
875.09219,66.49605
875.09219,67.15388
876.70795,67.15388
876.70795,66.49605
878.3237,67.15388
878.3237,66.49605
879.93946,66.49605
879.93946,67.15388
881.55522,67.15388
881.55522,66.49605
883.17097,67.15388
883.17097,66.49605
884.78673,66.49605
884.78673,67.15388
886.40248,66.49605
886.40248,67.15388
888.01824,67.15388
888.01824,66.49605
889.63399,67.15388
889.63399,66.49605
891.24975,67.15388
891.24975,66.49605
892.86551,67.15388
892.86551,66.49605
894.48126,67.15388
894.48126,66.49605
896.09702,67.15388
896.09702,66.49605
897.71277,67.15388
897.71277,66.49605
899.32853,67.15388
899.32853,66.49605
900.94429,66.49605
900.94429,67.15388
902.56004,67.15388
902.56004,66.49605
904.1758,66.49605
904.1758,67.15388
905.79155,67.15388
905.79155,66.49605
907.40731,66.49605
907.40731,67.15388
909.02306,67.15388
909.02306,66.49605
910.63882,66.49605
910.63882,67.15388
912.25458,66.49605
912.25458,67.15388
913.87033,66.49605
913.87033,67.15388
915.48609,67.15388
915.48609,66.49605
917.10184,66.49605
917.10184,67.15388
918.7176,67.15388
918.7176,66.49605
920.33335,67.15388
920.33335,66.49605
921.94911,66.49605
921.94911,67.15388
923.56487,67.15388
923.56487,66.49605
925.18062,66.49605
925.18062,67.15388
926.79638,66.49605
926.79638,67.15388
928.41213,67.15388
928.41213,66.49605
930.02789,66.49605
930.02789,67.15388
931.64365,67.15388
931.64365,66.49605
933.2594,67.15388
933.2594,66.49605
934.87516,66.49605
934.87516,67.15388
936.49091,67.15388
936.49091,66.49605
938.10667,66.49605
938.10667,67.15388
939.72242,67.15388
939.72242,66.49605
941.33818,67.15388
941.33818,66.49605
942.95394,66.49605
942.95394,67.15388
944.56969,66.49605
944.56969,67.15388
946.18545,67.15388
946.18545,66.49605
947.8012,66.49605
947.8012,67.15388
949.41696,66.49605
949.41696,67.15388
951.03271,67.15388
951.03271,66.49605
952.64847,67.15388
952.64847,66.49605
954.26423,66.49605
954.26423,67.15388
955.87998,66.49605
955.87998,67.15388
957.49574,66.49605
957.49574,67.15388
959.11149,67.15388
959.11149,66.49605
960.72725,66.49605
960.72725,67.15388
962.343,67.15388
962.343,66.49605
963.95876,66.49605
963.95876,67.15388
965.57452,67.15388
965.57452,66.49605
967.19027,66.49605
967.19027,67.15388
968.80603,67.15388
968.80603,66.49605
970.42178,66.49605
970.42178,67.15388
972.03754,67.15388
972.03754,66.49605
973.6533,66.49605
973.6533,67.15388
975.26905,67.15388
975.26905,66.49605
976.88481,66.49605
976.88481,67.15388
978.50056,67.15388
978.50056,66.49605
980.11632,67.15388
980.11632,66.49605
981.73207,66.49605
981.73207,67.15388
983.34783,67.15388
983.34783,66.49605
984.96359,66.49605
984.96359,67.15388
986.57934,66.49605
986.57934,67.15388
988.1951,67.15388
988.1951,66.49605
989.81085,67.15388
989.81085,67.8117
991.42661,67.8117
991.42661,68.46953
993.04236,68.46953
993.04236,69.12735
994.65812,68.46953
994.65812,69.12735
996.27388,69.12735
996.27388,68.46953
997.88963,68.46953
997.88963,69.12735
999.50539,69.12735
999.50539,68.46953
1001.12114,68.46953
1001.12114,69.12735
1002.7369,69.12735
1002.7369,68.46953
1004.35266,68.46953
1004.35266,69.12735
1005.96841,69.12735
1005.96841,68.46953
1007.58417,68.46953
1007.58417,67.8117
1009.19992,69.12735
1009.19992,67.15388
1010.81568,67.15388
1010.81568,69.12735
1012.43143,67.15388
1012.43143,69.12735
1014.04719,69.12735
1014.04719,67.15388
