Raman shift,Intensity
753.60413,316.56745
755.67159,316.56745
757.73905,316.56745
759.80651,315.85937
761.87398,315.85937
763.94144,315.1513
766.0089,315.1513
768.07636,315.1513
770.14383,315.1513
772.21129,315.1513
774.27875,315.1513
776.34621,315.1513
778.41368,315.1513
780.48114,315.1513
782.5486,315.1513
784.61606,315.1513
786.68353,315.1513
788.75099,315.1513
790.81845,314.44323
792.88591,314.44323
794.95338,314.44323
797.02084,314.44323
799.0883,314.44323
801.15576,314.44323
803.22323,314.44323
805.29069,314.44323
807.35815,314.44323
809.42561,314.44323
811.49308,315.1513
813.56054,315.85937
815.628,316.56745
817.69546,316.56745
819.76293,316.56745
821.83039,315.85937
823.89785,315.1513
825.96531,315.85937
828.03278,315.85937
830.10024,315.1513
832.1677,314.44323
834.23516,314.44323
836.30262,315.1513
838.37009,315.85937
840.43755,316.56745
842.50501,316.56745
844.57247,316.56745
846.63994,315.85937
848.7074,315.1513
850.77486,314.44323
852.84232,315.1513
854.90979,315.85937
856.97725,316.56745
859.04471,316.56745
861.11217,316.56745
863.17964,316.56745
865.2471,315.85937
867.31456,315.1513
869.38202,314.44323
871.44949,313.73515
873.51695,313.73515
875.58441,313.73515
877.65187,313.73515
879.71934,313.73515
881.7868,314.44323
883.85426,315.1513
885.92172,315.85937
887.98919,315.85937
890.05665,315.85937
892.12411,315.1513
894.19157,314.44323
896.25904,315.1513
898.3265,315.1513
900.39396,314.44323
902.46142,313.73515
904.52889,313.02708
906.59635,313.02708
908.66381,313.02708
910.73127,313.02708
912.79874,313.02708
914.8662,313.02708
916.93366,313.73515
919.00112,314.44323
921.06859,315.1513
923.13605,315.85937
925.20351,315.85937
927.27097,315.85937
929.33844,315.85937
931.4059,315.85937
933.47336,315.85937
935.54082,315.85937
937.60829,315.85937
939.67575,315.85937
941.74321,315.85937
943.81067,315.85937
945.87814,315.85937
947.9456,315.85937
950.01306,315.85937
952.08052,315.85937
954.14799,315.85937
956.21545,315.85937
958.28291,315.85937
960.35037,315.85937
962.41784,315.85937
964.4853,315.85937
966.55276,315.85937
968.62022,315.1513
970.68769,314.44323
972.75515,313.73515
974.82261,313.02708
976.89007,313.02708
978.95754,313.02708
981.025,313.02708
983.09246,313.02708
985.15992,313.73515
987.22739,313.73515
989.29485,313.73515
991.36231,313.73515
993.42977,313.73515
995.49724,313.73515
997.5647,313.73515
999.63216,313.73515
1001.69962,313.73515
1003.76709,313.73515
1005.83455,313.73515
1007.90201,313.73515
1009.96947,313.73515
1012.03694,313.73515
1014.1044,314.44323
1016.17186,314.44323
1018.23932,314.44323
1020.30679,315.1513
1022.37425,314.44323
1024.44171,314.44323
1026.50917,314.44323
1028.57663,315.1513
1030.6441,315.1513
1032.71156,315.1513
1034.77902,315.85937
1036.84648,315.85937
1038.91395,321.52396
1038.91395,315.85937
1038.91395,316.56745
1040.98141,317.27552
1040.98141,322.23203
1040.98141,320.81589
1040.98141,316.56745
1043.04887,317.27552
1043.04887,322.94011
1043.04887,320.10781
1043.04887,317.98359
1043.04887,318.69167
1045.11633,318.69167
1045.11633,319.39974
1045.11633,323.64818
1045.11633,327.89662
