Raman shift,Intensity
764.08093,3038.33421
770.26295,3049.12218
792.93036,3043.72819
825.93727,3019.29575
825.93727,3020.6521
825.93727,3022.00845
827.49161,3023.36479
829.04594,3030.14653
829.04594,3024.72114
830.60028,3031.50288
830.60028,3026.07749
830.60028,3027.43384
830.60028,3028.79018
832.15462,3032.85923
833.70896,3032.85923
833.70896,3034.21558
833.70896,3036.92827
833.70896,3038.28462
833.70896,3039.64097
833.70896,3040.99731
833.70896,3035.57192
835.2633,3042.35366
835.2633,3043.71001
835.2633,3040.99731
836.81764,3045.06636
838.37198,3046.42271
839.92632,3047.77905
841.48066,3049.1354
843.03499,3050.49175
844.58933,3050.49175
846.14367,3050.49175
847.69801,3051.8481
849.25235,3053.20444
850.80669,3054.56079
852.36103,3055.91714
853.91537,3057.27349
853.91537,3055.91714
855.4697,3058.62984
857.02404,3058.62984
858.57838,3058.62984
860.13272,3059.98618
861.68706,3059.98618
863.2414,3059.98618
864.79574,3059.98618
866.35008,3058.62984
867.90441,3057.27349
869.45875,3055.91714
871.01309,3054.56079
872.56743,3054.56079
874.12177,3054.56079
875.67611,3053.20444
877.23045,3053.20444
878.78479,3053.20444
880.33912,3054.56079
881.89346,3053.20444
883.4478,3054.56079
885.00214,3055.91714
886.55648,3057.27349
888.11082,3058.62984
889.66516,3058.62984
891.2195,3058.62984
892.77384,3057.27349
894.32817,3057.27349
895.88251,3055.91714
897.43685,3054.56079
898.99119,3053.20444
900.54553,3051.8481
902.09987,3051.8481
903.65421,3051.8481
905.20855,3053.20444
906.76288,3054.56079
906.76288,3053.20444
908.31722,3054.56079
909.87156,3055.91714
909.87156,3054.56079
911.4259,3055.91714
911.4259,3057.27349
912.98024,3058.62984
912.98024,3057.27349
912.98024,3059.98618
914.53458,3061.34253
916.08892,3061.34253
917.64326,3061.34253
919.19759,3061.34253
920.75193,3064.05523
920.75193,3062.69888
922.30627,3064.05523
923.86061,3065.41157
923.86061,3064.05523
925.41495,3065.41157
925.41495,3066.76792
925.41495,3069.48062
925.41495,3068.12427
925.41495,3070.83697
926.96929,3070.83697
928.52363,3070.83697
930.07797,3070.83697
931.6323,3070.83697
933.18664,3070.83697
934.74098,3070.83697
936.29532,3072.19331
936.29532,3073.54966
937.84966,3024.72114
937.84966,3073.54966
937.84966,3023.36479
937.84966,3074.90601
939.404,3074.90601
939.404,3026.07749
939.404,3027.43384
940.95834,3027.43384
940.95834,3074.90601
940.95834,3076.26236
942.51268,3034.21558
942.51268,3030.14653
942.51268,3028.79018
942.51268,3035.57192
942.51268,3036.92827
942.51268,3038.28462
942.51268,3032.85923
942.51268,3031.50288
942.51268,3076.26236
944.06701,3039.64097
944.06701,3076.26236
945.62135,3039.64097
945.62135,3077.6187
945.62135,3078.97505
945.62135,3080.3314
945.62135,3081.68775
945.62135,3083.04409
945.62135,3084.40044
945.62135,3085.75679
947.17569,3039.64097
947.17569,3040.99731
947.17569,3042.35366
947.17569,3085.75679
948.73003,3045.06636
948.73003,3043.71001
948.73003,3085.75679
950.28437,3085.75679
950.28437,3046.42271
950.28437,3045.06636
951.83871,3085.75679
951.83871,3046.42271
953.39305,3046.42271
953.39305,3087.11314
954.94739,3087.11314
954.94739,3046.42271
956.50173,3046.42271
956.50173,3087.11314
958.05606,3085.75679
958.05606,3046.42271
959.6104,3084.40044
959.6104,3046.42271
961.16474,3046.42271
961.16474,3047.77905
961.16474,3084.40044
961.16474,3066.76792
961.16474,3051.8481
961.16474,3049.1354
962.71908,3050.49175
962.71908,3083.04409
962.71908,3084.40044
962.71908,3085.75679
962.71908,3087.11314
962.71908,3088.46949
962.71908,3089.82583
962.71908,3095.25122
962.71908,3068.12427
962.71908,3054.56079
962.71908,3055.91714
962.71908,3053.20444
962.71908,3061.34253
962.71908,3065.41157
964.27342,3083.04409
