Raman shift,Intensity
763.76372,3279.71452
765.31805,3281.07087
766.87239,3281.07087
768.42673,3283.78356
768.42673,3281.07087
768.42673,3282.42721
769.98107,3282.42721
771.53541,3283.78356
773.08975,3285.13991
774.64409,3286.49626
776.19843,3287.85261
777.75277,3287.85261
779.3071,3287.85261
780.86144,3287.85261
782.41578,3279.71452
782.41578,3287.85261
782.41578,3286.49626
782.41578,3285.13991
782.41578,3283.78356
782.41578,3282.42721
782.41578,3281.07087
783.97012,3279.71452
785.52446,3278.35817
787.0788,3278.35817
788.63314,3278.35817
790.18748,3277.00182
791.74181,3277.00182
793.29615,3277.00182
794.85049,3278.35817
796.40483,3279.71452
797.95917,3281.07087
797.95917,3279.71452
799.51351,3279.71452
801.06785,3279.71452
801.06785,3278.35817
802.62219,3277.00182
802.62219,3278.35817
804.17652,3272.93278
804.17652,3275.64548
804.17652,3274.28913
805.73086,3271.57643
807.2852,3271.57643
808.83954,3271.57643
810.39388,3270.22008
811.94822,3270.22008
813.50256,3270.22008
815.0569,3270.22008
816.61123,3270.22008
818.16557,3271.57643
819.71991,3271.57643
821.27425,3271.57643
822.82859,3271.57643
824.38293,3272.93278
825.93727,3274.28913
827.49161,3275.64548
829.04594,3277.00182
830.60028,3277.00182
832.15462,3277.00182
833.70896,3277.00182
835.2633,3277.00182
836.81764,3277.00182
838.37198,3277.00182
838.37198,3275.64548
839.92632,3278.35817
839.92632,3277.00182
841.48066,3278.35817
843.03499,3278.35817
844.58933,3278.35817
846.14367,3279.71452
847.69801,3279.71452
849.25235,3279.71452
850.80669,3279.71452
852.36103,3279.71452
853.91537,3286.49626
853.91537,3281.07087
853.91537,3282.42721
853.91537,3283.78356
853.91537,3285.13991
855.4697,3286.49626
857.02404,3286.49626
858.57838,3285.13991
860.13272,3285.13991
861.68706,3285.13991
863.2414,3286.49626
864.79574,3287.85261
866.35008,3289.20895
867.90441,3287.85261
869.45875,3286.49626
871.01309,3285.13991
872.56743,3283.78356
874.12177,3282.42721
875.67611,3282.42721
877.23045,3282.42721
878.78479,3282.42721
880.33912,3282.42721
881.89346,3282.42721
883.4478,3282.42721
885.00214,3282.42721
886.55648,3282.42721
888.11082,3282.42721
889.66516,3282.42721
891.2195,3283.78356
892.77384,3285.13991
894.32817,3286.49626
895.88251,3286.49626
897.43685,3286.49626
898.99119,3286.49626
900.54553,3285.13991
902.09987,3283.78356
903.65421,3282.42721
905.20855,3281.07087
906.76288,3281.07087
908.31722,3281.07087
909.87156,3281.07087
911.4259,3279.71452
912.98024,3278.35817
914.53458,3277.00182
916.08892,3275.64548
917.64326,3275.64548
919.19759,3281.07087
919.19759,3277.00182
919.19759,3278.35817
919.19759,3279.71452
919.19759,3282.42721
919.19759,3285.13991
919.19759,3283.78356
919.19759,3286.49626
920.75193,3287.85261
922.30627,3289.20895
923.86061,3289.20895
925.41495,3289.20895
926.96929,3289.20895
928.52363,3289.20895
930.07797,3289.20895
931.6323,3289.20895
933.18664,3289.20895
933.18664,3290.5653
934.74098,3294.63434
934.74098,3290.5653
934.74098,3291.92165
934.74098,3293.278
934.74098,3297.34704
934.74098,3295.99069
936.29532,3297.34704
937.84966,3297.34704
939.404,3295.99069
940.95834,3294.63434
942.51268,3293.278
944.06701,3291.92165
945.62135,3291.92165
947.17569,3291.92165
948.73003,3293.278
950.28437,3294.63434
951.83871,3295.99069
953.39305,3295.99069
954.94739,3297.34704
956.50173,3295.99069
958.05606,3295.99069
959.6104,3295.99069
961.16474,3295.99069
962.71908,3297.34704
964.27342,3295.99069
965.82776,3294.63434
967.3821,3293.278
968.93644,3293.278
970.49077,3298.70339
970.49077,3294.63434
970.49077,3295.99069
970.49077,3297.34704
972.04511,3305.48513
972.04511,3300.05973
972.04511,3301.41608
972.04511,3302.77243
972.04511,3304.12878
973.59945,3306.84147
975.15379,3306.84147
976.70813,3308.19782
978.26247,3309.55417
979.81681,3316.33591
979.81681,3310.91052
979.81681,3312.26686
979.81681,3313.62321
979.81681,3314.97956
981.37115,3316.33591
982.92548,3321.7613
982.92548,3317.69226
982.92548,3319.0486
982.92548,3320.40495
984.47982,3321.7613
986.03416,3323.11765
987.5885,3324.47399
989.14284,3324.47399
990.69718,3332.61208
990.69718,3325.83034
990.69718,3327.18669
990.69718,3328.54304
990.69718,3329.89939
990.69718,3331.25573
992.25152,3333.96843
993.80586,3333.96843
995.36019,3397.71677
995.36019,3335.32478
995.36019,3336.68112
995.36019,3338.03747
995.36019,3396.36043
995.36019,3392.29138
995.36019,3399.07312
995.36019,3395.00408
995.36019,3393.64773
996.91453,3388.22234
996.91453,3405.85486
996.91453,3400.42947
996.91453,3403.14216
996.91453,3339.39382
996.91453,3401.78582
996.91453,3390.93503
996.91453,3407.21121
996.91453,3404.49851
998.46887,3340.75017
998.46887,3389.57869
998.46887,3381.4406
998.46887,3369.23347
998.46887,3408.56756
998.46887,3409.9239
998.46887,3411.28025
998.46887,3412.6366
998.46887,3386.86599
998.46887,3415.34929
998.46887,3416.70564
1000.02321,3418.06199
1000.02321,3413.99295
1000.02321,3420.77468
1000.02321,3342.10652
1000.02321,3419.41834
