Raman shift,Intensity
762.20938,1633.10835
763.76372,1634.4647
765.31805,1637.17739
765.31805,1635.82104
766.87239,1637.17739
768.42673,1637.17739
769.98107,1637.17739
771.53541,1638.53374
771.53541,1637.17739
773.08975,1641.24644
773.08975,1638.53374
773.08975,1639.89009
773.08975,1645.31548
773.08975,1642.60278
773.08975,1643.95913
774.64409,1645.31548
776.19843,1645.31548
777.75277,1643.95913
779.3071,1642.60278
780.86144,1643.95913
782.41578,1645.31548
783.97012,1645.31548
785.52446,1641.24644
785.52446,1645.31548
787.0788,1643.95913
787.0788,1642.60278
787.0788,1639.89009
788.63314,1637.17739
788.63314,1642.60278
788.63314,1641.24644
790.18748,1641.24644
790.18748,1639.89009
790.18748,1635.82104
791.74181,1633.10835
791.74181,1637.17739
791.74181,1638.53374
793.29615,1637.17739
793.29615,1631.752
793.29615,1635.82104
793.29615,1634.4647
794.85049,1627.68296
794.85049,1629.03931
794.85049,1630.39565
794.85049,1633.10835
794.85049,1630.39565
794.85049,1631.752
794.85049,1634.4647
796.40483,1629.03931
796.40483,1627.68296
797.95917,1629.03931
797.95917,1627.68296
799.51351,1627.68296
799.51351,1630.39565
801.06785,1630.39565
801.06785,1629.03931
801.06785,1627.68296
802.62219,1631.752
802.62219,1629.03931
802.62219,1630.39565
804.17652,1633.10835
804.17652,1630.39565
805.73086,1631.752
805.73086,1634.4647
805.73086,1630.39565
807.2852,1635.82104
807.2852,1631.752
807.2852,1633.10835
808.83954,1634.4647
808.83954,1633.10835
808.83954,1637.17739
810.39388,1634.4647
810.39388,1638.53374
810.39388,1635.82104
811.94822,1639.89009
811.94822,1635.82104
811.94822,1637.17739
813.50256,1641.24644
813.50256,1637.17739
813.50256,1638.53374
813.50256,1639.89009
813.50256,1641.24644
813.50256,1642.60278
813.50256,1643.95913
815.0569,1643.95913
815.0569,1641.24644
816.61123,1642.60278
816.61123,1642.60278
818.16557,1641.24644
818.16557,1642.60278
819.71991,1639.89009
819.71991,1642.60278
821.27425,1642.60278
821.27425,1641.24644
822.82859,1643.95913
822.82859,1642.60278
824.38293,1642.60278
824.38293,1643.95913
825.93727,1643.95913
825.93727,1641.24644
827.49161,1643.95913
827.49161,1639.89009
829.04594,1635.82104
829.04594,1642.60278
829.04594,1634.4647
829.04594,1638.53374
829.04594,1638.53374
829.04594,1631.752
829.04594,1633.10835
829.04594,1639.89009
829.04594,1641.24644
829.04594,1637.17739
830.60028,1631.752
830.60028,1635.82104
832.15462,1631.752
832.15462,1630.39565
832.15462,1634.4647
832.15462,1629.03931
832.15462,1627.68296
833.70896,1630.39565
833.70896,1626.32661
833.70896,1624.97026
833.70896,1627.68296
835.2633,1629.03931
835.2633,1624.97026
836.81764,1622.25757
836.81764,1623.61391
836.81764,1626.32661
836.81764,1624.97026
838.37198,1622.25757
838.37198,1623.61391
839.92632,1622.25757
839.92632,1615.47583
839.92632,1620.90122
839.92632,1620.90122
839.92632,1619.54487
839.92632,1616.83218
839.92632,1618.18852
841.48066,1614.11948
841.48066,1619.54487
843.03499,1615.47583
843.03499,1612.76313
844.58933,1614.11948
844.58933,1612.76313
844.58933,1610.05044
846.14367,1612.76313
846.14367,1607.33774
846.14367,1608.69409
846.14367,1611.40678
846.14367,1612.76313
847.69801,1612.76313
849.25235,1614.11948
850.80669,1615.47583
852.36103,1616.83218
853.91537,1619.54487
855.4697,1622.25757
857.02404,1624.97026
858.57838,1627.68296
860.13272,1630.39565
861.68706,1633.10835
863.2414,1637.17739
864.79574,1638.53374
866.35008,1641.24644
867.90441,1643.95913
869.45875,1643.95913
871.01309,1643.95913
872.56743,1643.95913
874.12177,1643.95913
875.67611,1642.60278
877.23045,1639.89009
878.78479,1638.53374
880.33912,1635.82104
881.89346,1631.752
883.4478,1629.03931
885.00214,1623.61391
886.55648,1619.54487
888.11082,1615.47583
889.66516,1608.69409
891.2195,1603.2687
892.77384,1597.84331
894.32817,1592.41792
895.88251,1588.34887
897.43685,1585.63618
898.99119,1581.56713
900.54553,1578.85444
902.09987,1578.85444
903.65421,1578.85444
905.20855,1578.85444
906.76288,1580.21079
908.31722,1582.92348
909.87156,1584.27983
911.4259,1586.99253
912.98024,1589.70522
914.53458,1592.41792
916.08892,1593.77426
917.64326,1595.13061
919.19759,1597.84331
920.75193,1599.19966
922.30627,1600.556
923.86061,1600.556
925.41495,1600.556
926.96929,1597.84331
928.52363,1592.41792
930.07797,1589.70522
931.6323,1584.27983
933.18664,1578.85444
934.74098,1573.42905
936.29532,1568.00366
937.84966,1565.29096
939.404,1561.22192
940.95834,1558.50922
942.51268,1557.15287
944.06701,1557.15287
945.62135,1558.50922
947.17569,1559.86557
948.73003,1562.57827
950.28437,1566.64731
951.83871,1569.36
953.39305,1574.7854
954.94739,1577.49809
956.50173,1580.21079
958.05606,1582.92348
959.6104,1586.99253
961.16474,1589.70522
962.71908,1591.06157
964.27342,1592.41792
965.82776,1593.77426
967.3821,1595.13061
968.93644,1596.48696
970.49077,1597.84331
972.04511,1600.556
973.59945,1601.91235
975.15379,1604.62505
976.70813,1607.33774
978.26247,1608.69409
979.81681,1611.40678
981.37115,1612.76313
982.92548,1615.47583
984.47982,1618.18852
986.03416,1619.54487
987.5885,1619.54487
989.14284,1616.83218
990.69718,1614.11948
992.25152,1611.40678
993.80586,1607.33774
995.36019,1603.2687
996.91453,1599.19966
998.46887,1593.77426
1000.02321,1589.70522
1001.57755,1584.27983
1003.13189,1578.85444
1004.68623,1574.7854
1006.24057,1570.71635
1007.79491,1568.00366
1009.34924,1565.29096
1010.90358,1562.57827
1012.45792,1562.57827
1014.01226,1562.57827
1015.5666,1562.57827
1017.12094,1562.57827
1018.67528,1563.93461
1020.22962,1565.29096
1021.78395,1566.64731
1023.33829,1568.00366
1024.89263,1568.00366
1026.44697,1569.36
1028.00131,1568.00366
1029.55565,1566.64731
1031.10999,1563.93461
1032.66433,1561.22192
1034.21866,1557.15287
1035.773,1554.44018
1037.32734,1553.08383
1038.88168,1554.44018
1040.43602,1557.15287
1041.99036,1561.22192
1043.5447,1566.64731
1045.09904,1570.71635
1046.65337,1574.7854
1048.20771,1580.21079
1049.76205,1584.27983
1051.31639,1588.34887
1052.87073,1593.77426
1054.42507,1597.84331
1055.97941,1600.556
1057.53375,1601.91235
1059.08808,1604.62505
1060.64242,1605.98139
1062.19676,1605.98139
1063.7511,1605.98139
1065.30544,1603.2687
1066.85978,1597.84331
1068.41412,1592.41792
1069.96846,1586.99253
1071.5228,1581.56713
1073.07713,1573.42905
1074.63147,1563.93461
1076.18581,1558.50922
1077.74015,1551.72748
1079.29449,1544.94575
1080.84883,1540.8767
1082.40317,1535.45131
1083.95751,1532.73862
1085.51184,1531.38227
1087.06618,1530.02592
1088.62052,1530.02592
1090.17486,1530.02592
1091.7292,1530.02592
1093.28354,1530.02592
1094.83788,1531.38227
1096.39222,1535.45131
1097.94655,1538.16401
1099.50089,1540.8767
1101.05523,1544.94575
1102.60957,1549.01479
1104.16391,1555.79653
1105.71825,1572.0727
1105.71825,1559.86557
1107.27259,1561.22192
1107.27259,1572.0727
1107.27259,1570.71635
1108.82693,1569.36
1108.82693,1565.29096
1110.38126,1568.00366
1110.38126,1569.36
1111.9356,1569.36
1111.9356,1568.00366
1113.48994,1569.36
1113.48994,1566.64731
1115.04428,1566.64731
1115.04428,1568.00366
1115.04428,1569.36
1116.59862,1565.29096
1116.59862,1568.00366
1116.59862,1566.64731
1118.15296,1566.64731
1118.15296,1565.29096
1118.15296,1563.93461
1119.7073,1562.57827
1119.7073,1565.29096
1121.26164,1565.29096
1121.26164,1563.93461
1121.26164,1558.50922
1121.26164,1561.22192
1121.26164,1561.22192
1121.26164,1562.57827
1121.26164,1559.86557
1122.81598,1559.86557
1122.81598,1558.50922
1122.81598,1557.15287
1122.81598,1555.79653
1124.37031,1555.79653
1124.37031,1554.44018
1124.37031,1558.50922
1125.92465,1557.15287
1125.92465,1554.44018
1125.92465,1553.08383
1125.92465,1551.72748
