Raman shift,Intensity
762.87479,845.77163
765.08702,845.77163
767.29926,846.55255
769.51149,847.33346
771.72373,848.11437
773.93596,848.89528
776.1482,848.89528
778.36044,848.89528
780.57267,848.11437
782.78491,848.89528
784.99714,848.89528
787.20938,848.11437
789.42161,847.33346
791.63385,847.33346
793.84609,848.11437
796.05832,848.89528
798.27056,849.6762
800.48279,848.89528
802.69503,848.89528
804.90726,848.89528
804.90726,848.11437
807.1195,848.11437
809.33173,848.11437
811.54397,847.33346
813.75621,847.33346
813.75621,846.55255
813.75621,845.77163
815.96844,845.77163
818.18068,845.77163
820.39291,845.77163
822.60515,844.99072
822.60515,844.20981
822.60515,843.42889
822.60515,842.64798
822.60515,841.86707
824.81738,841.86707
827.02962,841.86707
829.24186,841.86707
831.45409,842.64798
833.66633,843.42889
835.87856,844.20981
838.0908,844.20981
840.30303,844.99072
842.51527,844.20981
844.72751,843.42889
846.93974,844.20981
849.15198,844.99072
851.36421,844.99072
853.57645,844.99072
855.78868,844.99072
858.00092,844.20981
860.21315,844.99072
862.42539,845.77163
864.63763,845.77163
866.84986,846.55255
869.0621,846.55255
871.27433,845.77163
873.48657,844.99072
875.6988,844.20981
877.91104,844.20981
880.12328,844.99072
882.33551,845.77163
884.54775,846.55255
886.75998,846.55255
886.75998,845.77163
888.97222,845.77163
891.18445,845.77163
891.18445,844.99072
893.39669,844.99072
895.60892,844.99072
895.60892,844.20981
897.82116,844.20981
897.82116,843.42889
900.0334,843.42889
902.24563,843.42889
904.45787,843.42889
906.6701,842.64798
908.88234,842.64798
911.09457,838.74342
911.09457,839.52433
911.09457,840.30524
911.09457,841.08616
911.09457,841.86707
913.30681,838.74342
915.51905,839.52433
917.73128,838.74342
919.94352,837.9625
922.15575,837.9625
924.36799,837.9625
926.58022,837.9625
928.79246,838.74342
931.0047,838.74342
931.0047,839.52433
933.21693,839.52433
933.21693,840.30524
935.42917,840.30524
935.42917,841.08616
937.6414,841.08616
939.85364,841.08616
939.85364,843.42889
939.85364,844.99072
939.85364,844.20981
939.85364,841.86707
939.85364,842.64798
942.06587,845.77163
942.06587,844.99072
944.27811,845.77163
944.27811,846.55255
946.49034,846.55255
948.70258,846.55255
950.91482,846.55255
953.12705,846.55255
953.12705,850.45711
955.33929,851.23802
955.33929,847.33346
955.33929,848.11437
955.33929,848.89528
955.33929,849.6762
957.55152,852.01893
959.76376,855.9235
959.76376,868.4181
959.76376,852.79985
959.76376,853.58076
959.76376,854.36167
959.76376,855.14259
959.76376,856.70441
959.76376,857.48532
959.76376,869.19902
959.76376,873.10358
959.76376,870.76084
959.76376,869.97993
961.97599,858.26624
961.97599,861.38989
961.97599,872.32267
961.97599,871.54175
961.97599,873.88449
961.97599,874.66541
961.97599,875.44632
961.97599,876.22723
961.97599,877.00814
961.97599,867.63719
961.97599,880.1318
961.97599,879.35088
964.18823,878.56997
964.18823,880.91271
964.18823,887.16001
964.18823,882.47453
964.18823,877.78906
964.18823,883.25545
964.18823,859.04715
964.18823,859.82806
964.18823,860.60898
964.18823,862.1708
964.18823,862.95171
964.18823,863.73263
964.18823,864.51354
964.18823,865.29445
964.18823,887.94092
964.18823,866.85628
964.18823,884.03636
964.18823,884.81727
964.18823,886.3791
966.40047,885.59818
966.40047,881.69362
966.40047,866.07537
966.40047,888.72184
966.40047,889.50275
966.40047,890.28366
968.6127,891.06457
968.6127,899.65462
968.6127,892.6264
968.6127,893.40731
968.6127,894.18823
968.6127,894.96914
968.6127,895.75005
968.6127,896.53096
968.6127,897.31188
968.6127,900.43553
968.6127,898.8737
970.82494,891.84549
970.82494,898.09279
970.82494,901.21644
970.82494,905.121
970.82494,902.77827
970.82494,903.55918
970.82494,904.34009
970.82494,908.24466
970.82494,907.46374
970.82494,906.68283
973.03717,905.90192
