Raman shift,Intensity
765.08702,720.04467
769.51149,720.04467
773.93596,730.19654
782.78491,722.38741
784.99714,720.04467
791.63385,732.53928
791.63385,720.04467
809.33173,727.8538
818.18068,720.04467
818.18068,713.01646
818.18068,720.04467
818.18068,713.01646
829.24186,701.30277
835.87856,720.04467
835.87856,709.11189
835.87856,709.11189
835.87856,720.04467
838.0908,713.79737
838.0908,713.79737
862.42539,728.63471
862.42539,728.63471
866.84986,722.38741
866.84986,722.38741
886.75998,734.1011
886.75998,734.1011
904.45787,732.53928
904.45787,723.94924
904.45787,723.94924
904.45787,732.53928
906.6701,721.6065
906.6701,721.6065
915.51905,713.79737
915.51905,713.79737
931.0047,713.79737
931.0047,705.98824
937.6414,694.27455
939.85364,701.30277
959.76376,701.30277
968.6127,706.76916
975.24941,721.6065
984.09835,722.38741
992.94729,736.44384
1004.00847,692.71273
1006.22071,693.49364
1008.43294,708.33098
1008.43294,694.27455
1010.64518,694.27455
1012.85741,707.55007
1012.85741,694.27455
1015.06965,707.55007
1015.06965,694.27455
1017.28189,693.49364
1019.49412,694.27455
1021.70636,694.27455
1023.91859,693.49364
1026.13083,719.26376
1026.13083,693.49364
1028.34306,691.93181
1034.97977,721.6065
1037.19201,712.23555
1043.82871,712.23555
1065.95107,728.63471
1070.37554,710.67372
1072.58778,698.96003
1096.92237,733.32019
1099.1346,722.38741
1099.1346,720.82559
1105.77131,751.28119
1114.62025,755.18575
1123.4692,730.19654
1132.31814,727.8538
1132.31814,713.01646
1134.53037,723.16832
1138.95485,698.17912
1141.16708,698.17912
1150.01602,707.55007
1174.35062,710.67372
1174.35062,723.94924
1176.56285,703.6455
1180.98732,702.08368
1203.10968,706.76916
1227.44427,713.01646
1229.65651,706.76916
1236.29321,691.93181
1238.50545,700.52185
1240.71769,693.49364
1262.84004,702.86459
1265.05228,693.49364
1267.26451,701.30277
1267.26451,701.30277
1289.38687,713.79737
1289.38687,713.79737
1291.59911,706.76916
1291.59911,706.76916
1291.59911,721.6065
1291.59911,721.6065
1296.02358,699.74094
1296.02358,699.74094
1298.23581,708.33098
1298.23581,708.33098
1315.9337,696.61729
1315.9337,696.61729
1318.14593,693.49364
1318.14593,693.49364
1322.5704,690.36999
1324.78264,683.34177
1326.99488,683.34177
1340.26829,695.05546
1340.26829,695.05546
1351.32947,701.30277
1362.39065,707.55007
1366.81512,696.61729
1369.02735,691.93181
1375.66406,683.34177
1388.93747,686.46542
1395.57418,692.71273
1404.42312,705.20733
1411.05983,696.61729
1413.27207,694.27455
1415.4843,698.17912
1428.75772,692.71273
1448.66784,683.34177
1450.88007,683.34177
1453.09231,683.34177
1457.51678,680.21812
1484.06361,670.84717
1486.27584,671.62808
1488.48808,699.74094
1490.70031,687.24634
1490.70031,710.67372
1492.91255,695.83638
1499.54926,726.29198
1506.18596,729.41563
1510.61043,726.29198
1510.61043,713.79737
1515.03491,699.74094
1517.24714,718.48285
1517.24714,688.80816
1517.24714,686.46542
1523.88385,675.53264
1526.09608,677.09447
1528.30832,694.27455
1532.73279,736.44384
1534.94503,748.93845
1534.94503,748.93845
1534.94503,721.6065
1534.94503,748.93845
1537.15726,734.88202
1543.79397,779.39405
1543.79397,779.39405
1550.43068,779.39405
1550.43068,779.39405
1552.64291,793.45048
1552.64291,753.62392
1552.64291,802.82143
1552.64291,779.39405
1552.64291,727.07289
1552.64291,753.62392
1552.64291,753.62392
1552.64291,793.45048
1552.64291,779.39405
1554.85515,791.10774
1554.85515,789.54591
1554.85515,779.39405
1554.85515,727.8538
1554.85515,753.62392
1554.85515,779.39405
1554.85515,753.62392
1554.85515,803.60234
1554.85515,791.10774
1554.85515,789.54591
1554.85515,753.62392
1557.06738,802.82143
1557.06738,753.62392
1557.06738,779.39405
1557.06738,753.62392
1557.06738,727.07289
1557.06738,779.39405
1557.06738,753.62392
1559.27962,727.07289
1559.27962,803.60234
1559.27962,779.39405
1559.27962,753.62392
1559.27962,753.62392
1559.27962,779.39405
1559.27962,753.62392
1561.49185,777.83222
1561.49185,777.83222
1563.70409,775.48948
1563.70409,775.48948
1568.12856,756.74757
1568.12856,756.74757
1568.12856,756.74757
1570.3408,748.15753
1570.3408,748.15753
1570.3408,748.15753
1576.9775,727.07289
1579.18974,739.56749
1579.18974,740.34841
1581.40197,729.41563
1588.03868,713.01646
1594.67539,731.75837
1596.88762,737.22475
1605.73657,755.18575
1605.73657,755.18575
1605.73657,755.18575
1614.58551,751.28119
1614.58551,751.28119
1614.58551,751.28119
1630.07116,706.76916
1630.07116,706.76916
1638.9201,725.51106
1638.9201,725.51106
1647.76904,731.75837
1647.76904,739.56749
1647.76904,739.56749
1647.76904,739.56749
1647.76904,731.75837
1665.46693,733.32019
1665.46693,733.32019
1674.31587,738.78658
1674.31587,744.25297
1674.31587,738.78658
1674.31587,744.25297
1674.31587,744.25297
1689.80152,731.75837
1689.80152,731.75837
1727.40953,714.57828
1727.40953,725.51106
1727.40953,714.57828
1727.40953,725.51106
1729.62176,720.04467
1729.62176,720.04467
1734.04623,706.76916
1734.04623,706.76916
1734.04623,713.79737
1734.04623,713.79737
1762.8053,701.30277
1762.8053,701.30277
1765.01753,702.86459
1765.01753,702.86459
1771.65424,707.55007
1771.65424,707.55007
1780.50318,723.94924
1780.50318,723.94924
1780.50318,715.3592
1780.50318,715.3592
1787.13989,732.53928
1787.13989,732.53928
1807.05001,720.04467
1807.05001,720.04467
1813.68672,703.6455
1813.68672,703.6455
1824.7479,694.27455
1833.59684,698.17912
1833.59684,705.20733
1833.59684,705.20733
1833.59684,698.17912
1840.23354,704.42642
1840.23354,704.42642
1842.44578,707.55007
1842.44578,707.55007
1857.93143,708.33098
1857.93143,708.33098
1868.99261,711.45463
1868.99261,711.45463
1877.84155,720.82559
1877.84155,720.82559
1884.47826,713.79737
1884.47826,713.79737
1893.3272,702.08368
1893.3272,702.08368
1904.38838,685.68451
1911.02509,694.27455
1913.23732,698.96003
1913.23732,698.96003
1919.87403,719.26376
1919.87403,709.11189
1919.87403,719.26376
1919.87403,709.11189
1922.08626,713.01646
1922.08626,713.01646
1928.72297,723.94924
1928.72297,723.94924
1930.93521,723.94924
1930.93521,723.94924
1935.35968,723.16832
1935.35968,723.16832
1937.57191,720.04467
1937.57191,712.23555
1937.57191,720.04467
1937.57191,712.23555
1953.05756,707.55007
1964.11874,693.49364
1979.60439,701.30277
1981.81663,695.05546
2008.36345,701.30277
2021.63687,717.70194
2021.63687,717.70194
2023.8491,719.26376
2023.8491,719.26376
2030.48581,717.70194
2041.54699,698.96003
2043.75922,702.86459
2043.75922,698.17912
2045.97146,698.17912
2059.24487,708.33098
2059.24487,701.30277
2061.45711,704.42642
2076.94276,711.45463
2076.94276,702.08368
2079.15499,701.30277
2112.33853,720.82559
2112.33853,707.55007
2125.61194,735.66293
2127.82418,735.66293
2136.67312,722.38741
2138.88536,730.97745
2138.88536,713.01646
2141.09759,723.94924
2143.30983,703.6455
2145.52206,713.79737
2145.52206,703.6455
2149.94654,703.6455
2172.06889,701.30277
2174.28113,703.6455
2180.91783,710.67372
2183.13007,713.79737
2189.76678,733.32019
2189.76678,722.38741
2191.97901,738.00567
2203.04019,745.8148
2216.3136,735.66293
2222.95031,721.6065
2225.16255,719.26376
2249.49714,723.16832
2251.70937,726.29198
2264.98279,730.19654
2267.19502,730.19654
2269.40726,726.29198
2269.40726,713.79737
2271.6195,720.82559
2287.10514,698.96003
2302.59079,716.92102
2304.80303,726.29198
2304.80303,702.86459
2311.43974,761.43305
2311.43974,761.43305
2313.65197,780.95587
2313.65197,737.22475
2320.28868,808.28782
2322.50092,799.69778
2322.50092,816.87786
2326.92539,824.68699
2329.13762,824.68699
2331.34986,824.68699
2333.56209,702.86459
2333.56209,753.62392
2333.56209,775.48948
2333.56209,727.8538
2333.56209,779.39405
2333.56209,805.94508
2333.56209,829.37246
2333.56209,758.3094
2335.77433,829.37246
2335.77433,702.86459
2335.77433,727.07289
2335.77433,753.62392
2335.77433,805.94508
2335.77433,779.39405
2335.77433,758.3094
2335.77433,775.48948
2337.98656,758.3094
2337.98656,775.48948
2337.98656,753.62392
2337.98656,727.07289
2337.98656,702.86459
2337.98656,829.37246
2337.98656,805.94508
2337.98656,779.39405
2340.1988,702.86459
2340.1988,828.59155
2340.1988,805.16417
2340.1988,779.39405
2340.1988,758.3094
2340.1988,727.07289
2340.1988,775.48948
2340.1988,753.62392
2342.41104,773.92766
2342.41104,780.17496
2342.41104,805.94508
2342.41104,776.27039
2342.41104,773.92766
2342.41104,722.38741
2349.04774,768.46127
2349.04774,793.45048
2349.04774,768.46127
2355.68445,772.36583
2355.68445,772.36583
2355.68445,748.93845
2357.89669,760.65214
2357.89669,760.65214
2364.53339,725.51106
2364.53339,741.12932
2366.74563,730.97745
2366.74563,719.26376
2371.1701,713.01646
2382.23128,727.07289
2384.44351,727.07289
2388.86798,713.01646
2393.29246,811.41147
2395.50469,812.19238
2399.92916,738.78658
2399.92916,724.73015
2402.1414,732.53928
2406.56587,748.15753
2410.99034,748.93845
2417.62705,740.34841
2424.26375,720.04467
2426.47599,730.97745
2428.68823,722.38741
2444.17388,707.55007
2457.44729,706.76916
2468.50847,703.6455
2477.35741,717.70194
2477.35741,700.52185
2477.35741,719.26376
2479.56965,724.73015
2479.56965,709.11189
2503.90424,706.76916
2503.90424,706.76916
2512.75318,699.74094
2512.75318,699.74094
2514.96542,706.76916
2514.96542,706.76916
2517.17765,713.79737
2517.17765,713.79737
2521.60212,728.63471
2521.60212,728.63471
2530.45107,730.19654
2530.45107,718.48285
2530.45107,718.48285
2530.45107,730.19654
2532.6633,725.51106
2532.6633,725.51106
2534.87554,720.04467
2534.87554,720.04467
2541.51224,711.45463
2541.51224,711.45463
2541.51224,703.6455
2541.51224,703.6455
2554.78566,691.93181
2556.99789,708.33098
2574.69578,712.23555
2599.03037,709.89281
2601.24261,702.86459
2603.45484,707.55007
2607.87931,713.79737
2607.87931,725.51106
2610.09155,729.41563
2618.94049,734.1011
2634.42614,710.67372
2634.42614,720.04467
2636.63838,718.48285
2638.85061,713.01646
2643.27508,695.05546
2645.48732,695.05546
2663.1852,708.33098
2669.82191,707.55007
2680.88309,712.23555
2687.5198,702.08368
2707.42992,719.26376
2725.1278,704.42642
2729.55227,720.82559
2740.61345,713.79737
2742.82569,721.6065
2747.25016,702.86459
2751.67463,704.42642
2751.67463,702.08368
2764.94804,703.6455
2767.16028,695.83638
2784.85816,696.61729
2793.70711,702.86459
2804.76829,719.26376
2809.19276,705.20733
2831.31511,717.70194
2837.95182,706.76916
2837.95182,706.76916
2844.58853,706.76916
2844.58853,706.76916
2862.28641,707.55007
2862.28641,707.55007
2873.34759,720.04467
2873.34759,720.04467
2904.31889,685.68451
2904.31889,685.68451
2906.53113,683.34177
2906.53113,683.34177
2924.22901,704.42642
2924.22901,704.42642
2926.44125,699.74094
2926.44125,699.74094
2933.07795,720.04467
2933.07795,720.04467
2935.29019,713.01646
2935.29019,713.01646
2939.71466,729.41563
2939.71466,729.41563
2944.13913,728.63471
2944.13913,728.63471
2952.98807,723.16832
2952.98807,723.16832
2957.41255,705.98824
2957.41255,705.98824
2959.62478,700.52185
2959.62478,700.52185
2977.32267,705.20733
2977.32267,705.20733
3003.86949,723.94924
3003.86949,723.94924
3006.08173,730.19654
3006.08173,730.19654
3010.5062,731.75837
3010.5062,731.75837
3037.05303,741.12932
3037.05303,741.12932
3041.4775,742.69114
3041.4775,742.69114
3048.11421,741.91023
