Raman shift,Intensity
762.87479,68.76341
765.08702,68.76341
767.29926,68.76341
769.51149,68.76341
771.72373,69.54432
773.93596,70.32523
776.1482,69.54432
778.36044,69.54432
780.57267,68.76341
782.78491,67.98249
784.99714,68.76341
787.20938,68.76341
789.42161,68.76341
791.63385,68.76341
793.84609,68.76341
796.05832,68.76341
798.27056,68.76341
800.48279,68.76341
802.69503,68.76341
804.90726,69.54432
807.1195,69.54432
809.33173,69.54432
811.54397,69.54432
813.75621,69.54432
815.96844,69.54432
818.18068,69.54432
820.39291,69.54432
822.60515,68.76341
824.81738,67.98249
827.02962,67.20158
829.24186,67.20158
831.45409,67.20158
831.45409,67.98249
833.66633,67.98249
835.87856,67.98249
835.87856,68.76341
838.0908,68.76341
838.0908,69.54432
838.0908,70.32523
838.0908,71.10614
838.0908,71.88706
838.0908,72.66797
840.30303,73.44888
842.51527,73.44888
844.72751,73.44888
846.93974,72.66797
849.15198,71.88706
851.36421,71.10614
853.57645,71.10614
855.78868,71.88706
855.78868,72.66797
855.78868,73.44888
855.78868,74.2298
855.78868,75.01071
855.78868,75.79162
858.00092,76.57253
860.21315,76.57253
862.42539,76.57253
862.42539,77.35345
864.63763,77.35345
866.84986,77.35345
866.84986,78.13436
869.0621,78.13436
871.27433,78.91527
873.48657,78.91527
875.6988,79.69619
877.91104,79.69619
880.12328,78.91527
882.33551,78.13436
884.54775,78.13436
886.75998,78.91527
888.97222,79.69619
891.18445,78.91527
891.18445,78.13436
891.18445,77.35345
891.18445,76.57253
891.18445,75.79162
891.18445,75.01071
893.39669,74.2298
895.60892,74.2298
897.82116,74.2298
897.82116,73.44888
900.0334,73.44888
902.24563,74.2298
904.45787,75.01071
906.6701,75.79162
908.88234,75.01071
911.09457,74.2298
913.30681,73.44888
915.51905,73.44888
917.73128,73.44888
919.94352,73.44888
922.15575,74.2298
922.15575,75.01071
922.15575,75.79162
922.15575,76.57253
922.15575,77.35345
922.15575,78.13436
922.15575,78.91527
924.36799,78.91527
926.58022,78.91527
926.58022,83.60075
926.58022,82.81984
926.58022,82.03892
926.58022,84.38166
928.79246,78.91527
928.79246,81.25801
928.79246,85.16258
931.0047,78.91527
931.0047,80.4771
931.0047,96.87627
931.0047,95.31444
931.0047,85.94349
931.0047,97.65718
933.21693,78.91527
933.21693,88.28623
933.21693,86.7244
933.21693,99.21901
933.21693,98.43809
933.21693,99.99992
933.21693,92.19079
933.21693,79.69619
933.21693,96.09535
933.21693,94.53353
935.42917,87.50531
935.42917,93.75262
935.42917,92.9717
935.42917,91.40988
935.42917,89.06714
935.42917,100.78083
937.6414,90.62896
937.6414,89.84805
937.6414,101.56174
939.85364,102.34266
