Raman shift,Intensity
783.97012,1856.90573
785.52446,1858.26208
785.52446,1855.54938
785.52446,1859.61842
787.0788,1860.97477
788.63314,1860.97477
790.18748,1866.40016
790.18748,1867.75651
790.18748,1862.33112
790.18748,1863.68747
790.18748,1865.04381
790.18748,1873.1819
790.18748,1871.82555
790.18748,1870.46921
790.18748,1869.11286
790.18748,1874.53825
790.18748,1875.8946
790.18748,1877.25094
790.18748,1878.60729
791.74181,1878.60729
791.74181,1879.96364
791.74181,1881.31999
793.29615,1881.31999
793.29615,1882.67634
794.85049,1885.38903
794.85049,1884.03268
796.40483,1888.10173
796.40483,1886.74538
797.95917,1890.81442
797.95917,1889.45807
797.95917,1892.17077
799.51351,1894.88346
799.51351,1893.52712
801.06785,1894.88346
802.62219,1894.88346
804.17652,1894.88346
805.73086,1894.88346
807.2852,1894.88346
808.83954,1898.95251
808.83954,1894.88346
808.83954,1896.23981
810.39388,1903.02155
810.39388,1897.59616
810.39388,1904.3779
810.39388,1901.6652
810.39388,1908.44694
810.39388,1900.30886
811.94822,1924.72312
811.94822,1923.36677
811.94822,1915.22868
811.94822,1907.09059
811.94822,1905.73425
811.94822,1913.87233
811.94822,1908.44694
811.94822,1904.3779
811.94822,1903.02155
811.94822,1909.80329
811.94822,1901.6652
811.94822,1926.07946
811.94822,1930.14851
811.94822,1928.79216
811.94822,1927.43581
813.50256,1931.50485
813.50256,1909.80329
813.50256,1922.01042
813.50256,1912.51599
813.50256,1913.87233
813.50256,1911.15964
813.50256,1916.58503
813.50256,1905.73425
813.50256,1917.94138
813.50256,1907.09059
815.0569,1917.94138
815.0569,1915.22868
815.0569,1916.58503
815.0569,1912.51599
815.0569,1911.15964
815.0569,1920.65407
815.0569,1919.29772
815.0569,1938.28659
815.0569,1936.93025
815.0569,1932.8612
815.0569,1939.64294
816.61123,1935.5739
816.61123,1934.21755
816.61123,1940.99929
816.61123,1942.35564
816.61123,1943.71198
816.61123,1945.06833
816.61123,1946.42468
816.61123,1947.78103
816.61123,1920.65407
816.61123,1922.01042
816.61123,1919.29772
816.61123,1924.72312
816.61123,1923.36677
818.16557,1926.07946
818.16557,1949.13737
818.16557,1928.79216
818.16557,1927.43581
818.16557,1951.85007
819.71991,1955.91911
819.71991,1953.20642
819.71991,1954.56277
819.71991,1950.49372
819.71991,1934.21755
819.71991,1931.50485
819.71991,1932.8612
819.71991,1930.14851
821.27425,1964.0572
821.27425,1965.41355
821.27425,1961.3445
821.27425,1959.98816
821.27425,1936.93025
821.27425,1957.27546
821.27425,1938.28659
821.27425,1958.63181
821.27425,1935.5739
821.27425,1940.99929
822.82859,1962.70085
822.82859,1939.64294
822.82859,1966.7699
822.82859,1942.35564
822.82859,1968.12624
822.82859,1957.27546
824.38293,1945.06833
824.38293,1947.78103
824.38293,1949.13737
824.38293,1950.49372
824.38293,1959.98816
824.38293,1958.63181
824.38293,1946.42468
824.38293,1955.91911
824.38293,1943.71198
824.38293,1980.33337
824.38293,1969.48259
824.38293,1970.83894
824.38293,1972.19529
824.38293,1973.55163
824.38293,1974.90798
824.38293,1978.97703
824.38293,1977.62068
825.93727,1983.04607
825.93727,1976.26433
825.93727,1987.11511
825.93727,1961.3445
825.93727,1984.40242
825.93727,1964.0572
825.93727,1968.12624
825.93727,1966.7699
825.93727,1953.20642
825.93727,1951.85007
825.93727,1981.68972
825.93727,1954.56277
825.93727,1988.47146
825.93727,1962.70085
827.49161,1993.89685
827.49161,1995.2532
827.49161,1989.82781
827.49161,1991.18416
827.49161,1969.48259
827.49161,1972.19529
827.49161,1985.75876
827.49161,1965.41355
829.04594,2002.03494
829.04594,1999.32224
829.04594,2003.39128
829.04594,1992.5405
829.04594,1996.60955
829.04594,1997.96589
829.04594,1970.83894
829.04594,1973.55163
830.60028,2000.67859
830.60028,1974.90798
830.60028,2010.17302
830.60028,2011.52937
830.60028,2004.74763
830.60028,2007.46033
830.60028,2006.10398
832.15462,1981.68972
832.15462,2012.88572
832.15462,2008.81668
832.15462,1976.26433
832.15462,1977.62068
833.70896,1978.97703
833.70896,1985.75876
833.70896,1984.40242
833.70896,1983.04607
833.70896,1980.33337
833.70896,2016.95476
833.70896,2015.59841
833.70896,2014.24207
833.70896,1989.82781
833.70896,2018.31111
835.2633,1997.96589
835.2633,1987.11511
835.2633,1988.47146
835.2633,1993.89685
835.2633,1992.5405
835.2633,1991.18416
835.2633,2016.95476
835.2633,2018.31111
836.81764,1995.2532
836.81764,2015.59841
836.81764,2018.31111
836.81764,1996.60955
836.81764,1999.32224
836.81764,2000.67859
836.81764,2002.03494
836.81764,2006.10398
836.81764,2016.95476
838.37198,2010.17302
838.37198,2014.24207
838.37198,2008.81668
838.37198,2018.31111
838.37198,2007.46033
838.37198,2016.95476
838.37198,2004.74763
838.37198,2003.39128
838.37198,2011.52937
839.92632,2023.7365
839.92632,2026.4492
839.92632,2027.80554
839.92632,2029.16189
839.92632,2012.88572
839.92632,2018.31111
839.92632,2019.66746
839.92632,2021.02381
839.92632,2022.38015
839.92632,2025.09285
839.92632,2016.95476
841.48066,2029.16189
841.48066,2016.95476
841.48066,2018.31111
841.48066,2019.66746
843.03499,2019.66746
843.03499,2022.38015
843.03499,2021.02381
843.03499,2029.16189
844.58933,2022.38015
844.58933,2025.09285
844.58933,2030.51824
844.58933,2023.7365
844.58933,2029.16189
846.14367,2026.4492
846.14367,2030.51824
846.14367,2034.58728
846.14367,2033.23094
846.14367,2031.87459
847.69801,2027.80554
847.69801,2033.23094
847.69801,2031.87459
847.69801,2030.51824
847.69801,2034.58728
847.69801,2029.16189
849.25235,2029.16189
849.25235,2027.80554
850.80669,2027.80554
850.80669,2029.16189
852.36103,2027.80554
852.36103,2026.4492
853.91537,2014.24207
853.91537,2027.80554
853.91537,2021.02381
853.91537,2022.38015
853.91537,2023.7365
853.91537,2025.09285
853.91537,2026.4492
853.91537,2015.59841
855.4697,2025.09285
855.4697,2012.88572
855.4697,2011.52937
855.4697,2008.81668
855.4697,2023.7365
855.4697,2026.4492
855.4697,2027.80554
855.4697,2021.02381
855.4697,2016.95476
857.02404,2023.7365
857.02404,2006.10398
857.02404,2018.31111
857.02404,2021.02381
857.02404,2004.74763
857.02404,2010.17302
857.02404,2007.46033
858.57838,2002.03494
858.57838,2003.39128
858.57838,2019.66746
858.57838,2023.7365
858.57838,2006.10398
858.57838,2015.59841
858.57838,2007.46033
858.57838,2021.02381
858.57838,2014.24207
860.13272,2012.88572
860.13272,2015.59841
860.13272,2018.31111
860.13272,2008.81668
860.13272,2016.95476
860.13272,2022.38015
860.13272,2021.02381
860.13272,2019.66746
860.13272,1992.5405
860.13272,1993.89685
860.13272,1996.60955
860.13272,1997.96589
860.13272,1999.32224
860.13272,2014.24207
860.13272,2004.74763
860.13272,2000.67859
861.68706,1996.60955
861.68706,2002.03494
861.68706,1991.18416
861.68706,1989.82781
861.68706,2016.95476
861.68706,2000.67859
861.68706,2010.17302
861.68706,2003.39128
861.68706,2018.31111
861.68706,1997.96589
861.68706,1995.2532
861.68706,1999.32224
861.68706,2007.46033
861.68706,2012.88572
861.68706,1993.89685
861.68706,2011.52937
861.68706,2019.66746
861.68706,1992.5405
863.2414,1991.18416
863.2414,1989.82781
863.2414,2015.59841
863.2414,2002.03494
863.2414,2010.17302
863.2414,2000.67859
863.2414,1988.47146
863.2414,1996.60955
863.2414,1995.2532
863.2414,1993.89685
863.2414,1992.5405
863.2414,2011.52937
863.2414,2006.10398
863.2414,2008.81668
863.2414,1999.32224
863.2414,2016.95476
863.2414,2019.66746
863.2414,1997.96589
863.2414,2018.31111
863.2414,1995.2532
864.79574,2004.74763
864.79574,2014.24207
864.79574,2011.52937
864.79574,2010.17302
864.79574,1996.60955
864.79574,2007.46033
864.79574,1987.11511
864.79574,1999.32224
864.79574,1997.96589
864.79574,1991.18416
864.79574,2012.88572
864.79574,1981.68972
864.79574,1980.33337
864.79574,2000.67859
864.79574,1978.97703
864.79574,2003.39128
864.79574,2002.03494
864.79574,1992.5405
864.79574,1989.82781
864.79574,1988.47146
864.79574,1995.2532
866.35008,1977.62068
866.35008,2008.81668
866.35008,1973.55163
866.35008,1972.19529
866.35008,1984.40242
866.35008,1985.75876
866.35008,1988.47146
866.35008,1970.83894
866.35008,1983.04607
866.35008,1987.11511
866.35008,2003.39128
