Raman shift,Intensity
431.03944,593.5368
433.25168,592.75589
435.46391,592.75589
437.67615,592.75589
439.88838,592.75589
442.10062,592.75589
444.31285,592.75589
446.52509,592.75589
448.73732,591.97498
450.94956,591.97498
453.1618,591.97498
455.37403,591.97498
457.58627,591.97498
459.7985,591.97498
462.01074,591.19406
464.22297,591.97498
466.43521,591.97498
468.64745,591.97498
470.85968,591.97498
473.07192,591.97498
475.28415,592.75589
477.49639,592.75589
479.70862,592.75589
481.92086,593.5368
484.1331,593.5368
486.34533,594.31771
488.55757,594.31771
490.7698,595.09863
492.98204,595.09863
495.19427,595.87954
497.40651,595.87954
499.61874,595.87954
501.83098,595.87954
504.04322,595.87954
506.25545,595.87954
508.46769,595.87954
510.67992,595.87954
512.89216,595.87954
515.10439,595.09863
517.31663,595.09863
519.52887,595.09863
521.7411,594.31771
523.95334,594.31771
526.16557,593.5368
528.37781,593.5368
530.59004,593.5368
532.80228,592.75589
535.01451,592.75589
537.22675,592.75589
539.43899,591.97498
541.65122,591.97498
543.86346,591.97498
546.07569,591.19406
548.28793,591.19406
550.50016,591.19406
552.7124,591.19406
554.92464,591.19406
557.13687,591.97498
559.34911,591.97498
561.56134,591.97498
563.77358,591.97498
565.98581,591.97498
568.19805,591.97498
570.41029,591.97498
572.62252,591.97498
574.83476,591.97498
577.04699,592.75589
579.25923,592.75589
581.47146,592.75589
583.6837,592.75589
585.89593,592.75589
588.10817,593.5368
590.32041,593.5368
592.53264,593.5368
594.74488,593.5368
596.95711,594.31771
599.16935,594.31771
601.38158,595.09863
603.59382,595.09863
605.80606,595.87954
608.01829,595.87954
640.02972,601.01932
682.49128,601.01932
712.0857,593.29886
762.87479,592.75589
765.08702,591.97498
767.29926,591.19406
769.51149,590.41315
771.72373,589.63224
773.93596,589.63224
776.1482,589.63224
778.36044,589.63224
780.57267,589.63224
782.78491,588.85132
784.99714,588.07041
787.20938,587.2895
789.42161,586.50859
791.63385,586.50859
793.84609,585.72767
796.05832,585.72767
798.27056,585.72767
