Raman shift,Intensity
765.2208,202.66571
803.99894,190.16705
803.99894,189.50922
803.99894,188.8514
805.61469,190.82487
805.61469,188.19357
805.61469,185.56228
807.23045,187.53575
807.23045,186.2201
807.23045,186.87792
807.23045,185.56228
807.23045,190.82487
808.84621,183.5888
808.84621,184.24663
808.84621,184.90445
808.84621,182.93098
808.84621,182.27315
808.84621,181.61533
808.84621,180.9575
808.84621,185.56228
808.84621,190.82487
810.46196,190.82487
810.46196,180.29968
812.07772,180.29968
812.07772,190.82487
813.69347,190.82487
813.69347,180.29968
815.30923,179.64186
815.30923,180.29968
815.30923,190.82487
816.92498,178.32621
816.92498,178.98403
816.92498,194.77182
816.92498,191.48269
816.92498,192.14052
816.92498,192.79834
816.92498,193.45617
816.92498,194.11399
818.54074,194.77182
820.1565,194.77182
821.77225,194.11399
823.38801,194.77182
825.00376,195.42964
826.61952,195.42964
828.23528,194.77182
829.85103,194.77182
831.46679,194.11399
833.08254,194.11399
834.6983,193.45617
836.31405,192.79834
836.31405,192.14052
837.92981,191.48269
837.92981,190.82487
839.54557,190.16705
841.16132,190.82487
842.77708,191.48269
844.39283,191.48269
846.00859,190.82487
847.62434,190.82487
849.2401,190.82487
849.2401,191.48269
849.2401,192.14052
850.85586,192.79834
850.85586,193.45617
852.47161,193.45617
854.08737,193.45617
855.70312,193.45617
855.70312,194.11399
855.70312,194.77182
855.70312,195.42964
857.31888,196.08747
858.93464,196.08747
860.55039,195.42964
862.16615,194.77182
863.7819,194.11399
865.39766,193.45617
867.01341,192.79834
868.62917,193.45617
870.24493,192.79834
871.86068,192.79834
873.47644,192.14052
875.09219,192.14052
876.70795,192.14052
878.3237,191.48269
879.93946,191.48269
881.55522,191.48269
883.17097,192.14052
884.78673,192.79834
886.40248,193.45617
888.01824,194.11399
889.63399,194.11399
891.24975,190.82487
891.24975,194.11399
891.24975,193.45617
891.24975,192.79834
891.24975,192.14052
891.24975,191.48269
892.86551,190.16705
892.86551,190.82487
894.48126,190.16705
896.09702,190.16705
897.71277,190.16705
899.32853,190.16705
900.94429,190.16705
902.56004,190.16705
904.1758,189.50922
904.1758,188.8514
905.79155,188.8514
905.79155,188.19357
907.40731,186.87792
907.40731,188.19357
907.40731,187.53575
909.02306,186.87792
909.02306,186.2201
910.63882,186.2201
910.63882,185.56228
912.25458,183.5888
912.25458,184.90445
912.25458,184.24663
912.25458,185.56228
913.87033,182.93098
915.48609,182.93098
917.10184,183.5888
918.7176,184.24663
920.33335,184.24663
921.94911,184.90445
923.56487,184.24663
925.18062,184.24663
926.79638,184.24663
928.41213,183.5888
930.02789,182.93098
931.64365,182.27315
933.2594,182.27315
934.87516,182.93098
936.49091,182.27315
938.10667,182.93098
939.72242,183.5888
941.33818,183.5888
942.95394,183.5888
944.56969,184.24663
946.18545,184.90445
947.8012,185.56228
949.41696,186.2201
951.03271,186.87792
952.64847,186.87792
954.26423,186.87792
954.26423,187.53575
955.87998,186.87792
955.87998,187.53575
957.49574,187.53575
957.49574,186.2201
959.11149,185.56228
959.11149,186.87792
960.72725,186.2201
960.72725,184.90445
962.343,184.24663
962.343,185.56228
963.95876,184.24663
963.95876,184.90445
965.57452,184.90445
965.57452,184.24663
967.19027,184.90445
967.19027,184.24663
968.80603,184.90445
968.80603,185.56228
970.42178,185.56228
970.42178,186.2201
972.03754,186.87792
972.03754,185.56228
973.6533,186.2201
973.6533,185.56228
975.26905,185.56228
975.26905,186.2201
976.88481,185.56228
976.88481,184.90445
976.88481,186.2201
978.50056,185.56228
978.50056,184.90445
980.11632,184.24663
980.11632,184.90445
980.11632,185.56228
981.73207,184.90445
981.73207,183.5888
981.73207,184.24663
983.34783,182.93098
983.34783,182.27315
983.34783,184.24663
984.96359,184.24663
984.96359,183.5888
984.96359,180.9575
984.96359,182.27315
984.96359,181.61533
986.57934,182.93098
986.57934,177.66838
986.57934,182.27315
986.57934,180.29968
986.57934,178.32621
986.57934,178.98403
986.57934,179.64186
986.57934,181.61533
986.57934,183.5888
986.57934,180.9575
988.1951,180.29968
988.1951,177.01056
989.81085,176.35273
989.81085,180.29968
991.42661,180.29968
991.42661,176.35273
993.04236,180.29968
993.04236,176.35273
994.65812,175.69491
994.65812,180.29968
994.65812,176.35273
996.27388,175.69491
996.27388,180.29968
997.88963,180.9575
997.88963,175.03708
997.88963,175.69491
999.50539,181.61533
999.50539,175.03708
1001.12114,175.03708
1001.12114,182.27315
1001.12114,173.72144
1001.12114,173.06361
1001.12114,172.40579
1001.12114,171.74796
1001.12114,174.37926
1002.7369,171.74796
1002.7369,182.93098
1004.35266,182.93098
1004.35266,172.40579
1005.96841,173.06361
1005.96841,183.5888
1007.58417,173.72144
1007.58417,183.5888
1009.19992,183.5888
1009.19992,173.72144
1010.81568,173.06361
1010.81568,182.93098
1012.43143,173.06361
1012.43143,183.5888
1014.04719,183.5888
1014.04719,173.06361
1015.66295,173.06361
1015.66295,183.5888
1017.2787,183.5888
1017.2787,172.40579
1018.89446,183.5888
1018.89446,171.74796
1020.51021,171.09014
1020.51021,184.24663
1022.12597,171.09014
1022.12597,184.24663
1023.74172,183.5888
1023.74172,170.43231
1025.35748,170.43231
1025.35748,184.90445
1025.35748,184.24663
1025.35748,183.5888
1026.97324,184.90445
1026.97324,171.09014
1028.58899,185.56228
1028.58899,171.09014
1028.58899,184.90445
1030.20475,185.56228
1030.20475,173.72144
1030.20475,172.40579
1030.20475,171.74796
1030.20475,174.37926
1030.20475,173.06361
1031.8205,177.01056
1031.8205,185.56228
1031.8205,186.87792
1031.8205,186.2201
1031.8205,174.37926
1033.43626,187.53575
1033.43626,177.66838
1033.43626,176.35273
1033.43626,174.37926
1035.05201,174.37926
1035.05201,175.03708
1035.05201,187.53575
1035.05201,175.69491
1035.05201,178.32621
1035.05201,178.98403
1036.66777,187.53575
1036.66777,188.19357
1036.66777,188.8514
1036.66777,180.29968
1036.66777,179.64186
1036.66777,180.9575
1038.28353,181.61533
1038.28353,189.50922
1038.28353,182.27315
1039.89928,182.93098
1039.89928,189.50922
1041.51504,183.5888
1041.51504,188.8514
1043.13079,188.19357
1043.13079,183.5888
1044.74655,183.5888
1044.74655,188.19357
1046.36231,183.5888
1046.36231,188.19357
1046.36231,188.8514
1046.36231,187.53575
1047.97806,187.53575
1047.97806,184.24663
1049.59382,184.24663
1049.59382,187.53575
1051.20957,187.53575
1051.20957,183.5888
1051.20957,182.93098
1051.20957,180.29968
1051.20957,180.9575
1051.20957,181.61533
1051.20957,182.27315
1052.82533,180.29968
1052.82533,179.64186
1052.82533,178.98403
1052.82533,178.32621
1052.82533,184.24663
1052.82533,186.2201
1052.82533,187.53575
1052.82533,186.87792
1052.82533,184.90445
1052.82533,185.56228
1054.44108,184.24663
1054.44108,177.66838
1056.05684,177.66838
1056.05684,183.5888
1056.05684,184.24663
1056.05684,182.93098
1056.05684,182.27315
1057.6726,182.27315
1057.6726,177.66838
1059.28835,177.01056
1059.28835,182.27315
1059.28835,177.66838
1060.90411,177.01056
1060.90411,182.27315
1060.90411,176.35273
1060.90411,175.03708
1060.90411,175.69491
1062.51986,181.61533
1062.51986,180.9575
1062.51986,175.03708
1062.51986,174.37926
1064.13562,174.37926
1064.13562,180.29968
1064.13562,179.64186
1064.13562,180.9575
1065.75137,178.98403
1065.75137,178.32621
1065.75137,173.72144
1065.75137,179.64186
1067.36713,173.72144
1067.36713,177.66838
1067.36713,178.32621
1067.36713,177.01056
1067.36713,176.35273
1067.36713,175.69491
1068.98289,175.03708
1068.98289,173.72144
1070.59864,174.37926
1070.59864,175.69491
1072.2144,175.03708
1072.2144,176.35273
1073.83015,177.01056
1073.83015,175.69491
1075.44591,177.66838
1075.44591,175.69491
1077.06167,178.32621
1077.06167,175.69491
1077.06167,176.35273
1077.06167,177.01056
1078.67742,176.35273
1078.67742,177.66838
1080.29318,175.69491
1080.29318,177.01056
1081.90893,176.35273
1081.90893,175.69491
1083.52469,176.35273
1083.52469,175.69491
1085.14044,175.69491
1085.14044,177.01056
1086.7562,175.69491
1086.7562,177.01056
1088.37196,176.35273
1088.37196,177.01056
