Raman shift,Intensity
781.59665,3555.25754
815.59776,3565.14651
844.44719,3539.97459
868.14493,3544.46958
879.47864,3539.97459
926.96929,3549.62772
926.96929,3546.91503
926.96929,3548.27137
928.52363,3545.55868
928.52363,3537.42059
930.07797,3536.06424
930.07797,3538.77694
930.07797,3544.20233
930.07797,3542.84598
930.07797,3541.48963
931.6323,3540.13329
931.6323,3531.9952
931.6323,3534.7079
931.6323,3533.35155
933.18664,3531.9952
934.74098,3527.92616
934.74098,3529.2825
934.74098,3526.56981
934.74098,3531.9952
934.74098,3530.63885
936.29532,3525.21346
937.84966,3525.21346
939.404,3526.56981
940.95834,3527.92616
942.51268,3529.2825
944.06701,3527.92616
945.62135,3527.92616
947.17569,3491.30477
947.17569,3489.94842
947.17569,3529.2825
948.73003,3492.66112
948.73003,3527.92616
950.28437,3523.85711
950.28437,3525.21346
950.28437,3526.56981
950.28437,3522.50077
950.28437,3492.66112
950.28437,3494.01746
951.83871,3522.50077
951.83871,3494.01746
951.83871,3521.14442
951.83871,3519.78807
953.39305,3508.93729
953.39305,3518.43172
953.39305,3494.01746
954.94739,3510.29364
954.94739,3517.07538
954.94739,3507.58094
954.94739,3506.22459
954.94739,3494.01746
954.94739,3495.37381
956.50173,3495.37381
956.50173,3496.73016
956.50173,3498.08651
956.50173,3504.86825
956.50173,3511.64998
956.50173,3515.71903
956.50173,3514.36268
956.50173,3513.00633
958.05606,3498.08651
958.05606,3503.5119
959.6104,3498.08651
959.6104,3502.15555
961.16474,3500.7992
961.16474,3499.44285
982.51231,3555.25754
982.51231,3584.92445
987.5885,3599.81259
987.5885,3598.45624
989.14284,3597.09989
990.69718,3595.74354
990.69718,3597.09989
990.69718,3594.3872
992.25152,3594.3872
993.80586,3594.3872
995.36019,3594.3872
996.91453,3591.6745
996.91453,3593.03085
996.91453,3594.3872
998.46887,3587.60546
998.46887,3590.31815
998.46887,3591.6745
998.46887,3588.96181
1000.02321,3587.60546
1001.57755,3586.24911
1003.13189,3584.89276
1004.68623,3584.89276
1006.24057,3584.89276
1007.79491,3584.89276
1009.34924,3595.74354
1009.34924,3597.09989
1009.34924,3586.24911
1009.34924,3587.60546
1009.34924,3588.96181
1009.34924,3590.31815
1009.34924,3591.6745
1009.34924,3593.03085
1009.34924,3594.3872
1010.90358,3598.45624
1012.45792,3598.45624
1014.01226,3598.45624
1015.5666,3598.45624
1015.5666,3599.81259
1017.12094,3599.81259
1018.67528,3599.81259
1020.22962,3601.16894
1020.22962,3599.81259
1020.22962,3602.52528
1021.78395,3626.93954
1021.78395,3628.29589
1021.78395,3603.88163
1021.78395,3605.23798
1021.78395,3606.59433
1021.78395,3607.95067
1021.78395,3609.30702
1021.78395,3610.66337
1021.78395,3612.01972
1021.78395,3613.37607
1021.78395,3614.73241
1021.78395,3616.08876
1021.78395,3617.44511
1021.78395,3618.80146
1021.78395,3620.1578
1021.78395,3621.51415
1021.78395,3625.5832
1021.78395,3624.22685
1023.33829,3622.8705
1023.33829,3632.36493
1023.33829,3631.00859
1023.33829,3629.65224
1024.89263,3633.72128
1026.44697,3635.07763
1028.00131,3639.14667
1028.00131,3637.79033
1028.00131,3636.43398
1035.773,3595.74354
1035.773,3597.09989
1035.773,3598.45624
1037.32734,3599.81259
1037.32734,3594.3872
1038.88168,3601.16894
1038.88168,3594.3872
1038.88168,3593.03085
1038.88168,3591.6745
1040.43602,3602.52528
1040.43602,3603.88163
1040.43602,3591.6745
1040.43602,3590.31815
1040.43602,3588.96181
1041.99036,3606.59433
1041.99036,3605.23798
1041.99036,3588.96181
1041.99036,3586.24911
1041.99036,3587.60546
1043.5447,3586.24911
1043.5447,3584.89276
1045.09904,3584.89276
1046.65337,3584.89276
1048.20771,3584.89276
1049.76205,3584.89276
1051.31639,3564.54755
1051.31639,3584.89276
1052.87073,3578.11102
