Raman shift,Intensity
753.91051,630.25159
757.14202,629.59377
760.37353,650.64415
761.98929,656.56457
761.98929,642.75026
766.83656,655.90675
768.45231,661.16934
774.91533,660.51152
779.7626,667.08976
789.45714,666.43194
792.68865,663.14281
792.68865,655.90675
807.23045,649.98633
818.54074,636.17201
823.38801,649.3285
823.38801,643.40808
828.23528,651.30197
829.85103,650.64415
834.6983,642.75026
854.08737,657.88022
860.55039,666.43194
862.16615,668.40541
865.39766,676.95713
871.86068,673.66801
871.86068,663.80064
873.47644,669.72106
879.34261,653.24659
884.78673,638.80331
888.01824,634.85636
896.09702,628.93594
904.1758,623.67335
907.40731,622.3577
915.48609,626.30465
925.18062,630.90942
938.10667,636.17201
952.64847,637.48766
954.26423,640.77678
954.26423,648.01285
963.95876,656.56457
965.57452,659.19587
981.73207,640.11896
984.96359,629.59377
984.96359,642.09243
989.81085,625.64682
1002.7369,632.88289
1002.7369,641.43461
1020.51021,651.30197
1020.51021,651.30197
1020.51021,643.40808
1020.51021,643.40808
1022.12597,649.3285
1022.12597,649.3285
1033.43626,649.98633
1033.43626,635.51419
1033.43626,635.51419
1033.43626,649.98633
1035.05201,642.09243
1035.05201,642.09243
1038.28353,661.82717
1038.28353,661.82717
1039.89928,655.24892
1039.89928,655.24892
1041.51504,659.85369
1041.51504,659.85369
1046.36231,677.61495
1046.36231,677.61495
1049.59382,678.27278
1049.59382,678.27278
1052.82533,675.64148
1052.82533,675.64148
1057.6726,657.88022
1057.6726,657.88022
1062.51986,637.48766
1062.51986,637.48766
1064.13562,650.64415
1064.13562,630.25159
1064.13562,650.64415
1064.13562,628.27812
1064.13562,628.27812
1064.13562,630.25159
1065.75137,641.43461
1065.75137,639.46113
1065.75137,619.06858
1065.75137,639.46113
1065.75137,641.43461
1068.98289,616.43728
1070.59864,617.0951
1072.2144,619.7264
1077.06167,628.27812
1077.06167,628.27812
1083.52469,638.80331
1083.52469,638.80331
1091.60347,642.75026
1091.60347,642.75026
1099.68225,640.11896
1099.68225,640.11896
1101.298,637.48766
1101.298,637.48766
1102.91376,634.85636
1102.91376,634.85636
1109.37678,630.90942
1109.37678,630.90942
1110.99254,631.56724
1110.99254,631.56724
1125.53434,621.69987
1125.53434,621.69987
1127.15009,626.96247
1127.15009,626.96247
1136.84463,615.12163
1140.07614,615.12163
1151.38643,636.17201
1151.38643,636.17201
1153.00219,640.77678
1153.00219,640.77678
1156.2337,659.19587
1156.2337,659.19587
1157.84945,661.16934
1157.84945,661.16934
1157.84945,653.27545
1157.84945,653.27545
1167.54399,663.14281
1167.54399,663.14281
1178.45814,651.79143
1188.54881,638.80331
1188.54881,638.80331
1219.24817,630.90942
1219.24817,630.90942
1228.94271,626.96247
1228.94271,626.96247
1243.48451,632.88289
1243.48451,632.88289
1251.56329,636.17201
1251.56329,636.17201
1261.28096,645.24326
1262.87358,654.5911
1262.87358,654.5911
1269.3366,657.88022
1269.3366,657.88022
1280.64689,653.93327
1280.64689,653.93327
1288.09411,645.24326
1304.88323,663.14281
1304.88323,663.14281
1306.49899,657.22239
1306.49899,657.22239
1311.34625,663.80064
1311.34625,663.80064
1311.34625,667.74759
1311.34625,667.74759
1319.42503,670.37888
1319.42503,670.37888
1329.11957,662.48499
1329.11957,662.48499
1330.73532,659.85369
1330.73532,659.85369
1337.19835,646.03938
1337.19835,646.03938
1343.66137,654.5911
1343.66137,654.5911
1359.81893,640.77678
1359.81893,640.77678
1361.43468,638.14549
1361.43468,645.38155
1361.43468,638.14549
1361.43468,645.38155
1380.82375,639.46113
1380.82375,639.46113
1385.67102,646.03938
1385.67102,646.03938
1392.13404,653.93327
1392.13404,653.93327
1398.59706,648.67068
1398.59706,648.67068
1411.52311,636.17201
1411.52311,636.17201
1419.60189,632.22507
1419.60189,632.22507
1426.06491,631.56724
1426.06491,631.56724
1440.60672,654.5911
1440.60672,654.5911
1442.22247,650.64415
1442.22247,650.64415
1453.53276,655.24892
1453.53276,651.30197
1453.53276,655.24892
1453.53276,651.30197
1466.45881,640.77678
1466.45881,640.77678
1471.30607,630.25159
1471.30607,630.25159
1474.53759,630.25159
1474.53759,630.25159
1477.7691,648.67068
1477.7691,649.98633
1477.7691,634.85636
1477.7691,649.98633
1477.7691,648.67068
1477.7691,634.85636
1479.38485,642.09243
1479.38485,642.09243
1484.23212,667.08976
1485.84788,671.69453
1485.84788,660.51152
1490.69514,680.90407
1490.69514,680.90407
1490.69514,680.90407
1492.3109,680.90407
1492.3109,680.90407
1492.3109,680.90407
1497.15817,680.90407
1497.15817,680.90407
1497.15817,680.90407
1502.00543,674.98365
1502.00543,674.98365
1510.08421,647.35503
1510.08421,647.35503
1511.69997,647.35503
1511.69997,647.35503
1513.31573,647.35503
1513.31573,647.35503
1514.93148,672.35236
1514.93148,672.35236
1514.93148,669.72106
1514.93148,648.01285
1514.93148,648.01285
1514.93148,669.72106
1516.54724,657.88022
1516.54724,682.87755
1516.54724,682.87755
1516.54724,678.9306
1516.54724,657.88022
1516.54724,678.9306
1516.54724,682.87755
1516.54724,678.9306
1524.04979,697.87121
1527.02902,708.78485
1527.02902,715.33303
1530.60411,731.58221
1530.60411,726.24666
1532.70479,734.84568
1534.32055,738.1348
1539.16782,745.37087
1547.2466,735.5035
1550.26708,723.57888
1556.82141,707.3297
1566.95082,696.41606
1573.50514,683.07718
1573.50514,689.86788
1577.94596,668.40541
1577.94596,668.40541
1582.79322,668.40541
1582.79322,668.40541
1586.02474,675.64148
1586.02474,675.64148
1586.02474,675.64148
1602.18229,674.98365
1602.18229,674.98365
1603.79805,673.66801
1603.79805,673.66801
1608.64532,665.11629
1608.64532,674.32583
1608.64532,674.32583
1608.64532,665.11629
1610.4477,660.03729
1615.10834,644.06591
1615.10834,644.06591
1618.33985,640.77678
1618.33985,640.77678
1619.95561,640.77678
1619.95561,640.77678
1623.18712,642.09243
1623.18712,642.09243
1626.41863,647.35503
1626.41863,647.35503
1628.03439,651.30197
1628.03439,651.30197
1632.88165,650.64415
1632.88165,650.64415
1634.49741,665.11629
1634.49741,654.5911
1634.49741,665.11629
1634.49741,654.5911
1644.19194,669.06323
1644.19194,669.06323
1645.8077,669.06323
1645.8077,669.06323
1649.03921,669.06323
1649.03921,669.06323
1652.27072,668.40541
1652.27072,668.40541
1653.88648,665.77411
1653.88648,665.77411
1657.11799,665.77411
1657.11799,665.77411
1671.65979,663.80064
1671.65979,663.80064
1678.12281,663.14281
1678.12281,663.14281
1689.69544,657.36951
1707.20642,667.08976
1707.20642,667.08976
1708.82217,664.45846
1708.82217,664.45846
1713.66944,652.61762
1713.66944,652.61762
1713.66944,658.53804
1713.66944,658.53804
1720.13246,651.30197
1720.13246,646.03938
1720.13246,646.03938
1720.13246,651.30197
1731.44276,645.38155
1731.44276,645.38155
1731.44276,645.38155
1736.29002,646.6972
1736.29002,646.6972
1736.29002,646.6972
1755.67909,655.24892
1755.67909,655.24892
1755.67909,655.24892
1757.29485,647.35503
1757.29485,663.80064
1757.29485,647.35503
1757.29485,663.80064
1757.29485,647.35503
1757.29485,663.80064
1762.14211,673.01018
1762.14211,673.01018
1762.14211,673.01018
1763.75787,669.72106
1763.75787,669.72106
1763.75787,669.72106
1768.60514,678.27278
1768.60514,678.27278
1768.60514,678.27278
1771.83665,678.9306
1771.83665,678.9306
1771.83665,678.9306
1775.06816,676.95713
1775.06816,676.95713
1775.06816,676.95713
1781.53118,662.48499
1781.53118,662.48499
1781.53118,662.48499
1783.14694,667.08976
1783.14694,667.08976
1783.14694,667.08976
1794.45723,651.30197
1794.45723,651.30197
1794.45723,651.30197
1797.68874,657.88022
1797.68874,657.88022
1797.68874,657.88022
1805.76752,652.61762
1805.76752,652.61762
1805.76752,652.61762
1813.8463,652.61762
1813.8463,652.61762
1813.8463,652.61762
1818.69357,655.24892
1818.69357,655.24892
1838.08264,653.27545
1838.08264,648.67068
1842.9299,649.3285
1849.39293,640.77678
1860.70322,643.40808
1872.01351,643.40808
1875.24502,643.40808
1876.86078,643.40808
1884.93955,642.75026
1891.40258,636.82984
1899.48136,652.61762
1904.32862,658.53804
1914.02316,663.14281
1923.71769,657.22239
1925.33345,655.90675
1930.18072,649.98633
1935.02798,655.90675
1947.95403,651.30197
1947.95403,656.56457
1956.03281,650.64415
1959.26432,648.01285
1970.57461,648.01285
1977.03763,657.88022
1978.65339,657.88022
1980.26914,657.88022
1985.11641,642.09243
1985.11641,642.09243
1991.57944,642.09243
1991.57944,642.09243
1996.4267,650.64415
1996.4267,650.64415
1999.65821,643.40808
1999.65821,649.98633
1999.65821,643.40808
1999.65821,649.98633
2002.88973,640.11896
2002.88973,640.11896
2004.50548,638.14549
2004.50548,644.06591
2004.50548,644.06591
2004.50548,638.14549
2028.74182,638.14549
2028.74182,638.14549
2030.35757,642.09243
2030.35757,642.09243
2033.58909,653.27545
2033.58909,653.27545
2051.3624,657.22239
2051.3624,657.22239
2062.67269,661.16934
2062.67269,661.16934
2064.28845,655.90675
2064.28845,655.90675
2065.9042,659.19587
2065.9042,646.03938
2065.9042,646.03938
2065.9042,659.19587
2067.51996,653.27545
2067.51996,653.27545
2067.51996,639.46113
2067.51996,639.46113
2070.75147,633.54071
2070.75147,633.54071
2072.36722,640.77678
2072.36722,640.77678
2078.83025,630.25159
2078.83025,630.25159
2085.33829,639.66518
2105.00127,650.57881
2115.13068,653.24659
2115.99263,667.08976
2115.99263,667.08976
2127.30292,658.53804
2127.30292,658.53804
2128.91868,663.14281
2128.91868,663.14281
2140.22897,644.06591
2140.22897,644.06591
2148.30775,656.56457
2148.30775,656.56457
2170.92833,638.80331
2170.92833,638.80331
2174.15984,637.48766
2174.15984,637.48766
2177.39135,638.80331
2177.39135,638.80331
2190.3174,651.9598
2190.3174,651.9598
2196.78042,655.24892
2196.78042,655.24892
2200.01193,655.90675
2200.01193,655.90675
2211.32222,654.5911
2221.01676,649.98633
2221.01676,645.38155
2227.47978,640.11896
2232.32705,640.11896
2251.71612,657.22239
2256.56338,661.16934
2259.79489,657.88022
2263.02641,640.11896
2264.64216,646.03938
2275.95245,642.75026
2275.95245,634.19854
2277.56821,629.59377
2277.56821,640.77678
2280.79972,623.01552
2282.41548,619.7264
2288.8785,629.59377
2290.49425,635.51419
2293.72577,661.16934
2295.34152,668.40541
2295.34152,652.61762
2300.18879,682.87755
2300.18879,682.87755
2301.80454,692.08709
2301.80454,692.08709
2303.4203,680.24625
2304.61024,704.66192
2306.65181,713.13747
2311.16456,727.70181
2319.57786,742.73957
2322.80937,749.31782
2322.80937,736.16133
2324.42513,749.31782
2326.04088,749.31782
2327.65664,749.31782
2327.65664,744.71304
2327.65664,735.5035
2329.27239,749.31782
2329.27239,744.71304
2332.5039,744.05522
2332.5039,740.10827
2334.11966,738.1348
2334.11966,736.81915
2337.9777,725.03403
2340.95694,714.1204
2344.53203,688.41273
2344.53203,699.32637
2350.27722,674.32583
2350.27722,656.56457
2351.89297,666.43194
2356.74024,636.82984
2356.74024,651.30197
2358.356,632.22507
2358.356,643.40808
2363.20326,633.54071
2363.20326,621.69987
2374.51355,630.25159
2380.97658,617.0951
2384.20809,615.12163
2387.4396,619.7264
2387.4396,617.75293
2387.4396,639.46113
2389.05536,627.62029
2393.90262,646.03938
2393.90262,661.16934
2400.36565,664.45846
2400.36565,672.35236
2411.67594,654.5911
2413.29169,646.03938
2416.5232,635.51419
2418.13896,626.96247
2426.21774,641.43461
2431.06501,639.46113
2434.29652,640.77678
2443.99105,640.11896
2447.22256,634.85636
2468.22739,642.09243
2468.22739,640.11896
2469.84315,636.17201
2473.07466,652.61762
2474.69041,655.90675
2479.53768,671.03671
2481.15344,676.95713
2481.15344,675.64148
2481.15344,664.45846
2481.15344,663.14281
2492.46373,660.51152
2494.07948,653.93327
2498.92675,641.43461
2500.54251,649.3285
2500.54251,638.80331
2549.01518,636.82984
2549.01518,632.22507
2553.86245,641.43461
2568.40425,638.80331
2568.40425,631.56724
2573.25152,632.22507
2573.25152,624.989
2579.71454,617.0951
2597.48785,641.43461
2599.10361,637.48766
2603.95088,654.5911
2605.56663,659.85369
2608.79814,661.16934
2610.4139,661.16934
2616.87692,658.53804
2616.87692,653.93327
2623.33994,651.9598
2628.18721,633.54071
2629.80297,627.62029
2629.80297,640.77678
2629.80297,639.46113
2631.41872,635.51419
2644.34477,621.04205
2649.19204,626.30465
2652.42355,638.80331
2654.0393,645.38155
2654.0393,634.85636
2655.65506,637.48766
2658.88657,655.90675
2660.50233,661.82717
2660.50233,649.3285
2665.34959,665.11629
2665.34959,661.16934
2666.96535,666.43194
2670.19686,668.40541
2671.81262,668.40541
2678.27564,653.27545
2687.97018,655.24892
2689.58593,659.19587
2691.20169,661.16934
2696.04895,665.11629
2704.12773,659.85369
2704.12773,652.61762
2710.59076,651.9598
2715.43802,645.38155
2717.05378,645.38155
2734.82709,646.6972
2746.13738,649.3285
2746.13738,637.48766
2747.75314,654.5911
2747.75314,642.75026
2750.98465,655.90675
2752.60041,655.24892
2757.44767,651.30197
2759.06343,642.75026
2765.52645,628.27812
2783.29977,639.46113
2784.91552,630.90942
2789.76279,645.38155
2791.37855,661.82717
2802.68884,657.22239
2807.5361,654.5911
2815.61488,653.93327
2817.23064,652.61762
2826.92517,659.85369
2830.15668,660.51152
2835.00395,653.27545
2851.16151,643.40808
2862.4718,649.3285
2868.93482,637.48766
2870.55058,632.88289
2878.62936,630.25159
2883.47662,628.27812
2885.09238,630.90942
2894.78692,624.33117
2912.97071,632.87447
2931.9493,640.77678
2943.25959,643.40808
2944.87534,637.48766
2949.72261,631.56724
2951.33837,635.51419
2954.56988,630.25159
2964.26441,630.90942
2964.26441,635.51419
2969.11168,638.80331
2970.72744,636.82984
2975.5747,645.38155
2978.80622,646.03938
3005.92294,649.12366
3025.66313,637.48766
3030.5104,648.67068
3032.12616,645.38155
3049.89947,645.38155
3059.594,645.38155
3062.82552,651.30197
3062.82552,646.6972
3072.52005,653.27545
3075.75156,648.01285
3078.98307,645.38155
3098.37214,634.85636
3111.29819,633.54071
3119.37697,636.82984
3129.0715,645.38155
3129.0715,645.38155
3141.99755,640.11896
3141.99755,640.11896
3148.46057,646.03938
3148.46057,646.03938
3159.77086,632.22507
3161.38662,646.6972
3161.38662,646.6972
3161.38662,633.54071
3161.38662,633.54071
3166.23389,656.56457
3166.23389,656.56457
3167.84964,650.64415
3167.84964,650.64415
3174.31266,659.19587
3174.31266,659.19587
3187.23871,656.56457
3187.23871,656.56457
3198.549,657.22239
3198.549,657.22239
3201.78051,658.53804
3201.78051,658.53804
3203.39627,658.53804
3203.39627,658.53804
3211.47505,658.53804
3211.47505,658.53804
3216.32231,649.3285
3216.32231,649.3285
3222.78534,659.85369
3222.78534,659.85369
3226.01685,663.14281
3226.01685,663.14281
3227.63261,663.14281
3227.63261,663.14281
3235.71138,651.30197
3235.71138,651.30197
3250.25319,641.43461
3250.25319,641.43461
3253.4847,643.40808
3253.4847,643.40808
3255.10045,638.14549
3255.10045,638.14549
3281.80042,654.70174
3285.79981,666.43194
3285.79981,666.43194
3293.87859,675.64148
3293.87859,675.64148
3295.49435,675.64148
3295.49435,675.64148
3303.57313,669.06323
3303.57313,669.06323
3306.80464,665.11629
3306.80464,665.11629
3316.49917,673.01018
3316.49917,673.01018
3321.34644,675.64148
3321.34644,675.64148
3322.9622,673.66801
3322.9622,673.66801
3329.42522,675.64148
3329.42522,675.64148
3334.27249,657.88022
3334.27249,657.88022
3360.12458,670.37888
3360.12458,670.37888
3364.97185,664.45846
3364.97185,664.45846
3373.05063,653.27545
3373.05063,653.27545
3379.51365,667.74759
3379.51365,667.74759
3389.20818,664.45846
3389.20818,656.56457
3389.20818,656.56457
3389.20818,664.45846
3390.82394,662.48499
3390.82394,653.27545
3390.82394,662.48499
3390.82394,653.27545
3403.74999,655.90675
3403.74999,655.90675
3408.59725,659.85369
3408.59725,659.85369
3413.44452,663.14281
3413.44452,663.14281
3426.37057,651.30197
3426.37057,651.30197
3427.98632,646.03938
3427.98632,646.03938
3434.44934,634.19854
3434.44934,634.19854
3440.91237,636.17201
3440.91237,636.17201
3450.6069,660.51152
3450.6069,660.51152
3452.22266,665.11629
3452.22266,665.11629
3457.06993,665.11629
3457.06993,665.11629
3463.53295,655.90675
3463.53295,655.90675
3465.1487,660.51152
3465.1487,660.51152
3469.99597,646.03938
3469.99597,646.03938
3482.92202,642.09243
3482.92202,651.9598
3482.92202,651.9598
3482.92202,642.09243
3484.53777,646.6972
3484.53777,646.6972
3484.53777,655.90675
3484.53777,655.90675
3495.84806,655.24892
3495.84806,655.24892
3502.31109,661.82717
3502.31109,661.82717
3515.23713,659.85369
3515.23713,659.85369
3533.01045,662.48499
3533.01045,662.48499
3539.47347,652.61762
3539.47347,652.61762
3542.70498,653.93327
3542.70498,653.93327
3549.16801,655.24892
3549.16801,655.24892
3557.24678,657.88022
3557.24678,665.11629
3557.24678,657.88022
3557.24678,665.11629
3562.09405,670.37888
3562.09405,670.37888
3563.70981,674.32583
3563.70981,674.32583
3563.70981,667.08976
3563.70981,667.08976
3568.55707,673.66801
3579.86736,680.90407
3581.48312,680.24625
3587.94614,663.80064
3592.79341,653.93327
3594.40917,652.61762
3594.40917,659.85369
3625.10853,658.53804
3641.26608,651.30197
3646.11335,650.64415
3654.19213,647.35503
3660.65515,657.88022
3662.27091,662.48499
3663.88667,666.43194
3676.81271,678.9306
3678.42847,678.9306
3681.65998,674.32583
3686.50725,656.56457
3686.50725,666.43194
3688.123,661.82717
3692.97027,653.93327
3694.58603,646.03938
3701.04905,653.27545
3702.6648,653.27545
3710.74358,650.64415
3710.74358,650.64415
3712.35934,651.9598
3712.35934,651.9598
3717.20661,668.40541
3717.20661,668.40541
3717.20661,660.51152
3717.20661,660.51152
3747.90597,673.01018
3747.90597,673.01018
3751.13748,676.2993
3751.13748,676.2993
3754.36899,674.98365
3754.36899,674.98365
3755.98474,671.69453
3755.98474,671.69453
3765.67928,650.64415
3765.67928,650.64415
3775.37381,652.61762
3775.37381,652.61762
3780.22108,665.11629
3780.22108,665.11629
3797.99439,656.56457
3797.99439,656.56457
3797.99439,663.80064
3797.99439,663.80064
3809.30469,653.93327
3809.30469,653.93327
3810.92044,652.61762
3810.92044,652.61762
3812.5362,644.72373
3812.5362,644.72373
3814.15195,642.09243
3814.15195,642.09243
3822.23073,655.90675
3823.84649,655.90675
3827.078,655.90675
3831.92527,655.24892
3835.15678,653.93327
3836.77253,651.9598
3841.6198,636.17201
3843.08892,645.24326
3846.46707,626.96247
3849.69858,626.30465
3856.1616,633.54071
3857.77736,633.54071
3859.39311,633.54071
3861.00887,632.22507
3862.62463,632.22507
3870.7034,638.80331
3873.93492,637.48766
3880.39794,643.40808
3898.17125,642.09243
3903.01852,647.35503
3903.01852,653.93327
3909.48154,664.45846
3912.71306,666.43194
3915.94457,665.11629
3917.56032,660.51152
3922.40759,646.03938
3922.40759,653.27545
3928.87061,642.75026
3940.1809,639.46113
3940.1809,645.38155
3941.79666,648.01285
