Raman shift,Intensity
757.02644,322.17884
758.70234,323.28189
760.37825,324.38495
762.05415,324.38495
763.73006,325.488
765.40596,327.69411
767.08186,329.90022
768.75777,331.00328
770.43367,332.10633
772.10958,333.20939
773.78548,333.20939
775.46139,333.20939
777.13729,332.10633
778.8132,331.00328
780.4891,329.90022
782.16501,328.79717
783.84091,328.79717
785.51682,327.69411
787.19272,326.59106
788.86863,325.488
790.54453,325.488
792.22044,324.38495
793.89634,323.28189
795.57225,323.28189
797.24815,322.17884
798.92406,321.07578
800.59996,319.97272
802.27587,319.97272
803.95177,318.86967
805.62768,317.76661
807.30358,316.66356
808.97949,315.5605
810.65539,313.35439
812.3313,312.25134
814.0072,310.04523
815.68311,308.94217
817.35901,306.73606
819.03492,304.52995
820.71082,303.4269
822.38673,302.32384
824.06263,301.22079
825.73854,300.11773
827.41444,300.11773
829.09035,300.11773
830.76625,301.22079
832.44216,302.32384
834.11806,302.32384
835.79397,303.4269
837.46987,305.63301
839.14578,306.73606
840.82168,307.83912
842.49759,308.94217
844.17349,310.04523
845.8494,310.04523
847.5253,311.14828
849.20121,311.14828
850.87711,311.14828
852.55301,311.14828
854.22892,312.25134
855.90482,312.25134
857.58073,313.35439
859.25663,313.35439
860.93254,313.35439
862.60844,314.45745
864.28435,313.35439
865.96025,313.35439
867.63616,313.35439
869.31206,312.25134
870.98797,312.25134
872.66387,311.14828
874.33978,310.04523
876.01568,308.94217
877.69159,306.73606
879.36749,305.63301
881.0434,304.52995
882.7193,302.32384
884.39521,301.22079
886.07111,300.11773
887.74702,297.91162
889.42292,296.80857
891.09883,295.70551
892.77473,294.60246
894.45064,293.4994
896.12654,293.4994
897.80245,292.39635
899.47835,292.39635
901.15426,292.39635
902.83016,292.39635
904.50607,292.39635
906.18197,292.39635
907.85788,291.29329
909.53378,291.29329
911.20969,290.19024
912.88559,289.08718
914.5615,286.88107
916.2374,285.77801
917.91331,283.5719
919.58921,281.36579
921.26512,280.26274
922.94102,279.15968
924.61693,276.95357
926.29283,275.85052
927.96874,274.74746
929.64464,273.64441
931.32055,273.64441
932.99645,273.64441
934.67235,274.74746
936.34826,275.85052
938.02416,276.95357
939.70007,279.15968
941.37597,280.26274
943.05188,281.36579
944.72778,282.46885
946.40369,283.5719
948.07959,284.67496
949.7555,284.67496
951.4314,284.67496
953.10731,283.5719
954.78321,282.46885
956.45912,280.26274
958.13502,279.15968
959.81093,276.95357
961.48683,275.85052
963.16274,273.64441
964.83864,271.4383
966.51455,270.33524
968.19045,269.23219
969.86636,268.12913
971.54226,267.02608
973.21817,267.02608
974.89407,267.02608
976.56998,268.12913
978.24588,269.23219
979.92179,270.33524
981.59769,271.4383
983.2736,272.54135
984.9495,273.64441
986.62541,273.64441
988.30131,273.64441
989.97722,273.64441
991.65312,272.54135
993.32903,270.33524
995.00493,268.12913
996.68084,265.92302
998.35674,262.61386
1000.03265,259.30469
1001.70855,257.09858
1003.38446,254.89247
1005.06036,252.68636
1006.73627,251.5833
1008.41217,249.37719
1010.08808,249.37719
1011.76398,248.27414
1013.43989,248.27414
1015.11579,249.37719
1016.79169,250.48025
1018.4676,251.5833
1020.1435,252.68636
1021.81941,254.89247
1023.49531,257.09858
1025.17122,259.30469
1026.84712,261.5108
1028.52303,263.71691
1030.19893,267.02608
1031.87484,268.12913
1033.55074,270.33524
1035.22665,272.54135
1036.90255,273.64441
1038.57846,273.64441
1040.25436,273.64441
1041.93027,273.64441
1043.60617,273.64441
1045.28208,272.54135
1046.95798,272.54135
1048.63389,272.54135
1050.30979,272.54135
1051.9857,271.4383
1053.6616,271.4383
1055.33751,270.33524
1057.01341,269.23219
1058.68932,268.12913
1060.36522,265.92302
1062.04113,264.81997
1063.71703,263.71691
1065.39294,261.5108
1067.06884,260.40775
1068.74475,259.30469
1070.42065,258.20164
1072.09656,257.09858
1073.77246,258.20164
1075.44837,259.30469
1077.12427,262.61386
1078.80018,264.81997
1080.47608,268.12913
1082.15199,271.4383
1083.82789,273.64441
1085.5038,276.95357
1087.1797,280.26274
1088.85561,283.5719
1090.53151,285.77801
1092.20742,287.98413
1093.88332,289.08718
1095.55923,290.19024
1097.23513,290.19024
1098.91104,290.19024
1100.58694,289.08718
1102.26284,286.88107
1103.93875,284.67496
1105.61465,282.46885
1107.29056,280.26274
1108.96646,278.05663
1110.64237,274.74746
1112.31827,272.54135
1113.99418,270.33524
1115.67008,269.23219
1117.34599,267.02608
1119.02189,267.02608
1120.6978,265.92302
1122.3737,265.92302
1124.04961,267.02608
1125.72551,267.02608
1127.40142,268.12913
1129.07732,269.23219
1130.75323,270.33524
1132.42913,271.4383
1134.10504,271.4383
1135.78094,272.54135
1137.45685,274.74746
1139.13275,274.74746
1140.80866,275.85052
1142.48456,276.95357
1144.16047,276.95357
1145.83637,279.15968
1147.51228,279.15968
1149.18818,280.26274
1150.86409,280.26274
1152.53999,280.26274
1154.2159,280.26274
1155.8918,279.15968
1157.56771,278.05663
1159.24361,275.85052
1160.91952,274.74746
1162.59542,273.64441
1164.27133,271.4383
1165.94723,270.33524
1167.62314,269.23219
1169.29904,267.02608
1170.97495,267.02608
1172.65085,265.92302
1174.32676,265.92302
1176.00266,267.02608
1177.67857,268.12913
1179.35447,269.23219
1181.03038,269.23219
1182.70628,270.33524
1184.38218,271.4383
1186.05809,272.54135
1187.73399,273.64441
1189.4099,274.74746
1191.0858,274.74746
1192.76171,274.74746
1194.43761,273.64441
1196.11352,271.4383
1197.78942,270.33524
1199.46533,268.12913
1201.14123,267.02608
1202.81714,265.92302
1204.49304,264.81997
1206.16895,263.71691
1207.84485,263.71691
1209.52076,262.61386
1211.19666,263.71691
1212.87257,264.81997
1214.54847,265.92302
1216.22438,268.12913
1217.90028,270.33524
1219.57619,271.4383
1221.25209,273.64441
1222.928,275.85052
1224.6039,278.05663
1226.27981,279.15968
1227.95571,280.26274
1229.63162,280.26274
1231.30752,281.36579
1232.98343,279.15968
1234.65933,278.05663
1236.33524,275.85052
1238.01114,273.64441
1239.68705,271.4383
1241.36295,269.23219
1243.03886,265.92302
1244.71476,263.71691
1246.39067,261.5108
1248.06657,259.30469
1249.74248,258.20164
1251.41838,258.20164
1253.09429,261.5108
1254.77019,264.81997
1256.4461,268.12913
1258.122,274.74746
1259.79791,280.26274
1261.47381,285.77801
1263.14972,290.19024
1264.82562,296.80857
1266.50152,302.32384
1268.17743,307.83912
1269.85333,310.04523
1271.52924,315.5605
1273.20514,318.86967
1274.88105,324.38495
1276.55695,327.69411
1278.23286,329.90022
1279.90876,333.20939
1281.58467,335.4155
1283.26057,337.62161
1284.93648,340.93077
1286.61238,343.13688
1288.28829,346.44605
1289.96419,348.65216
1291.6401,350.85827
1293.316,353.06438
1294.99191,355.27049
1296.66781,357.4766
1298.34372,358.57966
1300.01962,360.78577
1301.69553,360.78577
1303.37143,358.57966
1305.04734,357.4766
1306.72324,354.16743
1308.39915,349.75521
1310.07505,344.23994
1311.75096,338.72466
1313.42686,334.31244
1315.10277,329.90022
1316.77867,323.28189
1318.45458,318.86967
1320.13048,314.45745
