Raman shift,Intensity
754.4196,443.88709
756.5672,443.88709
758.71479,445.2076
760.86239,443.88709
763.00999,443.88709
765.15758,442.56658
767.30518,442.56658
769.45278,442.56658
771.60037,441.24607
773.74797,441.24607
775.89557,441.24607
778.04316,439.92556
780.19076,439.92556
782.33836,439.92556
784.48595,439.92556
786.63355,439.92556
788.78115,439.92556
790.92874,439.92556
793.07634,439.92556
795.22394,439.92556
797.37153,439.92556
799.51913,439.92556
801.66673,439.92556
803.81433,439.92556
805.96192,441.24607
808.10952,441.24607
810.25712,441.24607
812.40471,441.24607
814.55231,441.24607
816.69991,442.56658
818.8475,442.56658
820.9951,442.56658
823.1427,442.56658
825.29029,443.88709
827.43789,443.88709
829.58549,443.88709
831.73308,443.88709
833.88068,443.88709
836.02828,445.2076
838.17587,445.2076
840.32347,445.2076
842.47107,445.2076
844.61866,445.2076
846.76626,445.2076
848.91386,445.2076
851.06145,445.2076
853.20905,445.2076
855.35665,443.88709
857.50424,443.88709
859.65184,443.88709
861.79944,443.88709
863.94703,443.88709
866.09463,442.56658
868.24223,442.56658
870.38982,442.56658
872.53742,442.56658
874.68502,442.56658
876.83261,442.56658
878.98021,442.56658
881.12781,442.56658
883.2754,442.56658
885.423,442.56658
887.5706,443.88709
889.71819,443.88709
891.86579,445.2076
894.01339,446.52811
896.16098,447.84862
898.30858,449.16913
900.45618,450.48964
902.60377,453.13066
904.75137,454.45116
906.89897,455.77167
909.04656,458.41269
911.19416,459.7332
913.34176,461.05371
915.48935,462.37422
917.63695,465.01524
919.78455,465.01524
921.93214,466.33575
924.07974,467.65626
926.22734,467.65626
928.37493,467.65626
930.52253,467.65626
932.67013,467.65626
934.81772,466.33575
936.96532,465.01524
939.11292,465.01524
941.26051,463.69473
943.40811,462.37422
945.55571,461.05371
947.7033,459.7332
949.8509,458.41269
951.9985,457.09218
954.14609,455.77167
956.29369,454.45116
958.44129,453.13066
960.58888,451.81015
962.73648,451.81015
964.88408,450.48964
967.03167,450.48964
969.17927,449.16913
971.32687,449.16913
973.47446,449.16913
975.62206,447.84862
977.76966,447.84862
979.91725,447.84862
982.06485,447.84862
984.21245,449.16913
986.36004,449.16913
988.50764,449.16913
990.65524,449.16913
992.80283,449.16913
994.95043,450.48964
997.09803,450.48964
999.24562,450.48964
1001.39322,450.48964
1003.54082,450.48964
1005.68841,451.81015
