Raman shift,Intensity
431.03944,978.52681
433.25168,979.30772
435.46391,979.30772
437.67615,980.08863
439.88838,980.08863
442.10062,980.08863
444.31285,980.08863
446.52509,980.86955
448.73732,980.86955
450.94956,980.86955
453.1618,980.86955
455.37403,980.86955
457.58627,980.86955
459.7985,981.65046
462.01074,981.65046
464.22297,981.65046
466.43521,981.65046
468.64745,981.65046
470.85968,980.86955
473.07192,980.86955
475.28415,980.86955
477.49639,980.86955
479.70862,980.86955
481.92086,980.86955
484.1331,980.86955
486.34533,980.08863
488.55757,980.08863
490.7698,980.08863
492.98204,980.08863
495.19427,980.08863
497.40651,979.30772
499.61874,979.30772
501.83098,979.30772
504.04322,979.30772
506.25545,979.30772
508.46769,979.30772
510.67992,978.52681
512.89216,978.52681
515.10439,978.52681
517.31663,978.52681
519.52887,978.52681
521.7411,978.52681
523.95334,977.74589
526.16557,977.74589
528.37781,977.74589
530.59004,977.74589
532.80228,977.74589
535.01451,976.96498
537.22675,976.96498
539.43899,976.96498
541.65122,976.96498
543.86346,976.96498
546.07569,976.96498
548.28793,976.96498
550.50016,976.96498
552.7124,976.96498
554.92464,976.96498
557.13687,976.96498
559.34911,976.96498
561.56134,976.96498
563.77358,976.96498
565.98581,977.74589
568.19805,977.74589
570.41029,977.74589
572.62252,977.74589
574.83476,978.52681
577.04699,978.52681
579.25923,978.52681
581.47146,979.30772
583.6837,979.30772
585.89593,979.30772
588.10817,980.08863
590.32041,980.08863
592.53264,980.86955
594.74488,980.86955
596.95711,981.65046
599.16935,981.65046
601.38158,982.43137
603.59382,982.43137
605.80606,983.21228
608.01829,983.21228
610.23053,983.9932
612.44276,984.77411
614.655,984.77411
661.90385,977.95925
712.0857,972.96366
718.51927,977.95925
762.87479,976.18407
765.08702,976.18407
767.29926,976.18407
769.51149,976.18407
771.72373,976.18407
773.93596,976.18407
776.1482,976.18407
778.36044,975.40316
780.57267,974.62224
782.78491,974.62224
784.99714,974.62224
787.20938,974.62224
789.42161,975.40316
791.63385,976.18407
793.84609,976.96498
