Raman shift,Intensity
769.98107,2563.56291
771.53541,2566.2756
773.08975,2567.63195
774.64409,2568.9883
776.19843,2570.34464
777.75277,2568.9883
779.3071,2567.63195
780.86144,2566.2756
782.41578,2564.91925
783.97012,2563.56291
785.52446,2563.56291
787.0788,2564.91925
788.63314,2567.63195
790.18748,2570.34464
791.74181,2571.70099
793.29615,2573.05734
794.85049,2573.05734
796.40483,2570.34464
797.95917,2567.63195
799.51351,2563.56291
801.06785,2558.13752
802.62219,2552.71212
804.17652,2547.28673
805.73086,2543.21769
807.2852,2537.7923
808.83954,2532.36691
810.39388,2528.29786
811.94822,2525.58517
813.50256,2520.15978
815.0569,2517.44708
816.61123,2516.09073
818.16557,2513.37804
819.71991,2512.02169
821.27425,2510.66534
825.93727,2491.67648
825.93727,2490.32013
827.49161,2498.45821
827.49161,2493.03282
827.49161,2499.81456
829.04594,2499.81456
829.04594,2497.10187
829.04594,2495.74552
829.04594,2494.38917
830.60028,2510.66534
830.60028,2499.81456
832.15462,2501.17091
832.15462,2509.309
832.15462,2503.88361
832.15462,2505.23995
832.15462,2506.5963
832.15462,2507.95265
832.15462,2502.52726
832.15462,2510.66534
832.15462,2512.02169
832.15462,2514.73439
832.15462,2513.37804
832.15462,2512.02169
833.70896,2516.09073
833.70896,2514.73439
833.70896,2513.37804
835.2633,2516.09073
835.2633,2517.44708
835.2633,2514.73439
836.81764,2517.44708
836.81764,2514.73439
836.81764,2518.80343
838.37198,2517.44708
838.37198,2518.80343
839.92632,2521.51613
839.92632,2520.15978
839.92632,2518.80343
839.92632,2518.80343
841.48066,2521.51613
841.48066,2522.87247
841.48066,2518.80343
843.03499,2521.51613
843.03499,2522.87247
843.03499,2525.58517
843.03499,2524.22882
844.58933,2525.58517
844.58933,2524.22882
844.58933,2526.94152
846.14367,2526.94152
846.14367,2525.58517
847.69801,2535.0796
847.69801,2526.94152
847.69801,2528.29786
847.69801,2533.72326
849.25235,2526.94152
849.25235,2535.0796
849.25235,2532.36691
850.80669,2528.29786
850.80669,2535.0796
850.80669,2531.01056
850.80669,2529.65421
850.80669,2526.94152
852.36103,2528.29786
852.36103,2535.0796
853.91537,2535.0796
853.91537,2536.43595
853.91537,2541.86134
855.4697,2536.43595
855.4697,2539.14865
855.4697,2540.50499
855.4697,2549.99943
855.4697,2543.21769
855.4697,2537.7923
855.4697,2545.93039
855.4697,2547.28673
855.4697,2548.64308
857.02404,2556.78117
857.02404,2551.35578
857.02404,2552.71212
857.02404,2554.06847
857.02404,2555.42482
857.02404,2544.57404
858.57838,2558.13752
858.57838,2559.49386
860.13272,2564.91925
