Raman shift,Intensity
751.53666,563.6851
753.60413,564.39318
755.67159,564.39318
757.73905,564.39318
759.80651,563.6851
761.87398,562.97703
763.94144,562.26896
766.0089,562.26896
768.07636,561.56088
770.14383,561.56088
772.21129,561.56088
774.27875,562.26896
776.34621,562.97703
778.41368,563.6851
780.48114,564.39318
782.5486,563.6851
784.61606,563.6851
786.68353,563.6851
788.75099,563.6851
790.81845,562.97703
792.88591,562.26896
794.95338,561.56088
797.02084,561.56088
799.0883,561.56088
801.15576,561.56088
803.22323,561.56088
805.29069,561.56088
807.35815,561.56088
809.42561,561.56088
811.49308,561.56088
813.56054,561.56088
815.628,561.56088
817.69546,561.56088
819.76293,561.56088
821.83039,561.56088
823.89785,561.56088
825.96531,561.56088
828.03278,561.56088
830.10024,561.56088
832.1677,561.56088
834.23516,561.56088
836.30262,561.56088
838.37009,561.56088
840.43755,561.56088
842.50501,561.56088
844.57247,561.56088
846.63994,561.56088
848.7074,561.56088
850.77486,561.56088
852.84232,561.56088
854.90979,561.56088
856.97725,561.56088
859.04471,561.56088
861.11217,561.56088
863.17964,561.56088
865.2471,561.56088
867.31456,561.56088
869.38202,561.56088
871.44949,561.56088
873.51695,561.56088
875.58441,561.56088
877.65187,561.56088
879.71934,561.56088
881.7868,561.56088
883.85426,560.85281
885.92172,560.85281
887.98919,560.85281
890.05665,560.85281
892.12411,560.85281
894.19157,561.56088
896.25904,562.26896
898.3265,562.26896
900.39396,562.26896
902.46142,562.97703
904.52889,563.6851
906.59635,564.39318
908.66381,564.39318
910.73127,564.39318
912.79874,564.39318
914.8662,564.39318
916.93366,564.39318
919.00112,564.39318
921.06859,564.39318
923.13605,564.39318
925.20351,564.39318
927.27097,564.39318
929.33844,564.39318
931.4059,564.39318
933.47336,564.39318
935.54082,564.39318
937.60829,564.39318
939.67575,564.39318
941.74321,564.39318
943.81067,564.39318
945.87814,564.39318
947.9456,564.39318
950.01306,564.39318
952.08052,564.39318
954.14799,564.39318
956.21545,564.39318
958.28291,564.39318
960.35037,564.39318
962.41784,564.39318
964.4853,565.10125
966.55276,565.10125
968.62022,565.10125
970.68769,565.10125
972.75515,565.10125
974.82261,565.10125
976.89007,565.10125
978.95754,565.10125
981.025,565.10125
983.09246,565.10125
985.15992,565.10125
987.22739,565.10125
989.29485,565.10125
991.36231,565.10125
993.42977,565.10125
995.49724,565.10125
997.5647,565.10125
999.63216,565.10125
1001.69962,565.10125
1003.76709,565.10125
1005.83455,565.80932
1007.90201,565.80932
1009.96947,565.80932
1012.03694,565.80932
1014.1044,565.10125
1016.17186,565.80932
1018.23932,565.80932
1020.30679,565.80932
1022.37425,565.80932
1024.44171,565.80932
1026.50917,566.5174
1028.57663,566.5174
1030.6441,566.5174
1030.6441,565.80932
1032.71156,566.5174
1034.77902,567.22547
1034.77902,566.5174
1036.84648,567.93354
1036.84648,568.64162
1036.84648,567.22547
1038.91395,569.34969
1038.91395,568.64162
1040.98141,570.76584
1040.98141,569.34969
1040.98141,570.05776
1043.04887,570.76584
1045.11633,570.76584
1047.1838,570.76584
1049.25126,570.76584
1051.31872,570.76584
1053.38618,589.88382
1053.38618,570.76584
1053.38618,587.7596
1053.38618,587.05153
1053.38618,588.46768
1053.38618,590.5919
1055.45365,586.34345
1055.45365,576.43043
1055.45365,594.13226
1055.45365,575.72235
1055.45365,592.00804
1055.45365,591.29997
1055.45365,592.71612
1055.45365,571.47391
1055.45365,589.17575
1055.45365,572.18198
1055.45365,572.89006
1055.45365,595.54841
1055.45365,594.84034
1057.52111,598.3807
1057.52111,575.01428
1057.52111,574.3062
1057.52111,585.63538
1057.52111,597.67263
1057.52111,577.1385
1057.52111,593.42419
1057.52111,596.96456
1057.52111,573.59813
1057.52111,596.25648
1059.58857,599.08878
1059.58857,579.26272
1059.58857,577.84657
1059.58857,584.92731
1061.65603,582.80309
1061.65603,579.97079
1061.65603,581.38694
1061.65603,580.67887
1061.65603,582.09501
1061.65603,584.21923
1061.65603,578.55465
1061.65603,599.79685
1063.7235,600.50492
1063.7235,619.62291
1063.7235,618.91484
1063.7235,617.49869
1063.7235,616.79062
1063.7235,616.08254
1063.7235,583.51116
1063.7235,615.37447
1063.7235,620.33098
1063.7235,621.03906
1065.79096,621.74713
1065.79096,622.4552
1065.79096,601.213
1065.79096,623.87135
1065.79096,618.20676
1065.79096,625.2875
1065.79096,625.99557
1065.79096,604.75337
1065.79096,613.25025
1065.79096,626.70364
1065.79096,614.66639
1065.79096,607.58566
1065.79096,623.16328
1067.85842,628.82787
1067.85842,624.57942
1067.85842,629.53594
1067.85842,628.11979
1067.85842,631.66016
1067.85842,608.29373
1067.85842,612.54217
1067.85842,606.87759
1067.85842,605.46144
1067.85842,630.95209
1067.85842,601.92107
1067.85842,632.36823
1067.85842,603.33722
1067.85842,604.04529
1067.85842,613.95832
1067.85842,627.41172
1067.85842,633.07631
1069.92588,638.03282
1069.92588,637.32475
1069.92588,630.24401
1069.92588,635.20053
1069.92588,609.00181
1069.92588,602.62915
1069.92588,611.8341
1069.92588,633.78438
1069.92588,634.49245
1069.92588,635.9086
1069.92588,606.16951
1069.92588,638.74089
1071.99335,609.70988
1071.99335,611.12603
1071.99335,610.41795
1071.99335,639.44897
1071.99335,640.15704
1071.99335,640.86511
1071.99335,641.57319
1071.99335,645.11356
1071.99335,642.98934
1071.99335,643.69741
1071.99335,644.40548
1071.99335,636.61667
1074.06081,642.28126
1074.06081,646.5297
1074.06081,647.23778
1074.06081,647.94585
1074.06081,648.65392
1074.06081,649.362
1074.06081,645.82163
1074.06081,650.07007
1076.12827,651.48622
1076.12827,650.77814
1076.12827,652.90236
1076.12827,652.19429
1076.12827,654.31851
1076.12827,655.02659
1078.19573,655.73466
1078.19573,653.61044
1078.19573,657.85888
1080.2632,656.44273
1080.2632,658.56695
1080.2632,659.27503
1080.2632,657.15081
1082.33066,659.9831
1084.39812,660.69117
1086.46558,662.10732
1086.46558,662.81539
1086.46558,663.52347
1086.46558,661.39925
1088.53305,663.52347
1088.53305,664.93961
1088.53305,664.23154
1090.60051,667.06383
1090.60051,665.64769
1092.66797,666.35576
1107.14021,661.39925
1107.14021,656.44273
1109.20767,660.69117
1109.20767,659.9831
1109.20767,658.56695
1109.20767,657.85888
1109.20767,657.15081
1109.20767,659.27503
1109.20767,655.73466
1109.20767,653.61044
1109.20767,662.10732
1111.27513,652.90236
1111.27513,655.02659
1111.27513,654.31851
1111.27513,651.48622
1111.27513,652.19429
1113.3426,648.65392
1113.3426,650.77814
1113.3426,650.07007
1113.3426,647.23778
1113.3426,647.94585
1115.41006,645.82163
1115.41006,649.362
1115.41006,646.5297
1117.47752,638.74089
1117.47752,645.11356
1117.47752,644.40548
1117.47752,643.69741
1117.47752,642.98934
1117.47752,642.28126
1117.47752,641.57319
1117.47752,640.86511
1117.47752,640.15704
1117.47752,639.44897
1117.47752,635.20053
1117.47752,638.03282
1117.47752,635.9086
1119.54498,636.61667
1119.54498,637.32475
1119.54498,633.07631
1119.54498,634.49245
1119.54498,633.78438
1119.54498,632.36823
1119.54498,630.24401
1121.61245,631.66016
1121.61245,630.95209
1121.61245,625.2875
1121.61245,629.53594
1121.61245,628.82787
1121.61245,628.11979
1123.67991,627.41172
1123.67991,626.70364
1123.67991,625.99557
1123.67991,619.62291
1123.67991,624.57942
1125.74737,618.20676
1125.74737,623.87135
1125.74737,622.4552
1125.74737,621.74713
1125.74737,621.03906
1125.74737,620.33098
1125.74737,623.16328
1125.74737,618.91484
1125.74737,617.49869
1127.81483,608.29373
1127.81483,616.79062
1127.81483,616.08254
1127.81483,615.37447
1127.81483,614.66639
1127.81483,613.95832
1129.8823,613.25025
1129.8823,612.54217
1129.8823,611.8341
1129.8823,601.92107
1129.8823,610.41795
1129.8823,609.70988
1129.8823,609.00181
1129.8823,611.12603
1129.8823,607.58566
1129.8823,606.87759
1129.8823,606.16951
1129.8823,605.46144
1131.94976,604.75337
1131.94976,604.04529
1131.94976,598.3807
1131.94976,602.62915
1131.94976,582.80309
1131.94976,601.213
1131.94976,599.08878
