Raman shift,Intensity
412.98604,782.20904
414.6018,784.84033
416.21755,788.12946
417.83331,791.41858
419.44906,795.36553
419.44906,795.36553
421.06482,796.68117
421.06482,798.65465
422.68058,803.25942
422.68058,798.65465
424.29633,807.20637
424.29633,800.62812
425.91209,802.60159
425.91209,811.15331
427.52784,815.10026
429.1436,819.70503
430.75935,823.65198
432.37511,826.9411
433.99087,830.23022
435.60662,833.51934
437.22238,836.80846
438.83813,839.43976
440.45389,842.07106
442.06964,844.04453
443.6854,846.01801
445.30116,848.6493
446.91691,850.62278
448.53267,852.59625
450.14842,855.22755
451.76418,857.20102
453.37993,858.51667
454.99569,859.83232
456.61145,861.14797
458.2272,861.80579
459.84296,861.80579
461.45871,861.14797
463.07447,860.49014
464.69023,859.1745
466.30598,857.20102
467.92174,854.56972
469.53749,853.25408
471.15325,849.96495
472.769,846.01801
474.38476,842.07106
476.00052,830.23022
476.00052,838.78194
477.61627,835.49282
477.61627,828.91457
479.23203,826.28327
479.23203,831.54587
480.84778,824.3098
480.84778,827.59892
482.46354,823.65198
482.46354,822.33633
484.07929,819.70503
484.07929,819.70503
485.69505,816.41591
487.31081,813.78461
488.92656,809.83766
490.54232,807.20637
490.54232,802.60159
490.54232,802.60159
492.15807,801.28595
492.15807,804.57507
493.77383,802.60159
493.77383,800.62812
495.38959,799.31247
495.38959,799.9703
497.00534,797.339
497.00534,797.339
498.6211,794.7077
498.6211,794.7077
500.23685,792.73423
500.23685,792.73423
501.85261,790.10293
501.85261,790.10293
503.46836,787.47163
503.46836,787.47163
505.08412,785.49816
505.08412,785.49816
506.69988,784.18251
506.69988,784.18251
508.31563,782.20904
508.31563,782.20904
509.93139,780.89339
509.93139,780.89339
511.54714,780.23556
511.54714,780.23556
513.1629,780.23556
513.1629,780.23556
514.77865,780.23556
514.77865,780.23556
516.39441,779.57774
516.39441,779.57774
518.01017,779.57774
518.01017,779.57774
519.62592,779.57774
519.62592,779.57774
521.24168,779.57774
521.24168,779.57774
522.85743,779.57774
522.85743,779.57774
524.47319,779.57774
524.47319,779.57774
526.08894,779.57774
526.08894,779.57774
527.7047,779.57774
527.7047,779.57774
529.32046,779.57774
529.32046,779.57774
530.93621,779.57774
530.93621,779.57774
532.55197,779.57774
532.55197,779.57774
534.16772,779.57774
534.16772,779.57774
535.78348,779.57774
535.78348,779.57774
537.39924,779.57774
537.39924,779.57774
539.01499,779.57774
539.01499,779.57774
540.63075,779.57774
540.63075,779.57774
542.2465,779.57774
542.2465,779.57774
543.86226,779.57774
543.86226,779.57774
545.47801,779.57774
545.47801,779.57774
547.09377,779.57774
547.09377,779.57774
