Raman shift,Intensity
752.29475,302.65502
753.91051,302.65502
755.52627,302.65502
757.14202,302.65502
758.75778,301.9972
760.37353,301.9972
761.98929,301.33938
763.60504,301.33938
765.2208,301.9972
766.83656,301.33938
768.45231,301.33938
770.06807,301.33938
771.68382,301.33938
773.29958,301.33938
774.91533,301.33938
776.53109,301.33938
778.14685,300.68155
779.7626,300.68155
781.37836,300.68155
782.99411,300.68155
784.60987,300.68155
786.22563,300.68155
787.84138,300.68155
789.45714,300.68155
791.07289,300.68155
792.68865,300.68155
794.3044,300.68155
795.92016,300.68155
797.53592,300.68155
799.15167,301.33938
800.76743,301.9972
802.38318,302.65502
803.99894,303.31285
805.61469,302.65502
807.23045,301.9972
808.84621,301.33938
810.46196,301.9972
812.07772,301.33938
813.69347,300.68155
815.30923,300.68155
816.92498,300.68155
818.54074,300.68155
820.1565,300.02373
821.77225,300.02373
823.38801,300.02373
825.00376,300.02373
826.61952,300.02373
828.23528,300.02373
829.85103,300.02373
831.46679,300.02373
833.08254,300.02373
834.6983,300.02373
836.31405,300.02373
837.92981,300.02373
839.54557,300.02373
841.16132,300.02373
842.77708,300.02373
844.39283,300.02373
846.00859,300.02373
847.62434,300.02373
849.2401,300.02373
850.85586,300.02373
852.47161,300.02373
854.08737,300.02373
855.70312,300.02373
857.31888,300.02373
858.93464,300.02373
860.55039,300.02373
862.16615,300.02373
863.7819,300.02373
865.39766,300.02373
867.01341,300.02373
868.62917,300.02373
870.24493,300.02373
871.86068,300.02373
873.47644,300.02373
875.09219,300.02373
876.70795,300.02373
878.3237,300.02373
879.93946,300.02373
881.55522,300.02373
883.17097,300.68155
884.78673,301.33938
886.40248,301.9972
888.01824,301.9972
889.63399,301.9972
891.24975,301.9972
892.86551,301.9972
894.48126,301.9972
896.09702,301.9972
897.71277,301.9972
899.32853,301.9972
900.94429,301.9972
902.56004,301.33938
904.1758,301.33938
905.79155,301.33938
907.40731,301.33938
909.02306,301.33938
910.63882,301.33938
912.25458,301.33938
913.87033,301.33938
915.48609,301.33938
917.10184,301.33938
918.7176,301.33938
920.33335,301.33938
921.94911,301.33938
923.56487,301.33938
925.18062,301.33938
926.79638,301.33938
928.41213,301.33938
930.02789,301.33938
931.64365,300.68155
933.2594,300.02373
934.87516,299.3659
936.49091,299.3659
938.10667,299.3659
939.72242,299.3659
941.33818,299.3659
942.95394,299.3659
944.56969,299.3659
946.18545,299.3659
947.8012,299.3659
949.41696,299.3659
951.03271,299.3659
952.64847,299.3659
954.26423,299.3659
955.87998,299.3659
957.49574,299.3659
959.11149,299.3659
960.72725,299.3659
962.343,299.3659
963.95876,299.3659
965.57452,299.3659
967.19027,299.3659
968.80603,299.3659
970.42178,299.3659
972.03754,299.3659
973.6533,299.3659
975.26905,299.3659
976.88481,299.3659
978.50056,299.3659
980.11632,299.3659
981.73207,299.3659
983.34783,299.3659
984.96359,299.3659
986.57934,299.3659
988.1951,299.3659
989.81085,299.3659
991.42661,299.3659
993.04236,299.3659
994.65812,299.3659
996.27388,299.3659
997.88963,299.3659
999.50539,299.3659
1001.12114,299.3659
1002.7369,299.3659
1004.35266,299.3659
1005.96841,299.3659
1007.58417,299.3659
1009.19992,299.3659
1010.81568,299.3659
1012.43143,299.3659
1014.04719,299.3659
1015.66295,299.3659
1017.2787,299.3659
1018.89446,299.3659
1020.51021,299.3659
1022.12597,299.3659
1023.74172,299.3659
1025.35748,299.3659
1026.97324,299.3659
1028.58899,299.3659
1030.20475,299.3659
1031.8205,299.3659
1033.43626,299.3659
1035.05201,299.3659
1036.66777,299.3659
1038.28353,299.3659
1039.89928,299.3659
1041.51504,299.3659
1043.13079,299.3659
1044.74655,299.3659
1046.36231,299.3659
1047.97806,299.3659
1049.59382,299.3659
1051.20957,299.3659
1052.82533,299.3659
1054.44108,299.3659
1056.05684,299.3659
1057.6726,299.3659
1059.28835,299.3659
1060.90411,299.3659
1062.51986,299.3659
1064.13562,299.3659
1065.75137,299.3659
1067.36713,299.3659
1068.98289,299.3659
1070.59864,299.3659
1072.2144,299.3659
1073.83015,299.3659
1075.44591,299.3659
1077.06167,299.3659
1078.67742,299.3659
1080.29318,299.3659
1081.90893,299.3659
1083.52469,299.3659
1085.14044,299.3659
1086.7562,299.3659
1088.37196,299.3659
1089.98771,299.3659
1091.60347,299.3659
1093.21922,299.3659
1094.83498,299.3659
1096.45073,299.3659
1098.06649,299.3659
1099.68225,299.3659
1101.298,299.3659
1102.91376,299.3659
1104.52951,299.3659
1106.14527,299.3659
1107.76102,299.3659
1109.37678,299.3659
1110.99254,299.3659
1112.60829,299.3659
1114.22405,299.3659
1115.8398,299.3659
1117.45556,299.3659
1119.07132,299.3659
1120.68707,299.3659
1122.30283,299.3659
1123.91858,299.3659
1125.53434,299.3659
1127.15009,299.3659
1128.76585,299.3659
1130.38161,299.3659
1131.99736,300.02373
1133.61312,300.68155
1135.22887,301.33938
1136.84463,301.33938
1138.46038,301.33938
1140.07614,301.33938
1141.6919,301.33938
1143.30765,301.33938
1144.92341,301.33938
1146.53916,301.33938
1148.15492,301.33938
1149.77068,300.68155
1151.38643,300.02373
1153.00219,300.02373
1154.61794,300.02373
1156.2337,300.02373
1157.84945,300.02373
1159.46521,300.02373
1161.08097,300.02373
1162.69672,300.02373
1164.31248,300.02373
1165.92823,300.02373
1167.54399,300.02373
1169.15974,300.02373
1170.7755,300.02373
1172.39126,300.02373
1174.00701,300.02373
1175.62277,300.02373
1177.23852,300.02373
1178.85428,300.02373
1180.47003,300.02373
1182.08579,300.02373
1183.70155,300.02373
1185.3173,300.02373
1186.93306,300.02373
1188.54881,300.02373
1190.16457,300.02373
1191.78033,300.02373
1193.39608,300.02373
1195.01184,300.02373
1196.62759,300.02373
1198.24335,300.02373
1199.8591,300.02373
1201.47486,300.02373
1203.09062,300.02373
1204.70637,300.02373
1206.32213,300.02373
1207.93788,300.02373
1209.55364,300.02373
1211.16939,300.02373
1212.78515,300.02373
1214.40091,300.02373
1216.01666,300.02373
1217.63242,300.02373
1219.24817,300.02373
1220.86393,300.02373
1222.47969,300.02373
1224.09544,300.02373
1225.7112,300.02373
1227.32695,300.02373
1228.94271,300.02373
1230.55846,300.02373
1232.17422,300.02373
1233.78998,300.02373
1235.40573,300.02373
1237.02149,300.02373
1238.63724,300.02373
1240.253,300.02373
1241.86875,300.02373
1243.48451,300.02373
1245.10027,300.02373
1246.71602,300.02373
1248.33178,300.02373
1249.94753,300.02373
1251.56329,300.02373
1253.17904,300.68155
1254.7948,301.33938
1256.41056,301.33938
1258.02631,301.33938
1259.64207,300.68155
1261.25782,300.02373
1262.87358,299.3659
1264.48934,298.70808
1266.10509,298.70808
1267.72085,298.70808
1269.3366,298.70808
1270.95236,298.70808
1272.56811,298.70808
1274.18387,298.70808
1275.79963,299.3659
1277.41538,300.02373
1279.03114,300.68155
1280.64689,301.33938
1282.26265,301.33938
1283.8784,301.33938
1285.49416,301.33938
1287.10992,301.33938
1288.72567,301.33938
1290.34143,301.33938
1291.95718,301.33938
1293.57294,301.33938
1295.1887,301.33938
1296.80445,301.33938
1298.42021,301.33938
1300.03596,301.33938
1301.65172,301.33938
1303.26747,301.33938
1304.88323,301.33938
1306.49899,301.33938
1308.11474,301.33938
1309.7305,301.33938
1311.34625,301.33938
1312.96201,301.33938
1314.57776,301.33938
1316.19352,301.33938
1317.80928,301.33938
1319.42503,301.33938
1321.04079,301.33938
1322.65654,301.33938
1324.2723,301.33938
1325.88805,301.33938
1327.50381,301.33938
1329.11957,301.33938
1330.73532,301.33938
1332.35108,301.33938
1333.96683,301.33938
1335.58259,301.33938
1337.19835,301.33938
1338.8141,301.33938
1340.42986,301.33938
1342.04561,301.33938
1343.66137,301.33938
1345.27712,301.33938
1346.89288,301.33938
1348.50864,301.33938
1350.12439,301.33938
1351.74015,301.33938
1353.3559,301.33938
1354.97166,301.33938
1356.58741,301.33938
1358.20317,301.33938
1359.81893,301.33938
1361.43468,301.33938
1363.05044,301.33938
1364.66619,301.33938
1366.28195,301.33938
1367.89771,301.33938
1369.51346,301.33938
1371.12922,301.33938
1372.74497,301.33938
1374.36073,301.33938
1375.97648,301.33938
1377.59224,301.33938
1379.208,301.33938
1380.82375,301.33938
1382.43951,301.33938
1384.05526,301.33938
1385.67102,301.33938
1387.28677,301.33938
1388.90253,301.33938
1390.51829,301.33938
1392.13404,301.33938
1393.7498,301.33938
1395.36555,301.33938
1396.98131,301.33938
1398.59706,301.33938
1400.21282,301.33938
1401.82858,301.33938
1403.44433,301.33938
1405.06009,301.33938
1406.67584,301.33938
1408.2916,301.33938
1409.90736,301.33938
1411.52311,301.33938
1413.13887,301.33938
1414.75462,301.33938
1416.37038,301.33938
1417.98613,301.33938
1419.60189,301.33938
1421.21765,301.33938
1422.8334,301.33938
1424.44916,301.33938
1426.06491,301.33938
1427.68067,301.33938
1429.29642,301.33938
1430.91218,301.33938
1432.52794,301.33938
1434.14369,301.33938
1435.75945,301.33938
1437.3752,301.33938
1438.99096,301.33938
1440.60672,301.33938
1442.22247,301.33938
1443.83823,301.33938
1445.45398,301.33938
1447.06974,301.33938
1448.68549,301.33938
1450.30125,301.33938
1451.91701,301.33938
1453.53276,301.33938
1455.14852,301.33938
1456.76427,301.33938
1458.38003,301.33938
1459.99578,301.33938
1461.61154,301.33938
1463.2273,301.33938
1464.84305,301.33938
1466.45881,301.33938
1468.07456,301.33938
1469.69032,301.33938
1471.30607,301.33938
1472.92183,301.33938
1474.53759,301.33938
1476.15334,301.33938
1477.7691,301.33938
1479.38485,301.33938
1481.00061,301.33938
1482.61637,301.33938
1484.23212,301.33938
1485.84788,301.33938
1487.46363,301.33938
1489.07939,301.33938
1490.69514,301.33938
1492.3109,301.33938
1493.92666,301.33938
1495.54241,301.33938
1497.15817,300.68155
1498.77392,300.02373
1500.38968,299.3659
1502.00543,298.70808
1503.62119,298.70808
1505.23695,299.3659
1506.8527,300.02373
1508.46846,300.68155
1510.08421,300.68155
1511.69997,300.02373
1513.31573,300.68155
1514.93148,301.33938
1516.54724,301.9972
1518.16299,301.9972
1519.77875,301.9972
1521.3945,301.9972
1523.01026,301.9972
1524.62602,301.9972
1526.24177,301.9972
1527.85753,301.9972
1529.47328,301.9972
1531.08904,301.9972
1532.70479,301.33938
1534.32055,300.68155
1535.93631,301.33938
1537.55206,301.9972
1539.16782,301.9972
1540.78357,301.9972
1542.39933,301.33938
1544.01508,300.68155
1545.63084,301.33938
1547.2466,301.9972
1548.86235,302.65502
1550.47811,303.31285
1552.09386,303.97067
1553.70962,303.97067
1555.32538,303.97067
1556.94113,304.6285
1558.55689,305.28632
1560.17264,305.28632
1561.7884,305.94415
1563.40415,305.94415
1565.01991,305.94415
1566.63567,306.60197
1568.25142,306.60197
1569.86718,306.60197
1571.48293,306.60197
1573.09869,307.2598
1574.71444,307.2598
1576.3302,307.2598
1577.94596,306.60197
1579.56171,305.94415
1581.17747,305.28632
1582.79322,304.6285
1584.40898,304.6285
1586.02474,304.6285
1587.64049,304.6285
1589.25625,304.6285
1590.872,304.6285
1592.48776,304.6285
1594.10351,303.97067
1595.71927,303.97067
1597.33503,304.6285
1598.95078,303.97067
1600.56654,303.97067
1602.18229,303.31285
1603.79805,302.65502
1605.4138,302.65502
1607.02956,302.65502
1608.64532,302.65502
1610.26107,301.9972
1611.87683,301.9972
1613.49258,302.65502
1615.10834,301.9972
1616.72409,301.9972
1618.33985,301.33938
1619.95561,301.33938
1621.57136,301.9972
1623.18712,301.33938
1624.80287,301.33938
1626.41863,300.68155
1628.03439,300.68155
1629.65014,300.68155
1631.2659,300.68155
1632.88165,300.68155
1634.49741,300.68155
1636.11316,300.02373
1637.72892,300.02373
1639.34468,300.02373
1640.96043,300.02373
1642.57619,300.02373
1644.19194,300.02373
1645.8077,299.3659
1647.42345,299.3659
1649.03921,299.3659
1650.65497,299.3659
1652.27072,299.3659
1653.88648,299.3659
1655.50223,299.3659
1657.11799,299.3659
1658.73375,299.3659
1660.3495,299.3659
1661.96526,299.3659
1663.58101,299.3659
1665.19677,299.3659
1666.81252,299.3659
1668.42828,298.70808
1670.04404,298.70808
1671.65979,298.70808
1673.27555,298.70808
1674.8913,298.70808
1676.50706,298.70808
1678.12281,298.70808
1679.73857,298.70808
1681.35433,298.70808
1682.97008,298.70808
1684.58584,298.70808
1686.20159,298.70808
1687.81735,298.70808
1689.4331,298.70808
1691.04886,298.70808
1692.66462,298.70808
1694.28037,298.70808
1695.89613,298.70808
1697.51188,298.70808
1699.12764,298.70808
1700.7434,298.70808
1702.35915,298.70808
1703.97491,298.70808
1705.59066,298.70808
1707.20642,298.70808
1708.82217,298.70808
1710.43793,298.70808
1712.05369,298.70808
1713.66944,298.70808
1715.2852,298.70808
1716.90095,298.70808
1718.51671,298.70808
1720.13246,298.70808
1721.74822,298.70808
1723.36398,298.70808
1724.97973,298.70808
1726.59549,298.70808
1728.21124,298.70808
1729.827,298.70808
1731.44276,298.70808
1733.05851,298.70808
1734.67427,298.70808
1736.29002,298.70808
1737.90578,298.70808
1739.52153,298.70808
1741.13729,298.70808
1742.75305,298.70808
1744.3688,298.70808
1745.98456,298.70808
1747.60031,298.70808
1749.21607,298.70808
1750.83182,298.70808
1752.44758,298.70808
1754.06334,298.70808
1755.67909,298.70808
1757.29485,298.70808
1758.9106,298.70808
1760.52636,298.70808
1762.14211,298.70808
1763.75787,298.70808
1765.37363,298.70808
1766.98938,298.70808
1768.60514,298.70808
1770.22089,298.70808
1771.83665,298.70808
1773.45241,298.70808
1775.06816,298.70808
1776.68392,298.70808
1778.29967,298.70808
1779.91543,298.70808
1781.53118,298.70808
1783.14694,298.70808
1784.7627,298.70808
1786.37845,298.70808
1787.99421,298.70808
1789.60996,298.70808
1791.22572,298.70808
1792.84147,298.70808
1794.45723,298.70808
1796.07299,298.70808
1797.68874,298.70808
1799.3045,298.70808
1800.92025,298.70808
1802.53601,298.70808
1804.15177,298.70808
1805.76752,298.70808
1807.38328,298.70808
1808.99903,298.70808
1810.61479,298.70808
1812.23054,298.70808
1813.8463,298.70808
1815.46206,298.05025
1817.07781,298.05025
1818.69357,298.05025
1820.30932,298.05025
1821.92508,298.05025
1823.54083,298.05025
1825.15659,298.05025
1826.77235,298.05025
1828.3881,298.70808
1830.00386,299.3659
1831.61961,300.02373
1833.23537,300.68155
1834.85112,300.68155
1836.46688,300.68155
1838.08264,300.68155
1839.69839,300.68155
1841.31415,300.68155
1842.9299,300.68155
1844.54566,300.68155
1846.16142,300.68155
1847.77717,300.68155
1849.39293,300.68155
1851.00868,300.68155
1852.62444,300.68155
1854.24019,300.68155
1855.85595,300.68155
1857.47171,300.68155
1859.08746,300.68155
1860.70322,300.68155
1862.31897,300.68155
1863.93473,300.68155
1865.55048,300.68155
1867.16624,300.68155
1868.782,300.68155
1870.39775,300.68155
1872.01351,300.68155
1873.62926,300.68155
1875.24502,300.68155
1876.86078,300.68155
1878.47653,300.68155
1880.09229,300.68155
1881.70804,300.68155
1883.3238,300.68155
1884.93955,300.68155
1886.55531,300.68155
1888.17107,300.68155
1889.78682,300.68155
1891.40258,300.68155
1893.01833,300.68155
1894.63409,300.68155
1896.24984,300.68155
1897.8656,300.68155
1899.48136,300.68155
1901.09711,300.68155
1902.71287,300.68155
1904.32862,300.68155
1905.94438,300.68155
1907.56013,300.68155
1909.17589,300.68155
1910.79165,300.68155
1912.4074,300.68155
1914.02316,300.68155
1915.63891,300.68155
1917.25467,300.68155
1918.87043,300.68155
1920.48618,300.68155
1922.10194,300.68155
1923.71769,300.68155
1925.33345,300.68155
1926.9492,300.68155
1928.56496,300.68155
1930.18072,300.68155
1931.79647,300.68155
1933.41223,300.68155
1935.02798,300.68155
1936.64374,300.68155
1938.25949,300.68155
1939.87525,300.68155
1941.49101,300.68155
1943.10676,300.68155
1944.72252,300.68155
1946.33827,300.68155
1947.95403,300.68155
1949.56979,300.68155
1951.18554,300.68155
1952.8013,300.68155
1954.41705,300.68155
1956.03281,300.68155
1957.64856,300.68155
1959.26432,300.68155
1960.88008,300.68155
1962.49583,300.68155
1964.11159,300.68155
1965.72734,300.68155
1967.3431,300.68155
1968.95885,300.68155
1970.57461,301.33938
1972.19037,301.33938
1973.80612,301.33938
1975.42188,301.33938
1977.03763,301.33938
1978.65339,301.33938
1980.26914,301.33938
1981.8849,301.33938
1983.50066,301.33938
1985.11641,301.33938
1986.73217,301.33938
1988.34792,301.33938
1989.96368,301.33938
1991.57944,301.33938
1993.19519,301.33938
1994.81095,301.33938
1996.4267,301.33938
1998.04246,301.33938
1999.65821,301.33938
2001.27397,301.33938
2002.88973,301.33938
2004.50548,301.33938
2006.12124,301.33938
2007.73699,301.33938
2009.35275,301.33938
2010.9685,301.33938
2012.58426,301.33938
2014.20002,301.33938
2015.81577,301.33938
2017.43153,301.33938
2019.04728,301.33938
2020.66304,301.33938
2022.2788,301.33938
2023.89455,301.33938
2025.51031,301.33938
2027.12606,301.33938
2028.74182,301.33938
2030.35757,301.33938
2031.97333,301.33938
2033.58909,301.33938
2035.20484,301.33938
2036.8206,301.33938
2038.43635,301.33938
2040.05211,301.33938
2041.66786,301.33938
2043.28362,301.33938
2044.89938,301.33938
2046.51513,301.33938
2048.13089,301.33938
2049.74664,301.33938
2051.3624,301.33938
2052.97815,301.33938
2054.59391,301.33938
2056.20967,301.33938
2057.82542,301.33938
2059.44118,301.33938
2061.05693,301.33938
2062.67269,301.33938
2064.28845,301.33938
2065.9042,301.33938
2067.51996,301.33938
2069.13571,301.33938
2070.75147,301.33938
2072.36722,301.33938
2073.98298,301.33938
2075.59874,301.33938
2077.21449,301.33938
2078.83025,301.33938
2080.446,301.33938
2082.06176,301.33938
2083.67751,301.33938
2085.29327,301.33938
2086.90903,301.33938
2088.52478,301.33938
2090.14054,301.33938
2091.75629,301.33938
2093.37205,301.33938
2094.98781,301.33938
2096.60356,301.33938
2098.21932,301.33938
2099.83507,301.33938
2101.45083,301.33938
2103.06658,301.33938
2104.68234,301.33938
2106.2981,301.33938
2107.91385,301.33938
2109.52961,301.33938
2111.14536,301.33938
2112.76112,301.33938
2114.37687,301.33938
2115.99263,301.33938
2117.60839,301.33938
2119.22414,301.33938
2120.8399,301.33938
2122.45565,301.33938
2124.07141,301.33938
2125.68716,301.33938
2127.30292,301.33938
2128.91868,301.33938
2130.53443,301.33938
2132.15019,301.33938
2133.76594,301.33938
2135.3817,301.33938
2136.99746,301.33938
2138.61321,301.33938
2140.22897,301.33938
2141.84472,301.33938
2143.46048,301.33938
2145.07623,301.33938
2146.69199,301.33938
2148.30775,301.33938
2149.9235,301.33938
2151.53926,301.33938
2153.15501,301.33938
2154.77077,301.33938
2156.38652,301.33938
2158.00228,301.33938
2159.61804,301.33938
2161.23379,301.33938
2162.84955,301.33938
2164.4653,301.33938
2166.08106,301.33938
2167.69682,301.33938
2169.31257,301.33938
2170.92833,301.33938
2172.54408,301.33938
2174.15984,301.33938
2175.77559,301.33938
2177.39135,301.33938
2179.00711,301.33938
2180.62286,301.33938
2182.23862,301.33938
2183.85437,301.33938
2185.47013,301.33938
2187.08588,301.33938
2188.70164,301.33938
2190.3174,301.33938
2191.93315,301.33938
2193.54891,301.33938
2195.16466,301.33938
2196.78042,301.33938
2198.39617,301.33938
2200.01193,301.33938
2201.62769,301.33938
2203.24344,301.33938
2204.8592,301.33938
2206.47495,301.33938
2208.09071,301.33938
2209.70647,301.33938
2211.32222,301.33938
2212.93798,301.33938
2214.55373,301.33938
2216.16949,301.33938
2217.78524,301.33938
2219.401,301.33938
2221.01676,301.33938
2222.63251,301.33938
2224.24827,301.33938
2225.86402,301.33938
2227.47978,301.33938
2229.09553,301.33938
2230.71129,301.33938
2232.32705,301.33938
2233.9428,301.33938
2235.55856,301.33938
2237.17431,301.33938
2238.79007,301.33938
2240.40583,301.33938
2242.02158,301.33938
2243.63734,301.33938
2245.25309,301.33938
2246.86885,301.33938
2248.4846,301.33938
2250.10036,301.33938
2251.71612,301.33938
2253.33187,301.33938
2254.94763,301.33938
2256.56338,301.33938
2258.17914,301.33938
2259.79489,301.33938
2261.41065,301.33938
2263.02641,301.33938
2264.64216,301.33938
2266.25792,301.33938
2267.87367,301.33938
2269.48943,301.33938
2271.10518,301.33938
2272.72094,301.33938
2274.3367,301.33938
2275.95245,301.33938
2277.56821,301.33938
2279.18396,301.33938
2280.79972,301.33938
2282.41548,301.33938
2284.03123,301.33938
2285.64699,301.33938
2287.26274,301.33938
2288.8785,301.33938
2290.49425,301.33938
2292.11001,301.33938
2293.72577,301.33938
2295.34152,301.33938
2296.95728,301.33938
2298.57303,301.33938
2300.18879,301.33938
2301.80454,301.33938
2303.4203,301.33938
2305.03606,301.33938
2306.65181,301.33938
2308.26757,301.33938
2309.88332,300.68155
2311.49908,300.02373
2313.11484,299.3659
2314.73059,299.3659
2316.34635,299.3659
2317.9621,299.3659
2319.57786,299.3659
2321.19361,299.3659
2322.80937,299.3659
2324.42513,299.3659
2326.04088,300.02373
2327.65664,299.3659
2329.27239,299.3659
2330.88815,299.3659
2332.5039,299.3659
2334.11966,299.3659
2335.73542,299.3659
2337.35117,299.3659
2338.96693,299.3659
2340.58268,299.3659
2342.19844,300.02373
2343.81419,300.68155
2345.42995,301.33938
2347.04571,301.33938
2348.66146,301.33938
2350.27722,301.33938
2351.89297,301.33938
2353.50873,301.33938
2355.12449,301.33938
2356.74024,301.33938
2358.356,301.33938
2359.97175,301.33938
2361.58751,301.33938
2363.20326,301.33938
