Raman shift,Intensity
406.23693,1298.5796
446.71249,1314.27713
478.51472,1311.42304
498.7525,1335.68286
503.08916,1361.84541
518.99028,1383.25113
531.2775,1398.94866
551.51528,1378.01862
551.51528,1354.23448
575.36695,1338.06127
591.26806,1364.6995
692.45696,1367.5536
728.59585,1359.46699
764.73474,1343.29378
797.25975,1300.95802
845.68586,1261.47635
894.11198,1263.85476
917.96365,1269.08727
962.0531,1277.17388
994.5781,1266.70886
1063.24199,1285.26049
1074.80644,1280.02798
1139.85645,1258.62225
1191.89645,1231.98402
1248.27312,1231.98402
1301.03591,1250.53565
1337.1748,1234.83812
1377.65036,1250.53565
1522.20593,1250.53565
1546.78037,1317.13123
1603.15704,1309.04462
1639.29594,1290.493
1684.10816,1269.08727
1700.00928,1253.38974
1772.28706,1250.53565
1873.47596,1226.75151
1933.46652,1242.92472
1969.60541,1226.75151
2034.65542,1242.92472
2114.88376,1237.21653
2167.64654,1261.47635
2227.6371,1211.05398
2264.49877,1250.53565
2304.25156,1250.53565
2369.30156,1242.92472
2474.10435,1261.47635
2538.43158,1245.30314
2626.61047,1223.89741
2707.56159,1231.98402
2812.36438,1226.75151
2868.74105,1234.83812
2925.11772,1237.21653
2945.3555,1231.98402
3029.92051,1258.62225
3082.68329,1237.21653
3122.43608,1248.15723
3191.09997,1240.07063
3219.28831,1266.70886
3247.47664,1242.92472
3275.66498,1261.47635
3316.14054,1242.92472
3364.56665,1245.30314
3400.70555,1263.85476
3473.70611,1261.47635
3513.45889,1258.62225
3567.51895,1277.42461
3569.19486,1279.63072
3570.87076,1279.63072
3572.54667,1280.73377
3574.22257,1281.83683
3575.89848,1284.04294
3577.57438,1286.24905
3579.25029,1288.45516
3584.278,1300.58876
3585.95391,1302.79487
3587.62981,1305.00098
3589.30572,1309.4132
3590.98162,1311.61932
3592.65753,1316.03154
3594.33343,1321.54681
3596.00933,1327.06209
3597.68524,1333.68042
3599.36114,1340.29875
3601.03705,1346.91708
3602.71295,1353.53541
3604.38886,1359.05069
3606.06476,1366.77207
3607.74067,1372.28735
3609.41657,1378.90568
3611.09248,1384.42096
3612.76838,1388.83318
3614.44429,1389.93623
3614.44429,1391.03929
3616.12019,1394.34845
3616.12019,1393.2454
3617.7961,1396.55456
3617.7961,1397.65762
3618.26168,1396.57025
3619.472,1398.76067
3619.472,1396.55456
3621.14791,1396.55456
3621.14791,1398.76067
3622.82381,1399.86373
3624.49972,1399.86373
3627.85153,1396.55456
3629.52743,1394.34845
3631.20334,1393.2454
3632.87924,1391.03929
3634.55515,1388.83318
3636.23105,1387.73012
3637.90696,1384.42096
3639.58286,1382.21485
3641.25877,1378.90568
3642.93467,1377.80262
3644.61058,1374.49346
3646.28648,1372.28735
3647.96239,1368.97818
3649.63829,1366.77207
3651.3142,1363.46291
3652.9901,1359.05069
3654.66601,1354.63847
3656.34191,1351.3293
3658.01782,1345.81403
3659.69372,1341.4018
3661.36963,1335.88653
3663.04553,1331.47431
3664.72144,1325.95903
3666.39734,1321.54681
3668.07325,1319.3407
3669.74915,1314.92848
3671.42506,1311.61932
3671.42506,1297.2796
3671.42506,1255.3635
3673.10096,1254.26045
3673.10096,1309.4132
3673.10096,1293.97043
3674.77687,1253.15739
3674.77687,1290.66127
3676.45277,1252.05434
3676.45277,1286.24905
3678.12868,1250.95128
3678.12868,1280.73377
3679.80458,1275.21849
3679.80458,1249.84823
3681.48048,1248.74517
3681.48048,1270.80627
3683.15639,1260.87878
3684.83229,1256.46656
3686.5082,1254.26045
3688.1841,1250.95128
3689.86001,1247.64212
3691.53591,1245.43601
3693.21182,1244.33295
3694.88772,1244.33295
3696.56363,1244.33295
3698.23953,1243.2299
3699.91544,1242.12684
3701.59134,1242.12684
3703.26725,1242.12684
3704.94315,1242.12684
3706.61906,1243.2299
3708.29496,1243.2299
3709.97087,1243.2299
3711.64677,1243.2299
3713.32268,1242.12684
3714.99858,1242.12684
3716.67449,1241.02378
3718.35039,1239.92073
3720.0263,1244.33295
3720.0263,1236.61156
3721.7022,1235.50851
3721.7022,1244.33295
3723.37811,1235.50851
3723.37811,1243.2299
3725.05401,1234.40545
3725.05401,1243.2299
3726.72992,1234.40545
3726.72992,1243.2299
3728.40582,1234.40545
3728.40582,1242.12684
3730.08173,1234.40545
3730.08173,1242.12684
3731.75763,1235.50851
3731.75763,1242.12684
3733.43354,1242.12684
3733.43354,1235.50851
3735.10944,1238.81767
3735.35169,1237.21653
3736.78535,1239.92073
3738.46125,1239.92073
3740.13716,1241.02378
3741.81306,1242.12684
3743.48897,1242.12684
3745.16487,1243.2299
3746.84078,1244.33295
3748.51668,1243.2299
3750.19259,1243.2299
3751.86849,1243.2299
3753.5444,1242.12684
3791.72836,1226.75151
3900.86782,1245.30314
3952.90782,1240.07063
