Raman shift,Intensity
415.55379,1744.60225
417.76603,1744.60225
419.97826,1744.60225
422.1905,1744.60225
424.40273,1744.60225
426.61497,1744.60225
428.8272,1745.38317
431.03944,1745.38317
433.25168,1745.38317
435.46391,1745.38317
437.67615,1745.38317
439.88838,1746.16408
442.10062,1746.16408
444.31285,1746.94499
446.52509,1746.94499
448.73732,1746.94499
450.94956,1747.72591
453.1618,1747.72591
455.37403,1747.72591
457.58627,1748.50682
459.7985,1748.50682
462.01074,1749.28773
464.22297,1749.28773
466.43521,1749.28773
468.64745,1750.06864
470.85968,1750.06864
473.07192,1750.06864
475.28415,1750.06864
477.49639,1750.06864
479.70862,1750.06864
481.92086,1750.06864
484.1331,1750.06864
486.34533,1749.28773
488.55757,1749.28773
490.7698,1748.50682
492.98204,1748.50682
495.19427,1747.72591
497.40651,1747.72591
499.61874,1747.72591
501.83098,1746.94499
504.04322,1746.94499
506.25545,1746.94499
508.46769,1746.16408
510.67992,1746.16408
512.89216,1745.38317
515.10439,1745.38317
517.31663,1745.38317
519.52887,1745.38317
521.7411,1745.38317
523.95334,1744.60225
526.16557,1744.60225
528.37781,1744.60225
530.59004,1744.60225
532.80228,1744.60225
535.01451,1744.60225
537.22675,1744.60225
539.43899,1744.60225
541.65122,1744.60225
543.86346,1744.60225
546.07569,1744.60225
548.28793,1744.60225
550.50016,1744.60225
552.7124,1744.60225
554.92464,1744.60225
557.13687,1744.60225
559.34911,1744.60225
561.56134,1744.60225
563.77358,1744.60225
565.98581,1744.60225
568.19805,1744.60225
570.41029,1744.60225
572.62252,1744.60225
574.83476,1744.60225
577.04699,1744.60225
579.25923,1744.60225
581.47146,1744.60225
583.6837,1744.60225
585.89593,1744.60225
588.10817,1744.60225
590.32041,1744.60225
592.53264,1745.38317
594.74488,1745.38317
596.95711,1745.38317
599.16935,1745.38317
601.38158,1746.16408
603.59382,1746.16408
605.80606,1746.94499
608.01829,1746.94499
610.23053,1746.94499
612.44276,1747.72591
654.18357,1745.46343
661.90385,1745.46343
704.36542,1745.46343
740.39341,1735.01811
762.87479,1743.82134
765.08702,1743.82134
767.29926,1743.82134
769.51149,1743.82134
771.72373,1743.82134
773.93596,1743.82134
776.1482,1743.82134
778.36044,1743.82134
780.57267,1743.82134
782.78491,1743.82134
784.99714,1743.82134
787.20938,1743.82134
789.42161,1743.82134
791.63385,1743.82134
793.84609,1743.82134
796.05832,1743.82134
798.27056,1743.82134
800.48279,1743.82134
802.69503,1743.82134
804.90726,1743.82134
807.1195,1743.82134
809.33173,1743.82134
811.54397,1743.82134
813.75621,1743.82134
815.96844,1743.82134
818.18068,1743.82134
820.39291,1743.82134
822.60515,1743.82134
824.81738,1743.82134
827.02962,1743.82134
829.24186,1743.82134
831.45409,1743.82134
833.66633,1743.82134
835.87856,1743.82134
838.0908,1743.82134
840.30303,1743.82134
842.51527,1743.82134
844.72751,1743.82134
846.93974,1743.82134
849.15198,1743.82134
851.36421,1743.82134
853.57645,1743.82134
855.78868,1743.82134
858.00092,1743.82134
860.21315,1743.82134
862.42539,1743.82134
864.63763,1743.82134
866.84986,1743.82134
869.0621,1743.82134
871.27433,1743.82134
873.48657,1743.82134
875.6988,1743.82134
877.91104,1743.82134
880.12328,1744.60225
882.33551,1745.38317
884.54775,1746.16408
886.75998,1746.16408
888.97222,1746.16408
891.18445,1746.16408
893.39669,1746.16408
895.60892,1746.16408
897.82116,1746.16408
900.0334,1746.94499
902.24563,1746.94499
904.45787,1746.94499
906.6701,1746.94499
908.88234,1746.94499
911.09457,1746.94499
913.30681,1746.16408
915.51905,1746.94499
917.73128,1746.94499
919.94352,1746.94499
922.15575,1746.94499
924.36799,1746.94499
926.58022,1746.94499
928.79246,1746.94499
931.0047,1746.94499
933.21693,1746.16408
935.42917,1746.16408
937.6414,1746.94499
939.85364,1746.94499
942.06587,1747.72591
944.27811,1747.72591
946.49034,1747.72591
948.70258,1746.94499
950.91482,1746.16408
953.12705,1745.38317
955.33929,1745.38317
955.33929,1746.16408
955.33929,1746.94499
955.33929,1747.72591
955.33929,1748.50682
957.55152,1748.50682
959.76376,1748.50682
961.97599,1748.50682
964.18823,1748.50682
964.18823,1749.28773
966.40047,1749.28773
966.40047,1750.06864
968.6127,1750.84956
968.6127,1751.63047
968.6127,1752.41138
968.6127,1761.00142
968.6127,1764.90599
968.6127,1761.78234
968.6127,1765.6869
970.82494,1753.19229
970.82494,1764.12507
970.82494,1757.87777
970.82494,1754.75412
970.82494,1753.97321
970.82494,1760.22051
970.82494,1768.81055
970.82494,1755.53503
970.82494,1762.56325
970.82494,1766.46781
970.82494,1768.02964
973.03717,1757.09686
