Raman shift,Intensity
789.42161,1519.69937
789.42161,1495.49107
791.63385,1518.13754
791.63385,1497.0529
793.84609,1517.35663
793.84609,1497.83381
796.05832,1515.79481
796.05832,1498.61473
798.27056,1513.45207
798.27056,1499.39564
800.48279,1508.76659
802.69503,1508.76659
804.90726,1507.20477
807.1195,1504.86203
809.33173,1501.73838
811.54397,1498.61473
813.75621,1494.71016
815.96844,1492.36742
818.18068,1490.02468
820.39291,1487.68195
822.60515,1485.33921
824.81738,1483.77738
827.02962,1481.43464
829.24186,1479.09191
831.45409,1478.31099
833.66633,1477.53008
835.87856,1478.31099
838.0908,1479.09191
840.30303,1479.87282
842.51527,1483.77738
842.51527,1476.74917
844.72751,1484.55829
844.72751,1475.18734
846.93974,1484.55829
846.93974,1475.18734
849.15198,1478.31099
851.36421,1479.09191
853.57645,1479.09191
855.78868,1480.65373
858.00092,1483.77738
860.21315,1486.12012
862.42539,1486.90103
864.63763,1487.68195
866.84986,1492.36742
866.84986,1480.65373
869.0621,1493.92925
869.0621,1481.43464
871.27433,1495.49107
871.27433,1482.21556
873.48657,1497.0529
873.48657,1482.99647
875.6988,1497.83381
875.6988,1484.55829
877.91104,1490.8056
880.12328,1492.36742
882.33551,1492.36742
884.54775,1491.58651
886.75998,1490.02468
888.97222,1489.24377
891.18445,1488.46286
893.39669,1487.68195
895.60892,1492.36742
895.60892,1481.43464
897.82116,1491.58651
897.82116,1480.65373
900.0334,1490.8056
900.0334,1481.43464
902.24563,1485.33921
904.45787,1485.33921
906.6701,1485.33921
908.88234,1485.33921
911.09457,1486.12012
913.30681,1486.12012
915.51905,1486.12012
917.73128,1490.02468
917.73128,1482.21556
919.94352,1490.8056
919.94352,1481.43464
922.15575,1491.58651
922.15575,1480.65373
924.36799,1492.36742
924.36799,1479.87282
926.58022,1492.36742
926.58022,1478.31099
928.79246,1490.02468
928.79246,1477.53008
931.0047,1483.77738
933.21693,1482.21556
935.42917,1481.43464
937.6414,1479.09191
939.85364,1477.53008
942.06587,1475.96825
944.27811,1472.8446
946.49034,1472.06369
948.70258,1472.8446
950.91482,1475.18734
953.12705,1476.74917
955.33929,1478.31099
957.55152,1479.87282
959.76376,1482.21556
961.97599,1483.77738
964.18823,1486.12012
966.40047,1487.68195
968.6127,1490.02468
970.82494,1492.36742
973.03717,1494.71016
975.24941,1497.83381
977.46164,1498.61473
979.67388,1498.61473
981.88611,1498.61473
984.09835,1503.3002
984.09835,1493.92925
986.31059,1504.08111
986.31059,1493.14834
988.52282,1504.86203
988.52282,1491.58651
990.73506,1503.3002
990.73506,1490.8056
992.94729,1502.51929
992.94729,1490.02468
995.15953,1500.95746
995.15953,1489.24377
997.37176,1500.17655
997.37176,1486.90103
999.584,1498.61473
999.584,1484.55829
1001.79624,1497.83381
1001.79624,1482.99647
1004.00847,1497.0529
1004.00847,1481.43464
1006.22071,1497.0529
1006.22071,1479.87282
1008.43294,1498.61473
1008.43294,1478.31099
1010.64518,1500.17655
1010.64518,1478.31099
1012.85741,1501.73838
1012.85741,1480.65373
1015.06965,1503.3002
1015.06965,1482.99647
1017.28189,1493.14834
1019.49412,1496.27199
1021.70636,1508.76659
1021.70636,1490.8056
1023.91859,1511.89024
1023.91859,1493.92925
1026.13083,1513.45207
1026.13083,1496.27199
1028.34306,1512.67116
1028.34306,1498.61473
1030.5553,1506.42385
1032.76753,1505.64294
1034.97977,1503.3002
1037.19201,1501.73838
1039.40424,1498.61473
1041.61648,1495.49107
1043.82871,1493.92925
1046.04095,1493.92925
1048.25318,1495.49107
1050.46542,1498.61473
1052.67766,1500.95746
1054.88989,1502.51929
1057.10213,1503.3002
1059.31436,1505.64294
1061.5266,1508.76659
1063.73883,1509.5475
1065.95107,1511.10933
1068.16331,1504.86203
1070.37554,1500.95746
1072.58778,1496.27199
1074.80001,1490.8056
1077.01225,1490.02468
1079.22448,1486.12012
1081.43672,1482.99647
1083.64895,1493.14834
1083.64895,1485.33921
1083.64895,1473.62552
1085.86119,1493.14834
1085.86119,1472.06369
1088.07343,1493.92925
1088.07343,1473.62552
1090.28566,1495.49107
1090.28566,1476.74917
1092.4979,1496.27199
1092.4979,1479.09191
1094.71013,1496.27199
1094.71013,1481.43464
1096.92237,1496.27199
1096.92237,1484.55829
1099.1346,1489.24377
1101.34684,1490.8056
1103.55908,1493.14834
1105.77131,1494.71016
1107.98355,1495.49107
1110.19578,1496.27199
1112.40802,1494.71016
1114.62025,1493.14834
1116.83249,1492.36742
1119.04472,1490.8056
1121.25696,1488.46286
1123.4692,1488.46286
1125.68143,1489.24377
1127.89367,1489.24377
1130.1059,1490.02468
1132.31814,1490.02468
1134.53037,1489.24377
1136.74261,1489.24377
1138.95485,1488.46286
1141.16708,1489.24377
1143.37932,1489.24377
1145.59155,1490.02468
1147.80379,1490.02468
1150.01602,1490.02468
1152.22826,1490.8056
1154.4405,1492.36742
1156.65273,1493.14834
1158.86497,1493.92925
1161.0772,1494.71016
1163.28944,1493.92925
1165.50167,1492.36742
1167.71391,1491.58651
1169.92614,1490.02468
1172.13838,1489.24377
1174.35062,1488.46286
1176.56285,1493.92925
1176.56285,1482.21556
1178.77509,1493.14834
1178.77509,1480.65373
1180.98732,1492.36742
1180.98732,1478.31099
1183.19956,1492.36742
1183.19956,1475.96825
1185.41179,1492.36742
1185.41179,1475.18734
1187.62403,1492.36742
1187.62403,1473.62552
1189.83627,1491.58651
1189.83627,1472.8446
1192.0485,1491.58651
1192.0485,1471.28278
1194.26074,1491.58651
1194.26074,1470.50186
1196.47297,1490.8056
1196.47297,1470.50186
1198.68521,1490.02468
1198.68521,1469.72095
1200.89744,1489.24377
1200.89744,1468.94004
1203.10968,1489.24377
1203.10968,1468.94004
1205.32192,1490.02468
1205.32192,1468.15913
1207.53415,1490.8056
1207.53415,1468.15913
1209.74639,1492.36742
1209.74639,1467.37821
1211.95862,1493.14834
1211.95862,1468.94004
1214.17086,1493.92925
1214.17086,1469.72095
1216.38309,1494.71016
1216.38309,1470.50186
1218.59533,1496.27199
1218.59533,1471.28278
1220.80756,1497.0529
1220.80756,1472.06369
1223.0198,1497.0529
1223.0198,1472.8446
1225.23204,1493.92925
1225.23204,1473.62552
1227.44427,1491.58651
1227.44427,1472.8446
1229.65651,1489.24377
1229.65651,1472.06369
1231.86874,1482.21556
1234.08098,1480.65373
1236.29321,1479.09191
1238.50545,1476.74917
1240.71769,1475.18734
1242.92992,1471.28278
1245.14216,1468.15913
1247.35439,1468.94004
1249.56663,1470.50186
1251.77886,1472.06369
1253.9911,1473.62552
1256.20333,1476.74917
1258.41557,1478.31099
1260.62781,1481.43464
1262.84004,1484.55829
1265.05228,1486.12012
1267.26451,1486.90103
1269.47675,1487.68195
1271.68898,1488.46286
1273.90122,1489.24377
1276.11346,1490.02468
1278.32569,1490.8056
1280.53793,1490.02468
1282.75016,1489.24377
1284.9624,1487.68195
1287.17463,1486.12012
1289.38687,1485.33921
1291.59911,1484.55829
1293.81134,1483.77738
1296.02358,1482.99647
1298.23581,1482.21556
1300.44805,1482.21556
1302.66028,1482.21556
1304.87252,1483.77738
1307.08475,1484.55829
1309.29699,1489.24377
1309.29699,1477.53008
1311.50923,1491.58651
1311.50923,1477.53008
1313.72146,1493.14834
1313.72146,1478.31099
1315.9337,1494.71016
1315.9337,1478.31099
1318.14593,1496.27199
1318.14593,1476.74917
1320.35817,1496.27199
1320.35817,1475.96825
1322.5704,1495.49107
1322.5704,1474.40643
1324.78264,1494.71016
1324.78264,1473.62552
1326.99488,1493.14834
1326.99488,1472.06369
1329.20711,1491.58651
1329.20711,1471.28278
1331.41935,1490.02468
1331.41935,1470.50186
1333.63158,1489.24377
1333.63158,1470.50186
1335.84382,1487.68195
1335.84382,1471.28278
1338.05605,1486.90103
1338.05605,1471.28278
1340.26829,1485.33921
1340.26829,1471.28278
1342.48052,1484.55829
1342.48052,1470.50186
1344.69276,1483.77738
1344.69276,1469.72095
1346.905,1483.77738
1346.905,1468.94004
1349.11723,1484.55829
1349.11723,1467.37821
1351.32947,1485.33921
1351.32947,1466.5973
1353.5417,1486.12012
1353.5417,1463.47365
1355.75394,1486.90103
1355.75394,1461.13091
1357.96617,1486.90103
1357.96617,1458.00726
1360.17841,1486.12012
1360.17841,1455.66452
1362.39065,1485.33921
1362.39065,1453.32178
1364.60288,1482.99647
1364.60288,1450.97904
1366.81512,1480.65373
1366.81512,1448.63631
1369.02735,1479.87282
1369.02735,1445.51266
1371.23959,1477.53008
1371.23959,1443.16992
1373.45182,1475.96825
1373.45182,1442.389
1375.66406,1474.40643
1375.66406,1443.95083
1377.8763,1473.62552
1377.8763,1446.29357
1380.08853,1472.8446
1380.08853,1449.41722
1382.30077,1474.40643
1382.30077,1452.54087
1384.513,1462.69274
1386.72524,1467.37821
1388.93747,1470.50186
1391.14971,1475.18734
1393.36194,1478.31099
1395.57418,1482.21556
1397.78642,1485.33921
1399.99865,1488.46286
1402.21089,1491.58651
1404.42312,1492.36742
1406.63536,1489.24377
1408.84759,1486.12012
1411.05983,1483.77738
1413.27207,1481.43464
1415.4843,1479.09191
1417.69654,1475.96825
1419.90877,1473.62552
1422.12101,1472.06369
1424.33324,1478.31099
1424.33324,1461.13091
1426.54548,1475.96825
1426.54548,1458.00726
1428.75772,1473.62552
1428.75772,1455.66452
1430.96995,1472.06369
1430.96995,1454.1027
1433.18219,1470.50186
1433.18219,1453.32178
1435.39442,1468.94004
1435.39442,1454.88361
1435.39442,1468.94004
1435.39442,1454.88361
1437.60666,1461.13091
1437.60666,1461.13091
1439.81889,1462.69274
1439.81889,1462.69274
1442.03113,1464.25456
1442.03113,1464.25456
1444.24336,1467.37821
1444.24336,1467.37821
1446.4556,1471.28278
1446.4556,1471.28278
1448.66784,1474.40643
1448.66784,1474.40643
1450.88007,1475.96825
1450.88007,1475.96825
1453.09231,1477.53008
1453.09231,1477.53008
1455.30454,1479.09191
1455.30454,1479.09191
1457.51678,1479.87282
1457.51678,1479.87282
1459.72901,1480.65373
1459.72901,1480.65373
1461.94125,1481.43464
1461.94125,1481.43464
1464.15349,1480.65373
1464.15349,1480.65373
1466.36572,1480.65373
1466.36572,1480.65373
1468.57796,1479.09191
1468.57796,1479.09191
1470.79019,1476.74917
1470.79019,1476.74917
1473.00243,1474.40643
1473.00243,1474.40643
1475.21466,1472.06369
1475.21466,1472.06369
1477.4269,1469.72095
1477.4269,1469.72095
1479.63913,1468.94004
1479.63913,1468.94004
1481.85137,1469.72095
1481.85137,1469.72095
1484.06361,1471.28278
1484.06361,1471.28278
1486.27584,1473.62552
1486.27584,1473.62552
1488.48808,1475.18734
1488.48808,1475.18734
1490.70031,1477.53008
1492.91255,1480.65373
1495.12478,1483.77738
1497.33702,1487.68195
1499.54926,1490.02468
1501.76149,1491.58651
1503.97373,1493.14834
1506.18596,1490.02468
1506.18596,1500.95746
1508.3982,1500.95746
1508.3982,1490.8056
1510.61043,1493.14834
1512.82267,1489.24377
1515.03491,1486.12012
1517.24714,1483.77738
1519.45938,1482.99647
1521.67161,1482.99647
1523.88385,1485.33921
1526.09608,1486.90103
1528.30832,1490.8056
1530.52055,1498.61473
1532.73279,1507.20477
1534.94503,1511.89024
1537.15726,1519.69937
1539.3695,1526.72759
1541.58173,1533.7558
1543.79397,1539.22219
1546.0062,1543.90767
1548.21844,1548.59314
1550.43068,1548.59314
1552.64291,1545.46949
1552.64291,1480.65373
1552.64291,1507.20477
1554.85515,1545.46949
1554.85515,1507.20477
1554.85515,1481.43464
1557.06738,1481.43464
1557.06738,1507.20477
1557.06738,1545.46949
1559.27962,1545.46949
1559.27962,1507.20477
1559.27962,1481.43464
1561.49185,1536.87945
1563.70409,1532.97489
1565.91633,1529.85124
1568.12856,1525.16576
1570.3408,1521.2612
1572.55303,1518.13754
1574.76527,1514.23298
1576.9775,1510.32842
1579.18974,1509.5475
1581.40197,1507.98568
1583.61421,1506.42385
1585.82645,1498.61473
1585.82645,1515.01389
1588.03868,1497.0529
1588.03868,1514.23298
1590.25092,1495.49107
1590.25092,1514.23298
1592.46315,1493.92925
1592.46315,1515.01389
1594.67539,1492.36742
1594.67539,1515.79481
1596.88762,1492.36742
1596.88762,1516.57572
1599.09986,1491.58651
1599.09986,1517.35663
1601.3121,1515.79481
1601.3121,1493.14834
1603.52433,1493.14834
1603.52433,1514.23298
1605.73657,1512.67116
1605.73657,1493.92925
1607.9488,1509.5475
1607.9488,1493.14834
1610.16104,1500.17655
1612.37327,1496.27199
1614.58551,1494.71016
1616.79774,1493.14834
1619.00998,1490.8056
1621.22222,1489.24377
1623.43445,1491.58651
1623.43445,1480.65373
1625.64669,1479.87282
1625.64669,1490.8056
1627.85892,1479.09191
1627.85892,1493.14834
1630.07116,1479.09191
1630.07116,1494.71016
1632.28339,1478.31099
1632.28339,1497.83381
1634.49563,1478.31099
1634.49563,1498.61473
1636.70787,1482.21556
1636.70787,1502.51929
1638.9201,1493.92925
1641.13234,1486.12012
1641.13234,1508.76659
1643.34457,1486.90103
1643.34457,1511.10933
1645.55681,1513.45207
1645.55681,1489.24377
1647.76904,1491.58651
1647.76904,1513.45207
1649.98128,1511.89024
1649.98128,1493.14834
1649.98128,1493.14834
1649.98128,1511.89024
1652.19352,1511.10933
1652.19352,1493.14834
1652.19352,1511.10933
1652.19352,1493.14834
1654.40575,1492.36742
1654.40575,1509.5475
1654.40575,1509.5475
1654.40575,1492.36742
1656.61799,1507.98568
1656.61799,1490.8056
1656.61799,1507.98568
1656.61799,1490.8056
1658.83022,1507.20477
1658.83022,1489.24377
1658.83022,1489.24377
1658.83022,1507.20477
1661.04246,1487.68195
1661.04246,1505.64294
1661.04246,1487.68195
1661.04246,1505.64294
1663.25469,1485.33921
1663.25469,1504.86203
1663.25469,1504.86203
1663.25469,1485.33921
1665.46693,1504.86203
1665.46693,1504.86203
1665.46693,1484.55829
1665.46693,1484.55829
1667.67916,1482.99647
1667.67916,1482.99647
1667.67916,1506.42385
1667.67916,1506.42385
1669.8914,1507.20477
1669.8914,1480.65373
1669.8914,1480.65373
1669.8914,1507.20477
1672.10364,1479.09191
1672.10364,1507.98568
1672.10364,1479.09191
1672.10364,1507.98568
1674.31587,1478.31099
1674.31587,1508.76659
1674.31587,1478.31099
1674.31587,1508.76659
1676.52811,1509.5475
1676.52811,1477.53008
1676.52811,1509.5475
1676.52811,1477.53008
1678.74034,1508.76659
1678.74034,1476.74917
1678.74034,1508.76659
1678.74034,1476.74917
1680.95258,1507.20477
1680.95258,1476.74917
1680.95258,1507.20477
1680.95258,1476.74917
1683.16481,1475.96825
1683.16481,1504.86203
1683.16481,1504.86203
1683.16481,1475.96825
1685.37705,1475.96825
1685.37705,1475.96825
1685.37705,1501.73838
1685.37705,1501.73838
1687.58929,1499.39564
1687.58929,1476.74917
1687.58929,1476.74917
1687.58929,1499.39564
1689.80152,1497.83381
1689.80152,1476.74917
1689.80152,1497.83381
1689.80152,1476.74917
1692.01376,1496.27199
1692.01376,1476.74917
1692.01376,1496.27199
1692.01376,1476.74917
1694.22599,1478.31099
1694.22599,1493.92925
1694.22599,1493.92925
1694.22599,1478.31099
1696.43823,1492.36742
1696.43823,1478.31099
1696.43823,1478.31099
1696.43823,1492.36742
1698.65046,1490.8056
1698.65046,1479.87282
1698.65046,1490.8056
1698.65046,1479.87282
1700.8627,1490.8056
1700.8627,1490.8056
1700.8627,1480.65373
1700.8627,1480.65373
1703.07493,1482.21556
1703.07493,1491.58651
1703.07493,1482.21556
1703.07493,1491.58651
1705.28717,1486.90103
1705.28717,1486.90103
1707.49941,1487.68195
1707.49941,1487.68195
1709.71164,1487.68195
1709.71164,1487.68195
1711.92388,1488.46286
1711.92388,1488.46286
1714.13611,1488.46286
1714.13611,1488.46286
1716.34835,1489.24377
1716.34835,1489.24377
1718.56058,1490.02468
1718.56058,1490.02468
1720.77282,1490.8056
1720.77282,1490.8056
1722.98506,1490.02468
1722.98506,1490.02468
1725.19729,1490.02468
1725.19729,1490.02468
1727.40953,1488.46286
1727.40953,1488.46286
1729.62176,1488.46286
1729.62176,1488.46286
1731.834,1488.46286
1731.834,1488.46286
1734.04623,1488.46286
1734.04623,1488.46286
1736.25847,1489.24377
1736.25847,1489.24377
1738.47071,1490.02468
1738.47071,1490.02468
1740.68294,1490.8056
1740.68294,1490.8056
1742.89518,1491.58651
1742.89518,1491.58651
1745.10741,1490.02468
1745.10741,1490.02468
1747.31965,1488.46286
1747.31965,1488.46286
1749.53188,1487.68195
1749.53188,1487.68195
1751.74412,1486.12012
1751.74412,1486.12012
1753.95635,1485.33921
1753.95635,1485.33921
1756.16859,1479.87282
1756.16859,1492.36742
1756.16859,1479.87282
1756.16859,1492.36742
1758.38083,1492.36742
1758.38083,1492.36742
1758.38083,1477.53008
1758.38083,1477.53008
1760.59306,1493.14834
1760.59306,1478.31099
1760.59306,1478.31099
1760.59306,1493.14834
1762.8053,1480.65373
1762.8053,1493.14834
1762.8053,1480.65373
1762.8053,1493.14834
1765.01753,1486.90103
1765.01753,1486.90103
1767.22977,1488.46286
1767.22977,1488.46286
1769.442,1490.02468
1769.442,1490.02468
1771.65424,1492.36742
1771.65424,1492.36742
1773.86648,1499.39564
1773.86648,1489.24377
1773.86648,1489.24377
1773.86648,1499.39564
1776.07871,1500.95746
1776.07871,1490.8056
1776.07871,1490.8056
1776.07871,1500.95746
1778.29095,1491.58651
1778.29095,1500.95746
1778.29095,1500.95746
1778.29095,1491.58651
1780.50318,1500.17655
1780.50318,1490.8056
1780.50318,1500.17655
1780.50318,1490.8056
1782.71542,1493.14834
1782.71542,1493.14834
1784.92765,1490.8056
1784.92765,1490.8056
1787.13989,1488.46286
1787.13989,1488.46286
1789.35213,1498.61473
1789.35213,1481.43464
1789.35213,1498.61473
1789.35213,1481.43464
1791.56436,1499.39564
1791.56436,1478.31099
1791.56436,1499.39564
1791.56436,1478.31099
1793.7766,1474.40643
1793.7766,1500.95746
1793.7766,1474.40643
1793.7766,1500.95746
1795.98883,1501.73838
1795.98883,1472.06369
1795.98883,1472.06369
1795.98883,1501.73838
1798.20107,1470.50186
1798.20107,1502.51929
1798.20107,1502.51929
1798.20107,1470.50186
1800.4133,1504.08111
1800.4133,1468.94004
1800.4133,1468.94004
1800.4133,1504.08111
1802.62554,1505.64294
1802.62554,1467.37821
1802.62554,1505.64294
1802.62554,1467.37821
1804.83777,1506.42385
1804.83777,1468.15913
1804.83777,1468.15913
1804.83777,1506.42385
1807.05001,1505.64294
1807.05001,1505.64294
1807.05001,1469.72095
1807.05001,1469.72095
1809.26225,1504.08111
1809.26225,1471.28278
1809.26225,1504.08111
1809.26225,1471.28278
1811.47448,1500.95746
1811.47448,1472.8446
1811.47448,1500.95746
1811.47448,1472.8446
1813.68672,1475.18734
1813.68672,1498.61473
1813.68672,1498.61473
1813.68672,1475.18734
1815.89895,1477.53008
1815.89895,1497.0529
1815.89895,1477.53008
1815.89895,1497.0529
1818.11119,1488.46286
1818.11119,1488.46286
1820.32342,1486.90103
1820.32342,1486.90103
1822.53566,1486.12012
1822.53566,1486.12012
1824.7479,1486.90103
1824.7479,1486.90103
1826.96013,1489.24377
1826.96013,1489.24377
1829.17237,1490.8056
1829.17237,1490.8056
1831.3846,1491.58651
1831.3846,1491.58651
1833.59684,1492.36742
1833.59684,1492.36742
1835.80907,1493.14834
1835.80907,1493.14834
1838.02131,1494.71016
1838.02131,1494.71016
1840.23354,1495.49107
1840.23354,1495.49107
1842.44578,1495.49107
1842.44578,1495.49107
1844.65802,1494.71016
1844.65802,1494.71016
1846.87025,1492.36742
1846.87025,1492.36742
1849.08249,1490.02468
1849.08249,1490.02468
1851.29472,1486.90103
1851.29472,1486.90103
1853.50696,1484.55829
1853.50696,1484.55829
1855.71919,1481.43464
1855.71919,1481.43464
1857.93143,1479.87282
1857.93143,1479.87282
1860.14367,1478.31099
1860.14367,1478.31099
1862.3559,1487.68195
1862.3559,1473.62552
1862.3559,1473.62552
1862.3559,1487.68195
1864.56814,1487.68195
1864.56814,1472.06369
1864.56814,1487.68195
1864.56814,1472.06369
1866.78037,1488.46286
1866.78037,1470.50186
1866.78037,1488.46286
1866.78037,1470.50186
1868.99261,1488.46286
1868.99261,1468.94004
1868.99261,1468.94004
1868.99261,1488.46286
1871.20484,1490.02468
1871.20484,1468.94004
1871.20484,1490.02468
1871.20484,1468.94004
1873.41708,1491.58651
1873.41708,1470.50186
1873.41708,1470.50186
1873.41708,1491.58651
1875.62932,1493.14834
1875.62932,1472.06369
1875.62932,1493.14834
1875.62932,1472.06369
1877.84155,1472.8446
1877.84155,1494.71016
1877.84155,1472.8446
1877.84155,1494.71016
1880.05379,1473.62552
1880.05379,1495.49107
1880.05379,1495.49107
1880.05379,1473.62552
1882.26602,1475.18734
1882.26602,1475.18734
1882.26602,1497.0529
1882.26602,1497.0529
1884.47826,1475.96825
1884.47826,1475.96825
1884.47826,1498.61473
1884.47826,1498.61473
