Raman shift,Intensity
415.55379,1362.7359
417.76603,1362.7359
419.97826,1362.7359
422.1905,1362.7359
424.40273,1362.7359
426.61497,1362.7359
428.8272,1362.7359
431.03944,1362.7359
433.25168,1362.7359
435.46391,1362.7359
437.67615,1362.7359
439.88838,1362.7359
442.10062,1363.51681
444.31285,1363.51681
446.52509,1363.51681
448.73732,1363.51681
450.94956,1364.29773
453.1618,1364.29773
455.37403,1364.29773
457.58627,1364.29773
459.7985,1365.07864
462.01074,1365.07864
464.22297,1365.85955
466.43521,1365.85955
468.64745,1365.85955
470.85968,1366.64046
473.07192,1366.64046
475.28415,1367.42138
477.49639,1367.42138
479.70862,1367.42138
481.92086,1368.20229
484.1331,1368.20229
486.34533,1368.20229
488.55757,1368.9832
490.7698,1368.9832
492.98204,1368.9832
495.19427,1368.9832
497.40651,1368.9832
499.61874,1368.9832
501.83098,1368.20229
504.04322,1368.20229
506.25545,1368.20229
508.46769,1368.20229
510.67992,1368.20229
512.89216,1367.42138
515.10439,1367.42138
517.31663,1367.42138
519.52887,1367.42138
521.7411,1366.64046
523.95334,1366.64046
526.16557,1366.64046
528.37781,1365.85955
530.59004,1365.85955
532.80228,1365.85955
535.01451,1365.85955
537.22675,1365.07864
539.43899,1365.07864
541.65122,1365.07864
543.86346,1365.07864
546.07569,1364.29773
548.28793,1364.29773
550.50016,1364.29773
552.7124,1364.29773
554.92464,1364.29773
557.13687,1364.29773
559.34911,1364.29773
561.56134,1364.29773
563.77358,1365.07864
565.98581,1365.07864
568.19805,1365.07864
570.41029,1365.07864
572.62252,1365.07864
574.83476,1365.07864
577.04699,1365.07864
579.25923,1365.85955
581.47146,1365.85955
583.6837,1365.85955
585.89593,1366.64046
588.10817,1366.64046
590.32041,1366.64046
592.53264,1366.64046
594.74488,1366.64046
596.95711,1366.64046
599.16935,1366.64046
601.38158,1366.64046
603.59382,1367.42138
605.80606,1367.42138
625.87586,1370.34008
640.02972,1363.07377
682.49128,1360.3489
697.93185,1363.07377
712.0857,1363.07377
762.87479,1361.17407
765.08702,1361.17407
767.29926,1361.17407
769.51149,1361.17407
771.72373,1361.17407
773.93596,1361.17407
776.1482,1361.17407
778.36044,1361.17407
780.57267,1361.17407
782.78491,1361.17407
784.99714,1360.39316
787.20938,1360.39316
789.42161,1360.39316
791.63385,1360.39316
793.84609,1360.39316
796.05832,1360.39316
798.27056,1360.39316
800.48279,1360.39316
802.69503,1360.39316
804.90726,1360.39316
807.1195,1360.39316
809.33173,1360.39316
811.54397,1360.39316
813.75621,1360.39316
815.96844,1360.39316
818.18068,1360.39316
820.39291,1361.17407
822.60515,1361.95499
824.81738,1361.95499
827.02962,1361.95499
829.24186,1361.95499
831.45409,1361.95499
833.66633,1362.7359
835.87856,1362.7359
838.0908,1362.7359
840.30303,1362.7359
842.51527,1361.95499
844.72751,1361.17407
846.93974,1360.39316
849.15198,1359.61225
851.36421,1359.61225
853.57645,1359.61225
855.78868,1359.61225
858.00092,1359.61225
860.21315,1359.61225
862.42539,1359.61225
864.63763,1359.61225
866.84986,1359.61225
869.0621,1359.61225
871.27433,1359.61225
873.48657,1359.61225
875.6988,1359.61225
877.91104,1359.61225
880.12328,1359.61225
882.33551,1360.39316
884.54775,1360.39316
886.75998,1360.39316
888.97222,1360.39316
891.18445,1360.39316
893.39669,1360.39316
895.60892,1360.39316
897.82116,1360.39316
900.0334,1361.17407
902.24563,1361.17407
904.45787,1361.17407
906.6701,1361.17407
908.88234,1361.17407
911.09457,1361.17407
913.30681,1361.17407
915.51905,1360.39316
917.73128,1360.39316
919.94352,1360.39316
922.15575,1360.39316
924.36799,1360.39316
926.58022,1361.17407
928.79246,1360.39316
931.0047,1360.39316
933.21693,1360.39316
935.42917,1360.39316
937.6414,1360.39316
939.85364,1360.39316
942.06587,1361.17407
944.27811,1361.17407
946.49034,1361.17407
948.70258,1361.17407
950.91482,1361.17407
953.12705,1361.95499
953.12705,1362.7359
953.12705,1363.51681
953.12705,1364.29773
953.12705,1365.07864
955.33929,1365.07864
957.55152,1365.07864
957.55152,1365.85955
959.76376,1365.85955
959.76376,1366.64046
961.97599,1366.64046
961.97599,1367.42138
964.18823,1367.42138
966.40047,1367.42138
968.6127,1367.42138
970.82494,1367.42138
973.03717,1367.42138
975.24941,1367.42138
975.24941,1368.20229
975.24941,1368.9832
977.46164,1368.9832
979.67388,1369.76411
979.67388,1370.54503
979.67388,1371.32594
981.88611,1371.32594
981.88611,1372.10685
981.88611,1372.88777
984.09835,1372.88777
984.09835,1373.66868
984.09835,1374.44959
986.31059,1374.44959
986.31059,1375.2305
986.31059,1376.01142
988.52282,1380.69689
988.52282,1381.47781
988.52282,1376.79233
988.52282,1376.01142
990.73506,1384.60146
990.73506,1383.03963
990.73506,1383.82054
990.73506,1377.57324
990.73506,1385.38237
990.73506,1379.91598
990.73506,1378.35416
990.73506,1379.13507
990.73506,1382.25872
992.94729,1388.50602
992.94729,1379.91598
992.94729,1380.69689
992.94729,1386.9442
992.94729,1387.72511
992.94729,1386.16328
992.94729,1379.13507
995.15953,1382.25872
995.15953,1387.72511
995.15953,1386.9442
995.15953,1390.06785
995.15953,1388.50602
995.15953,1389.28693
995.15953,1381.47781
995.15953,1383.03963
995.15953,1390.84876
995.15953,1393.1915
995.15953,1386.16328
995.15953,1393.97241
997.37176,1391.62967
997.37176,1394.75332
997.37176,1395.53424
997.37176,1390.84876
997.37176,1389.28693
997.37176,1390.06785
