Raman shift,Intensity
770.26295,2126.75115
797.95917,2128.17528
797.95917,2126.81893
799.51351,2129.53163
801.06785,2130.88797
802.62219,2132.24432
804.17652,2133.60067
805.73086,2134.95702
807.2852,2136.31336
807.2852,2141.73876
807.2852,2143.0951
807.2852,2140.38241
808.83954,2126.81893
808.83954,2139.02606
808.83954,2137.66971
808.83954,2144.45145
810.39388,2152.58954
810.39388,2151.23319
810.39388,2147.16415
810.39388,2128.17528
810.39388,2145.8078
810.39388,2153.94589
811.94822,2155.30223
811.94822,2149.87684
811.94822,2148.52049
811.94822,2129.53163
813.50256,2129.53163
813.50256,2128.17528
813.50256,2156.65858
815.0569,2158.01493
815.0569,2159.37128
815.0569,2160.72762
815.0569,2162.08397
815.0569,2164.79667
815.0569,2166.15302
815.0569,2167.50936
815.0569,2126.81893
816.61123,2168.86571
816.61123,2163.44032
818.16557,2170.22206
818.16557,2171.57841
819.71991,2175.64745
819.71991,2182.42919
819.71991,2177.0038
819.71991,2172.93475
819.71991,2174.2911
819.71991,2181.07284
819.71991,2216.33788
819.71991,2213.62519
821.27425,2179.71649
821.27425,2183.78554
821.27425,2217.69423
821.27425,2212.26884
821.27425,2214.98153
821.27425,2178.36014
822.82859,2210.91249
822.82859,2219.05058
822.82859,2197.34901
822.82859,2227.18866
822.82859,2228.54501
822.82859,2185.14188
822.82859,2200.06171
822.82859,2198.70536
822.82859,2195.99267
824.38293,2220.40693
824.38293,2194.63632
824.38293,2193.27997
824.38293,2191.92362
824.38293,2190.56727
824.38293,2189.21093
824.38293,2187.85458
824.38293,2186.49823
824.38293,2229.90136
824.38293,2225.83232
824.38293,2204.13075
824.38293,2223.11962
824.38293,2206.84345
824.38293,2232.61405
824.38293,2209.55614
824.38293,2201.41806
824.38293,2221.76327
824.38293,2231.25771
824.38293,2224.47597
825.93727,2202.7744
825.93727,2233.9704
825.93727,2205.4871
825.93727,2208.1998
827.49161,2235.32675
829.04594,2246.17753
829.04594,2236.6831
829.04594,2244.82118
829.04594,2243.46484
830.60028,2238.03945
830.60028,2252.95927
830.60028,2242.10849
830.60028,2247.53388
832.15462,2248.89023
832.15462,2240.75214
832.15462,2251.60292
832.15462,2239.39579
832.15462,2254.31562
832.15462,2255.67197
833.70896,2250.24658
833.70896,2255.67197
835.2633,2255.67197
836.81764,2257.02831
836.81764,2255.67197
836.81764,2258.38466
836.81764,2261.09736
836.81764,2259.74101
838.37198,2261.09736
838.37198,2262.45371
839.92632,2263.81005
839.92632,2265.1664
839.92632,2262.45371
839.92632,2267.8791
839.92632,2266.52275
841.48066,2269.23544
841.48066,2267.8791
843.03499,2270.59179
844.58933,2271.94814
846.14367,2273.30449
847.69801,2274.66084
861.96291,2241.82278
873.29662,2246.31777
873.29662,2266.9947
875.67611,2186.49823
875.67611,2189.21093
877.23045,2185.14188
877.23045,2221.76327
877.23045,2187.85458
877.23045,2190.56727
878.78479,2224.47597
878.78479,2202.7744
878.78479,2182.42919
878.78479,2183.78554
878.78479,2219.05058
878.78479,2220.40693
878.78479,2223.11962
878.78479,2206.84345
878.78479,2225.83232
878.78479,2201.41806
878.78479,2200.06171
878.78479,2198.70536
878.78479,2179.71649
878.78479,2178.36014
878.78479,2214.98153
878.78479,2177.0038
878.78479,2191.92362
878.78479,2204.13075
878.78479,2181.07284
878.78479,2174.2911
878.78479,2172.93475
880.33912,2209.55614
880.33912,2175.64745
