Raman shift,Intensity
407.82013,383.91207
407.82013,427.3152
407.82013,425.95885
407.82013,400.18824
407.82013,401.54459
407.82013,402.90094
407.82013,398.8319
407.82013,404.25729
407.82013,405.61363
407.82013,397.47555
407.82013,396.1192
407.82013,394.76285
407.82013,393.4065
407.82013,390.69381
407.82013,389.33746
407.82013,387.98111
407.82013,386.62477
407.82013,385.26842
407.82013,406.96998
407.82013,382.55572
407.82013,381.19937
409.37447,406.96998
410.92881,406.96998
412.48315,406.96998
414.03749,406.96998
415.59183,408.32633
417.14617,409.68268
418.70051,420.53346
418.70051,411.03903
418.70051,412.39537
418.70051,413.75172
418.70051,415.10807
418.70051,416.46442
418.70051,417.82076
418.70051,419.17711
418.70051,421.88981
420.25484,424.6025
420.25484,421.88981
420.25484,423.24615
421.80918,424.6025
423.36352,424.6025
423.36352,425.95885
423.36352,427.3152
424.91786,427.3152
426.4722,428.67155
426.4722,430.02789
426.4722,431.38424
426.4722,432.74059
428.02654,439.52233
428.02654,432.74059
428.02654,434.09694
428.02654,435.45328
428.02654,436.80963
428.02654,438.16598
428.02654,440.87868
429.58088,443.59137
429.58088,442.23502
431.13522,444.94772
431.13522,446.30407
432.68956,447.66041
434.24389,449.01676
434.24389,450.37311
435.79823,451.72946
437.35257,453.08581
437.35257,451.72946
438.90691,454.44215
440.46125,454.44215
442.01559,459.86754
442.01559,455.7985
443.56993,455.7985
443.56993,457.15485
443.56993,458.5112
443.56993,461.22389
445.12427,463.93659
445.12427,457.15485
445.12427,462.58024
445.12427,465.29294
446.6786,466.64928
448.23294,468.00563
449.78728,474.78737
449.78728,469.36198
449.78728,470.71833
449.78728,472.07467
449.78728,473.43102
449.78728,476.14372
451.34162,481.56911
451.34162,476.14372
451.34162,482.92546
452.89596,480.21276
452.89596,476.14372
452.89596,484.2818
452.89596,485.63815
452.89596,486.9945
454.4503,488.35085
454.4503,476.14372
454.4503,481.56911
454.4503,478.85641
454.4503,489.70719
454.4503,491.06354
454.4503,480.21276
454.4503,493.77624
454.4503,477.50006
454.4503,482.92546
456.00464,478.85641
456.00464,477.50006
456.00464,492.41989
456.00464,484.2818
456.00464,476.14372
456.00464,495.13259
456.00464,497.84528
457.55898,499.20163
457.55898,500.55798
457.55898,496.48893
457.55898,485.63815
459.11331,486.9945
459.11331,501.91432
459.11331,503.27067
459.11331,499.20163
459.11331,500.55798
459.11331,493.77624
460.66765,501.91432
460.66765,497.84528
460.66765,495.13259
460.66765,492.41989
460.66765,491.06354
460.66765,510.05241
460.66765,489.70719
460.66765,488.35085
460.66765,504.62702
460.66765,503.27067
460.66765,507.33972
460.66765,508.69606
462.22199,505.98337
462.22199,510.05241
462.22199,496.48893
462.22199,508.69606
462.22199,507.33972
462.22199,511.40876
462.22199,504.62702
463.77633,505.98337
463.77633,511.40876
463.77633,510.05241
465.33067,511.40876
465.33067,510.05241
466.88501,511.40876
466.88501,510.05241
468.43935,522.25954
468.43935,519.54685
468.43935,518.1905
468.43935,516.83415
468.43935,512.76511
468.43935,520.90319
468.43935,511.40876
468.43935,514.12145
468.43935,515.4778
468.43935,510.05241
468.43935,523.61589
469.99369,510.05241
469.99369,511.40876
469.99369,512.76511
469.99369,514.12145
469.99369,515.4778
469.99369,520.90319
469.99369,516.83415
469.99369,518.1905
469.99369,522.25954
469.99369,523.61589
469.99369,524.97224
469.99369,519.54685
471.54802,524.97224
473.10236,526.32858
474.6567,526.32858
476.21104,526.32858
477.76538,524.97224
479.31972,522.25954
479.31972,523.61589
480.87406,519.54685
480.87406,520.90319
482.4284,516.83415
482.4284,519.54685
482.4284,518.1905
483.98273,516.83415
483.98273,515.4778
483.98273,514.12145
485.53707,514.12145
485.53707,512.76511
487.09141,508.69606
487.09141,510.05241
487.09141,511.40876
487.09141,512.76511
487.09141,507.33972
487.09141,514.12145
488.64575,514.12145
488.64575,505.98337
488.64575,522.25954
488.64575,512.76511
490.20009,504.62702
490.20009,510.05241
490.20009,503.27067
490.20009,501.91432
490.20009,514.12145
491.75443,510.05241
491.75443,511.40876
491.75443,512.76511
491.75443,500.55798
491.75443,501.91432
491.75443,499.20163
491.75443,514.12145
493.30877,510.05241
493.30877,499.20163
493.30877,497.84528
493.30877,496.48893
494.86311,496.48893
494.86311,495.13259
494.86311,493.77624
494.86311,510.05241
494.86311,508.69606
494.86311,507.33972
496.41745,505.98337
496.41745,504.62702
496.41745,492.41989
496.41745,493.77624
497.97178,491.06354
497.97178,504.62702
497.97178,503.27067
497.97178,492.41989
497.97178,500.55798
497.97178,501.91432
499.52612,489.70719
499.52612,500.55798
499.52612,499.20163
501.08046,499.20163
501.08046,497.84528
501.08046,496.48893
501.08046,488.35085
502.6348,486.9945
502.6348,496.48893
502.6348,495.13259
504.18914,495.13259
504.18914,493.77624
504.18914,486.9945
505.74348,482.92546
505.74348,493.77624
505.74348,486.9945
505.74348,485.63815
505.74348,484.2818
507.29782,492.41989
507.29782,482.92546
507.29782,491.06354
508.85216,488.35085
508.85216,482.92546
508.85216,489.70719
508.85216,491.06354
510.40649,486.9945
510.40649,488.35085
510.40649,482.92546
511.96083,481.56911
511.96083,482.92546
511.96083,485.63815
511.96083,484.2818
513.51517,481.56911
513.51517,484.2818
513.51517,482.92546
515.06951,482.92546
515.06951,476.14372
515.06951,477.50006
515.06951,478.85641
515.06951,480.21276
515.06951,481.56911
516.62385,476.14372
516.62385,477.50006
516.62385,478.85641
516.62385,480.21276
516.62385,481.56911
518.17819,477.50006
518.17819,476.14372
518.17819,474.78737
519.73253,474.78737
519.73253,473.43102
519.73253,472.07467
519.73253,470.71833
519.73253,469.36198
519.73253,477.50006
519.73253,476.14372
521.28687,469.36198
521.28687,476.14372
521.28687,474.78737
522.8412,474.78737
522.8412,473.43102
522.8412,472.07467
522.8412,469.36198
524.39554,472.07467
524.39554,469.36198
525.94988,472.07467
525.94988,469.36198
525.94988,468.00563
527.50422,468.00563
527.50422,469.36198
527.50422,466.64928
527.50422,472.07467
527.50422,470.71833
529.05856,465.29294
529.05856,466.64928
529.05856,469.36198
529.05856,468.00563
530.6129,451.72946
530.6129,466.64928
530.6129,454.44215
530.6129,465.29294
530.6129,468.00563
530.6129,463.93659
530.6129,453.08581
530.6129,462.58024
530.6129,459.86754
530.6129,461.22389
532.16724,459.86754
532.16724,458.5112
532.16724,447.66041
532.16724,449.01676
532.16724,450.37311
532.16724,455.7985
532.16724,463.93659
532.16724,461.22389
532.16724,465.29294
532.16724,466.64928
532.16724,454.44215
532.16724,462.58024
533.72158,457.15485
533.72158,461.22389
533.72158,454.44215
533.72158,447.66041
533.72158,455.7985
533.72158,458.5112
533.72158,459.86754
535.27591,459.86754
535.27591,458.5112
535.27591,454.44215
535.27591,457.15485
535.27591,447.66041
536.83025,447.66041
536.83025,454.44215
538.38459,444.94772
538.38459,446.30407
538.38459,454.44215
538.38459,453.08581
539.93893,449.01676
539.93893,451.72946
539.93893,450.37311
539.93893,447.66041
539.93893,443.59137
541.49327,442.23502
541.49327,447.66041
541.49327,440.87868
541.49327,439.52233
541.49327,443.59137
543.04761,443.59137
543.04761,438.16598
543.04761,444.94772
543.04761,446.30407
543.04761,442.23502
544.60195,438.16598
544.60195,442.23502
544.60195,436.80963
544.60195,440.87868
544.60195,439.52233
546.15629,439.52233
546.15629,435.45328
546.15629,432.74059
546.15629,438.16598
546.15629,436.80963
546.15629,431.38424
546.15629,434.09694
547.71063,431.38424
547.71063,434.09694
547.71063,435.45328
549.26496,427.3152
549.26496,432.74059
549.26496,430.02789
549.26496,431.38424
549.26496,434.09694
549.26496,428.67155
550.8193,416.46442
550.8193,427.3152
550.8193,432.74059
550.8193,431.38424
550.8193,424.6025
550.8193,425.95885
550.8193,430.02789
550.8193,428.67155
550.8193,415.10807
550.8193,413.75172
552.37364,423.24615
552.37364,428.67155
552.37364,416.46442
552.37364,427.3152
552.37364,413.75172
552.37364,425.95885
552.37364,417.82076
553.92798,416.46442
553.92798,421.88981
553.92798,420.53346
553.92798,419.17711
553.92798,423.24615
553.92798,424.6025
553.92798,417.82076
553.92798,413.75172
555.48232,423.24615
555.48232,421.88981
555.48232,413.75172
555.48232,412.39537
555.48232,411.03903
555.48232,409.68268
555.48232,408.32633
555.48232,406.96998
555.48232,420.53346
555.48232,416.46442
555.48232,419.17711
557.03666,405.61363
557.03666,390.69381
557.03666,416.46442
557.03666,393.4065
558.591,411.03903
558.591,408.32633
558.591,406.96998
558.591,412.39537
558.591,413.75172
558.591,392.05016
558.591,398.8319
558.591,397.47555
558.591,396.1192
558.591,394.76285
558.591,393.4065
558.591,404.25729
558.591,416.46442
558.591,415.10807
558.591,409.68268
560.14534,400.18824
560.14534,398.8319
560.14534,405.61363
560.14534,393.4065
560.14534,402.90094
560.14534,401.54459
561.69967,404.25729
561.69967,400.18824
561.69967,401.54459
561.69967,393.4065
563.25401,394.76285
563.25401,393.4065
563.25401,402.90094
563.25401,404.25729
564.80835,397.47555
564.80835,394.76285
564.80835,398.8319
564.80835,396.1192
566.36269,400.18824
567.91703,398.8319
569.47137,397.47555
