Raman shift,Intensity
768.75777,1623.78393
770.43367,1623.78393
772.10958,1623.78393
773.78548,1622.68087
775.46139,1622.68087
777.13729,1622.68087
778.8132,1621.57782
780.4891,1620.47476
782.16501,1620.47476
783.84091,1621.57782
785.51682,1621.57782
787.19272,1622.68087
788.86863,1622.68087
790.54453,1622.68087
792.22044,1621.57782
793.89634,1620.47476
795.57225,1620.47476
797.24815,1618.26865
798.92406,1617.16559
800.59996,1614.95948
802.27587,1613.85643
803.95177,1612.75337
805.62768,1611.65032
807.30358,1611.65032
808.97949,1610.54726
810.65539,1608.34115
812.3313,1606.13504
814.0072,1603.92893
815.68311,1601.72282
817.35901,1598.41366
819.03492,1595.10449
820.71082,1592.89838
822.38673,1591.79533
824.06263,1592.89838
825.73854,1595.10449
827.41444,1598.41366
829.09035,1601.72282
830.76625,1603.92893
832.44216,1606.13504
834.11806,1608.34115
835.79397,1610.54726
837.46987,1611.65032
839.14578,1612.75337
840.82168,1612.75337
842.49759,1613.85643
844.17349,1613.85643
845.8494,1612.75337
847.5253,1612.75337
849.20121,1611.65032
850.87711,1611.65032
852.55301,1610.54726
854.22892,1609.44421
855.90482,1609.44421
857.58073,1608.34115
859.25663,1607.2381
860.93254,1607.2381
862.60844,1607.2381
864.28435,1608.34115
865.96025,1609.44421
867.63616,1611.65032
869.31206,1612.75337
870.98797,1616.06254
872.66387,1618.26865
874.33978,1620.47476
876.01568,1621.57782
877.69159,1624.88698
879.36749,1627.09309
881.0434,1628.19615
881.0434,1628.19615
882.7193,1629.2992
882.7193,1629.2992
884.39521,1629.2992
884.39521,1629.2992
886.07111,1628.19615
886.07111,1628.19615
887.74702,1627.09309
887.74702,1627.09309
889.42292,1624.88698
889.42292,1625.99004
891.09883,1622.68087
891.09883,1624.88698
892.77473,1623.78393
892.77473,1621.57782
894.45064,1620.47476
894.45064,1622.68087
896.12654,1619.37171
896.12654,1621.57782
897.80245,1619.37171
897.80245,1621.57782
899.47835,1619.37171
899.47835,1621.57782
901.15426,1621.57782
901.15426,1619.37171
902.83016,1621.57782
902.83016,1619.37171
904.50607,1620.47476
904.50607,1622.68087
906.18197,1622.68087
906.18197,1620.47476
907.85788,1620.47476
907.85788,1622.68087
909.53378,1622.68087
909.53378,1620.47476
911.20969,1621.57782
911.20969,1622.68087
912.88559,1622.68087
912.88559,1621.57782
914.5615,1622.68087
914.5615,1623.78393
916.2374,1623.78393
916.2374,1624.88698
917.91331,1624.88698
917.91331,1624.88698
919.58921,1625.99004
919.58921,1625.99004
921.26512,1627.09309
921.26512,1627.09309
922.94102,1627.09309
922.94102,1627.09309
924.61693,1628.19615
924.61693,1628.19615
926.29283,1629.2992
926.29283,1629.2992
927.96874,1629.2992
927.96874,1629.2992
929.64464,1629.2992
929.64464,1629.2992
931.32055,1630.40226
931.32055,1630.40226
932.99645,1631.50531
932.99645,1631.50531
934.67235,1632.60837
934.67235,1632.60837
936.34826,1633.71142
936.34826,1633.71142
938.02416,1634.81448
938.02416,1634.81448
939.70007,1637.02059
939.70007,1637.02059
941.37597,1640.32975
941.37597,1640.32975
943.05188,1641.43281
943.05188,1641.43281
944.72778,1643.63892
944.72778,1643.63892
946.40369,1646.94808
946.40369,1646.94808
948.07959,1649.15419
948.07959,1648.05114
949.7555,1652.46336
949.7555,1650.25725
951.4314,1653.56642
951.4314,1651.3603
953.10731,1652.46336
953.10731,1655.77253
954.78321,1656.87558
954.78321,1653.56642
956.45912,1659.08169
958.13502,1660.18475
959.81093,1660.18475
961.48683,1661.2878
963.16274,1661.2878
964.83864,1663.49391
966.51455,1663.49391
968.19045,1665.70002
969.86636,1666.80308
971.54226,1667.90613
973.21817,1669.00919
974.89407,1667.90613
976.56998,1666.80308
978.24588,1665.70002
979.92179,1663.49391
981.59769,1661.2878
983.2736,1654.66947
983.2736,1660.18475
984.9495,1657.97864
984.9495,1653.56642
986.62541,1655.77253
986.62541,1652.46336
988.30131,1653.56642
988.30131,1651.3603
989.97722,1650.25725
989.97722,1651.3603
991.65312,1650.25725
991.65312,1650.25725
993.32903,1648.05114
993.32903,1648.05114
995.00493,1646.94808
995.00493,1646.94808
996.68084,1645.84503
996.68084,1645.84503
998.35674,1644.74197
998.35674,1644.74197
1000.03265,1644.74197
1000.03265,1644.74197
1001.70855,1644.74197
1001.70855,1644.74197
1003.38446,1645.84503
1003.38446,1645.84503
1005.06036,1648.05114
1005.06036,1648.05114
1006.73627,1648.05114
1006.73627,1650.25725
1008.41217,1652.46336
1008.41217,1649.15419
1010.08808,1651.3603
1010.08808,1655.77253
1011.76398,1652.46336
1011.76398,1657.97864
1013.43989,1661.2878
1013.43989,1654.66947
1015.11579,1663.49391
1016.79169,1665.70002
1018.4676,1669.00919
1020.1435,1670.11224
1021.81941,1672.31835
1023.49531,1675.62752
1025.17122,1677.83363
1026.84712,1680.03974
1028.52303,1683.3489
1030.19893,1685.55501
1031.87484,1689.96724
1033.55074,1694.37946
1035.22665,1698.79168
1036.90255,1702.10084
1038.57846,1707.61612
1040.25436,1712.02834
1041.93027,1716.44056
1043.60617,1721.95584
1045.28208,1724.16195
1046.95798,1727.47111
1048.63389,1729.67722
1050.30979,1731.88333
1051.9857,1732.98639
1060.36522,1734.08944
1062.04113,1730.78028
1063.71703,1726.36806
1065.39294,1723.05889
1067.06884,1719.74972
1068.74475,1716.44056
1070.42065,1709.82223
1072.09656,1703.2039
1073.77246,1697.68862
1075.44837,1691.07029
1077.12427,1685.55501
1078.80018,1678.93668
1080.47608,1674.52446
1082.15199,1671.2153
1083.82789,1666.80308
1085.5038,1663.49391
1085.5038,1654.66947
1087.1797,1653.56642
1087.1797,1659.08169
1088.85561,1652.46336
1088.85561,1655.77253
1090.53151,1654.66947
1090.53151,1651.3603
1092.20742,1651.3603
1092.20742,1652.46336
1093.88332,1651.3603
1093.88332,1651.3603
1095.55923,1651.3603
1095.55923,1651.3603
1097.23513,1651.3603
1098.91104,1652.46336
1100.58694,1653.56642
1102.26284,1653.56642
1103.93875,1652.46336
1105.61465,1651.3603
1107.29056,1649.15419
1108.96646,1646.94808
1110.64237,1645.84503
1112.31827,1641.43281
1113.99418,1638.12364
1115.67008,1633.71142
1117.34599,1630.40226
1119.02189,1625.99004
1120.6978,1621.57782
1122.3737,1618.26865
1124.04961,1614.95948
1125.72551,1610.54726
1127.40142,1607.2381
1129.07732,1602.82588
1130.75323,1599.51671
1132.42913,1597.3106
1134.10504,1595.10449
1135.78094,1592.89838
1137.45685,1591.79533
1139.13275,1591.79533
1140.80866,1591.79533
1142.48456,1592.89838
1144.16047,1594.00144
1145.83637,1595.10449
1147.51228,1596.20755
1149.18818,1597.3106
1150.86409,1599.51671
1152.53999,1601.72282
1154.2159,1602.82588
1155.8918,1605.03199
1157.56771,1606.13504
1159.24361,1608.34115
1160.91952,1609.44421
1162.59542,1609.44421
1164.27133,1609.44421
1165.94723,1608.34115
1167.62314,1606.13504
1169.29904,1603.92893
1170.97495,1601.72282
1172.65085,1600.61977
1174.32676,1599.51671
1176.00266,1598.41366
1177.67857,1597.3106
1179.35447,1597.3106
1181.03038,1597.3106
1182.70628,1598.41366
1184.38218,1600.61977
1186.05809,1601.72282
1187.73399,1603.92893
1189.4099,1606.13504
1191.0858,1608.34115
1192.76171,1610.54726
1194.43761,1612.75337
1196.11352,1614.95948
1197.78942,1616.06254
1199.46533,1618.26865
1201.14123,1619.37171
1202.81714,1619.37171
1204.49304,1618.26865
1206.16895,1617.16559
1207.84485,1614.95948
1209.52076,1613.85643
1211.19666,1611.65032
1212.87257,1611.65032
1214.54847,1610.54726
1216.22438,1609.44421
1217.90028,1609.44421
1219.57619,1609.44421
1221.25209,1608.34115
1222.928,1606.13504
1224.6039,1605.03199
1226.27981,1602.82588
1227.95571,1600.61977
1229.63162,1598.41366
1231.30752,1596.20755
1232.98343,1595.10449
1234.65933,1592.89838
1236.33524,1590.69227
1238.01114,1590.69227
1239.68705,1589.58922
1241.36295,1588.48616
1243.03886,1588.48616
1244.71476,1587.38311
1246.39067,1587.38311
1248.06657,1587.38311
1249.74248,1588.48616
1251.41838,1591.79533
1253.09429,1595.10449
1254.77019,1597.3106
1256.4461,1600.61977
1258.122,1606.13504
1259.79791,1608.34115
1261.47381,1611.65032
1263.14972,1614.95948
1264.82562,1617.16559
1266.50152,1618.26865
1268.17743,1618.26865
1269.85333,1618.26865
1271.52924,1619.37171
1273.20514,1619.37171
1274.88105,1620.47476
1276.55695,1621.57782
1276.55695,1621.57782
1278.23286,1622.68087
1278.23286,1622.68087
1279.90876,1623.78393
1279.90876,1623.78393
1281.58467,1623.78393
1281.58467,1623.78393
1283.26057,1623.78393
1283.26057,1623.78393
1284.93648,1622.68087
1284.93648,1622.68087
1286.61238,1621.57782
1286.61238,1621.57782
1288.28829,1620.47476
1288.28829,1620.47476
1289.96419,1620.47476
1289.96419,1620.47476
1291.6401,1621.57782
1291.6401,1621.57782
