Raman shift,Intensity
768.75777,1817.92163
768.75777,1811.3033
770.43367,1814.61247
770.43367,1820.12774
772.10958,1817.92163
772.10958,1821.2308
773.78548,1819.02469
773.78548,1822.33385
775.46139,1819.02469
775.46139,1823.43691
777.13729,1821.2308
777.13729,1824.53997
778.8132,1821.2308
778.8132,1825.64302
780.4891,1822.33385
780.4891,1825.64302
782.16501,1824.53997
783.84091,1824.53997
785.51682,1822.33385
785.51682,1824.53997
787.19272,1824.53997
787.19272,1822.33385
788.86863,1822.33385
788.86863,1824.53997
790.54453,1824.53997
790.54453,1821.2308
792.22044,1823.43691
792.22044,1820.12774
793.89634,1819.02469
793.89634,1823.43691
795.57225,1815.71552
795.57225,1820.12774
797.24815,1813.50941
797.24815,1819.02469
798.92406,1813.50941
798.92406,1816.81858
800.59996,1815.71552
800.59996,1810.20025
802.27587,1812.40636
802.27587,1809.09719
803.95177,1810.20025
803.95177,1806.89108
805.62768,1809.09719
805.62768,1805.78803
807.30358,1807.99414
807.30358,1804.68497
808.97949,1803.58192
808.97949,1806.89108
810.65539,1803.58192
810.65539,1806.89108
812.3313,1803.58192
812.3313,1805.78803
814.0072,1803.58192
814.0072,1805.78803
815.68311,1803.58192
815.68311,1806.89108
817.35901,1806.89108
817.35901,1804.68497
819.03492,1804.68497
819.03492,1807.99414
820.71082,1805.78803
820.71082,1809.09719
822.38673,1805.78803
822.38673,1810.20025
824.06263,1810.20025
825.73854,1811.3033
825.73854,1809.09719
827.41444,1813.50941
827.41444,1809.09719
829.09035,1810.20025
829.09035,1813.50941
830.76625,1814.61247
830.76625,1812.40636
832.44216,1812.40636
832.44216,1815.71552
834.11806,1815.71552
835.79397,1815.71552
835.79397,1813.50941
837.46987,1815.71552
837.46987,1813.50941
839.14578,1815.71552
839.14578,1813.50941
840.82168,1815.71552
840.82168,1813.50941
842.49759,1815.71552
842.49759,1813.50941
844.17349,1812.40636
844.17349,1815.71552
845.8494,1811.3033
845.8494,1815.71552
847.5253,1811.3033
847.5253,1814.61247
849.20121,1813.50941
849.20121,1810.20025
850.87711,1812.40636
850.87711,1809.09719
852.55301,1809.09719
852.55301,1812.40636
854.22892,1810.20025
854.22892,1812.40636
855.90482,1810.20025
855.90482,1812.40636
857.58073,1810.20025
859.25663,1814.61247
859.25663,1811.3033
860.93254,1812.40636
860.93254,1815.71552
862.60844,1813.50941
862.60844,1815.71552
864.28435,1813.50941
864.28435,1815.71552
865.96025,1815.71552
867.63616,1814.61247
869.31206,1814.61247
870.98797,1814.61247
872.66387,1813.50941
874.33978,1813.50941
876.01568,1813.50941
876.01568,1815.71552
877.69159,1813.50941
877.69159,1815.71552
879.36749,1816.81858
881.0434,1817.92163
882.7193,1814.61247
882.7193,1817.92163
884.39521,1814.61247
884.39521,1817.92163
886.07111,1817.92163
886.07111,1814.61247
887.74702,1814.61247
887.74702,1816.81858
889.42292,1812.40636
889.42292,1815.71552
891.09883,1814.61247
892.77473,1810.20025
892.77473,1813.50941
894.45064,1809.09719
894.45064,1813.50941
896.12654,1806.89108
896.12654,1811.3033
897.80245,1805.78803
897.80245,1810.20025
899.47835,1802.47886
899.47835,1807.99414
901.15426,1802.47886
901.15426,1805.78803
902.83016,1800.27275
902.83016,1804.68497
904.50607,1798.06664
904.50607,1802.47886
906.18197,1796.96359
906.18197,1800.27275
907.85788,1794.75748
907.85788,1799.1697
909.53378,1792.55137
911.20969,1792.55137
912.88559,1796.96359
912.88559,1790.34526
912.88559,1793.65442
914.5615,1791.44831
916.2374,1794.75748
916.2374,1791.44831
916.2374,1798.06664
917.91331,1793.65442
917.91331,1799.1697
919.58921,1800.27275
919.58921,1795.86053
921.26512,1799.1697
921.26512,1803.58192
922.94102,1800.27275
922.94102,1805.78803
924.61693,1802.47886
924.61693,1807.99414
926.29283,1804.68497
926.29283,1812.40636
