Raman shift,Intensity
755.67159,900.72809
757.73905,902.14424
759.80651,904.97653
761.87398,907.10076
763.94144,909.22498
766.0089,911.3492
768.07636,913.47342
770.14383,915.59764
772.21129,917.01378
774.27875,917.72186
776.34621,920.55415
778.41368,923.38645
780.48114,924.80259
782.5486,928.34296
784.61606,930.46718
786.68353,934.00755
788.75099,934.00755
790.81845,933.29948
792.88591,930.46718
794.95338,928.34296
797.02084,925.51067
799.0883,922.67837
801.15576,919.84608
803.22323,917.01378
805.29069,913.47342
807.35815,909.93305
809.42561,907.10076
811.49308,902.85231
813.56054,900.72809
815.628,898.60387
817.69546,896.47965
819.76293,897.18773
819.76293,887.98277
819.76293,887.2747
819.76293,886.56662
819.76293,885.85855
821.83039,900.02002
821.83039,888.69084
823.89785,890.81506
823.89785,894.35543
823.89785,903.56039
823.89785,889.39892
823.89785,890.10699
825.96531,904.26846
825.96531,897.8958
825.96531,895.77158
825.96531,906.39268
825.96531,918.42993
825.96531,919.138
825.96531,892.23121
825.96531,892.93929
825.96531,893.64736
825.96531,891.52314
825.96531,895.06351
825.96531,900.72809
825.96531,896.47965
825.96531,897.18773
828.03278,902.14424
828.03278,898.60387
828.03278,899.31195
828.03278,900.02002
828.03278,910.64112
828.03278,901.43617
828.03278,902.85231
828.03278,903.56039
828.03278,904.97653
828.03278,905.68461
828.03278,906.39268
828.03278,910.64112
828.03278,907.80883
828.03278,919.84608
828.03278,908.5169
828.03278,909.22498
828.03278,917.72186
830.10024,907.10076
830.10024,909.93305
830.10024,912.76534
830.10024,919.84608
830.10024,912.05727
830.10024,917.01378
830.10024,913.47342
830.10024,911.3492
830.10024,914.18149
832.1677,917.01378
832.1677,919.84608
832.1677,915.59764
832.1677,916.30571
832.1677,914.18149
832.1677,914.88956
834.23516,921.26223
834.23516,919.84608
836.30262,920.55415
836.30262,919.84608
836.30262,924.09452
838.37009,925.51067
838.37009,921.26223
838.37009,921.9703
840.43755,922.67837
840.43755,927.63489
840.43755,921.9703
840.43755,931.88333
840.43755,932.5914
842.50501,933.29948
842.50501,934.00755
842.50501,931.17525
842.50501,929.75911
842.50501,934.71562
842.50501,929.05103
842.50501,922.67837
842.50501,923.38645
842.50501,924.09452
842.50501,925.51067
842.50501,924.80259
844.57247,931.17525
844.57247,926.21874
844.57247,926.92681
844.57247,927.63489
844.57247,935.4237
844.57247,929.05103
844.57247,930.46718
844.57247,934.71562
846.63994,928.34296
846.63994,936.13177
846.63994,932.5914
848.7074,937.54792
848.7074,936.83984
848.7074,938.96406
848.7074,934.00755
850.77486,935.4237
850.77486,938.25599
852.84232,936.13177
854.90979,936.13177
856.97725,935.4237
859.04471,935.4237
861.11217,935.4237
863.17964,936.13177
869.38202,941.08828
869.38202,940.38021
871.44949,936.83984
871.44949,937.54792
871.44949,939.67214
873.51695,936.83984
873.51695,938.96406
873.51695,938.25599
875.58441,936.83984
877.65187,936.13177
879.71934,934.00755
879.71934,935.4237
879.71934,934.71562
881.7868,921.9703
881.7868,934.00755
883.85426,931.17525
883.85426,917.01378
883.85426,932.5914
883.85426,933.29948
883.85426,931.88333
883.85426,914.18149
883.85426,921.26223
883.85426,916.30571
883.85426,922.67837
883.85426,917.72186
883.85426,918.42993
883.85426,914.88956
883.85426,919.138
885.92172,912.76534
885.92172,923.38645
885.92172,930.46718
885.92172,929.05103
885.92172,915.59764
885.92172,919.84608
885.92172,920.55415
885.92172,913.47342
885.92172,924.80259
887.98919,912.05727
887.98919,927.63489
887.98919,925.51067
887.98919,924.09452
887.98919,929.75911
887.98919,919.138
887.98919,928.34296
