Raman shift,Intensity
762.87479,1872.67195
765.08702,1872.67195
767.29926,1872.67195
769.51149,1873.45286
771.72373,1873.45286
773.93596,1873.45286
776.1482,1873.45286
778.36044,1873.45286
780.57267,1873.45286
782.78491,1874.23378
784.99714,1874.23378
787.20938,1874.23378
789.42161,1874.23378
791.63385,1874.23378
793.84609,1874.23378
796.05832,1874.23378
798.27056,1874.23378
800.48279,1874.23378
802.69503,1874.23378
804.90726,1874.23378
807.1195,1874.23378
809.33173,1874.23378
811.54397,1874.23378
813.75621,1874.23378
815.96844,1874.23378
818.18068,1874.23378
820.39291,1874.23378
822.60515,1874.23378
824.81738,1874.23378
827.02962,1874.23378
829.24186,1874.23378
831.45409,1874.23378
833.66633,1874.23378
835.87856,1874.23378
838.0908,1874.23378
840.30303,1874.23378
842.51527,1874.23378
844.72751,1874.23378
846.93974,1874.23378
849.15198,1874.23378
851.36421,1874.23378
853.57645,1874.23378
855.78868,1874.23378
858.00092,1874.23378
860.21315,1874.23378
862.42539,1874.23378
864.63763,1874.23378
866.84986,1874.23378
869.0621,1874.23378
871.27433,1874.23378
873.48657,1874.23378
875.6988,1874.23378
877.91104,1874.23378
880.12328,1873.45286
882.33551,1872.67195
884.54775,1871.89104
886.75998,1871.11013
888.97222,1871.11013
891.18445,1871.11013
893.39669,1871.11013
895.60892,1871.89104
897.82116,1871.89104
900.0334,1871.89104
902.24563,1871.89104
904.45787,1871.89104
906.6701,1871.89104
908.88234,1871.89104
911.09457,1872.67195
913.30681,1871.89104
915.51905,1871.89104
917.73128,1871.89104
919.94352,1871.89104
922.15575,1871.89104
924.36799,1871.89104
926.58022,1871.89104
928.79246,1872.67195
931.0047,1872.67195
933.21693,1872.67195
935.42917,1872.67195
937.6414,1872.67195
939.85364,1872.67195
942.06587,1872.67195
944.27811,1873.45286
946.49034,1873.45286
946.49034,1874.23378
946.49034,1875.01469
946.49034,1875.7956
946.49034,1876.57652
946.49034,1877.35743
948.70258,1877.35743
948.70258,1878.13834
950.91482,1878.13834
953.12705,1878.13834
953.12705,1882.82382
955.33929,1878.13834
955.33929,1883.60473
955.33929,1884.38564
955.33929,1882.0429
957.55152,1887.50929
957.55152,1881.26199
957.55152,1888.29021
957.55152,1889.07112
957.55152,1889.85203
957.55152,1878.13834
957.55152,1885.16656
957.55152,1885.94747
957.55152,1886.72838
957.55152,1890.63295
959.76376,1879.70017
959.76376,1878.91925
959.76376,1878.13834
959.76376,1880.48108
959.76376,1891.41386
959.76376,1892.19477
959.76376,1892.97568
959.76376,1895.31842
959.76376,1894.53751
959.76376,1896.09934
961.97599,1893.7566
961.97599,1896.88025
961.97599,1897.66116
961.97599,1898.44207
961.97599,1899.22299
961.97599,1900.0039
961.97599,1900.78481
961.97599,1901.56572
961.97599,1902.34664
964.18823,1903.12755
964.18823,1903.90846
964.18823,1904.68938
964.18823,1905.47029
964.18823,1906.2512
964.18823,1907.03211
964.18823,1907.81303
964.18823,1908.59394
966.40047,1909.37485
966.40047,1910.15577
966.40047,1910.93668
966.40047,1911.71759
966.40047,1912.4985
966.40047,1913.27942
966.40047,1914.06033
966.40047,1914.84124
968.6127,1915.62215
968.6127,1916.40307
968.6127,1917.18398
968.6127,1917.96489
968.6127,1921.86946
968.6127,1919.52672
968.6127,1920.30763
968.6127,1921.08854
970.82494,1918.74581
970.82494,1922.65037
970.82494,1923.43128
970.82494,1924.2122
970.82494,1924.99311
970.82494,1925.77402
970.82494,1930.4595
970.82494,1927.33585
970.82494,1928.11676
970.82494,1928.89767
970.82494,1929.67859
973.03717,1926.55493
973.03717,1931.24041
973.03717,1932.02132
973.03717,1932.80224
973.03717,1933.58315
973.03717,1934.36406
973.03717,1937.48771
973.03717,1935.92589
973.03717,1936.7068
973.03717,1939.04954
973.03717,1938.26863
975.24941,1935.14497
975.24941,1939.83045
975.24941,1940.61136
975.24941,1941.39228
975.24941,1942.17319
975.24941,1946.07775
975.24941,1945.29684
975.24941,1944.51593
975.24941,1943.73502
977.46164,1942.9541
977.46164,1946.85867
977.46164,1947.63958
977.46164,1948.42049
977.46164,1949.2014
977.46164,1949.98232
977.46164,1950.76323
977.46164,1951.54414
977.46164,1952.32506
979.67388,1953.10597
979.67388,1953.88688
979.67388,1954.66779
979.67388,1955.44871
979.67388,1958.57236
979.67388,1957.01053
979.67388,1957.79145
979.67388,1959.35327
981.88611,1956.22962
981.88611,1960.13418
981.88611,1960.9151
981.88611,1961.69601
981.88611,1962.47692
981.88611,1963.25784
981.88611,1964.03875
981.88611,1964.81966
981.88611,1965.60057
984.09835,1966.38149
984.09835,1967.1624
984.09835,1967.94331
984.09835,1970.28605
984.09835,1969.50514
986.31059,1968.72422
986.31059,1971.06696
986.31059,1971.84788
986.31059,1972.62879
986.31059,1973.4097
986.31059,1974.19061
988.52282,1974.97153
990.73506,1974.97153
992.94729,1974.97153
995.15953,1975.75244
995.15953,1976.53335
995.15953,1977.31427
995.15953,1978.09518
997.37176,1978.09518
