Raman shift,Intensity
760.65504,606.3531
762.20938,606.3531
763.76372,607.70945
765.31805,609.0658
766.87239,610.42214
768.42673,611.77849
769.98107,611.77849
771.53541,611.77849
773.08975,611.77849
774.64409,613.13484
776.19843,613.13484
777.75277,611.77849
779.3071,611.77849
780.86144,610.42214
782.41578,609.0658
783.97012,610.42214
785.52446,610.42214
787.0788,609.0658
788.63314,609.0658
790.18748,610.42214
791.74181,609.0658
793.29615,607.70945
794.85049,609.0658
796.40483,609.0658
797.95917,609.0658
799.51351,610.42214
801.06785,610.42214
802.62219,609.0658
804.17652,607.70945
805.73086,606.3531
807.2852,604.99675
808.83954,604.99675
810.39388,604.99675
811.94822,606.3531
813.50256,607.70945
813.50256,606.3531
815.0569,609.0658
815.0569,607.70945
816.61123,609.0658
816.61123,610.42214
816.61123,613.13484
816.61123,614.49119
816.61123,615.84754
816.61123,611.77849
818.16557,617.20388
818.16557,615.84754
819.71991,618.56023
819.71991,619.91658
819.71991,621.27293
819.71991,617.20388
821.27425,622.62927
821.27425,621.27293
822.82859,623.98562
822.82859,625.34197
822.82859,622.62927
824.38293,625.34197
825.93727,625.34197
827.49161,625.34197
827.49161,628.05467
827.49161,626.69832
829.04594,629.41101
829.04594,628.05467
830.60028,629.41101
832.15462,630.76736
832.15462,632.12371
832.15462,633.48006
832.15462,634.8364
832.15462,636.19275
832.15462,629.41101
833.70896,636.19275
835.2633,637.5491
835.2633,636.19275
836.81764,638.90545
836.81764,640.2618
836.81764,637.5491
838.37198,641.61814
838.37198,642.97449
838.37198,644.33084
838.37198,645.68719
838.37198,640.2618
839.92632,648.39988
839.92632,649.75623
839.92632,651.11258
839.92632,652.46892
839.92632,653.82527
839.92632,647.04353
841.48066,655.18162
841.48066,656.53797
841.48066,653.82527
843.03499,656.53797
843.03499,657.89432
844.58933,657.89432
846.14367,657.89432
847.69801,657.89432
849.25235,657.89432
850.80669,657.89432
852.36103,659.25066
852.36103,657.89432
853.91537,664.67605
853.91537,659.25066
853.91537,660.60701
853.91537,661.96336
853.91537,663.31971
853.91537,666.0324
855.4697,667.38875
857.02404,667.38875
858.57838,666.0324
860.13272,664.67605
861.68706,663.31971
863.2414,661.96336
864.79574,661.96336
866.35008,663.31971
867.90441,663.31971
867.90441,664.67605
869.45875,663.31971
871.01309,663.31971
872.56743,661.96336
874.12177,660.60701
875.67611,659.25066
877.23045,657.89432
878.78479,657.89432
880.33912,657.89432
881.89346,659.25066
883.4478,666.0324
883.4478,659.25066
883.4478,660.60701
883.4478,661.96336
883.4478,663.31971
883.4478,664.67605
885.00214,666.0324
886.55648,666.0324
888.11082,666.0324
889.66516,670.10145
889.66516,666.0324
891.2195,667.38875
891.2195,668.7451
891.2195,671.45779
892.77384,672.81414
894.32817,679.59588
894.32817,674.17049
894.32817,675.52684
894.32817,676.88318
894.32817,678.23953
895.88251,683.66492
895.88251,680.95223
895.88251,682.30858
897.43685,686.37762
897.43685,685.02127
898.99119,705.36649
898.99119,687.73397
898.99119,689.09031
898.99119,690.44666
898.99119,691.80301
898.99119,704.01014
898.99119,699.9411
898.99119,698.58475
898.99119,697.2284
900.54553,695.87205
900.54553,694.51571
900.54553,701.29744
900.54553,702.65379
900.54553,693.15936
900.54553,729.78075
900.54553,706.72283
900.54553,728.4244
900.54553,731.13709
902.09987,708.07918
902.09987,720.28631
902.09987,727.06805
902.09987,709.43553
902.09987,732.49344
903.65421,717.57362
903.65421,712.14823
903.65421,718.92996
903.65421,721.64266
903.65421,716.21727
903.65421,743.34422
903.65421,744.70057
903.65421,746.05692
903.65421,710.79188
903.65421,725.7117
903.65421,750.12596
903.65421,748.76962
903.65421,733.84979
903.65421,740.63153
903.65421,739.27518
903.65421,741.98788
905.20855,736.56249
905.20855,735.20614
905.20855,737.91883
905.20855,714.86092
905.20855,713.50457
905.20855,751.48231
905.20855,747.41327
905.20855,722.99901
905.20855,724.35536
905.20855,756.9077
905.20855,752.83866
905.20855,754.19501
905.20855,758.26405
906.76288,762.33309
906.76288,755.55135
906.76288,759.6204
906.76288,760.97674
908.31722,763.68944
909.87156,767.75848
909.87156,765.04579
911.4259,766.40214
911.4259,785.391
911.4259,769.11483
911.4259,770.47118
911.4259,782.67831
912.98024,773.18387
912.98024,792.17274
912.98024,771.82753
912.98024,789.46005
912.98024,788.1037
912.98024,786.74735
912.98024,781.32196
912.98024,790.8164
912.98024,784.03466
912.98024,796.24179
912.98024,794.88544
914.53458,779.96561
914.53458,797.59813
914.53458,801.66718
914.53458,798.95448
914.53458,793.52909
914.53458,774.54022
914.53458,775.89657
914.53458,800.31083
916.08892,777.25292
916.08892,778.60927
916.08892,803.02353
917.64326,804.37987
917.64326,805.73622
917.64326,807.09257
919.19759,812.51796
919.19759,808.44892
919.19759,809.80526
919.19759,811.16161
919.19759,813.87431
