Raman shift,Intensity
753.60413,1055.79619
755.67159,1055.79619
757.73905,1055.79619
759.80651,1055.79619
761.87398,1056.50427
763.94144,1057.21234
766.0089,1057.21234
768.07636,1057.92041
770.14383,1057.92041
772.21129,1057.92041
774.27875,1057.92041
776.34621,1057.21234
778.41368,1056.50427
780.48114,1055.79619
782.5486,1055.08812
784.61606,1055.08812
786.68353,1055.08812
788.75099,1055.08812
790.81845,1055.08812
792.88591,1055.08812
794.95338,1054.38005
797.02084,1054.38005
799.0883,1054.38005
801.15576,1054.38005
803.22323,1054.38005
805.29069,1054.38005
807.35815,1054.38005
809.42561,1054.38005
811.49308,1054.38005
813.56054,1054.38005
815.628,1054.38005
817.69546,1054.38005
819.76293,1054.38005
821.83039,1054.38005
823.89785,1054.38005
825.96531,1054.38005
828.03278,1054.38005
830.10024,1054.38005
832.1677,1054.38005
834.23516,1054.38005
836.30262,1054.38005
838.37009,1054.38005
840.43755,1054.38005
842.50501,1054.38005
844.57247,1054.38005
846.63994,1053.67197
848.7074,1053.67197
850.77486,1053.67197
852.84232,1053.67197
854.90979,1053.67197
856.97725,1053.67197
859.04471,1053.67197
861.11217,1053.67197
863.17964,1053.67197
865.2471,1053.67197
867.31456,1053.67197
869.38202,1053.67197
871.44949,1053.67197
873.51695,1053.67197
875.58441,1053.67197
877.65187,1053.67197
879.71934,1053.67197
881.7868,1053.67197
883.85426,1053.67197
885.92172,1053.67197
887.98919,1053.67197
890.05665,1053.67197
892.12411,1053.67197
894.19157,1053.67197
896.25904,1053.67197
898.3265,1054.38005
900.39396,1055.08812
902.46142,1055.79619
904.52889,1056.50427
906.59635,1056.50427
908.66381,1055.79619
910.73127,1055.79619
912.79874,1056.50427
914.8662,1056.50427
916.93366,1056.50427
919.00112,1056.50427
921.06859,1056.50427
923.13605,1056.50427
925.20351,1056.50427
927.27097,1056.50427
929.33844,1056.50427
931.4059,1056.50427
933.47336,1056.50427
935.54082,1056.50427
937.60829,1056.50427
939.67575,1057.21234
941.74321,1057.21234
943.81067,1057.21234
945.87814,1057.21234
947.9456,1057.21234
950.01306,1057.21234
952.08052,1056.50427
954.14799,1057.21234
956.21545,1057.21234
958.28291,1057.21234
960.35037,1057.21234
962.41784,1057.21234
964.4853,1057.21234
966.55276,1057.92041
968.62022,1057.92041
970.68769,1057.21234
972.75515,1057.92041
974.82261,1057.92041
976.89007,1057.92041
978.95754,1057.92041
981.025,1057.92041
983.09246,1058.62849
985.15992,1058.62849
987.22739,1057.92041
989.29485,1057.21234
991.36231,1057.21234
991.36231,1056.50427
993.42977,1057.21234
995.49724,1057.92041
995.49724,1057.21234
997.5647,1057.92041
999.63216,1058.62849
999.63216,1059.33656
999.63216,1060.04463
999.63216,1057.92041
1001.69962,1060.04463
1003.76709,1060.75271
1003.76709,1060.04463
1003.76709,1062.16885
1003.76709,1061.46078
1003.76709,1062.87693
1005.83455,1063.585
1005.83455,1062.87693
1007.90201,1063.585
1009.96947,1063.585
1012.03694,1063.585
1014.1044,1063.585
1016.17186,1064.29307
1016.17186,1063.585
1018.23932,1065.70922
1018.23932,1066.4173
1018.23932,1065.00115
1018.23932,1077.74647
1018.23932,1078.45455
1018.23932,1079.16262
1020.30679,1069.95766
1020.30679,1070.66574
1020.30679,1079.87069
1020.30679,1069.24959
1020.30679,1068.54152
1020.30679,1067.83344
1020.30679,1077.0384
1020.30679,1084.11913
1020.30679,1067.12537
1020.30679,1083.41106
1020.30679,1082.70299
1020.30679,1080.57877
1020.30679,1081.28684
1022.37425,1087.6595
1022.37425,1071.37381
1022.37425,1072.08188
1022.37425,1086.95143
1022.37425,1081.99491
1022.37425,1089.07565
1022.37425,1076.33032
1022.37425,1088.36757
1022.37425,1084.82721
1022.37425,1085.53528
1022.37425,1086.24335
1022.37425,1089.78372
1024.44171,1072.78996
1024.44171,1093.32409
1024.44171,1092.61602
1024.44171,1073.49803
1024.44171,1090.49179
1024.44171,1091.19987
1024.44171,1075.62225
1026.50917,1074.2061
1026.50917,1074.91418
1026.50917,1091.90794
1026.50917,1094.74024
1026.50917,1095.44831
1026.50917,1094.03216
1026.50917,1096.86446
1026.50917,1097.57253
1026.50917,1098.2806
1028.57663,1098.98868
1028.57663,1099.69675
1028.57663,1100.40482
1028.57663,1101.1129
1028.57663,1101.82097
1028.57663,1102.52904
1028.57663,1103.23712
1028.57663,1103.94519
1028.57663,1104.65327
1028.57663,1105.36134
1028.57663,1096.15638
1030.6441,1106.77749
1030.6441,1107.48556
1030.6441,1108.19363
1030.6441,1108.90171
1030.6441,1109.60978
1030.6441,1110.31785
1030.6441,1111.02593
1030.6441,1111.734
1030.6441,1112.44207
1030.6441,1106.06941
1032.71156,1113.15015
1032.71156,1114.56629
1032.71156,1113.85822
1032.71156,1115.98244
1032.71156,1116.69051
1032.71156,1117.39859
1034.77902,1118.10666
1034.77902,1118.81474
1034.77902,1119.52281
1034.77902,1120.23088
1034.77902,1123.77125
1034.77902,1121.64703
1034.77902,1122.3551
1034.77902,1123.06318
1034.77902,1115.27437
1036.84648,1120.93896
1036.84648,1125.1874
1036.84648,1125.89547
1036.84648,1126.60354
1036.84648,1127.31162
1036.84648,1128.01969
1036.84648,1128.72776
1036.84648,1129.43584
1036.84648,1130.14391
1036.84648,1130.85198
1036.84648,1124.47932
1038.91395,1132.26813
1038.91395,1132.97621
1038.91395,1134.39235
1038.91395,1131.56006
1038.91395,1135.10043
1038.91395,1135.8085
1040.98141,1136.51657
1040.98141,1137.22465
1040.98141,1137.93272
1040.98141,1138.64079
1040.98141,1139.34887
1040.98141,1140.05694
1040.98141,1133.68428
1043.04887,1141.47309
1043.04887,1142.18116
1043.04887,1140.76501
1043.04887,1143.59731
1043.04887,1144.30538
1043.04887,1145.01346
1045.11633,1145.72153
1045.11633,1146.4296
1045.11633,1147.13768
1045.11633,1147.84575
1045.11633,1148.55382
1045.11633,1149.2619
1045.11633,1149.96997
1045.11633,1142.88923
1047.1838,1151.38612
1047.1838,1152.09419
1047.1838,1152.80226
1047.1838,1150.67804
1049.25126,1153.51034
1051.31872,1154.21841
1051.31872,1153.51034
1053.38618,1154.92648
1053.38618,1154.21841
1055.45365,1156.34263
1055.45365,1155.63456
1057.52111,1157.0507
1057.52111,1156.34263
1059.58857,1157.0507
1059.58857,1157.75878
1061.65603,1157.75878
1061.65603,1158.46685
1061.65603,1157.0507
1063.7235,1156.34263
1063.7235,1155.63456
1063.7235,1154.92648
1063.7235,1154.21841
1063.7235,1158.46685
1065.79096,1153.51034
1067.85842,1152.80226
1067.85842,1149.96997
1069.92588,1149.2619
1069.92588,1150.67804
1069.92588,1152.09419
1071.99335,1148.55382
1071.99335,1147.84575
1071.99335,1151.38612
1071.99335,1145.01346
1071.99335,1145.72153
1074.06081,1146.4296
1074.06081,1144.30538
1074.06081,1143.59731
1074.06081,1142.88923
1074.06081,1142.18116
1074.06081,1141.47309
1074.06081,1137.93272
1074.06081,1147.13768
1076.12827,1140.05694
1076.12827,1138.64079
1076.12827,1140.76501
1076.12827,1137.22465
1076.12827,1136.51657
1076.12827,1135.8085
1076.12827,1139.34887
1078.19573,1134.39235
1078.19573,1133.68428
1078.19573,1132.97621
1078.19573,1132.26813
1078.19573,1131.56006
1078.19573,1130.85198
1078.19573,1130.14391
1078.19573,1135.10043
1080.2632,1128.72776
1080.2632,1128.01969
1080.2632,1127.31162
1080.2632,1126.60354
1080.2632,1125.89547
1080.2632,1125.1874
1080.2632,1124.47932
1080.2632,1123.77125
1080.2632,1129.43584
1080.2632,1119.52281
1082.33066,1122.3551
1082.33066,1120.93896
1082.33066,1120.23088
1082.33066,1121.64703
1082.33066,1118.81474
1082.33066,1118.10666
1082.33066,1117.39859
1082.33066,1113.85822
1082.33066,1123.06318
1084.39812,1115.27437
1084.39812,1114.56629
1084.39812,1116.69051
1084.39812,1113.15015
1084.39812,1112.44207
1084.39812,1111.734
1084.39812,1115.98244
1086.46558,1110.31785
1086.46558,1109.60978
1086.46558,1108.90171
1086.46558,1108.19363
1086.46558,1107.48556
1086.46558,1106.77749
1086.46558,1106.06941
1086.46558,1102.52904
1086.46558,1111.02593
1088.53305,1104.65327
1088.53305,1103.23712
1088.53305,1105.36134
1088.53305,1101.82097
1088.53305,1101.1129
1088.53305,1103.94519
1088.53305,1100.40482
1090.60051,1098.98868
1090.60051,1098.2806
1090.60051,1097.57253
1090.60051,1099.69675
1090.60051,1096.15638
1090.60051,1095.44831
1092.66797,1094.74024
1092.66797,1094.03216
1092.66797,1096.86446
1092.66797,1092.61602
1092.66797,1093.32409
1092.66797,1091.19987
1092.66797,1090.49179
1092.66797,1086.95143
1094.73543,1089.07565
1094.73543,1088.36757
1094.73543,1087.6595
1094.73543,1089.78372
1094.73543,1086.24335
1094.73543,1085.53528
1094.73543,1084.82721
1094.73543,1084.11913
1094.73543,1083.41106
1094.73543,1082.70299
1094.73543,1091.90794
1094.73543,1079.87069
1096.8029,1080.57877
1096.8029,1081.28684
1096.8029,1079.16262
1096.8029,1081.99491
1098.87036,1065.70922
1098.87036,1078.45455
1098.87036,1075.62225
1098.87036,1065.00115
1100.93782,1074.91418
1100.93782,1065.00115
1100.93782,1076.33032
1100.93782,1077.74647
1100.93782,1072.08188
1100.93782,1077.0384
1100.93782,1064.29307
1100.93782,1066.4173
1103.00528,1069.24959
1103.00528,1070.66574
1103.00528,1064.29307
1103.00528,1071.37381
1103.00528,1069.95766
1103.00528,1072.78996
1103.00528,1073.49803
1103.00528,1074.2061
1103.00528,1062.87693
1103.00528,1063.585
1103.00528,1067.12537
1105.07275,1067.83344
1105.07275,1062.16885
1105.07275,1068.54152
1107.14021,1061.46078
1107.14021,1060.75271
1107.14021,1060.04463
1109.20767,1060.04463
1109.20767,1059.33656
1111.27513,1059.33656
1113.3426,1059.33656
1115.41006,1059.33656
1117.47752,1059.33656
1119.54498,1058.62849
1119.54498,1059.33656
1119.54498,1057.21234
1119.54498,1056.50427
1119.54498,1055.79619
1119.54498,1057.92041
1121.61245,1055.79619
1123.67991,1055.08812
1125.74737,1055.08812
1127.81483,1055.08812
1129.8823,1054.38005
1131.94976,1054.38005
1134.01722,1054.38005
1136.08468,1054.38005
1138.15215,1054.38005
1140.21961,1054.38005
1142.28707,1054.38005
1144.35453,1054.38005
1146.422,1054.38005
1148.48946,1054.38005
1150.55692,1054.38005
1152.62438,1053.67197
1154.69185,1053.67197
1156.75931,1053.67197
1158.82677,1053.67197
1160.89423,1053.67197
1162.9617,1053.67197
1165.02916,1054.38005
1167.09662,1055.08812
1169.16408,1055.79619
1171.23155,1056.50427
1173.29901,1056.50427
1175.36647,1056.50427
1177.43393,1056.50427
1179.5014,1056.50427
1181.56886,1056.50427
1183.63632,1056.50427
1185.70378,1056.50427
1187.77125,1056.50427
1189.83871,1056.50427
1191.90617,1056.50427
1193.97363,1056.50427
1196.0411,1056.50427
1198.10856,1056.50427
1200.17602,1056.50427
1202.24348,1056.50427
1204.31095,1056.50427
1206.37841,1056.50427
1208.44587,1056.50427
1210.51333,1056.50427
1212.5808,1056.50427
1214.64826,1056.50427
1216.71572,1056.50427
1218.78318,1056.50427
1220.85064,1056.50427
1222.91811,1056.50427
1224.98557,1056.50427
1227.05303,1056.50427
1229.12049,1056.50427
1231.18796,1056.50427
1233.25542,1056.50427
1235.32288,1056.50427
1237.39034,1056.50427
1239.45781,1056.50427
1241.52527,1056.50427
1243.59273,1056.50427
1245.66019,1056.50427
1247.72766,1056.50427
1249.79512,1056.50427
1251.86258,1056.50427
1253.93004,1056.50427
1255.99751,1056.50427
1258.06497,1056.50427
1260.13243,1056.50427
1262.19989,1056.50427
1264.26736,1056.50427
1266.33482,1056.50427
1268.40228,1056.50427
1270.46974,1056.50427
1272.53721,1056.50427
1274.60467,1056.50427
1276.67213,1056.50427
1278.73959,1056.50427
1280.80706,1056.50427
1282.87452,1056.50427
1284.94198,1056.50427
1287.00944,1056.50427
1289.07691,1056.50427
1291.14437,1056.50427
1293.21183,1056.50427
1295.27929,1056.50427
1297.34676,1056.50427
1299.41422,1056.50427
1301.48168,1056.50427
1303.54914,1056.50427
1305.61661,1056.50427
1307.68407,1056.50427
1309.75153,1056.50427
1311.81899,1056.50427
1313.88646,1056.50427
1315.95392,1056.50427
1318.02138,1056.50427
1320.08884,1056.50427
1322.15631,1056.50427
1324.22377,1056.50427
1326.29123,1057.21234
1328.35869,1057.21234
1330.42616,1057.21234
1332.49362,1057.21234
1334.56108,1057.21234
1336.62854,1057.21234
1338.69601,1056.50427
1340.76347,1057.21234
1342.83093,1057.21234
1344.89839,1057.21234
1346.96586,1057.21234
1349.03332,1057.21234
1351.10078,1057.21234
1353.16824,1057.21234
1355.23571,1057.92041
1357.30317,1057.92041
1359.37063,1057.92041
1361.43809,1057.21234
1363.50556,1057.92041
1365.57302,1057.92041
1367.64048,1057.92041
1369.70794,1057.92041
1371.77541,1057.92041
1373.84287,1057.92041
1375.91033,1057.21234
1377.97779,1056.50427
1380.04526,1057.21234
1380.04526,1056.50427
1382.11272,1057.21234
1384.18018,1057.21234
1384.18018,1057.92041
1386.24764,1057.92041
1388.31511,1058.62849
1388.31511,1057.92041
1390.38257,1059.33656
1390.38257,1058.62849
1392.45003,1060.04463
1392.45003,1060.75271
1392.45003,1061.46078
1392.45003,1062.16885
1392.45003,1062.87693
1392.45003,1059.33656
1394.51749,1063.585
1394.51749,1062.87693
1396.58496,1064.29307
1396.58496,1063.585
1398.65242,1064.29307
1400.71988,1065.00115
1400.71988,1065.70922
1400.71988,1066.4173
1400.71988,1064.29307
1402.78734,1066.4173
1404.85481,1066.4173
1406.92227,1067.12537
1406.92227,1067.83344
1406.92227,1066.4173
1408.98973,1067.83344
1411.05719,1067.83344
1413.12465,1068.54152
1413.12465,1067.83344
1415.19212,1068.54152
1417.25958,1069.24959
1417.25958,1068.54152
1417.25958,1070.66574
1417.25958,1071.37381
1417.25958,1072.08188
1417.25958,1072.78996
1417.25958,1069.95766
1419.32704,1073.49803
1421.3945,1073.49803
1423.46197,1072.78996
1425.52943,1072.08188
1427.59689,1072.08188
1429.66435,1072.78996
1431.73182,1073.49803
1433.79928,1072.78996
