Raman shift,Intensity
756.5672,725.15558
756.5672,726.47609
758.71479,723.83507
760.86239,723.83507
763.00999,719.87354
763.00999,722.51456
763.00999,721.19405
765.15758,718.55303
767.30518,718.55303
769.45278,717.23252
771.60037,717.23252
773.74797,717.23252
775.89557,715.91201
778.04316,715.91201
780.19076,717.23252
782.33836,718.55303
784.48595,719.87354
786.63355,719.87354
788.78115,719.87354
790.92874,719.87354
793.07634,719.87354
795.22394,719.87354
797.37153,719.87354
799.51913,719.87354
801.66673,719.87354
803.81433,719.87354
805.96192,719.87354
808.10952,721.19405
810.25712,721.19405
812.40471,721.19405
814.55231,721.19405
816.69991,721.19405
818.8475,721.19405
820.9951,721.19405
823.1427,721.19405
825.29029,719.87354
827.43789,719.87354
829.58549,718.55303
831.73308,718.55303
833.88068,719.87354
836.02828,719.87354
838.17587,719.87354
840.32347,719.87354
842.47107,719.87354
844.61866,718.55303
846.76626,718.55303
848.91386,718.55303
851.06145,718.55303
853.20905,717.23252
855.35665,715.91201
857.50424,714.5915
859.65184,714.5915
861.79944,714.5915
863.94703,714.5915
866.09463,714.5915
868.24223,714.5915
870.38982,715.91201
872.53742,717.23252
874.68502,718.55303
876.83261,719.87354
878.98021,719.87354
881.12781,719.87354
883.2754,719.87354
885.423,719.87354
887.5706,719.87354
889.71819,719.87354
891.86579,719.87354
894.01339,719.87354
896.16098,719.87354
898.30858,719.87354
900.45618,719.87354
902.60377,719.87354
904.75137,721.19405
906.89897,721.19405
909.04656,721.19405
911.19416,721.19405
913.34176,722.51456
915.48935,721.19405
917.63695,719.87354
919.78455,719.87354
921.93214,719.87354
924.07974,719.87354
926.22734,719.87354
928.37493,721.19405
928.37493,719.87354
930.52253,721.19405
932.67013,722.51456
932.67013,721.19405
934.81772,722.51456
936.96532,723.83507
936.96532,722.51456
939.11292,725.15558
939.11292,723.83507
941.26051,725.15558
943.40811,725.15558
945.55571,726.47609
947.7033,729.11711
947.7033,727.7966
949.8509,729.11711
951.9985,729.11711
954.14609,730.43762
956.29369,733.07863
956.29369,731.75812
958.44129,733.07863
960.58888,733.07863
960.58888,734.39914
962.73648,735.71965
962.73648,734.39914
964.88408,737.04016
964.88408,738.36067
964.88408,735.71965
964.88408,741.00169
964.88408,742.3222
964.88408,739.68118
967.03167,742.3222
969.17927,742.3222
971.32687,743.64271
973.47446,743.64271
975.62206,742.3222
977.76966,741.00169
979.91725,739.68118
982.06485,738.36067
984.21245,738.36067
986.36004,738.36067
988.50764,738.36067
990.65524,738.36067
992.80283,739.68118
994.95043,741.00169
997.09803,741.00169
997.09803,742.3222
999.24562,739.68118
999.24562,741.00169
1001.39322,739.68118
1003.54082,739.68118
1005.68841,738.36067
1005.68841,739.68118
1007.83601,738.36067
1009.98361,737.04016
1009.98361,738.36067
1012.1312,737.04016
1014.2788,735.71965
1014.2788,737.04016
1016.4264,735.71965
1018.57399,735.71965
1020.72159,734.39914
1020.72159,733.07863
1022.86919,731.75812
1025.01678,731.75812
1027.16438,731.75812
1029.31198,730.43762
1029.31198,731.75812
1031.45957,730.43762
1033.60717,729.11711
1033.60717,727.7966
1033.60717,726.47609
1033.60717,725.15558
1033.60717,723.83507
1033.60717,730.43762
1035.75477,722.51456
1037.90236,722.51456
1040.04996,722.51456
1042.19756,721.19405
1044.34515,721.19405
1046.49275,721.19405
1048.64035,721.19405
1050.78794,719.87354
1052.93554,719.87354
1055.08314,721.19405
1057.23073,719.87354
1059.37833,719.87354
1061.52593,719.87354
1063.67352,718.55303
1065.82112,718.55303
1067.96872,718.55303
1070.11631,718.55303
1072.26391,718.55303
1074.41151,718.55303
1076.5591,718.55303
1078.7067,718.55303
1080.8543,718.55303
1083.00189,718.55303
1085.14949,718.55303
1087.29709,718.55303
1089.44468,718.55303
1091.59228,718.55303
1093.73988,718.55303
1095.88747,718.55303
1098.03507,718.55303
1100.18267,718.55303
1102.33026,718.55303
1104.47786,718.55303
1106.62546,717.23252
1108.77305,717.23252
1110.92065,717.23252
1113.06825,717.23252
1115.21584,717.23252
1117.36344,717.23252
1119.51104,717.23252
1121.65863,718.55303
1123.80623,717.23252
1125.95383,717.23252
1128.10142,717.23252
1130.24902,717.23252
1132.39662,717.23252
1134.54421,717.23252
1136.69181,715.91201
1138.83941,715.91201
1140.987,715.91201
1143.1346,715.91201
1145.2822,715.91201
1147.42979,717.23252
1149.57739,718.55303
1151.72499,719.87354
1153.87258,721.19405
1156.02018,721.19405
1158.16778,721.19405
1160.31537,721.19405
1162.46297,721.19405
1164.61057,722.51456
1166.75816,722.51456
1168.90576,722.51456
1171.05336,722.51456
1173.20095,722.51456
1175.34855,722.51456
1177.49615,722.51456
1179.64374,722.51456
1181.79134,722.51456
1183.93894,722.51456
1186.08653,723.83507
1188.23413,723.83507
1190.38173,723.83507
1192.52932,723.83507
1194.67692,723.83507
1196.82452,723.83507
1198.97211,723.83507
1201.11971,723.83507
1203.26731,723.83507
1205.4149,723.83507
1207.5625,723.83507
1209.7101,723.83507
1211.85769,723.83507
1214.00529,723.83507
1216.15289,723.83507
1218.30048,723.83507
1220.44808,723.83507
1222.59568,723.83507
1224.74327,723.83507
1226.89087,723.83507
1229.03847,723.83507
1231.18606,723.83507
1233.33366,723.83507
1235.48126,723.83507
1237.62885,723.83507
1239.77645,723.83507
1241.92405,723.83507
1244.07164,723.83507
1246.21924,723.83507
1248.36684,723.83507
1250.51443,723.83507
1252.66203,723.83507
1254.80963,723.83507
1256.95722,723.83507
1259.10482,723.83507
1261.25242,723.83507
1263.40001,723.83507
1265.54761,723.83507
1267.69521,725.15558
1269.8428,726.47609
1271.9904,726.47609
1274.138,725.15558
1276.28559,726.47609
1278.43319,725.15558
1280.58079,723.83507
1282.72838,722.51456
1284.87598,723.83507
1287.02358,725.15558
1289.17117,726.47609
1291.31877,727.7966
1293.46637,727.7966
1295.61396,729.11711
1297.76156,729.11711
1299.90916,727.7966
1302.05675,729.11711
1304.20435,730.43762
1306.35195,730.43762
1308.49954,731.75812
1310.64714,731.75812
1312.79474,731.75812
1314.94233,730.43762
1317.08993,731.75812
1319.23753,731.75812
1321.38512,731.75812
1323.53272,730.43762
1325.68032,731.75812
1327.82791,733.07863
1329.97551,733.07863
1332.12311,733.07863
1334.2707,731.75812
1336.4183,731.75812
1338.5659,733.07863
1340.71349,734.39914
1342.86109,734.39914
1345.00869,735.71965
1347.15628,735.71965
1349.30388,735.71965
1351.45148,737.04016
1353.59907,735.71965
1355.74667,737.04016
1357.89427,737.04016
1360.04186,735.71965
1362.18946,737.04016
1364.33706,738.36067
1366.48465,738.36067
1368.63225,739.68118
1370.77985,739.68118
1372.92744,739.68118
1375.07504,738.36067
1377.22264,737.04016
1379.37023,735.71965
1381.51783,734.39914
1383.66543,734.39914
1385.81302,734.39914
1387.96062,734.39914
1390.10822,733.07863
1392.25581,733.07863
1394.40341,734.39914
1396.55101,733.07863
1398.6986,733.07863
1400.8462,733.07863
1402.9938,733.07863
1405.14139,731.75812
1407.28899,731.75812
1409.43659,731.75812
1411.58418,731.75812
1413.73178,730.43762
1415.87938,730.43762
1418.02697,731.75812
1420.17457,733.07863
1422.32217,734.39914
1424.46976,733.07863
1426.61736,731.75812
1428.76496,730.43762
1430.91255,729.11711
1433.06015,727.7966
1435.20775,726.47609
1437.35534,725.15558
1439.50294,725.15558
1441.65054,725.15558
1443.79813,725.15558
1445.94573,723.83507
1448.09333,723.83507
1450.24093,723.83507
1452.38852,723.83507
1454.53612,722.51456
1456.68372,722.51456
1458.83131,722.51456
1460.97891,722.51456
1463.12651,722.51456
1465.2741,722.51456
1467.4217,722.51456
1469.5693,722.51456
1471.71689,721.19405
1473.86449,721.19405
1476.01209,721.19405
1478.15968,721.19405
1480.30728,721.19405
1482.45488,721.19405
1484.60247,721.19405
1486.75007,721.19405
1488.89767,721.19405
1491.04526,721.19405
1493.19286,721.19405
1495.34046,721.19405
1497.48805,721.19405
1499.63565,721.19405
1501.78325,721.19405
1503.93084,721.19405
1506.07844,721.19405
1508.22604,721.19405
1510.37363,721.19405
1512.52123,721.19405
1514.66883,719.87354
1516.81642,719.87354
1518.96402,721.19405
1521.11162,722.51456
1523.25921,723.83507
1525.40681,725.15558
1527.55441,725.15558
1529.702,726.47609
1531.8496,726.47609
1533.9972,726.47609
1536.14479,726.47609
1538.29239,726.47609
1540.43999,725.15558
1542.58758,726.47609
1544.73518,726.47609
1546.88278,726.47609
1549.03037,726.47609
1551.17797,726.47609
1553.32557,727.7966
1555.47316,727.7966
1557.62076,727.7966
1559.76836,727.7966
1561.91595,727.7966
1564.06355,727.7966
1566.21115,727.7966
1568.35874,727.7966
1570.50634,727.7966
1572.65394,727.7966
1574.80153,727.7966
1576.94913,727.7966
1579.09673,726.47609
1581.24432,727.7966
1583.39192,729.11711
1585.53952,729.11711
1587.68711,729.11711
1589.83471,729.11711
1591.98231,730.43762
1594.1299,730.43762
1596.2775,729.11711
1598.4251,730.43762
1600.57269,731.75812
1602.72029,731.75812
1604.86789,731.75812
1607.01548,731.75812
1609.16308,731.75812
1611.31068,731.75812
1613.45827,730.43762
1615.60587,729.11711
1617.75347,727.7966
1619.90106,726.47609
1622.04866,726.47609
1624.19626,726.47609
1626.34385,726.47609
1628.49145,726.47609
1630.63905,726.47609
1632.78664,726.47609
1634.93424,725.15558
1637.08184,725.15558
1639.22943,725.15558
1641.37703,726.47609
1643.52463,725.15558
1645.67222,725.15558
1647.81982,725.15558
1649.96742,723.83507
1652.11501,723.83507
1654.26261,723.83507
1656.41021,725.15558
1658.5578,723.83507
1660.7054,723.83507
1662.853,722.51456
1665.00059,722.51456
1667.14819,722.51456
1669.29579,722.51456
1671.44338,722.51456
1673.59098,722.51456
1675.73858,722.51456
1677.88617,722.51456
1680.03377,721.19405
1682.18137,721.19405
1684.32896,721.19405
1686.47656,721.19405
1688.62416,721.19405
1690.77175,721.19405
1692.91935,721.19405
1695.06695,721.19405
1697.21454,721.19405
1699.36214,721.19405
1701.50974,721.19405
1703.65733,721.19405
1705.80493,721.19405
1707.95253,721.19405
1710.10012,721.19405
1712.24772,721.19405
1714.39532,719.87354
1716.54291,719.87354
1718.69051,719.87354
1720.83811,719.87354
1722.9857,719.87354
1725.1333,719.87354
1727.2809,719.87354
1729.42849,719.87354
1731.57609,719.87354
1733.72369,719.87354
1735.87128,719.87354
1738.01888,719.87354
1740.16648,719.87354
1742.31407,719.87354
1744.46167,718.55303
1746.60927,718.55303
1748.75686,718.55303
1750.90446,718.55303
1753.05206,718.55303
1755.19965,718.55303
1757.34725,718.55303
1759.49485,718.55303
1761.64244,718.55303
1763.79004,718.55303
1765.93764,718.55303
1768.08523,718.55303
1770.23283,718.55303
1772.38043,718.55303
1774.52802,718.55303
1776.67562,718.55303
1778.82322,718.55303
1780.97081,718.55303
1783.11841,718.55303
1785.26601,718.55303
1787.4136,718.55303
1789.5612,718.55303
1791.7088,718.55303
1793.85639,718.55303
1796.00399,718.55303
1798.15159,718.55303
1800.29918,718.55303
1802.44678,718.55303
1804.59438,718.55303
1806.74197,718.55303
1808.88957,718.55303
1811.03717,718.55303
1813.18476,718.55303
1815.33236,718.55303
1817.47996,718.55303
1819.62755,718.55303
1821.77515,718.55303
1823.92275,718.55303
1826.07034,718.55303
1828.21794,718.55303
1830.36554,718.55303
1832.51313,718.55303
1834.66073,718.55303
1836.80833,718.55303
1838.95592,718.55303
1841.10352,718.55303
1843.25112,718.55303
1845.39871,718.55303
1847.54631,718.55303
1849.69391,718.55303
1851.8415,718.55303
1853.9891,718.55303
1856.1367,718.55303
1858.28429,718.55303
1860.43189,718.55303
1862.57949,718.55303
1864.72708,718.55303
1866.87468,718.55303
1869.02228,718.55303
1871.16987,718.55303
1873.31747,718.55303
1875.46507,718.55303
1877.61266,718.55303
1879.76026,718.55303
1881.90786,718.55303
1884.05545,718.55303
1886.20305,718.55303
1888.35065,718.55303
1890.49824,718.55303
1892.64584,718.55303
1894.79344,718.55303
1896.94103,718.55303
1899.08863,718.55303
1901.23623,718.55303
1903.38382,718.55303
1905.53142,718.55303
1907.67902,718.55303
1909.82661,718.55303
1911.97421,718.55303
1914.12181,718.55303
1916.2694,718.55303
1918.417,718.55303
1920.5646,718.55303
1922.71219,718.55303
1924.85979,718.55303
1927.00739,718.55303
1929.15498,718.55303
1931.30258,718.55303
1933.45018,718.55303
1935.59777,718.55303
1937.74537,718.55303
1939.89297,718.55303
1942.04056,718.55303
1944.18816,718.55303
1946.33576,718.55303
1948.48335,718.55303
1950.63095,718.55303
1952.77855,718.55303
1954.92614,718.55303
1957.07374,718.55303
1959.22134,718.55303
1961.36893,718.55303
1963.51653,718.55303
1965.66413,718.55303
1967.81172,718.55303
1969.95932,718.55303
1972.10692,718.55303
1974.25451,718.55303
1976.40211,718.55303
1978.54971,718.55303
1980.6973,718.55303
1982.8449,718.55303
1984.9925,718.55303
1987.14009,718.55303
1989.28769,718.55303
1991.43529,718.55303
1993.58288,718.55303
1995.73048,718.55303
1997.87808,718.55303
2000.02567,718.55303
2002.17327,718.55303
2004.32087,718.55303
2006.46846,718.55303
2008.61606,718.55303
2010.76366,718.55303
2012.91125,718.55303
2015.05885,718.55303
2017.20645,718.55303
2019.35404,718.55303
2021.50164,718.55303
2023.64924,718.55303
2025.79683,718.55303
2027.94443,718.55303
2030.09203,718.55303
2032.23962,718.55303
2034.38722,718.55303
2036.53482,718.55303
2038.68241,718.55303
2040.83001,718.55303
2042.97761,718.55303
2045.1252,718.55303
2047.2728,718.55303
2049.4204,718.55303
2051.56799,718.55303
2053.71559,718.55303
2055.86319,718.55303
2058.01078,718.55303
2060.15838,718.55303
2062.30598,718.55303
2064.45357,718.55303
2066.60117,718.55303
2068.74877,718.55303
2070.89636,718.55303
2073.04396,718.55303
2075.19156,718.55303
2077.33915,718.55303
2079.48675,718.55303
2081.63435,718.55303
2083.78194,718.55303
2085.92954,718.55303
2088.07714,718.55303
2090.22473,718.55303
2092.37233,718.55303
2094.51993,718.55303
2096.66753,718.55303
2098.81512,718.55303
2100.96272,718.55303
2103.11032,718.55303
2105.25791,718.55303
2107.40551,718.55303
2109.55311,718.55303
2111.7007,718.55303
2113.8483,718.55303
2115.9959,718.55303
2118.14349,718.55303
2120.29109,718.55303
2122.43869,718.55303
2124.58628,718.55303
2126.73388,718.55303
2128.88148,718.55303
2131.02907,718.55303
2133.17667,718.55303
2135.32427,718.55303
2137.47186,718.55303
2139.61946,718.55303
2141.76706,718.55303
2143.91465,718.55303
2146.06225,719.87354
2148.20985,721.19405
2150.35744,722.51456
2152.50504,723.83507
2154.65264,722.51456
2156.80023,722.51456
2158.94783,722.51456
2161.09543,721.19405
2163.24302,722.51456
2165.39062,723.83507
2167.53822,723.83507
2169.68581,722.51456
2171.83341,721.19405
2173.98101,722.51456
2176.1286,721.19405
2178.2762,722.51456
2180.4238,723.83507
2182.57139,723.83507
2184.71899,723.83507
2186.86659,722.51456
2189.01418,721.19405
2191.16178,719.87354
2193.30938,718.55303
2195.45697,718.55303
2197.60457,718.55303
2199.75217,718.55303
2201.89976,718.55303
2204.04736,718.55303
2206.19496,718.55303
2208.34255,718.55303
2210.49015,717.23252
2212.63775,717.23252
2214.78534,717.23252
2216.93294,717.23252
2219.08054,717.23252
2221.22813,717.23252
2223.37573,717.23252
2225.52333,717.23252
2227.67092,717.23252
2229.81852,718.55303
2231.96612,719.87354
2234.11371,721.19405
2236.26131,722.51456
2238.40891,722.51456
2240.5565,722.51456
2242.7041,722.51456
