Raman Shift,Intensity 
400,-0.00361263
401,-0.031234351
402,-0.006865543
403,0.023921284
404,0.069000431
405,-0.011202475
406,-0.015696674
407,-0.071745272
408,0.09893594
409,0.061360795
410,-0.050374168
411,-0.026260181
412,-0.059409646
413,0.031143995
414,0.069568473
415,0.040919727
416,-0.012665942
417,-0.011545497
418,-0.044511914
419,0.001042002
420,0.010939684
421,-0.02162693
422,-0.032342755
423,-0.034879295
424,-0.012372267
425,-0.009776311
426,-0.022278097
427,-0.003469511
428,-0.010786425
429,-0.004553465
430,-0.042754747
431,0.030599067
432,-0.039049935
433,0.060951051
434,-0.015610791
435,0.046376828
436,-0.078146548
437,0.028972123
438,0.036532783
439,-0.045151551
440,-0.071521888
441,0.025462895
442,0.070866489
443,-0.018461762
444,0.015036014
445,0.008632116
446,0.059200392
447,-0.018266696
448,0.02625131
449,0.029686814
450,0.01223256
451,-0.029903615
452,-0.093027834
453,-0.077386625
454,-0.016728344
455,-0.009180995
456,-0.00288312
457,0.081967956
458,0.000123881
459,-0.029428593
460,0.046152279
461,-0.040053542
462,0.055619176
463,0.032987091
464,-0.123872443
465,-0.098214471
466,-0.004370786
467,-0.04603549
468,-0.002750758
469,0.021202997
470,0.012408494
471,0.065780695
472,-0.033222642
473,-0.015300948
474,0.001664843
475,-0.045719452
476,0.008191086
477,-0.05423246
478,-0.05809991
479,0.030061642
480,-0.028834246
481,-0.038174978
482,-0.026022075
483,-0.131870268
484,0.013451547
485,-0.059952528
486,-0.080035337
487,-0.044734249
488,0.024985314
489,0.002704817
490,0.006676348
491,-0.022382954
492,0.057041408
493,0.050589725
494,0.002061293
495,0.058351443
496,-0.085047529
497,0.013928097
498,0.00329279
499,0.024194412
500,-0.086059091
501,0.016951084
502,0.010105494
503,0.068542779
504,-0.027145427
505,-0.007127935
506,0.069523625
507,-0.006341196
508,-0.011104412
509,0.054244959
510,-0.024387958
511,0.01389885
512,-0.0517992
513,0.039926957
514,0.014378624
515,0.030443477
516,0.023945432
517,0.033938186
518,0.01382688
519,0.053224617
520,0.000976419
521,-0.017526497
522,0.059342608
523,-0.044186831
524,-0.035890404
525,-0.063737184
526,0.049386149
527,0.011278675
528,0.093213555
529,0.036960485
530,-0.088377172
531,0.035755532
532,0.003552723
533,-0.008940754
534,0.032786152
535,0.020298948
536,-0.048574048
537,-0.059922485
538,-0.024026059
539,0.009299482
540,0.007401454
541,-0.015162598
542,0.035603131
543,-0.062049478
544,0.017427096
545,0.016534548
546,0.003652239
547,0.001176337
548,0.035037127
549,-0.129828494
550,-0.04855937
551,0.037096473
552,-0.054645581
553,0.172282006
554,-0.030857457
555,-0.06276777
556,0.043994
557,-0.069562024
558,-0.047843396
559,-0.07438632
560,-0.046089848
561,-0.021599623
562,0.041243165
563,-0.023042982
564,0.035970483
565,0.023419384
566,-0.032980335
567,-0.023341491
568,-0.050764965
569,0.01957692
570,0.012653491
571,0.039079486
572,-0.05485828
573,-0.019157524
574,-0.032104255
575,-0.044006026
576,0.015403683
577,0.044419873
578,0.005504267
579,0.0328339
580,0.061482122
581,0.05166015
582,0.035059681
583,-0.015715006
584,0.027575294
585,0.115485874
586,-0.033256247
587,-0.100050113
588,0.046083332
589,-0.018888571
590,0.028361428
591,0.002803611
592,0.017039563
593,0.062574552
594,0.014322622
595,0.029801425
596,-0.007630998
597,0.00552944
598,-0.05419229
599,-0.024040622
600,-0.029307235
601,-0.01899345
602,-0.068774001
603,-0.137827666
604,-0.02880032
605,-0.05002543
606,0.003624135
607,0.022132783
608,-0.075903902
609,0.054883265
610,-0.013652575
611,0.017603419
612,0.079311396
613,0.064791466
614,-0.004037826
615,0.03754221
616,0.006639754
617,-0.033444095
618,-0.050676118
619,0.0397568
620,0.049730732
621,0.031635662
622,-0.058503941
623,-0.011183031
624,0.015821153
625,0.045351444
626,-0.007043196
627,0.071347
628,-0.041600538
629,0.037892296
630,-0.042864668
631,0.020129318
632,-0.067373763
633,0.089940546
634,-0.107446573
635,-0.011747649
636,0.0254617
637,-0.008006257
638,0.091686153
639,-0.01872551
640,0.029061096
641,0.044074271
642,-0.050577511
643,-0.066376698
644,0.050358355
645,0.043578074
646,-0.018676717
647,0.055952514
648,-0.114291774
649,-0.062086591
650,-0.012396767
651,0.157672253
652,0.056977736
653,-0.032750255
654,0.116279152
655,0.057174927
656,-0.041452076
657,0.073165517
658,-0.056148455
659,0.050258006
660,-0.024267722
661,0.069383602
662,-0.002073529
663,0.108333367
664,-0.073521444
665,-0.03517782
666,0.023474601
667,-0.013846087
668,-0.006948726
669,-0.029041771
670,0.008735509
671,-0.036232233
672,-0.061400905
673,0.045226406
674,0.096855977
675,-0.044761948
676,0.037931366
677,-0.042716366
678,-0.032797425
679,0.024166331
680,-0.026398043
681,-0.063685002
682,-0.000972698
683,0.028741941
684,0.044030545
685,-0.055500001
686,0.015398627
687,-0.0158199
688,0.007030803
689,-0.011385987
690,-0.004571049
691,0.004785325
692,0.04730987
693,-0.003939912
694,-0.027394673
695,0.000400831
696,0.012786995
697,0.079288326
698,-0.0180247
699,-0.009361704
700,0.004325689
701,0.019891738
702,-0.084730103
703,-0.089932812
704,0.053274295
705,0.002413487
706,0.079504497
707,0.07544257
708,0.027328129
709,0.016991291
710,-0.013693354
711,-0.056643531
712,0.034365096
713,0.001625736
714,0.057966728
715,0.038023131
716,-0.132761482
717,-0.015409693
718,0.009753886
719,-0.119306917
720,0.026905958
721,0.045642059
722,-0.113400722
723,-0.004304704
724,-0.060984286
725,0.04459824
726,-0.003913272
727,-0.001587752
728,-0.024196797
729,-0.035747875
730,-0.012796284
731,-0.054554934
732,0.027504472
733,-0.034554473
734,-0.034967646
735,-0.086552521
736,0.034913016
737,0.071959954
738,0.002847821
739,-0.001603192
740,-0.007921606
741,-0.034904999
742,-0.074614876
743,-0.012511934
744,0.037541093
745,0.089606479
746,-0.052491143
747,0.009190384
748,0.011169341
749,-0.011160586
750,0.084080014
751,-0.055275805
752,0.048344748
753,0.116193072
754,-0.035508078
755,0.060355062
756,0.057750667
757,-0.030010713
758,-0.135443198
759,0.018633436
760,0.033187694
761,-0.084707081
762,0.0605279
763,0.006084623
764,0.009450449
765,0.051081535
766,0.078679271
767,0.005579048
768,-0.022744732
769,-0.034828383
770,0.011549164
771,-0.021373104
772,0.081916928
773,-0.010012085
774,0.070939357
775,0.042922007
776,-0.041936674
777,0.026875304
778,0.075270269
779,-0.005326464
780,0.123750355
781,0.003561304
782,-0.04634753
783,0.056704585
784,0.006344691
785,-0.041440203
786,0.098089912
787,0.015207662
788,0.030481832
789,-0.010584246
790,-0.027019387
791,-0.030317551
792,-0.073357165
793,-0.025911954
794,0.000592945
795,-0.00040163
796,-0.056536487
797,0.038623542
798,0.013163045
799,0.057028707
800,0.008883189
801,-0.012797448
802,-0.047884714
803,0.061697612
804,-0.109154049
805,-0.062838638
806,-0.032184771
807,0.018425409
808,0.025582473
809,-0.059123387
810,0.06795199
811,-0.009576512
812,0.016760953
813,-0.047955271
814,0.056802015
815,0.054589289
816,0.031796635
817,-0.017329198
818,0.027399913
819,-0.064117853
820,-0.124456943
821,-0.047190958
822,0.002248477
