Raman Shift,Intensity 
400,1.224921464
401,1.19565074
402,1.193443926
403,1.231710062
404,1.190237111
405,1.205086447
406,1.15953573
407,1.112725899
408,1.181517835
409,1.141491963
410,1.202481259
411,1.196122551
412,1.191686605
413,1.196374112
414,1.19419197
415,1.282653475
416,1.189343281
417,1.212246626
418,1.105668167
419,1.251732756
420,1.1597216
421,1.213537194
422,1.213164764
423,1.175973411
424,1.108562582
425,1.224347406
426,1.138616441
427,1.222063836
428,1.196435329
429,1.140522331
430,1.21700413
431,1.253732466
432,1.222728147
433,1.221201248
434,1.230948728
435,1.169018737
436,1.166908203
437,1.209709685
438,1.262107737
439,1.127151225
440,1.152715739
441,1.193347311
442,1.287300701
443,1.202573999
444,1.12678365
445,1.217956386
446,1.22845473
447,1.248305425
448,1.213399553
449,1.120808859
450,1.236323727
451,1.335960298
452,1.205092965
453,1.178573262
454,1.19392831
455,1.066158776
456,1.191187316
457,1.177450755
458,1.239599122
459,1.173860073
460,1.269519687
461,1.231550195
462,1.189005888
463,1.2110859
464,1.180589365
465,1.244367158
466,1.311516004
467,1.203459649
468,1.197924343
469,1.165083233
470,1.143971819
471,1.208756276
472,1.180649517
473,1.198888367
474,1.140562949
475,1.218356226
476,1.164004025
477,1.209824201
478,1.181706278
479,1.166363075
480,1.183994326
481,1.177448722
482,1.236782031
483,1.101961171
484,1.177983347
485,1.2264253
486,1.223045034
487,1.243785914
488,1.275163917
489,1.174839601
490,1.35501587
491,1.125453951
492,1.207275628
493,1.184346012
494,1.216203511
495,1.167816428
496,1.174578222
497,1.166740133
498,1.145830509
499,1.221990169
500,1.183659845
501,1.222277281
502,1.244365308
503,1.159023554
504,1.222541715
505,1.197313981
506,1.178468613
507,1.210085223
508,1.260114134
509,1.194180938
510,1.196763106
511,1.192763751
512,1.203888193
513,1.201267028
514,1.140825164
515,1.146727557
516,1.135130484
517,1.175123452
518,1.231656302
519,1.211380444
520,1.271965748
521,1.179060122
522,1.143848102
523,1.200770235
524,1.254727641
525,1.11872425
526,1.15947441
527,1.175179245
528,1.259636845
529,1.269952508
530,1.207470471
531,1.163548058
532,1.121430585
533,1.168622632
534,1.128306979
535,1.21687479
536,1.227204391
537,1.209555159
538,1.217937521
539,1.149273864
540,1.145610908
541,1.194003679
542,1.172306415
543,1.215394293
544,1.239088967
545,1.215730923
546,1.173367753
547,1.18030627
548,1.271356715
549,1.192780443
550,1.195608569
551,1.261416261
552,1.164656861
553,1.1879156
554,1.206223471
555,1.188878891
556,1.199093824
557,1.205492606
558,1.118142405
559,1.287747644
560,1.214508971
561,1.155647147
562,1.205170167
563,1.168474045
564,1.209637487
565,1.076024664
566,1.158659033
567,1.291003533
568,1.243962169
569,1.199010726
570,1.19723853
571,1.278272782
572,1.21213648
573,1.159881147
574,1.150685345
575,1.114543679
576,1.242415901
577,1.1831196
578,1.266906883
579,1.220442553
580,1.261071592
581,1.165272669
582,1.206136945
583,1.144065466
584,1.225041853
585,1.312225494
586,1.124574103
587,1.111558913
588,1.27988379
589,1.262279845
590,1.191811487
591,1.171761022
592,1.238459116
593,1.23704474
594,1.211616539
595,1.173994514
596,1.167795628
597,1.279210154
598,1.139337783
599,1.17503149
600,1.191442525
601,1.214591513
602,1.172792454
603,1.216313823
604,1.093123268
605,1.304014457
606,1.264585732
607,1.183132575
608,1.207529595
609,1.226538708
610,1.207746322
611,1.158950598
612,1.192378964
613,1.170245279
614,1.229465347
615,1.121538937
616,1.184783705
617,1.131287888
618,1.166260194
