Raman Shift,Intensity 
400,3.562386576
401,3.621054533
402,3.605694457
403,3.568873991
404,3.512186573
405,3.634161698
406,3.626975535
407,3.665470154
408,3.591585823
409,3.579899902
410,3.556236498
411,3.639852418
412,3.609358491
413,3.61485894
414,3.673023617
415,3.667914022
416,3.538716172
417,3.591757746
418,3.642996414
419,3.647951203
420,3.574810555
421,3.571020295
422,3.563723663
423,3.581309065
424,3.600670384
425,3.539777939
426,3.550186333
427,3.602530271
428,3.540256717
429,3.581015236
430,3.621074436
431,3.571483894
432,3.43504143
433,3.620130072
434,3.512348366
435,3.577864158
436,3.580690676
437,3.625286555
438,3.592695829
439,3.584710066
440,3.539002296
441,3.570933143
442,3.555912443
443,3.6535577
444,3.583756504
445,3.558235191
446,3.616447807
447,3.545575703
448,3.537106823
449,3.463723858
450,3.651142127
451,3.561860252
452,3.511756184
453,3.68089068
454,3.527356786
455,3.571547966
456,3.582878381
457,3.604000765
458,3.611488486
459,3.569518641
460,3.59931916
461,3.584699778
462,3.586851762
463,3.625290166
464,3.624728381
465,3.649368721
466,3.660720611
467,3.646566225
468,3.654519747
469,3.61344719
470,3.657417462
471,3.563182362
472,3.59343614
473,3.643192902
474,3.602104482
475,3.563024215
476,3.629222107
477,3.590661401
478,3.623609537
479,3.589746508
480,3.61772345
481,3.510941472
482,3.607759466
483,3.598727573
484,3.578649256
485,3.506403478
486,3.54375128
487,3.589238739
488,3.593622247
489,3.537512774
490,3.610175008
491,3.664613887
492,3.581572561
493,3.617694251
494,3.537120749
495,3.560210329
496,3.565979299
497,3.539071554
498,3.563869253
499,3.563043216
500,3.592708884
501,3.57725809
502,3.651293539
503,3.593602441
504,3.58632669
505,3.567100883
506,3.56660879
507,3.629957972
508,3.715956773
509,3.573010135
510,3.638172781
511,3.695829731
512,3.591515961
513,3.635701482
514,3.68737868
515,3.558729203
516,3.551220571
517,3.529550085
518,3.586032038
519,3.730825702
520,3.564281875
521,3.526794946
522,3.591870516
523,3.601316181
524,3.526433166
525,3.523382157
526,3.520213047
527,3.630580389
528,3.626520413
529,3.578754977
530,3.602405557
531,3.605931193
532,3.514001647
533,3.632702297
534,3.619055847
535,3.561358171
536,3.56762806
537,3.62193518
538,3.572684735
539,3.567588455
540,3.696186786
541,3.610641135
542,3.605239715
543,3.559349492
544,3.596466109
545,3.568092395
546,3.626805512
547,3.608223366
548,3.59825639
549,3.599555543
550,3.645958199
551,3.63679616
552,3.549659267
553,3.594680512
554,3.601990601
555,3.518813922
556,3.550518448
557,3.636883533
558,3.687113866
559,3.554925278
560,3.658517532
561,3.636076016
562,3.612795499
563,3.659069504
564,3.545329016
565,3.679803912
566,3.639793724
567,3.647671952
568,3.597042774
569,3.553901566
570,3.632392938
571,3.599242453
572,3.662894013
573,3.607463266
574,3.549854877
575,3.641228104
576,3.630936174
577,3.587991342
578,3.623602162
579,3.559344707
580,3.523360765
581,3.49361978
582,3.614212784
