Raman Shift,Intensity 
400,4.841470814
401,4.756111616
402,4.769043758
403,4.814911424
404,4.799129853
405,4.775379447
406,4.812588916
407,4.742259924
408,4.805194299
409,4.702874536
410,4.799321526
411,4.827920352
412,4.798493287
413,4.755453427
414,4.882084848
415,4.806369316
416,4.755054787
417,4.852653805
418,4.783116802
419,4.737111962
420,4.7388804
421,4.861468938
422,4.759124012
423,4.777337189
424,4.885899789
425,4.835911419
426,4.795119513
427,4.752160062
428,4.72825911
429,4.730863184
430,4.873699727
431,4.858029354
432,4.788953361
433,4.714916731
434,4.816578377
435,4.807377467
436,4.716349747
437,4.855761257
438,4.815331693
439,4.690317092
440,4.779916507
441,4.801976116
442,4.891209032
443,4.716627448
444,4.788095073
445,4.815148915
446,4.856748829
447,4.73299699
448,4.791689131
449,4.711262474
450,4.796882068
451,4.796266542
452,4.766583559
453,4.889897877
454,4.828919403
455,4.767142384
456,4.876910405
457,4.778706997
458,4.912675028
459,4.734785418
460,4.81911126
461,4.817025026
462,4.829043392
463,4.866455929
464,4.72970565
465,4.826681647
466,4.758172411
467,4.840246021
468,4.775486191
469,4.876218607
470,4.785094445
471,4.830157399
472,4.745865627
473,4.837733412
474,4.819598449
475,4.805721594
476,4.787613256
477,4.746699885
478,4.789329929
479,4.785818883
480,4.700325469
481,4.819101807
482,4.771176615
483,4.754141509
484,4.738627265
485,4.814967273
486,4.762033532
487,4.750172711
488,4.778175619
489,4.748888859
490,4.761660426
491,4.824687993
492,4.655210617
493,4.84648847
494,4.769416527
495,4.752353497
496,4.848899493
497,4.783770941
498,4.829393112
499,4.694740152
500,4.779750339
501,4.849023958
502,4.913018358
503,4.723690108
504,4.851331805
505,4.81645053
506,4.769751594
507,4.739993898
508,4.81987891
509,4.81659313
510,4.939174339
511,4.768404532
512,4.767276784
513,4.855295728
514,4.865869091
515,4.854226319
516,4.790994445
517,4.787009773
518,4.822385977
519,4.836313981
520,4.712903173
521,4.735565692
522,4.834407292
523,4.747766073
524,4.78054984
525,4.795522778
526,4.842575439
527,4.764374303
528,4.821642658
529,4.75752338
530,4.804414139
531,4.853369308
532,4.726428665
533,4.813611391
534,4.75976912
535,4.767616571
536,4.830580312
537,4.791039167
538,4.784417075
539,4.901115026
540,4.825219848
541,4.888524824
542,4.815788763
543,4.883195567
544,4.799891705
545,4.758316856
546,4.734709401
547,4.884744398
548,4.806471842
549,4.839244778
550,4.909625183
551,4.826142432
552,4.798808422
553,4.755044109
554,4.786171374
555,4.810547256
556,4.706739442
557,4.741406811
558,4.835779019
559,4.794314749
560,4.895665096
561,4.850202804
562,4.806499635
563,4.759258239
564,4.780389856
565,4.764229809
566,4.72226032
567,4.746281759
568,4.826838455
569,4.821480874
570,4.907752484
571,4.75654036
572,4.779792621
573,4.857719898
574,4.826712984
575,4.847391593
576,4.797771464
577,4.761760748
578,4.756508664
579,4.901763359
580,4.664872127
581,4.827131403
582,4.96129092
583,4.811484607
584,4.823479046
585,4.842147628
586,4.799947156
587,4.817934295
588,4.779758036
589,4.779111043
590,4.71387404
591,4.758295941
592,4.826389797
593,4.717675245
594,4.843559128
595,4.81781122
596,4.7715491
597,4.819647763
598,4.809816971
599,4.814074926
600,4.826958435
601,4.865069904
602,4.819752922
603,4.801920203
604,4.773063151
605,4.799228594
606,4.762021178
607,4.665868291
608,4.795603791
609,4.771696555
610,4.850688443
611,4.817173051
612,4.780814289
613,4.855984924
614,4.849233861
615,4.737821783
616,4.793159879
617,4.849009658
618,4.762980431
619,4.756976121
620,4.778539032
621,4.835060441
622,4.844092261
623,4.744512134
624,4.88046341
625,4.820651953
626,4.751564051
627,4.872012298
628,4.827735971
629,4.72078785
630,4.813383879
631,4.782374418
632,4.854566445
633,4.762600489
634,4.75754392
635,4.837649329
636,4.817259406
637,4.865310569
638,4.742966965
639,4.772914919
640,4.862244878
641,4.726763565
642,4.776653076
643,4.720005387
644,4.785670199
645,4.910680747
646,4.761453355
647,4.800603566
648,4.800910561
649,4.881802022
650,4.811634624
651,4.770728748
652,4.688853449
653,4.877752858
654,4.854876975
655,4.84290231
656,4.826036307
657,4.840019767
658,4.847551785
659,4.801808604
660,4.787256882
661,4.902709037
662,4.790617609
663,4.739456051
664,4.796394455
665,4.771623433
666,4.78959056
667,4.813039242
668,4.770348547
669,4.747883548
670,4.871506001
671,4.796732572
672,4.815047646
673,4.836904302
674,4.807286757
675,4.770194395
676,4.819801287
677,4.812907138
678,4.785073865
679,4.753427208
680,4.79210164
681,4.781632258
682,4.768280426
683,4.795195939
684,4.754849616
685,4.806947815
686,4.78938805
687,4.898592923
688,4.826464804
689,4.731623189
690,4.826487119
691,4.785538725
692,4.759750426
693,4.719798851
694,4.798513421
695,4.808406161
696,4.805141799
697,4.829061998
698,4.804989406
699,4.805799894
700,4.779215926
701,4.799872514
702,4.840869946
703,4.827013836
704,4.866130561
705,4.779595295
706,4.825139707
707,4.858391049
708,4.80430659
709,4.81926779
710,4.796550806
711,4.84150409
712,4.876487191
713,4.871961678
714,4.742934514
715,4.821904282
716,4.817883222
717,4.74843176
718,4.826506006
719,4.891499741
720,4.803106216
721,4.869894999
722,4.834619863
723,4.752303128
724,4.766113698
725,4.783520887
726,4.853858673
727,4.849645031
728,4.758664364
729,4.831825635
730,4.705022688
731,4.661552354
732,4.778060165
733,4.900168387
734,4.846332961
735,4.761000702
736,4.899169992
737,4.81905322
738,4.778572095
739,4.759379076
740,4.780770427
741,4.814580443
742,4.786784714
743,4.838719063
744,4.73520507
745,4.782196727
746,4.873891049
747,4.749981242
748,4.915131958
749,4.809966683
750,4.818202697
751,4.743785344
752,4.804385157
753,4.811063296
754,4.734156343
755,4.725125451
756,4.743270413
757,4.76940558
758,4.865440037
759,4.78091689
760,4.8124726
761,4.76827451
762,4.80629873
763,4.85207252
764,4.813304865
765,4.820483453
766,4.73649986
767,4.782059341
768,4.803598004
769,4.860674355
770,4.903371552
771,4.755713991
772,4.847585117
773,4.862625295
774,4.765594831
775,4.841541897
776,4.80136178
777,4.783066317
778,4.867726335
779,4.732766139
780,4.813847041
781,4.85348805
782,4.740441809
783,4.827895928
784,4.814428931
785,4.791153966
786,4.775622789
787,4.734993595
788,4.875810835
789,4.780853286
790,4.818496674
791,4.777173285
792,4.873733713
793,4.815963557
794,4.788556041
795,4.873619424
796,4.829424191
797,4.783051566
798,4.810137101
799,4.74589955
800,4.829531272
801,4.762430293
802,4.829409732
803,4.769731211
804,4.793636471
805,4.759180546
806,4.822375592
807,4.835360811
808,4.75312978
809,4.797927411
810,4.797472446
811,4.850228971
812,4.822678348
813,4.80308044
814,4.801422775
815,4.801272262
816,4.847920481
817,4.748870602
818,4.796703695
819,4.896162086
820,4.846860071
821,4.726445919
822,4.748353127
823,4.794235034
824,4.696762755
825,4.760569384
826,4.810423094
827,4.852817703
828,4.774786145
829,4.741497036
830,4.851429156
831,4.792559822
832,4.752770316
833,4.755525459
834,4.787884151
835,4.746654328
836,4.772727089
837,4.813519456
838,4.685893361
839,4.806251611
840,4.833049208
841,4.897431413
