Raman Shift,Intensity 
400,5.998813341
401,6.013093173
402,6.088958765
403,5.952081434
404,5.956574023
405,6.07314209
406,6.019433708
407,5.943481799
408,5.985415492
409,5.909374386
410,5.989440338
411,6.145278803
412,5.939923727
413,6.015044913
414,5.942987842
415,5.969363277
416,5.942642072
417,6.041375091
418,6.03535132
419,5.939543876
420,5.971256558
421,5.941565161
422,6.020417471
423,5.977452987
424,5.997367072
425,5.993554827
426,5.89828623
427,6.026424851
428,5.95097036
429,5.999757875
430,6.032388289
431,5.958830323
432,6.061311075
433,5.987139759
434,6.030621767
435,6.038749547
436,6.066570876
437,5.926365139
438,5.955778291
439,6.001003966
440,6.034977841
441,5.92062274
442,6.064578317
443,5.929790038
444,6.018707861
445,6.0485694
446,5.957663894
447,6.057503834
448,5.940176378
449,6.06605639
450,6.032251378
451,5.997943801
452,5.981090385
453,5.933922209
454,6.044799642
455,6.015228377
456,5.927932758
457,5.973262345
458,5.97383679
459,5.989081991
460,6.058314738
461,6.058589864
462,6.148387178
463,5.965330546
464,5.980592159
465,6.012665392
466,6.033050309
467,5.974282633
468,6.014714923
469,6.031738163
470,6.033849347
471,6.029563448
472,6.009976108
473,5.998438956
474,5.967793093
475,6.024318219
476,6.03118516
477,6.061524816
478,5.868689928
479,6.011018855
480,5.993115676
481,5.967783492
482,6.045268091
483,6.023002563
484,5.991308068
485,6.037928288
486,5.971238282
487,5.852577615
488,5.951104346
489,6.029859103
490,5.907123411
491,6.057306462
492,5.961861925
493,6.013865766
494,5.947968124
495,6.046537704
496,6.03923984
497,5.947819879
498,6.03719847
499,5.945402042
500,5.983357935
501,6.090217839
502,5.993975644
503,5.949036408
504,5.957205409
505,6.028663417
506,5.980246993
507,6.010367452
508,6.028751736
509,5.957062344
510,6.057504675
511,5.925800015
512,5.990369098
513,5.969183539
514,6.015548405
515,6.022984852
516,6.031372719
517,5.992493679
518,5.93098804
519,6.038520655
520,6.019906056
521,5.98165919
522,6.01209072
523,5.97390396
524,6.034618089
525,5.969974024
526,6.028814997
527,5.939363482
528,5.987854207
529,6.023928215
530,5.96718761
531,6.003215074
532,6.044065126
533,5.989800433
534,6.035993457
535,5.968858003
536,5.984782341
537,5.934119888
538,5.938777915
539,6.042623168
540,6.055912286
541,5.995715109
542,6.072736502
543,5.946432132
544,5.98279479
545,6.003677963
546,5.989461222
547,6.006755697
548,5.987520647
549,6.03308998
550,5.984956222
551,6.082721927
552,5.918738057
553,6.018641704
554,6.00309174
555,5.9366914
556,6.036991909
557,6.092980248
558,5.986841134
559,6.020876027
560,6.02178281
561,6.016043284
562,5.989170543
563,6.028536293
564,5.963820174
565,5.995887124
566,5.996622772
567,5.981837646
568,6.008761707
