Raman Shift,Intensity 
400,7.179092635
401,7.209821981
402,7.180304609
403,7.158622672
404,7.166866774
405,7.154662726
406,7.219344821
407,7.205660539
408,7.20427834
409,7.176423499
410,7.198736561
411,7.155385922
412,7.223533857
413,7.227453312
414,7.247842179
415,7.217831044
416,7.129293421
417,7.176243756
418,7.176606063
419,7.188669269
420,7.132974089
421,7.198907744
422,7.161418377
423,7.202050956
424,7.199031851
425,7.204641926
426,7.207677648
427,7.182684031
428,7.197011908
429,7.253034532
430,7.248706769
431,7.24984811
432,7.221571296
433,7.199977164
434,7.179662636
435,7.215141284
436,7.231921256
437,7.183598108
438,7.24214969
439,7.177803852
440,7.271274238
441,7.170293718
442,7.212809774
443,7.219575532
444,7.176720983
445,7.182403761
446,7.194922337
447,7.156043648
448,7.195055193
449,7.175206384
450,7.212544619
451,7.219037592
452,7.208866311
453,7.159830707
454,7.23335569
455,7.25591997
456,7.251634128
457,7.160720349
458,7.203485852
459,7.202411239
460,7.208011558
461,7.224158151
462,7.188319055
463,7.149412778
464,7.175667216
465,7.221823948
466,7.201871562
467,7.229963035
468,7.205524302
469,7.204008189
470,7.190616116
471,7.221353332
472,7.21776744
473,7.191032658
474,7.168913808
475,7.173295862
476,7.226844682
477,7.206918546
478,7.243216075
479,7.198956526
480,7.195858743
481,7.244022049
482,7.236745472
483,7.212837636
484,7.247028711
485,7.203259778
486,7.242319824
487,7.260968725
488,7.309906402
489,7.222932639
490,7.247580277
491,7.245637538
492,7.235256704
493,7.22873944
494,7.252518118
495,7.278410859
496,7.268941232
497,7.274424244
498,7.257774142
499,7.268065193
500,7.290514005
501,7.286965796
502,7.275025944
503,7.350232746
504,7.326333043
505,7.326434
506,7.345617068
507,7.343736043
508,7.379383375
509,7.366451309
510,7.397348623
511,7.418447539
512,7.43485856
513,7.361380479
514,7.411557094
515,7.47630459
516,7.387540009
517,7.49071449
518,7.49166971
519,7.559933491
520,7.5072061
521,7.462213849
522,7.543209528
523,7.572753084
524,7.527282953
525,7.56790733
526,7.551265763
527,7.546446493
528,7.522585003
529,7.575128341
530,7.649226889
531,7.579256268
532,7.623533068
533,7.602646269
534,7.528692013
535,7.569934017
536,7.582821902
537,7.593770929
538,7.625320247
539,7.5633164
540,7.653545096
541,7.596697883
542,7.613576896
543,7.617680842
544,7.580962425
545,7.53229531
546,7.580778598
547,7.55061877
548,7.569024264
549,7.530680391
550,7.567767293
551,7.604126502
552,7.550037076
553,7.517432114
554,7.546738275
555,7.527660962
556,7.574833123
557,7.502669329
558,7.500203038
559,7.464219465
560,7.552802551
561,7.478430058
562,7.464294829
563,7.449987183
564,7.461047793
565,7.392468702
566,7.431256784
567,7.410413332
568,7.404801055
569,7.394538415
570,7.43059868
571,7.403313487
572,7.38772224
573,7.355529702
574,7.352639438
575,7.422743857
576,7.345133399
